time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1329,492,224.0,241.0,0.0004291555839147708,0.0004334648999154215
2021-01-02 16:15:00,1315,521,223.0,223.0,0.0004354278683107187,0.00047268797966262236
2021-01-02 16:30:00,1294,483,224.0,232.5,0.0004329650342256517,0.00044324410636757325
2021-01-02 16:45:00,1266,475,229.0,237.0,0.00041739075390463123,0.0004297744091506663
2021-01-02 17:00:00,1313,481,219.0,238.0,0.000435433329121602,0.00043242912792260514
2021-01-02 17:15:00,1282,448,219.0,239.0,0.00043631873594173886,0.0004209090319749935
2021-01-02 17:30:00,1245,455,228.0,239.0,0.0004209563926370162,0.0004321599162654545
2021-01-02 17:45:00,1434,495,203.0,218.5,0.00047984773367313065,0.0004740516572654401
2021-01-02 18:00:00,1343,484,219.0,228.5,0.000449890023161129,0.00045094063981395896
2021-01-02 18:15:00,1164,400,264.0,268.0,0.0003917270214578236,0.0003829411218451635
2021-01-02 18:30:00,1252,460,228.0,227.5,0.0004314133715402939,0.00044505031487309776
2021-01-02 18:45:00,1203,460,236.0,228.0,0.0004148447521966426,0.0004491270824607087
2021-01-02 19:00:00,1445,659,203.0,184.5,0.00048395512915405984,0.0006069173846373463
2021-01-02 19:15:00,1443,661,200.0,172.5,0.0004884256987059935,0.0006414984472049688
2021-01-02 19:30:00,1170,446,239.5,233.5,0.00040463273354311984,0.00044573300592944825
2021-01-02 19:45:00,1219,459,224.5,224.0,0.0004278562122335288,0.00046522187738818965
2021-01-02 20:00:00,1378,565,203.0,189.0,0.00048015309148205634,0.0005655434872912869
2021-01-02 20:15:00,1302,525,211.5,193.5,0.0004596081399354995,0.000537766027732338
2021-01-02 20:30:00,1318,506,211.5,200.0,0.0004661877689731878,0.0005240769875309036
2021-01-02 20:45:00,1289,423,218.0,236.0,0.0004541782105096626,0.000442470933425384
2021-01-02 21:00:00,1306,350,211.0,288.5,0.00045459909128913654,0.000358396880513552
2021-01-02 21:15:00,1221,393,227.0,255.0,0.00042635941784654617,0.0004083197486495837
2021-01-02 21:30:00,1321,361,207.0,273.5,0.0004563167397775206,0.0003777557333065451
2021-01-02 21:45:00,1319,387,212.0,253.0,0.00045788563065327336,0.00041060572301620136
2021-01-02 22:00:00,1336,454,210.5,219.5,0.0004521381634053043,0.0004715212584424635
2021-01-02 22:15:00,1234,368,233.5,270.0,0.00042414928680019234,0.0003900763722897377
2021-01-02 22:30:00,1253,423,228.5,230.0,0.0004277457831366431,0.0004559924195302738
2021-01-02 22:45:00,1203,367,232.0,258.5,0.0004181928852979998,0.0004041035782435919
2021-01-02 23:00:00,1181,390,229.0,245.5,0.0004154107906206505,0.0004308616238180306
2021-01-02 23:15:00,1140,307,233.0,302.0,0.00040515124935851054,0.00034576900377980714
2021-01-02 23:30:00,1231,358,216.0,251.5,0.0004390905439657688,0.00040292401280803147
2021-01-02 23:45:00,1165,308,220.0,281.0,0.0004273275412416928,0.00035677177147609685
2021-01-03 00:00:00,1237,342,211.0,255.0,0.0004519512272649717,0.0003971853264410453
2021-01-03 00:15:00,1129,277,229.0,305.0,0.00042047649782182747,0.0003325174451616311
2021-01-03 00:30:00,1175,319,217.5,263.0,0.0004474998847925829,0.0003912161548970697
2021-01-03 00:45:00,1102,307,246.0,289.0,0.0004150244890811275,0.00036429353752757417
2021-01-03 01:00:00,1094,318,235.0,274.0,0.00042695065519753885,0.0003751628065009344
2021-01-03 01:15:00,1146,299,212.0,274.0,0.000464730371224674,0.0003809193788593567
