time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,3307,1109,89.0,111.0,0.001067883759222082,0.000977058077248379
2021-01-02 16:15:00,3154,990,91.0,126.0,0.0010443646362372674,0.0008981978884184188
2021-01-02 16:30:00,3190,1147,90.0,104.0,0.0010673558417154782,0.0010525900414153344
2021-01-02 16:45:00,3167,975,91.0,127.0,0.0010441362698388364,0.0008821685240461043
2021-01-02 17:00:00,3102,1060,92.0,114.0,0.0010287236762644397,0.000952962319330481
2021-01-02 17:15:00,3047,1064,93.0,109.0,0.001037022767874008,0.0009996589509406095
2021-01-02 17:30:00,2662,890,105.0,135.0,0.0009000690097989857,0.0008453237922555043
2021-01-02 17:45:00,3132,1047,92.0,107.0,0.001048035635888595,0.0010026910811250826
2021-01-02 18:00:00,3347,1106,87.0,107.0,0.0011212076749964994,0.0010304552637071048
2021-01-02 18:15:00,2618,867,107.0,136.5,0.0008810492630383007,0.0008300248815993919
2021-01-02 18:30:00,2747,915,99.0,129.0,0.0009465595300488717,0.0008852631263236619
2021-01-02 18:45:00,3110,1093,88.0,103.0,0.001072458170682925,0.0010671650024555537
2021-01-02 19:00:00,3056,971,94.0,120.0,0.001023506487678067,0.0008942591509603385
2021-01-02 19:15:00,3130,919,94.0,124.0,0.0010594403582465416,0.0008918866459627328
2021-01-02 19:30:00,3045,945,91.0,113.0,0.0010530826270417092,0.0009444342838639656
2021-01-02 19:45:00,2917,916,93.0,120.0,0.0010238363995776897,0.0009284166441995244
2021-01-02 20:00:00,3079,1021,88.0,105.0,0.0010728529525930706,0.0010219821248219536
2021-01-02 20:15:00,2828,1063,93.0,102.0,0.0009982886480319453,0.001088848166627572
2021-01-02 20:30:00,3149,1050,87.0,99.0,0.0011138279852022524,0.0010875115353902146
2021-01-02 20:45:00,2749,988,94.0,104.0,0.0009686081463856187,0.0010334782085680363
2021-01-02 21:00:00,2795,952,94.0,109.0,0.000972897748968711,0.0009748395149968617
2021-01-02 21:15:00,2865,1034,91.0,102.0,0.0010004256610404217,0.0010743069213833831
2021-01-02 21:30:00,2937,1124,91.0,92.0,0.0010145361580064934,0.0011761702056414312
2021-01-02 21:45:00,2399,832,111.0,121.0,0.0008328033570410938,0.000882749254649818
2021-01-02 22:00:00,2474,978,112.0,106.0,0.0008372678265454513,0.001015744032503809
