time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,21173,10479,16.0,12.0,0.006837103971578211,0.009232273752466873
2021-01-02 16:15:00,21434,10785,16.0,10.0,0.0070973086915376,0.009784913360194592
2021-01-02 16:30:00,20506,10213,16.0,12.0,0.006861190874676364,0.009372364510004194
2021-01-02 16:45:00,21376,10802,16.0,11.0,0.0070475077057388594,0.009773522458201045
2021-01-02 17:00:00,20973,10753,16.0,11.0,0.006955326132267599,0.00966717341486855
2021-01-02 17:15:00,20899,10398,16.0,11.0,0.00711281221719688,0.009769223469812459
2021-01-02 17:30:00,21227,10236,16.0,11.0,0.007177221965065016,0.00972217341295207
2021-01-02 17:45:00,20608,10081,16.0,11.0,0.006895887095910653,0.009654373246248288
2021-01-02 18:00:00,20668,10122,16.0,11.0,0.0069235495150366455,0.0094306222235473
2021-01-02 18:15:00,20812,10035,16.0,11.0,0.007003971452388508,0.009607035394290541
2021-01-02 18:30:00,20482,10055,16.0,11.0,0.007057674661252636,0.009728219382715212
2021-01-02 18:45:00,19794,9944,16.0,11.0,0.0068257996882629636,0.009708955886933232
2021-01-02 19:00:00,19606,10116,16.0,11.0,0.0065663835724529395,0.009316504192703176
2021-01-02 19:15:00,20460,9886,16.0,10.0,0.006925287453586019,0.009594332298136646
2021-01-02 19:30:00,20006,9680,16.0,11.0,0.00691887390364415,0.009674205151114482
2021-01-02 19:45:00,20227,9660,16.0,10.0,0.007099464811195723,0.00979094408620896
2021-01-02 20:00:00,20605,9747,16.0,10.0,0.0071796476415005575,0.009756375877218006
2021-01-02 20:15:00,19905,9672,16.0,10.0,0.0070264977153733634,0.009907186705194616
2021-01-02 20:30:00,19955,9421,16.0,11.0,0.007058252602321672,0.009757567785629726
2021-01-02 20:45:00,19836,9480,16.0,10.0,0.006989200142490045,0.009916369855490877
2021-01-02 21:00:00,20006,9418,16.0,10.0,0.006963789755230065,0.009643948059076094
2021-01-02 21:15:00,20028,9553,16.0,10.0,0.006993551532048017,0.009925390734985938
2021-01-02 21:30:00,19956,9581,16.0,10.0,0.006893457122634518,0.01002569994684213
2021-01-02 21:45:00,19879,9477,16.0,10.0,0.006900916187836558,0.010055065728745585
2021-01-02 22:00:00,19473,9381,16.0,10.0,0.006590184473047523,0.009743041686010465
2021-01-02 22:15:00,19032,9212,16.0,10.0,0.0065416606372619614,0.009764629188948543
2021-01-02 22:30:00,18831,9111,16.0,10.0,0.006428476330603452,0.00982162395825136
2021-01-02 22:45:00,19050,9167,16.0,10.0,0.0066222564130730644,0.010093780658743888
2021-01-02 23:00:00,18787,8708,16.0,10.0,0.006608232449949332,0.00962036671848054
2021-01-02 23:15:00,18707,8837,16.0,10.0,0.00664838984364005,0.009952966405218745
2021-01-02 23:30:00,18865,8732,16.0,10.0,0.006729035834211396,0.00982774435709422
2021-01-02 23:45:00,18346,8626,16.0,10.0,0.006729400061476478,0.009991926301145492
2021-01-03 00:00:00,18373,8451,16.0,10.0,0.0067127727554885394,0.00981465846126688
2021-01-03 00:15:00,18262,8144,16.0,10.0,0.00680136563615785,0.009776252972549904
2021-01-03 00:30:00,18077,7942,16.0,10.0,0.0068846429084217205,0.009739933235713252
2021-01-03 00:45:00,17110,7605,16.0,10.0,0.006443801277838559,0.009024274765137464
2021-01-03 01:00:00,17038,7825,16.0,10.0,0.00664934667573644,0.009231600505879909
2021-01-03 01:15:00,16843,7373,16.0,10.0,0.00683023878057346,0.009393038730200792
2021-01-03 01:30:00,16355,7221,16.0,10.0,0.006849851506276272,0.009384052179540659
2021-01-03 01:45:00,16751,7741,15.0,9.0,0.007282099971395011,0.010545689359220971
2021-01-03 02:00:00,16983,7389,15.0,10.0,0.007349243784754528,0.010215438044453537
2021-01-03 02:15:00,16760,7084,15.0,10.0,0.007542699962556525,0.010260777872409458
2021-01-03 02:30:00,16009,6635,15.0,10.0,0.007435194585762733,0.009940238715544376
2021-01-03 02:45:00,16110,6730,15.0,10.0,0.007566733801271548,0.010302444878858251
2021-01-03 03:00:00,16558,6812,16.0,11.0,0.00743840450311431,0.009356089011951951
2021-01-03 03:15:00,15628,6186,16.0,10.0,0.0072124492744861214,0.00937710325424592
2021-01-03 03:30:00,15516,6162,16.0,10.0,0.007219638757492539,0.009467590174110243
2021-01-03 03:45:00,14926,6011,16.0,10.0,0.007088985143812455,0.009457681947486344
