time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,532,316,588.5,364.5,0.00017179140003209786,0.00027840428531153086
2021-01-02 16:15:00,414,268,732.5,419.0,0.00013708527565067493,0.00024314851928902646
2021-01-02 16:30:00,399,276,735.0,404.0,0.00013350312879137176,0.0002532823464957561
2021-01-02 16:45:00,403,248,754.5,456.5,0.00013286609306758796,0.0002243874809881373
2021-01-02 17:00:00,495,297,617.0,387.0,0.00016415803344645315,0.00026700925362372913
2021-01-02 17:15:00,449,282,659.5,392.5,0.00015281366024792568,0.00026494720316283066
2021-01-02 17:30:00,439,253,662.0,429.5,0.00014843361957240974,0.00024029990948386812
2021-01-02 17:45:00,430,257,725.0,421.0,0.00014388739573183138,0.0002461237897317538
2021-01-02 18:00:00,458,319,646.5,345.0,0.00015342489248532914,0.00029721087624101845
2021-01-02 18:15:00,404,260,738.5,424.5,0.0001359602376881106,0.0002489117291993563
2021-01-02 18:30:00,410,250,714.0,428.0,0.00014127754179833906,0.00024187517112668358
2021-01-02 18:45:00,442,297,651.0,355.5,0.00015242010014207482,0.0002899798771539793
2021-01-02 19:00:00,484,310,628.5,367.0,0.00016209984948828025,0.00028549983192348603
2021-01-02 19:15:00,417,261,727.0,422.5,0.00014114588798364467,0.0002532996894409938
2021-01-02 19:30:00,417,269,705.0,393.5,0.0001442152563140863,0.0002688389654596897
2021-01-02 19:45:00,403,269,709.0,380.0,0.00014144877237909112,0.00027264637258697823
2021-01-02 20:00:00,454,285,644.5,371.0,0.00015819267310076456,0.00028527414845666685
2021-01-02 20:15:00,492,307,582.0,334.0,0.00017367680863922104,0.00031446508669300525
2021-01-02 20:30:00,509,232,566.0,437.0,0.00018003761335914461,0.00024028826305764746
2021-01-02 20:45:00,468,276,590.0,357.0,0.00016489945889722432,0.000288704438830747
2021-01-02 21:00:00,467,261,608.5,387.0,0.0001625557240674018,0.0002672616737543917
2021-01-02 21:15:00,449,282,631.5,362.0,0.00015678573186986015,0.0002929927967409227
2021-01-02 21:30:00,509,282,566.0,355.0,0.00017582529942979406,0.00029508896618406016
2021-01-02 21:45:00,499,293,570.5,330.5,0.00017322587543289108,0.0003108720331879768
2021-01-02 22:00:00,440,265,658.5,380.0,0.00014890777836701642,0.000275227166271482
2021-01-02 22:15:00,427,238,683.0,419.5,0.00014676802711805683,0.00025227765381781946
2021-01-02 22:30:00,430,251,676.5,386.5,0.00014679224800379613,0.0002705770621799025
2021-01-02 22:45:00,397,209,711.0,458.5,0.00013800712839842554,0.00023012983066188203
2021-01-02 23:00:00,467,287,598.0,333.0,0.0001642648934969041,0.00031706996419429435
2021-01-02 23:15:00,417,232,656.0,388.5,0.0001482000622653499,0.00026129774878474023
2021-01-02 23:30:00,400,232,683.5,408.0,0.00014267767472486394,0.0002611127680767132
2021-01-02 23:45:00,420,243,642.5,374.0,0.00015405799770086778,0.00028147902749575183
2021-01-03 00:00:00,426,265,642.5,337.5,0.0001556436724453338,0.0003077605599616287
2021-01-03 00:15:00,477,250,544.5,343.0,0.00017765038924801743,0.00030010599743829515
2021-01-03 00:30:00,426,245,609.0,343.0,0.00016224251142267257,0.0003004638180243952
2021-01-03 00:45:00,337,192,789.0,454.5,0.00012691765228705986,0.00022783178894232646
2021-01-03 01:00:00,329,199,757.5,439.0,0.00012839740910419587,0.0002347716933763709
2021-01-03 01:15:00,340,168,712.5,504.0,0.00013787812060766944,0.00021402827976044122
2021-01-03 01:30:00,360,219,659.0,385.0,0.00015077630952365994,0.00028460149942105035
2021-01-03 01:45:00,352,229,639.0,346.5,0.00015302365171816868,0.0003119703995945747
2021-01-03 02:00:00,353,205,646.0,367.5,0.00015275764329142957,0.0002834165379771249
2021-01-03 02:15:00,319,208,678.5,351.5,0.00014356332267634437,0.0003012763689245013
2021-01-03 02:30:00,335,197,625.5,352.5,0.00015558686902558038,0.00029513594980591434
2021-01-03 02:45:00,297,156,695.5,444.0,0.00013949844438098389,0.00023880852913846757
