time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,61,18,4172.0,4817.5,1.969788609390596e-05,1.5858471948125176e-05
2021-01-02 16:15:00,65,36,3874.5,2552.5,2.152305052486442e-05,3.2661741397033404e-05
2021-01-02 16:30:00,43,16,5455.0,5081.0,1.4387555233155349e-05,1.4683034579464124e-05
2021-01-02 16:45:00,50,14,4858.0,5713.5,1.6484626931462527e-05,1.2667035217072267e-05
2021-01-02 17:00:00,34,8,6576.5,9092.0,1.1275501287231126e-05,7.192168447777215e-06
2021-01-02 17:15:00,50,19,4739.5,4304.5,1.7017111386183263e-05,1.7851052695368027e-05
2021-01-02 17:30:00,44,19,5253.5,4241.5,1.4877173715685715e-05,1.8046238261634367e-05
2021-01-02 17:45:00,39,14,5701.0,5418.0,1.3050252171026567e-05,1.3407521619628612e-05
2021-01-02 18:00:00,46,18,5069.0,4559.5,1.5409487018177164e-05,1.677051966250261e-05
2021-01-02 18:15:00,36,12,6110.5,6151.0,1.211526870488114e-05,1.1488233655354905e-05
2021-01-02 18:30:00,38,18,5772.0,4438.0,1.3094016069114352e-05,1.7415012321121217e-05
2021-01-02 18:45:00,53,26,4429.5,3216.0,1.827661834282798e-05,2.538544379125745e-05
2021-01-02 19:00:00,32,12,6708.5,6328.5,1.0717345420712743e-05,1.105160639703817e-05
2021-01-02 19:15:00,332,44,913.5,2041.0,0.00011237514343062361,4.2701863354037265e-05
2021-01-02 19:30:00,260,37,1121.0,2321.5,8.991838523180441e-05,3.6977850267689646e-05
2021-01-02 19:45:00,169,47,1620.0,1838.5,5.931722712671564e-05,4.7637098556089144e-05
2021-01-02 20:00:00,152,20,1811.0,3960.0,5.296318570774496e-05,2.0019238488187145e-05
2021-01-02 20:15:00,130,22,2074.0,3544.0,4.589021366483482e-05,2.2534957352593208e-05
2021-01-02 20:30:00,115,26,2289.0,3048.0,4.067647453104447e-05,2.692885706680532e-05
2021-01-02 20:45:00,134,21,1986.5,3628.0,4.721480233382063e-05,2.1966642084948144e-05
2021-01-02 21:00:00,99,15,2656.0,4971.0,3.446042116204021e-05,1.5359866307723653e-05
2021-01-02 21:15:00,99,29,2614.5,2766.5,3.4569682528098344e-05,3.013046491307361e-05
2021-01-02 21:30:00,89,17,2932.0,4390.5,3.074351993959071e-05,1.7789051152939796e-05
2021-01-02 21:45:00,291,101,999.0,879.5,0.00010101949849894052,0.00010716066673032646
2021-01-02 22:00:00,183,50,1568.0,1749.0,6.193209872991818e-05,5.192965401348717e-05
2021-01-02 22:15:00,130,35,2116.5,2283.5,4.468347429823744e-05,3.709965497320875e-05
2021-01-02 22:30:00,139,29,2057.5,2680.5,4.7451447610529435e-05,3.126189164628355e-05
2021-01-02 22:45:00,139,33,1992.5,2380.5,4.831987618987695e-05,3.633628905187611e-05
2021-01-02 23:00:00,131,30,2073.0,2601.0,4.607858896808232e-05,3.3143201832156203e-05
2021-01-02 23:15:00,114,33,2333.5,2368.0,4.0515124935851054e-05,3.716735219782943e-05
2021-01-02 23:30:00,184,21,1496.0,3479.0,6.563173037343741e-05,2.3635207455219724e-05
