time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,156.0,23.0,1893.5,3959.5,5.0374921813923434e-05,2.0263603044826612e-05
2021-01-02 16:15:00,146.0,15.0,1937.5,5385.0,4.834408271738778e-05,1.3609058915430588e-05
2021-01-02 16:30:00,146.0,21.0,1905.0,4033.5,4.885076893117863e-05,1.9271482885546665e-05
2021-01-02 16:45:00,130.0,24.0,2151.0,3659.0,4.286003002180257e-05,2.171491751498103e-05
2021-01-02 17:00:00,126.0,21.0,2197.5,4088.0,4.1785681240915344e-05,1.887944217541519e-05
2021-01-02 17:15:00,108.0,15.0,2447.5,5254.0,3.6756960594155846e-05,1.4092936338448443e-05
2021-01-02 17:30:00,105.0,18.0,2563.5,4448.0,3.5502346366977275e-05,1.7096436247864137e-05
2021-01-02 17:45:00,269.0,43.0,1124.0,2094.5,9.001327779502939e-05,4.11802449745736e-05
2021-01-02 18:00:00,256.0,45.0,1139.5,2077.5,8.575714514463813e-05,4.192629915625652e-05
2021-01-02 18:15:00,216.0,27.0,1310.0,3143.5,7.269161222928684e-05,2.5848525724548534e-05
2021-01-02 18:30:00,212.0,31.0,1316.5,2755.0,7.305082649084847e-05,2.9992521219708765e-05
2021-01-02 18:45:00,170.0,27.0,1636.0,3116.0,5.8623115439259556e-05,2.636180701399812e-05
2021-01-02 19:00:00,167.0,30.0,1704.0,3015.5,5.593114641434463e-05,2.7629015992595424e-05
2021-01-02 19:15:00,130.0,21.0,2142.5,3864.0,4.4002315198738146e-05,2.0380434782608694e-05
2021-01-02 19:30:00,168.0,28.0,1669.0,2955.0,5.8101110457473624e-05,2.798323804041379e-05
2021-01-02 19:45:00,141.0,24.0,1923.5,3324.5,4.9489520857200625e-05,2.432532692225828e-05
2021-01-02 20:00:00,152.0,17.0,1811.0,4533.0,5.296318570774496e-05,1.7016352714959075e-05
2021-01-02 20:15:00,156.0,32.0,1726.0,2576.5,5.5068256397801796e-05,3.277811978559012e-05
2021-01-02 20:30:00,154.0,28.0,1758.0,2835.0,5.447110502418128e-05,2.9000307610405725e-05
2021-01-02 20:45:00,168.0,22.0,1602.0,3487.5,5.919467755284975e-05,2.3012672660421866e-05
