time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,5.0,0.0,28720.5,206850.5,1.6145808273693409e-06,0.0
2021-01-02 16:15:00,7.0,0.0,21606.5,200775.0,2.317866979600784e-06,0.0
2021-01-02 16:30:00,2.0,0.0,63242.5,199724.5,6.691886154955978e-07,0.0
2021-01-02 16:45:00,2.0,0.0,63410.5,199325.0,6.593850772585011e-07,0.0
2021-01-02 17:00:00,3.0,1.0,43006.5,92947.5,9.948971724027465e-07,8.990210559721519e-07
2021-01-02 17:15:00,2.0,1.0,62346.0,89902.0,6.806844554473304e-07,9.395290892298962e-07
2021-01-02 17:30:00,8.0,5.0,19144.0,12757.0,2.704940675579221e-06,4.749010068851148e-06
2021-01-02 17:45:00,3.0,2.0,41569.5,29890.0,1.0038655516174285e-06,1.9153602313755157e-06
2021-01-02 18:00:00,5.0,3.0,27776.5,20507.0,1.6749442411062138e-06,2.795086610417101e-06
2021-01-02 18:15:00,,,,,,
2021-01-02 18:30:00,2.0,0.0,60994.0,190796.5,6.891587404797029e-07,0.0
2021-01-02 18:45:00,3.0,1.0,40977.5,86179.5,1.0345255665751686e-06,9.763632227406709e-07
2021-01-02 19:00:00,,,,,,
2021-01-02 19:15:00,,,,,,
2021-01-02 19:30:00,3.0,0.0,40954.0,188190.5,1.037519829597743e-06,0.0
2021-01-02 19:45:00,,,,,,
2021-01-02 20:00:00,2.0,1.0,60927.5,86513.0,6.968840224703284e-07,1.0009619244093572e-06
2021-01-02 20:15:00,4.0,1.0,32220.0,84020.5,1.41200657430261e-06,1.0243162432996913e-06
2021-01-02 20:30:00,2.0,1.0,60625.0,83843.5,7.074169483659906e-07,1.0357252718002045e-06
2021-01-02 20:45:00,,,,,,
2021-01-02 21:00:00,,,,,,
2021-01-02 21:15:00,2.0,2.0,62252.5,28864.5,6.983774248100675e-07,2.0779630974533525e-06
2021-01-02 21:30:00,,,,,,
2021-01-02 21:45:00,,,,,,
2021-01-02 22:00:00,,,,,,
2021-01-02 22:15:00,,,,,,
2021-01-02 22:30:00,,,,,,
2021-01-02 22:45:00,3.0,2.0,42896.0,27702.0,1.0428750256807976e-06,2.20219933647734e-06
2021-01-02 23:00:00,3.0,2.0,43040.0,28239.0,1.0552348618644804e-06,2.209546788810413e-06
2021-01-02 23:15:00,,,,,,
2021-01-02 23:30:00,,,,,,
2021-01-02 23:45:00,,,,,,
2021-01-03 00:00:00,,,,,,
2021-01-03 00:15:00,,,,,,
2021-01-03 00:30:00,2.0,1.0,61822.0,77014.5,7.617019315618431e-07,1.2263829307118172e-06
2021-01-03 00:45:00,,,,,,
2021-01-03 01:00:00,,,,,,
2021-01-03 01:15:00,,,,,,
2021-01-03 01:30:00,,,,,,
2021-01-03 01:45:00,2.0,0.0,57986.5,166904.0,8.694525665805041e-07,0.0
2021-01-03 02:00:00,,,,,,
2021-01-03 02:15:00,,,,,,
2021-01-03 02:30:00,3.0,0.0,37902.5,160424.0,1.393315245005197e-06,0.0
2021-01-03 02:45:00,,,,,,
2021-01-03 03:00:00,,,,,,
2021-01-03 03:15:00,,,,,,
2021-01-03 03:30:00,,,,,,
2021-01-03 03:45:00,,,,,,
2021-01-03 04:00:00,,,,,,
2021-01-03 04:15:00,,,,,,
2021-01-03 04:30:00,,,,,,
2021-01-03 04:45:00,2.0,2.0,57493.0,23323.0,9.046400798978119e-07,2.980919136606581e-06
2021-01-03 05:00:00,,,,,,
2021-01-03 05:15:00,,,,,,
2021-01-03 05:30:00,,,,,,
2021-01-03 05:45:00,,,,,,
2021-01-03 06:00:00,,,,,,
2021-01-03 06:15:00,,,,,,
2021-01-03 06:30:00,,,,,,
2021-01-03 06:45:00,,,,,,
2021-01-03 07:00:00,2.0,1.0,62673.5,80443.0,8.109372731909814e-07,1.241972202178171e-06
2021-01-03 07:15:00,,,,,,
2021-01-03 07:30:00,2.0,0.0,64857.0,188116.0,7.707966723166062e-07,0.0
2021-01-03 07:45:00,,,,,,
2021-01-03 08:00:00,,,,,,
2021-01-03 08:15:00,,,,,,
2021-01-03 08:30:00,,,,,,
2021-01-03 08:45:00,2.0,0.0,71200.5,208190.5,6.480824697904458e-07,0.0
2021-01-03 09:00:00,2.0,2.0,72896.5,31850.0,5.994292833792945e-07,1.8302933685725815e-06
2021-01-03 09:15:00,,,,,,
2021-01-03 09:30:00,2.0,1.0,73824.5,93703.0,5.563237459280578e-07,9.476984196181154e-07
2021-01-03 09:45:00,,,,,,
2021-01-03 10:00:00,3.0,0.0,52914.5,233414.5,7.485556618504595e-07,0.0
2021-01-03 10:15:00,,,,,,
2021-01-03 10:30:00,,,,,,
2021-01-03 10:45:00,,,,,,
2021-01-03 11:00:00,,,,,,
2021-01-03 11:15:00,,,,,,
2021-01-03 11:30:00,3.0,2.0,51632.5,34597.5,8.044377074276147e-07,1.6313865725465376e-06
2021-01-03 11:45:00,,,,,,
2021-01-03 12:00:00,,,,,,
2021-01-03 12:15:00,,,,,,
2021-01-03 12:30:00,,,,,,
2021-01-03 12:45:00,,,,,,
2021-01-03 13:00:00,2.0,2.0,74712.5,35113.5,5.432770416826593e-07,1.523652805235271e-06
2021-01-03 13:15:00,45.0,16.0,6147.0,5840.5,1.2137964964977926e-05,1.2347527330480025e-05
2021-01-03 13:30:00,25.0,10.0,9676.5,8427.0,6.701408555661498e-06,7.718479274339453e-06
2021-01-03 13:45:00,24.0,10.0,10045.5,8379.5,6.3859950870411124e-06,7.80335544284042e-06
2021-01-03 14:00:00,8.0,3.0,22538.5,23253.0,2.1190890989553687e-06,2.290310611925189e-06
2021-01-03 14:15:00,18.0,6.0,12253.5,12422.5,4.823520773564105e-06,4.694626296010272e-06
2021-01-03 14:30:00,12.0,3.0,16475.0,22622.5,3.1986088184045817e-06,2.3321094940954877e-06
2021-01-03 14:45:00,12.0,4.0,15990.5,17013.0,3.27749662622691e-06,3.2107830939426966e-06
2021-01-03 15:00:00,11.0,3.0,17160.0,22652.0,3.0141057408576007e-06,2.3514860215913445e-06
2021-01-03 15:15:00,8.0,3.0,21366.0,22365.5,2.210877350749888e-06,2.386906386327164e-06
2021-01-03 15:30:00,9.0,4.0,19780.0,17321.5,2.49174609107332e-06,3.1378874016174235e-06
2021-01-03 15:45:00,14.0,6.0,14175.5,12316.0,3.903526027178021e-06,4.8001420842056916e-06
2021-01-03 16:00:00,8.0,2.0,21340.5,34070.0,2.213087090509729e-06,1.5327949135733588e-06
2021-01-03 16:15:00,6.0,1.0,26235.5,97183.5,1.6609387348906481e-06,7.748586270434959e-07
2021-01-03 16:30:00,3.0,0.0,44921.0,204976.5,8.608291736154709e-07,0.0
2021-01-03 16:45:00,11.0,4.0,16399.5,16705.5,3.1793423674828425e-06,3.313175421870768e-06
2021-01-03 17:00:00,6.0,3.0,25889.5,21824.0,1.740293152381519e-06,2.4653089936115627e-06
2021-01-03 17:15:00,8.0,2.0,20790.5,32161.0,2.336495682886133e-06,1.6754824970720944e-06
2021-01-03 17:30:00,6.0,2.0,25751.0,32181.0,1.764790488485183e-06,1.6820787128733691e-06
2021-01-03 17:45:00,9.0,6.0,18970.0,11676.5,2.648820289021611e-06,5.138253267929079e-06
2021-01-03 18:00:00,9.0,3.0,19022.0,21549.0,2.68173204133443e-06,2.5467563238081812e-06
2021-01-03 18:15:00,7.0,5.0,22831.5,13452.5,2.077248725607907e-06,4.326487100146063e-06
2021-01-03 18:30:00,8.0,2.0,20373.0,31242.5,2.3911382027069483e-06,1.7579697558883197e-06
2021-01-03 18:45:00,5.0,2.0,29238.5,31544.5,1.5040308025508362e-06,1.7577874377962971e-06
2021-01-03 19:00:00,28.0,23.0,8293.5,4086.0,8.310028156156113e-06,1.9347013073533788e-05
2021-01-03 19:15:00,21.0,17.0,10151.0,5006.5,6.279378520937242e-06,1.4911129667183585e-05
2021-01-03 19:30:00,19.0,14.0,10883.5,5873.0,5.735888883153e-06,1.2171669222717204e-05
2021-01-03 19:45:00,7.0,2.0,22493.0,31369.0,2.1189782044929e-06,1.7552605157657502e-06
2021-01-03 20:00:00,6.0,3.0,25533.5,20899.5,1.8447552378750389e-06,2.700007560021168e-06
2021-01-03 20:15:00,5.0,4.0,29329.0,15847.0,1.532189461968606e-06,3.670741801857028e-06
2021-01-03 20:30:00,9.0,5.0,19187.5,13201.5,2.7252180780066423e-06,4.557062626800268e-06
2021-01-03 20:45:00,10.0,5.0,17656.0,13124.0,3.0869294775526205e-06,4.6787390611080745e-06
2021-01-03 21:00:00,3.0,3.0,44765.5,20582.5,9.226647048764677e-07,2.785375663615752e-06
