time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,54,15,4656.0,5596.0,1.743747293558888e-05,1.3215393290104315e-05
2021-01-02 16:15:00,54,20,4544.0,4266.0,1.7880688128348904e-05,1.8145411887240782e-05
2021-01-02 16:30:00,47,15,5103.5,5344.5,1.5725932464146546e-05,1.3765344918247614e-05
2021-01-02 16:45:00,67,29,3824.5,3136.5,2.2089400088159784e-05,2.623885866393541e-05
2021-01-02 17:00:00,67,18,3779.5,4659.5,2.221937018366133e-05,1.6182379007498734e-05
2021-01-02 17:15:00,63,20,3919.0,4119.5,2.1441560346590912e-05,1.879058178459792e-05
2021-01-02 17:30:00,59,25,4167.5,3357.0,1.9948937482396752e-05,2.374505034425574e-05
2021-01-02 17:45:00,44,17,5183.0,4656.5,1.4723361423722281e-05,1.6280561966691887e-05
2021-01-02 18:00:00,59,29,4152.0,3035.0,1.976434204505332e-05,2.7019170567365313e-05
2021-01-02 18:15:00,59,25,4093.5,3348.0,1.9855579266332986e-05,2.3933820115322722e-05
2021-01-02 18:30:00,55,28,4263.0,3025.0,1.8951865363191825e-05,2.709001916618856e-05
2021-01-02 18:45:00,87,38,2953.0,2333.0,3.0001241430679888e-05,3.71018024641455e-05
2021-01-02 19:00:00,51,23,4609.5,3721.0,1.7080769264260933e-05,2.118224559432316e-05
2021-01-02 19:15:00,414,52,730.5,1764.5,0.00014013044994059688,5.0465838509316775e-05
2021-01-02 19:30:00,323,57,928.5,1585.5,0.000111706301653357,5.696587743941379e-05
2021-01-02 19:45:00,229,56,1222.5,1566.0,8.037659770424782e-05,5.6759096151935985e-05
2021-01-02 20:00:00,209,38,1346.5,2272.0,7.282438034814932e-05,3.803655312755558e-05
2021-01-02 20:15:00,172,39,1562.0,2193.0,6.071628269501223e-05,3.9948333488687956e-05
2021-01-02 20:30:00,176,41,1531.5,2064.5,6.225269145620718e-05,4.246473614380839e-05
2021-01-02 20:45:00,171,38,1560.5,2205.5,6.025172536629351e-05,3.97491618680014e-05
2021-01-02 21:00:00,120,18,2240.5,4256.0,4.177020746913965e-05,1.843183956926839e-05
2021-01-02 21:15:00,140,39,1949.0,2123.5,4.888641973670473e-05,4.052028040034037e-05
2021-01-02 21:30:00,111,29,2412.5,2751.5,3.834304172241089e-05,3.034602843736789e-05
2021-01-02 21:45:00,123,37,2207.5,2203.0,4.269896328305733e-05,3.9256877911109706e-05
2021-01-02 22:00:00,121,36,2336.0,2352.0,4.094963905092951e-05,3.738935088971077e-05
2021-01-02 22:15:00,97,27,2735.0,2910.0,3.3340746207146396e-05,2.861973383647532e-05
2021-01-02 22:30:00,132,29,2163.0,2680.5,4.5061806363956016e-05,3.126189164628355e-05
2021-01-02 22:45:00,165,65,1687.5,1298.5,5.735812641244386e-05,7.157147843551355e-05
2021-01-02 23:00:00,142,38,1934.5,2111.0,4.994778346158541e-05,4.198138898739785e-05
2021-01-02 23:15:00,116,33,2290.5,2368.0,4.12259166013923e-05,3.716735219782943e-05
2021-01-02 23:30:00,160,29,1689.5,2630.5,5.7071069889945566e-05,3.263909600958915e-05
2021-01-02 23:45:00,138,38,1881.0,2023.0,5.061905638742799e-05,4.4017296480817147e-05
2021-01-03 00:00:00,88,32,2803.0,2373.0,3.2151744542698075e-05,3.7163539316121204e-05
2021-01-03 00:15:00,85,28,2849.5,2583.0,3.16567779582421e-05,3.361187171308906e-05
2021-01-03 00:30:00,51,13,4382.0,4912.5,1.9423399254826998e-05,1.5942978099253626e-05
2021-01-03 00:45:00,48,14,4529.5,4486.0,1.8077291720412092e-05,1.6612734610377977e-05
2021-01-03 01:00:00,77,20,2959.0,3437.0,3.005045744991818e-05,2.3595145062951848e-05
2021-01-03 01:15:00,48,13,4315.0,4675.5,1.94651464387298e-05,1.6561712124319856e-05
2021-01-03 01:30:00,65,23,3200.5,2798.5,2.7223500330660823e-05,2.9889655190338623e-05
2021-01-03 01:45:00,54,15,3706.5,3989.5,2.3475219297673612e-05,2.043474233152236e-05
2021-01-03 02:00:00,34,11,5465.5,5097.0,1.4713200770279333e-05,1.5207716671943286e-05
2021-01-03 02:15:00,34,11,5355.0,4872.5,1.530141997177338e-05,1.5932884895045747e-05
2021-01-03 02:30:00,38,12,4725.5,4420.0,1.764865977006583e-05,1.797782435365976e-05
2021-01-03 02:45:00,35,9,4995.5,5619.0,1.6439210617287658e-05,1.37774151426039e-05
2021-01-03 03:00:00,20,5,8324.0,10069.0,8.984665422290505e-06,6.867358346999376e-06
2021-01-03 03:15:00,25,9,6643.5,5679.0,1.153770360008658e-05,1.3642730243810747e-05
2021-01-03 03:30:00,23,4,7189.5,11473.0,1.0701965159985074e-05,6.1457904408375484e-06
