time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,308,102,990.0,1069.0,9.94581789659514e-05,8.986467437270933e-05
2021-01-02 16:15:00,295,81,1010.0,1271.0,9.76815369974616e-05,7.348891814332516e-05
2021-01-02 16:30:00,303,102,963.5,1043.0,0.00010138207524758304,9.36043454440838e-05
2021-01-02 16:45:00,310,125,980.5,864.5,0.00010220468697506768,0.00011309852872385954
2021-01-02 17:00:00,284,103,1045.5,1044.5,9.418359898746e-05,9.259916876513164e-05
2021-01-02 17:15:00,293,92,999.0,1114.0,9.972027272303392e-05,8.643667620915045e-05
2021-01-02 17:30:00,261,88,1129.5,1142.5,8.824868954077208e-05,8.35825772117802e-05
2021-01-02 17:45:00,728,104,411.5,981.0,0.0002436047071924959,9.959873203152684e-05
2021-01-02 18:00:00,482,115,610.0,918.0,0.000161464624842639,0.00010714498673265556
2021-01-02 18:15:00,427,91,696.5,1103.0,0.00014370054824956242,8.711910521977471e-05
2021-01-02 18:30:00,361,100,815.5,976.5,0.00012439315265658633,9.675006845067344e-05
2021-01-02 18:45:00,358,104,816.0,944.5,0.0001234533842779701,0.0001015417751650298
2021-01-02 19:00:00,330,83,930.0,1245.5,0.00011052262465110017,7.6440277579514e-05
2021-01-02 19:15:00,323,90,941.5,1075.0,0.00010932882930148017,8.734472049689441e-05
2021-01-02 19:30:00,302,104,990.5,919.0,0.00010444366284617281,0.00010393774129296552
2021-01-02 19:45:00,297,77,969.0,1198.0,0.00010424388435878428,7.804375720891197e-05
2021-01-02 20:00:00,311,92,958.0,1036.0,0.00010836546549413609,9.208849704566087e-05
2021-01-02 20:15:00,326,74,867.5,1236.5,0.00011507853580566272,7.579940200417716e-05
2021-01-02 20:30:00,300,86,949.5,1069.5,0.00010611254225489859,8.907237337481759e-05
2021-01-02 20:45:00,279,80,1017.0,1141.5,9.830544665026833e-05,8.368244603789769e-05
2021-01-02 21:00:00,302,91,948.0,1017.5,0.0001051216887973348,9.318318893352352e-05
2021-01-02 21:15:00,257,74,1107.5,1214.0,8.974149908809368e-05,7.688463460577404e-05
2021-01-02 21:30:00,271,79,1093.0,1140.0,9.361229105201216e-05,8.266676712248493e-05
2021-01-02 21:45:00,287,70,1015.0,1254.0,9.963091432713376e-05,7.426976902101835e-05
2021-01-02 22:00:00,288,92,1025.5,995.5,9.746690947659254e-05,9.555056338481641e-05
2021-01-02 22:15:00,288,55,1006.0,1531.5,9.899108152224909e-05,5.8299457815042324e-05
2021-01-02 22:30:00,512,76,565.5,1128.5,0.0001747851883207991,8.19277160385362e-05
2021-01-02 22:45:00,350,78,806.0,1110.5,0.00012166875299609304,8.588577412261625e-05
2021-01-02 23:00:00,281,72,1010.5,1186.0,9.884033206130632e-05,7.954368439717487e-05
2021-01-02 23:15:00,290,77,950.0,1114.5,0.00010306479150348076,8.672382179493533e-05
2021-01-02 23:30:00,312,90,881.0,956.0,0.00011128858628539387,0.00010129374623665596
2021-01-02 23:45:00,281,74,954.0,1105.0,0.00010307213655700915,8.571789314685444e-05
2021-01-03 00:00:00,263,67,1043.5,1212.5,9.608987289465445e-05,7.781116044312876e-05
2021-01-03 00:15:00,208,44,1281.0,1730.0,7.746599782722774e-05,5.281865554913996e-05
2021-01-03 00:30:00,226,58,1153.5,1331.0,8.607231826648828e-05,7.11302099812854e-05
2021-01-03 00:45:00,221,63,1191.0,1236.5,8.323086396273065e-05,7.475730574670091e-05
2021-01-03 01:00:00,225,52,1087.0,1458.0,8.780977826274792e-05,6.13473771636748e-05
2021-01-03 01:15:00,212,66,1145.0,1129.5,8.597106343772329e-05,8.408253847731619e-05
2021-01-03 01:30:00,192,50,1198.0,1429.0,8.041403174595197e-05,6.497751128334483e-05
2021-01-03 01:45:00,221,65,1025.0,1101.0,9.607450860714567e-05,8.855055010326357e-05
2021-01-03 02:00:00,183,64,1247.0,1119.5,7.919163944003289e-05,8.848126063676092e-05
2021-01-03 02:15:00,179,56,1193.0,1229.0,8.05574757337481e-05,8.111286855659651e-05
2021-01-03 02:30:00,177,51,1167.5,1256.0,8.220559945530663e-05,7.640575350305398e-05
2021-01-03 02:45:00,216,50,968.0,1272.0,0.000101453414095261,7.654119523668833e-05
2021-01-03 03:00:00,261,85,825.0,845.5,0.00011724988376089109,0.0001167450918989894
2021-01-03 03:15:00,245,55,855.5,1184.0,0.00011306949528084849,8.337224037884346e-05
2021-01-03 03:30:00,239,52,869.5,1226.0,0.0001112073770972362,7.989527573088813e-05
2021-01-03 03:45:00,190,53,1071.5,1147.5,9.023899084311711e-05,8.338997558089772e-05
2021-01-03 04:00:00,216,55,970.5,1182.5,0.00010016764167808624,8.19031309333234e-05
2021-01-03 04:15:00,241,67,838.5,944.0,0.00011493912995370957,0.00010480261912694724
2021-01-03 04:30:00,243,69,840.0,955.0,0.00011272247031989523,0.00010410191728574618
2021-01-03 04:45:00,259,55,812.5,1189.5,0.00011715089034676665,8.197527625668098e-05
2021-01-03 05:00:00,222,57,962.0,1208.5,9.864018725639872e-05,8.097672132358581e-05
2021-01-03 05:15:00,216,55,984.5,1211.0,9.663218925593214e-05,8.077235999212837e-05
2021-01-03 05:30:00,211,65,993.0,1068.0,9.442405799695694e-05,9.364658355652437e-05
2021-01-03 05:45:00,238,67,882.0,984.5,0.000107559926244622,9.994391207322458e-05
2021-01-03 06:00:00,218,60,990.5,1157.5,9.552726448914166e-05,8.187057898873459e-05
2021-01-03 06:15:00,226,55,939.5,1198.5,0.00010041418630297182,7.998743470116694e-05
2021-01-03 06:30:00,221,58,988.0,1206.0,9.615430634239896e-05,8.010972269605128e-05
2021-01-03 06:45:00,210,62,1039.0,1103.0,9.120743001784191e-05,8.692299603939574e-05
2021-01-03 07:00:00,245,58,958.5,1307.0,9.933981596589524e-05,7.203438772633392e-05
2021-01-03 07:15:00,229,57,1013.5,1270.5,9.254712730079636e-05,7.415897863570897e-05
2021-01-03 07:30:00,230,71,1106.0,1113.0,8.864161731640972e-05,8.57065600525345e-05
2021-01-03 07:45:00,283,80,912.5,1002.0,0.00010477492273312237,9.609632695814283e-05
2021-01-03 08:00:00,310,86,901.5,1043.5,0.00010721093855914032,9.392327342266236e-05
2021-01-03 08:15:00,322,86,915.0,1006.5,0.00010837992211455286,9.65747409887906e-05
2021-01-03 08:30:00,304,88,992.0,1066.5,9.879839699600874e-05,9.295594627568832e-05
2021-01-03 08:45:00,292,60,1036.5,1513.5,9.462004058940507e-05,6.285276112179608e-05
2021-01-03 09:00:00,336,93,1002.5,1094.5,0.00010070411960772149,8.510864163862504e-05
2021-01-03 09:15:00,357,97,999.0,1040.0,0.00010058774801782967,9.267327035372529e-05
2021-01-03 09:30:00,364,104,964.5,965.5,0.00010125092175890652,9.8560635640284e-05
2021-01-03 09:45:00,350,88,1000.5,1163.0,9.65658427301095e-05,8.14431730260211e-05
2021-01-03 10:00:00,385,122,1047.0,988.5,9.606464327080896e-05,0.00010109648250533656
2021-01-03 10:15:00,329,113,1196.5,996.5,8.271288196570055e-05,9.440101719184542e-05
2021-01-03 10:30:00,362,82,1114.5,1418.5,9.121365564174098e-05,6.600654752753158e-05
2021-01-03 10:45:00,344,88,1098.0,1275.0,8.926375050989322e-05,7.371264632588528e-05
2021-01-03 11:00:00,328,104,1152.0,1168.5,8.539451746369952e-05,8.246539823254449e-05
2021-01-03 11:15:00,321,91,1141.0,1251.0,8.476113598934069e-05,7.479443858143717e-05
2021-01-03 11:30:00,371,105,964.5,1115.5,9.948212981854836e-05,8.564779505869321e-05
2021-01-03 11:45:00,367,119,1013.5,1056.5,9.618958206543931e-05,9.279642414048286e-05
2021-01-03 12:00:00,384,121,967.0,1124.5,9.98971371665738e-05,8.770537372999357e-05
2021-01-03 12:15:00,384,100,953.5,1265.0,0.00010020929128022591,7.581874770174421e-05
2021-01-03 12:30:00,362,106,995.0,1167.0,9.553407241166e-05,8.199035453093395e-05
2021-01-03 12:45:00,357,110,969.5,1114.0,9.71022987677256e-05,8.678569456169279e-05
2021-01-03 13:00:00,340,117,1028.0,1078.5,9.23570970860521e-05,8.913368910626336e-05
2021-01-03 13:15:00,417,87,866.0,1410.5,0.00011247847534212877,6.713967985948514e-05
2021-01-03 13:30:00,475,113,781.0,1086.5,0.00012732676255756842,8.721881580003582e-05
2021-01-03 13:45:00,361,98,1022.5,1254.0,9.605600943424342e-05,7.647288333983613e-05
