time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,873,146,339.0,750.0,0.00028190581245868685,0.00012862982802368201
2021-01-02 16:15:00,837,168,343.0,655.0,0.00027715066598940803,0.00015242145985282257
2021-01-02 16:30:00,868,147,333.0,726.0,0.00029042785912508943,0.00013490038019882663
2021-01-02 16:45:00,912,164,318.0,676.0,0.0003006795952298765,0.00014838526968570368
2021-01-02 17:00:00,890,156,321.0,705.0,0.00029515282781281474,0.0001402472847316557
2021-01-02 17:15:00,909,169,307.5,627.0,0.0003093710850008117,0.00015878041607985245
2021-01-02 17:30:00,914,164,305.0,633.0,0.00030903947218492597,0.00015576753025831766
2021-01-02 17:45:00,871,174,334.0,596.0,0.0002914556318195933,0.00016663634012966988
2021-01-02 18:00:00,835,175,347.5,610.5,0.00027971568826473767,0.00016304671894099758
2021-01-02 18:15:00,918,165,330.0,632.5,0.00030893935197446915,0.00015796321276112995
2021-01-02 18:30:00,1010,175,289.0,609.5,0.0003480251639422499,0.0001693126197886785
2021-01-02 18:45:00,1156,148,250.0,689.5,0.00039863718498696495,0.00014450175696561931
2021-01-02 19:00:00,1256,152,238.0,721.0,0.0004206558077629752,0.00013998701436248348
2021-01-02 19:15:00,1312,166,220.0,623.5,0.00044408490415957265,0.00016110248447204968
2021-01-02 19:30:00,1213,148,230.0,676.5,0.0004195038511006875,0.00014791140107075858
2021-01-02 19:45:00,1165,151,238.0,659.5,0.0004089027787137498,0.00015304684855254168
2021-01-02 20:00:00,1204,146,230.0,682.0,0.00041952418152713767,0.0001461404409637662
2021-01-02 20:15:00,1217,174,220.0,574.0,0.00042960300023156913,0.0001782310263341463
2021-01-02 20:30:00,1249,158,222.0,630.5,0.0004417818842545612,0.00016364459294443233
2021-01-02 20:45:00,1178,151,236.0,638.0,0.00041506744141224413,0.00015795061689653192
2021-01-02 21:00:00,1238,163,227.0,613.5,0.00043092930705662403,0.00016691054721059708
2021-01-02 21:15:00,1108,169,245.0,569.5,0.00038690109334477737,0.00017558788173480827
2021-01-02 21:30:00,1061,131,261.0,724.0,0.00036650420961691847,0.00013708033535500669
2021-01-02 21:45:00,1064,145,258.0,641.0,0.0003693633897005935,0.000153844521543538
2021-01-02 22:00:00,981,136,277.0,711.5,0.00033199666040464334,0.0001412486589166851
2021-01-02 22:15:00,996,121,283.0,770.5,0.0003423441569311115,0.0001282588071930931
2021-01-02 22:30:00,1066,129,271.0,714.0,0.0003639082241210388,0.00013906151801277856
2021-01-02 22:45:00,988,133,280.0,697.0,0.00034345350845754264,0.0001464462558757431
2021-01-02 23:00:00,961,121,284.0,748.5,0.00033802690075058854,0.00013367758072303
2021-01-02 23:15:00,971,121,272.0,738.0,0.0003450893536202752,0.00013628029139204124
2021-01-02 23:30:00,979,120,263.0,727.5,0.00034920360888910447,0.00013505832831554128
2021-01-02 23:45:00,915,123,270.0,697.5,0.0003356263521340334,0.00014247703860896077
2021-01-03 00:00:00,825,115,311.5,744.5,0.00030142260508779435,0.00013355646941731058
2021-01-03 00:15:00,806,109,300.5,752.0,0.0003001807415805075,0.00013084621488309672
2021-01-03 00:30:00,723,81,336.0,983.0,0.0002753552482596063,9.93370173876572e-05
2021-01-03 00:45:00,645,97,396.0,818.0,0.0002429136074930374,0.00011510251837190456
2021-01-03 01:00:00,646,105,381.5,777.5,0.0002521116300343785,0.0001238745115804972
2021-01-03 01:15:00,538,81,455.0,939.0,0.00021817184966742983,0.00010319220631306988
2021-01-03 01:30:00,506,82,466.5,913.0,0.00021192447949714425,0.00010656311850468552
2021-01-03 01:45:00,479,83,462.0,878.0,0.00020823388969603068,0.00011307224090109041
2021-01-03 02:00:00,456,74,491.0,975.0,0.00019732998680139341,0.00010230645761125482
2021-01-03 02:15:00,446,76,480.5,900.0,0.0002007186266885567,0.00011008175018395241
2021-01-03 02:30:00,386,58,528.0,1110.0,0.00017927322819066867,8.689281770935552e-05
2021-01-03 02:45:00,320,47,635.5,1338.0,0.00015030135421520148,7.194872352248704e-05
2021-01-03 03:00:00,377,70,561.5,1029.5,0.00016936094321017602,9.614301685799128e-05
2021-01-03 03:15:00,353,65,609.5,999.0,0.00016291237483322249,9.85308295386332e-05
2021-01-03 03:30:00,326,63,633.5,1015.5,0.00015168872357196233,9.67961994431914e-05
2021-01-03 03:45:00,322,50,623.0,1210.0,0.0001529313423762301,7.866978828386577e-05
