time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,456,245,677.0,468.5,0.00014724977145608392,0.00021585142373837049
2021-01-02 16:15:00,433,221,703.0,504.5,0.00014337662888101992,0.00020050680135401064
2021-01-02 16:30:00,468,242,642.0,453.5,0.00015659013602596988,0.00022208089801439488
2021-01-02 16:45:00,393,215,768.5,519.5,0.00012956916768129542,0.0001945294694050384
2021-01-02 17:00:00,431,251,700.5,463.5,0.00014293356043519454,0.0002256542850490101
2021-01-02 17:15:00,443,221,664.5,495.0,0.00015077160688158368,0.00020763592871980702
2021-01-02 17:30:00,415,220,710.5,491.5,0.0001403187975456721,0.0002089564430294505
2021-01-02 17:45:00,394,196,776.0,536.0,0.00013184100911242224,0.00018770530267480057
2021-01-02 18:00:00,447,224,667.0,494.0,0.0001497400151548955,0.0002086998002444769
2021-01-02 18:15:00,456,200,646.5,530.0,0.00015346007026182778,0.00019147056092258172
2021-01-02 18:30:00,484,218,599.5,493.5,0.00016677641519608806,0.0002109151492224681
2021-01-02 18:45:00,391,196,746.5,531.5,0.00013483316551029698,0.00019136719165717156
2021-01-02 19:00:00,408,207,742.0,554.0,0.0001366461541140875,0.00019064021034890843
2021-01-02 19:15:00,419,196,722.5,547.5,0.00014182284667900991,0.00019021739130434785
2021-01-02 19:30:00,406,188,725.5,544.5,0.00014041101693889458,0.00018788745541420691
2021-01-02 19:45:00,428,188,669.5,541.5,0.00015022351011972955,0.00019054839422435652
2021-01-02 20:00:00,377,189,777.5,561.5,0.00013136263823565692,0.00018918180371336853
2021-01-02 20:15:00,370,187,774.5,534.0,0.00013061060812299141,0.00019154713749704232
2021-01-02 20:30:00,377,178,747.5,563.0,0.00013334809476698924,0.0001843590983804364
2021-01-02 20:45:00,412,178,683.5,557.5,0.00014516789971294106,0.0001861934424343224
2021-01-02 21:00:00,386,172,732.5,581.0,0.00013436083402573254,0.00017612646699523128
2021-01-02 21:15:00,388,187,733.0,524.0,0.0001354852204131531,0.00019428954961188844
2021-01-02 21:30:00,396,178,712.5,548.5,0.00013679139209076316,0.0001862618297190167
2021-01-02 21:45:00,333,152,852.0,617.0,0.0001155996323029113,0.00016127149844563985
2021-01-02 22:00:00,367,162,808.5,609.5,0.0001242026242288523,0.00016825207900369844
2021-01-02 22:15:00,377,173,753.0,559.5,0.0001295820754648886,0.0001833782945818604
2021-01-02 22:30:00,378,171,770.0,554.5,0.00012904062731496497,0.00018433736108670648
2021-01-02 22:45:00,352,153,800.5,611.0,0.00012236400301321356,0.0001684682492405165
2021-01-02 23:00:00,399,176,689.5,531.0,0.00014034623662797588,0.00019444011741531642
2021-01-02 23:15:00,358,161,757.0,570.0,0.00012723170813188313,0.00018133162738941024
2021-01-02 23:30:00,358,137,766.0,662.0,0.00012769651887875326,0.00015419159149357632
2021-01-02 23:45:00,347,159,772.0,561.5,0.00012728125048143125,0.00018417763527499805
2021-01-03 00:00:00,358,165,758.5,546.5,0.00013079914257143075,0.00019162449959874992
2021-01-03 00:15:00,357,142,746.5,606.5,0.00013295846742461686,0.00017046020654495168
2021-01-03 00:30:00,419,141,620.5,591.5,0.00015957655466220612,0.00017291999323036623
2021-01-03 00:45:00,415,153,647.0,550.0,0.00015629325133272948,0.00018155345681341643
2021-01-03 01:00:00,372,127,672.0,649.0,0.00014517883339440992,0.00014982917114974423
2021-01-03 01:15:00,376,146,642.0,557.5,0.00015247698043671678,0.00018600076693466917
2021-01-03 01:30:00,336,117,699.5,664.5,0.00014072455555541594,0.0001520473764030269
2021-01-03 01:45:00,338,119,665.5,644.5,0.00014693748375210514,0.0001621156224967441
2021-01-03 02:00:00,342,141,671.0,536.5,0.00014799749010104506,0.00019493527734036392
2021-01-03 02:15:00,298,111,724.5,630.5,0.00013411244563495494,0.0001607772930318252
2021-01-03 02:30:00,315,133,666.0,520.5,0.0001462981007255457,0.00019925421991972902
2021-01-03 02:45:00,405,153,501.0,452.5,0.00019022515142861441,0.0002342160574242663
2021-01-03 03:00:00,448,138,463.5,556.0,0.00020125650545930733,0.00018953909037718278
2021-01-03 03:15:00,355,113,605.5,594.0,0.00016383539112122943,0.00017129205750562382
2021-01-03 03:30:00,423,147,483.0,468.5,0.0001968230983771168,0.00022585779870077987
2021-01-03 03:45:00,382,127,530.0,517.5,0.00018142786580037235,0.00019982126224101903
2021-01-03 04:00:00,400,131,497.0,530.5,0.00018549563273719674,0.00019507836640482483
2021-01-03 04:15:00,339,118,574.5,557.0,0.0001616778632958819,0.00018457774711910118
2021-01-03 04:30:00,410,125,500.0,556.0,0.00019019017625990556,0.00018859042986548225
2021-01-03 04:45:00,476,99,438.0,676.5,0.00021530433901567926,0.00014755549726202578
2021-01-03 05:00:00,491,147,433.0,499.0,0.0002181636574004134,0.0002088347023608266
2021-01-03 05:15:00,413,128,507.0,545.5,0.0001847643248273147,0.00018797931052713508
2021-01-03 05:30:00,417,138,506.5,541.5,0.00018661057907455472,0.00019881890047385167
2021-01-03 05:45:00,413,129,493.0,526.0,0.00018664810730684405,0.00019242932324546223
2021-01-03 06:00:00,421,137,493.0,570.0,0.00018448155206389285,0.00018693782202427732
2021-01-03 06:15:00,398,147,506.5,484.5,0.00017683560242735745,0.00021378459820130076
2021-01-03 06:30:00,390,119,530.0,624.5,0.00016968407001599818,0.00016436305173845006
