time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,158,34,1873.0,2781.0,5.102075414487117e-05,2.9954891457569782e-05
2021-01-02 16:15:00,135,22,2063.0,3910.5,4.470172032087226e-05,1.995995307596486e-05
2021-01-02 16:30:00,113,32,2363.0,2857.0,3.780915677550128e-05,2.9366069158928248e-05
2021-01-02 16:45:00,128,32,2180.5,2881.5,4.220064494454407e-05,2.8953223353308046e-05
2021-01-02 17:00:00,102,21,2631.5,4088.0,3.3826503861693374e-05,1.887944217541519e-05
2021-01-02 17:15:00,115,22,2315.0,3797.0,3.91393561882215e-05,2.066963996305772e-05
2021-01-02 17:30:00,99,28,2691.5,3066.0,3.3473640860292855e-05,2.659445638556643e-05
2021-01-02 17:45:00,97,26,2705.0,3234.5,3.245831950229685e-05,2.489968300788171e-05
2021-01-02 18:00:00,109,22,2489.0,3858.5,3.651378445611546e-05,2.049730180972541e-05
2021-01-02 18:15:00,86,14,2992.5,5428.0,2.8942030794993835e-05,1.3402939264580724e-05
2021-01-02 18:30:00,89,18,2877.0,4438.0,3.066756395134677e-05,1.7415012321121217e-05
2021-01-02 18:45:00,110,31,2388.0,2771.5,3.7932604107756185e-05,3.0267259904960804e-05
2021-01-02 19:00:00,82,21,3181.5,4006.5,2.7463197640576405e-05,1.93403111948168e-05
2021-01-02 19:15:00,101,21,2637.5,3864.0,3.418641411594272e-05,2.0380434782608694e-05
2021-01-02 19:30:00,96,18,2691.0,4291.5,3.3200634547127774e-05,1.7989224454551723e-05
2021-01-02 19:45:00,111,21,2345.0,3708.0,3.895983556843453e-05,2.1284661056976e-05
2021-01-02 20:00:00,95,21,2723.5,3800.0,3.31019910673406e-05,2.1020200412596507e-05
2021-01-02 20:15:00,88,20,2884.5,3838.5,3.106414463465742e-05,2.0486324865993827e-05
2021-01-02 20:30:00,95,21,2686.5,3687.0,3.360230504738456e-05,2.1750230707804294e-05
2021-01-02 20:45:00,79,19,3180.0,3964.0,2.7835592420685303e-05,1.98745809340007e-05
2021-01-02 21:00:00,64,13,3907.0,5632.0,2.2277443983541145e-05,1.3311884133360506e-05
2021-01-02 21:15:00,83,21,3100.5,3712.5,2.8982663129617798e-05,2.1818612523260198e-05
2021-01-02 21:30:00,61,18,4085.5,4188.0,2.1071401306910488e-05,1.883546592664214e-05
2021-01-02 21:45:00,57,17,4322.5,4374.0,1.978732444824608e-05,1.8036943905104456e-05
2021-01-02 22:00:00,58,10,4427.5,6951.5,1.962875260292489e-05,1.0385930802697434e-05
2021-01-02 22:15:00,75,22,3416.0,3469.5,2.5778927479752372e-05,2.331978312601693e-05
2021-01-02 22:30:00,47,9,5109.0,7266.5,1.6044734084135856e-05,9.701966372984551e-06
2021-01-02 22:45:00,73,21,3533.5,3485.5,2.5376625624899413e-05,2.312309303301207e-05
2021-01-02 23:00:00,62,15,4007.0,4673.5,2.1808187145199265e-05,1.6571600916078102e-05
2021-01-02 23:15:00,52,14,4632.0,4920.0,1.8480583304072408e-05,1.576796759907915e-05
2021-01-02 23:30:00,38,11,5984.0,6035.0,1.3554379098862075e-05,1.238034676225795e-05
2021-01-02 23:45:00,61,9,3933.0,6981.0,2.237509014226889e-05,1.0425149166509324e-05
2021-01-03 00:00:00,42,14,5426.5,4801.5,1.534515080446953e-05,1.6259048450803023e-05
2021-01-03 00:15:00,48,10,4731.5,6223.0,1.7876768729360247e-05,1.2004239897531807e-05
2021-01-03 00:30:00,39,11,5523.0,5640.0,1.485318766545594e-05,1.3490212237829988e-05
2021-01-03 00:45:00,30,12,6691.5,5111.5,1.1298307325257554e-05,1.4239486808895407e-05
2021-01-03 01:00:00,50,9,4276.0,6687.0,1.9513284058388432e-05,1.0617815278328333e-05
2021-01-03 01:15:00,33,6,5896.5,8886.5,1.3382288176626738e-05,7.643867134301471e-06
2021-01-03 01:30:00,25,11,7311.5,5244.0,1.0470577050254165e-05,1.4295052482335865e-05
2021-01-03 01:45:00,34,8,5493.0,6745.5,1.4780693631868567e-05,1.0898529243478592e-05
2021-01-03 02:00:00,29,11,6271.0,5097.0,1.254949477465002e-05,1.5207716671943286e-05
2021-01-03 02:15:00,29,4,6088.0,11958.0,1.3051211152394944e-05,5.793776325471178e-06
2021-01-03 02:30:00,17,8,9295.0,6288.0,7.89545305502945e-06,1.1985216235773171e-05
2021-01-03 02:45:00,30,11,5710.0,4728.5,1.409075195767514e-05,1.6839062952071435e-05
2021-01-03 03:00:00,19,5,8675.5,10069.0,8.535432151175981e-06,6.867358346999376e-06
2021-01-03 03:15:00,17,2,9169.0,22939.5,7.845638448058874e-06,3.0317178319579436e-06
2021-01-03 03:30:00,35,10,5078.5,5145.5,1.6285599156499026e-05,1.536447610209387e-05
2021-01-03 03:45:00,22,6,7279.0,7793.5,1.0448725255518827e-05,9.440374594063894e-06
2021-01-03 04:00:00,40,9,4569.0,5771.0,1.8549563273719674e-05,1.3402330516362014e-05
2021-01-03 04:15:00,17,11,9065.0,4716.5,8.107739457315613e-06,1.7206400155170444e-05
2021-01-03 04:30:00,14,5,10915.0,9570.5,6.49429870155775e-06,7.543617194619288e-06
2021-01-03 04:45:00,17,9,9497.0,5772.0,7.6894406791314e-06,1.3414136114729614e-05
2021-01-03 05:00:00,31,15,5872.5,3878.5,1.3774080202470093e-05,2.1309663506206797e-05
2021-01-03 05:15:00,26,10,6705.5,5303.5,1.1631652410436275e-05,1.468588363493243e-05
2021-01-03 05:30:00,35,14,5161.5,3973.5,1.5662758435514187e-05,2.017003338140525e-05
2021-01-03 05:45:00,19,7,8729.5,7067.0,8.586716801041253e-06,1.0441901261381672e-05
2021-01-03 06:00:00,35,9,5273.5,6056.0,1.5336946133577785e-05,1.228058684831019e-05
2021-01-03 06:15:00,21,8,8204.0,6550.5,9.33052173611685e-06,1.1634535956533373e-05
2021-01-03 06:30:00,22,11,7908.5,5047.0,9.571921898338358e-06,1.5193223269940759e-05
2021-01-03 06:45:00,19,6,8966.0,8675.5,8.252100811138076e-06,8.41190284252217e-06
2021-01-03 07:00:00,27,14,7019.0,4495.0,1.0947653188078247e-05,1.7387610830494395e-05
2021-01-03 07:15:00,27,10,7127.5,5890.5,1.0911670031098261e-05,1.3010347129071753e-05
2021-01-03 07:30:00,35,10,5871.0,6145.0,1.348894176554061e-05,1.2071346486272465e-05
2021-01-03 07:45:00,29,9,7234.0,6887.0,1.0736652859577907e-05,1.081083678279107e-05
2021-01-03 08:00:00,20,4,10329.0,14692.0,6.9168347457509884e-06,4.3685243452401104e-06
2021-01-03 08:15:00,31,11,7402.0,6178.0,1.0434091880593598e-05,1.235258314972903e-05
2021-01-03 08:30:00,49,16,5074.0,4601.0,1.59247416210672e-05,1.690108114103424e-05
2021-01-03 08:45:00,53,16,4812.0,4710.0,1.7174185449446813e-05,1.6760736299145625e-05
2021-01-03 09:00:00,44,17,5880.0,4778.0,1.318744423434448e-05,1.5557493632866947e-05
2021-01-03 09:15:00,66,24,4355.5,3546.5,1.8596054255397087e-05,2.292946895349904e-05
2021-01-03 09:30:00,50,15,5589.5,5307.5,1.3908093648201447e-05,1.4215476294271732e-05
2021-01-03 09:45:00,66,19,4385.5,4374.0,1.8209558914820653e-05,1.758432144880001e-05
2021-01-03 10:00:00,45,17,6407.5,5288.5,1.1228334927756892e-05,1.4087214775333786e-05
2021-01-03 10:15:00,57,23,5282.5,4078.5,1.433019535575967e-05,1.9214366331083577e-05
2021-01-03 10:30:00,56,19,5476.5,4803.5,1.4110399767783135e-05,1.5294200036867072e-05
2021-01-03 10:45:00,67,23,4607.5,4057.5,1.7385672337682693e-05,1.9265805289720018e-05
2021-01-03 11:00:00,81,24,3975.5,4094.0,2.108828022731604e-05,1.9030476515202577e-05
2021-01-03 11:15:00,64,20,4803.0,4587.0,1.6899416521239264e-05,1.6438338149766408e-05
2021-01-03 11:30:00,51,18,5726.5,5059.5,1.367544102626945e-05,1.4682479152918835e-05
2021-01-03 11:45:00,62,24,5007.0,4200.0,1.6250011139120542e-05,1.8715245204803273e-05
2021-01-03 12:00:00,65,17,4817.5,5808.5,1.6909671655800252e-05,1.2322242590164384e-05
2021-01-03 12:15:00,61,16,5044.0,5907.0,1.5918663458577552e-05,1.2130999632279075e-05
2021-01-03 12:30:00,70,28,4470.0,3652.5,1.847343941661934e-05,2.1657829498737272e-05
2021-01-03 12:45:00,60,19,4953.5,4991.0,1.6319714078609344e-05,1.49902563333833e-05
