time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,189,11,1550.0,7159.0,6.1031155274561084e-05,9.691288412743164e-06
2021-01-02 16:15:00,198,12,1455.5,6474.5,6.556252313727931e-05,1.088724713234447e-05
2021-01-02 16:30:00,236,14,1216.0,5648.0,7.896425662848054e-05,1.2847655257031109e-05
2021-01-02 16:45:00,216,13,1354.0,6087.5,7.121358834391811e-05,1.1762246987281391e-05
2021-01-02 17:00:00,183,11,1571.0,7024.0,6.0688727516567516e-05,9.889231615693672e-06
2021-01-02 17:15:00,174,12,1586.5,6281.5,5.9219547623917747e-05,1.1274349070758756e-05
2021-01-02 17:30:00,141,21,2003.5,3897.0,4.767457940708377e-05,1.9945842289174825e-05
2021-01-02 17:45:00,149,15,1906.0,5135.0,4.985865573033226e-05,1.436520173531637e-05
2021-01-02 18:00:00,171,17,1666.0,4779.5,5.728309304583251e-05,1.5838824125696908e-05
2021-01-02 18:15:00,170,14,1657.0,5428.0,5.7210991106383164e-05,1.3402939264580724e-05
2021-01-02 18:30:00,192,15,1448.5,5143.5,6.615923908605147e-05,1.4512510267601016e-05
2021-01-02 18:45:00,218,10,1294.5,7089.5,7.517552450446225e-05,9.763632227406713e-06
2021-01-02 19:00:00,210,9,1407.0,8011.5,7.033257932342738e-05,8.288704797778627e-06
2021-01-02 19:15:00,231,11,1282.0,6535.5,7.818872931468086e-05,1.0675465838509316e-05
2021-01-02 19:30:00,208,13,1355.0,5567.5,7.193470818544352e-05,1.299221766162069e-05
2021-01-02 19:45:00,184,11,1479.0,6344.0,6.458206977109869e-05,1.1149108172701714e-05
2021-01-02 20:00:00,176,13,1557.0,5643.0,6.132579397738891e-05,1.3012505017321644e-05
2021-01-02 20:15:00,201,7,1364.5,9070.0,7.095333035870615e-05,7.17021370309784e-06
2021-01-02 20:30:00,329,16,876.5,4631.0,0.00011637008800620547,1.6571604348803272e-05
2021-01-02 20:45:00,318,10,899.0,6716.0,0.00011204706822503701,1.046030575473721e-05
2021-01-02 21:00:00,307,9,931.0,7600.5,0.00010686211410854894,9.215919784634196e-06
2021-01-02 21:15:00,301,4,938.0,14679.5,0.00010510580243391516,4.155926194906705e-06
2021-01-02 21:30:00,306,6,942.5,10458.0,0.00010570243934286244,6.278488642214046e-06
2021-01-02 21:45:00,259,5,1121.5,12149.5,8.991082512448657e-05,5.304983501501312e-06
2021-01-02 22:00:00,251,15,1179.0,4965.5,8.494511902300252e-05,1.5578896204046147e-05
2021-01-02 22:15:00,195,7,1449.0,8943.5,6.702521144735617e-05,7.41993099464175e-06
2021-01-02 22:30:00,198,6,1438.5,10175.5,6.759270954593402e-05,6.467977581989701e-06
2021-01-02 22:45:00,158,7,1758.5,8859.0,5.4924751352522e-05,7.707697677670689e-06
2021-01-02 23:00:00,143,4,1919.0,14308.0,5.029952841554024e-05,4.419093577620826e-06
2021-01-02 23:15:00,175,5,1575.0,11525.5,6.219427073485907e-05,5.631416999671125e-06
2021-01-02 23:30:00,171,8,1589.0,7867.5,6.099470594487935e-05,9.003888554369419e-06
2021-01-02 23:45:00,162,7,1624.5,8623.5,5.9422370541763296e-05,8.108449351729475e-06
2021-01-03 00:00:00,138,5,1892.5,11426.5,5.04197812146856e-05,5.806803018143938e-06
2021-01-03 00:15:00,123,7,2053.5,8362.5,4.580921986898563e-05,8.402967928272266e-06
2021-01-03 00:30:00,101,6,2410.5,9437.5,3.8465947543873075e-05,7.358297584270903e-06
2021-01-03 00:45:00,101,5,2422.5,10721.0,3.803763466170043e-05,5.9331195037064205e-06
