time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,133,56,2183.5,1797.5,4.2947850008024464e-05,4.93374682830561e-05
2021-01-02 16:15:00,141,67,1995.5,1500.5,4.668846344624436e-05,6.0787129822256616e-05
2021-01-02 16:30:00,87,38,3029.0,2442.5,2.9109704774058502e-05,3.4872207126227296e-05
2021-01-02 16:45:00,103,44,2627.0,2185.0,3.3958331478812805e-05,3.981068211079856e-05
2021-01-02 17:00:00,117,40,2341.0,2357.0,3.880098972370711e-05,3.596084223888608e-05
2021-01-02 17:15:00,90,36,2892.0,2516.5,3.0630800495129875e-05,3.3823047212276255e-05
2021-01-02 17:30:00,96,34,2765.0,2597.5,3.2459288106950645e-05,3.229326846818781e-05
2021-01-02 17:45:00,109,48,2468.5,1914.5,3.647378170876656e-05,4.596864555301238e-05
2021-01-02 18:00:00,103,45,2631.5,2077.5,3.4503851366788e-05,4.192629915625652e-05
2021-01-02 18:15:00,101,44,2615.0,2091.5,3.399005942202765e-05,4.212352340296798e-05
2021-01-02 18:30:00,94,36,2732.5,2435.5,3.239046080254603e-05,3.483002464224243e-05
2021-01-02 18:45:00,87,39,2953.0,2276.5,3.0001241430679888e-05,3.807816568688617e-05
2021-01-02 19:00:00,110,51,2451.5,1899.5,3.684087488370006e-05,4.696932718741222e-05
2021-01-02 19:15:00,92,42,2869.5,2131.0,3.1140099986799314e-05,4.07608695652174e-05
2021-01-02 19:30:00,96,40,2691.0,2163.5,3.3200634547127774e-05,3.997605434344828e-05
2021-01-02 19:45:00,91,38,2761.5,2226.0,3.1940045375923805e-05,3.851510096024228e-05
2021-01-02 20:00:00,82,39,3064.0,2219.5,2.857224492128347e-05,3.9037515051964944e-05
2021-01-02 20:15:00,80,37,3125.5,2283.0,2.8240131486052197e-05,3.789970100208858e-05
2021-01-02 20:30:00,76,38,3278.5,2199.0,2.688184403790765e-05,3.935756032840777e-05
2021-01-02 20:45:00,68,25,3604.0,3146.5,2.395975043805823e-05,2.615076438684303e-05
2021-01-02 21:00:00,79,39,3225.0,2196.0,2.7498719917183606e-05,3.993565240008151e-05
2021-01-02 21:15:00,98,43,2643.0,1951.5,3.422049381569331e-05,4.4676206595247085e-05
2021-01-02 21:30:00,63,28,3971.5,2832.0,2.1762266923530506e-05,2.9299613663665553e-05
2021-01-02 21:45:00,63,30,3962.5,2686.5,2.1870200705956194e-05,3.1829901009007864e-05
2021-01-02 22:00:00,67,31,3933.5,2655.0,2.2674593524068404e-05,3.2196385488362044e-05
2021-01-02 22:15:00,84,36,3099.0,2229.5,2.8872398777322657e-05,3.8159645115300425e-05
2021-01-02 22:30:00,85,33,3134.5,2387.5,2.9017072279820167e-05,3.5573876700943355e-05
2021-01-02 22:45:00,66,44,3838.5,1848.0,2.2943250564977546e-05,4.844838540250148e-05
2021-01-02 23:00:00,106,38,2507.0,2111.0,3.728496511921164e-05,4.198138898739785e-05
2021-01-02 23:15:00,82,34,3091.5,2298.5,2.9142458287191108e-05,3.8293635597763644e-05
2021-01-02 23:30:00,71,42,3537.0,1924.5,2.5325287263663353e-05,4.727041491043945e-05
2021-01-02 23:45:00,84,36,2939.5,2128.0,3.0811599540173557e-05,4.1700596666037295e-05
2021-01-03 00:00:00,51,22,4593.5,3301.5,1.8633397405427287e-05,2.554993327983332e-05
2021-01-03 00:15:00,71,31,3379.0,2341.0,2.64427204121787e-05,3.72131436823486e-05
2021-01-03 00:30:00,64,21,3597.5,3238.5,2.4374461809978978e-05,2.575404154494816e-05
2021-01-03 00:45:00,69,30,3326.5,2341.5,2.598610684809237e-05,3.559871702223852e-05
2021-01-03 01:00:00,57,24,3813.5,2901.0,2.2245143826562813e-05,2.831417407554222e-05
2021-01-03 01:15:00,65,32,3309.5,2121.5,2.635905246911327e-05,4.0767291382941184e-05
2021-01-03 01:30:00,74,14,2865.0,4251.5,3.0992908068752324e-05,1.8193703159336553e-05
2021-01-03 01:45:00,90,29,2361.5,2246.5,3.912536549612268e-05,3.95071685076099e-05
2021-01-03 02:00:00,103,25,2106.0,2560.5,4.457234350996387e-05,3.4562992436234727e-05
2021-01-03 02:15:00,55,28,3527.5,2200.0,2.4752297013162823e-05,4.0556434278298255e-05
2021-01-03 02:30:00,55,20,3462.0,2855.0,2.554411282509528e-05,2.996304058943293e-05
