time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,335,39,911.0,2483.5,0.00010817691543374583,3.4360022554271225e-05
2021-01-02 16:15:00,381,38,799.0,2437.5,0.00012615818846112837,3.447628258575749e-05
2021-01-02 16:30:00,319,35,924.5,2624.5,0.00010673558417154785,3.211913814257777e-05
2021-01-02 16:45:00,274,37,1089.0,2535.5,9.033575558441464e-05,3.347716450226242e-05
2021-01-02 17:00:00,285,45,1039.0,2145.5,9.45152313782609e-05,4.045594751874684e-05
2021-01-02 17:15:00,283,34,1027.0,2643.0,9.631685044579727e-05,3.194398903381647e-05
2021-01-02 17:30:00,285,35,1032.5,2537.5,9.636351156750976e-05,3.324307048195804e-05
2021-01-02 17:45:00,276,36,1095.0,2455.0,9.23556307488034e-05,3.447648416475929e-05
2021-01-02 18:00:00,263,39,1117.5,2350.0,8.810206708218683e-05,3.633612593542232e-05
2021-01-02 18:15:00,277,34,1050.5,2590.0,9.322026197922432e-05,3.25499953568389e-05
2021-01-02 18:30:00,278,33,1037.5,2602.0,9.579306492667868e-05,3.192752258872223e-05
2021-01-02 18:45:00,269,40,1078.0,2226.0,9.276245913624013e-05,3.905452890962685e-05
2021-01-02 19:00:00,247,34,1219.0,2717.5,8.272450996612649e-05,3.1312884791608145e-05
2021-01-02 19:15:00,260,25,1144.0,3320.0,8.800463039747629e-05,2.426242236024845e-05
2021-01-02 19:30:00,221,16,1286.5,4693.0,7.643062744703375e-05,1.599042173737931e-05
2021-01-02 19:45:00,208,27,1348.5,3025.0,7.300581800211156e-05,2.736599278754057e-05
2021-01-02 20:00:00,189,39,1459.5,2219.5,6.585554012344605e-05,3.9037515051964944e-05
2021-01-02 20:15:00,184,31,1463.5,2650.5,6.495230241792006e-05,3.175380354229043e-05
2021-01-02 20:30:00,147,26,1833.0,3048.0,5.199514570490031e-05,2.692885706680532e-05
2021-01-02 20:45:00,121,25,2172.5,3146.5,4.263426180889773e-05,2.615076438684303e-05
