time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,675,67,445.0,1533.5,0.000217968411694861,5.9028756695799266e-05
2021-01-02 16:15:00,540,60,559.5,1660.5,0.00017880688128348905,5.4436235661722353e-05
2021-01-02 16:30:00,510,63,588.5,1561.5,0.00017064309695137745,5.781444865663999e-05
2021-01-02 16:45:00,521,67,586.5,1512.5,0.00017176981262583953,6.062081139598871e-05
2021-01-02 17:00:00,514,77,588.5,1325.5,0.00017045904887167055,6.92246213098557e-05
2021-01-02 17:15:00,486,65,596.0,1489.0,0.0001654063226737013,6.106939079994325e-05
2021-01-02 17:30:00,689,66,413.5,1451.5,0.0002329630156842604,6.268693290883516e-05
2021-01-02 17:45:00,660,59,455.0,1595.0,0.00022085042135583418,5.650312682557772e-05
2021-01-02 18:00:00,595,73,492.0,1355.5,0.00019931836469163941,6.801377418681614e-05
2021-01-02 18:15:00,628,68,490.0,1416.5,0.00021134413185181544,6.50999907136778e-05
2021-01-02 18:30:00,740,75,395.5,1279.5,0.00025498873397749,7.256255133800508e-05
2021-01-02 18:45:00,622,71,462.0,1342.0,0.00021449163413658496,6.932178881458765e-05
2021-01-02 19:00:00,668,61,470.0,1617.0,0.0002237245856573785,5.617899918494403e-05
2021-01-02 19:15:00,1122,63,260.0,1489.5,0.00037977382809987846,6.114130434782609e-05
2021-01-02 19:30:00,1345,78,208.5,1197.5,0.0004651547236029882,7.795330596972413e-05
2021-01-02 19:45:00,1096,87,252.0,1076.0,0.0003846845025495878,8.817931009318626e-05
2021-01-02 20:00:00,1021,71,272.5,1297.5,0.00035575929347110265,7.106829663306438e-05
2021-01-02 20:15:00,896,45,298.0,1918.5,0.0003162894726437846,4.609423094848611e-05
2021-01-02 20:30:00,799,71,339.0,1261.5,0.00028261307087221334,7.353649429781451e-05
2021-01-02 20:45:00,765,56,348.0,1547.0,0.0002695471924281551,5.857771222652838e-05
2021-01-02 21:00:00,706,80,398.0,1153.0,0.0002457480539434382,8.191928697452617e-05
2021-01-02 21:15:00,684,77,402.0,1178.0,0.00023884507928504306,8.000157925195407e-05
2021-01-02 21:30:00,718,55,375.0,1572.0,0.00024802075636658574,5.755281255362876e-05
2021-01-02 21:45:00,678,63,401.0,1376.5,0.0002353650171212428,6.684279211891652e-05
2021-01-02 22:00:00,708,75,401.5,1214.0,0.00023960615246329,7.789448102023075e-05
2021-01-02 22:15:00,688,87,402.0,1031.0,0.00023647869474759507,9.221914236197604e-05
2021-01-02 22:30:00,599,77,482.0,1114.0,0.00020448501524249741,8.300571230220116e-05
2021-01-02 22:45:00,560,62,505.5,1364.5,0.00019467000479374887,6.826817943079754e-05
2021-01-02 23:00:00,494,42,558.5,1926.5,0.00017376200725368444,4.640048256501868e-05
2021-01-02 23:15:00,638,64,426.5,1321.5,0.00022674254130765762,7.208213759579041e-05
2021-01-02 23:30:00,661,58,406.0,1432.5,0.00023577485748283765,6.52781920191783e-05
2021-01-02 23:45:00,570,59,468.0,1370.5,0.00020907871116546345,6.834264453600557e-05
2021-01-03 00:00:00,511,49,523.5,1628.0,0.00018669933478771266,5.690666957781058e-05
2021-01-03 00:15:00,456,44,571.0,1730.0,0.00016982930292892237,5.281865554913996e-05
2021-01-03 00:30:00,417,33,626.5,2161.0,0.0001588148527306443,4.0470636713489974e-05
2021-01-03 00:45:00,380,34,718.0,2091.5,0.00014311189278659568,4.034521262520365e-05
2021-01-03 01:00:00,371,35,673.0,2103.5,0.00014478856771324214,4.129150386016573e-05
2021-01-03 01:15:00,301,39,799.0,1825.0,0.0001220626891262015,4.968513637295957e-05
2021-01-03 01:30:00,269,30,872.0,2193.0,0.00011266340906073479,3.8986506770006895e-05
2021-01-03 01:45:00,249,26,906.0,2465.5,0.00010824684453927274,3.5420220041305424e-05
2021-01-03 02:00:00,276,33,840.5,2016.0,0.0001194365709587381,4.562315001582985e-05
2021-01-03 02:15:00,203,17,1060.0,3343.5,9.13584780667646e-05,2.4623549383252508e-05
2021-01-03 02:30:00,202,22,1026.5,2621.0,9.381655983034994e-05,3.2959344648376225e-05
2021-01-03 02:45:00,196,17,1069.0,3234.0,9.205957945681092e-05,2.6024006380474037e-05
2021-01-03 03:00:00,178,18,1217.5,3387.5,7.99635222583855e-05,2.472249004919776e-05
2021-01-03 03:15:00,154,16,1345.5,3466.5,7.107225417653332e-05,2.425374265566355e-05
2021-01-03 03:30:00,176,16,1176.0,3399.0,8.189329861553795e-05,2.4583161763350194e-05
2021-01-03 03:45:00,146,11,1389.0,4579.5,6.934154033207948e-05,1.730735342245047e-05
2021-01-03 04:00:00,149,15,1409.5,3753.5,6.909712319460577e-05,2.233721752727002e-05
2021-01-03 04:15:00,158,18,1265.0,3023.5,7.535428436799218e-05,2.815592752664255e-05
2021-01-03 04:30:00,163,13,1265.5,4168.5,7.561219202527953e-05,1.961340470601015e-05
2021-01-03 04:45:00,133,24,1551.0,2452.0,6.0158565313204494e-05,3.577102963927897e-05
2021-01-03 05:00:00,140,12,1510.0,4701.5,6.220552349502622e-05,1.7047730804965437e-05
2021-01-03 05:15:00,146,16,1475.0,3596.5,6.531620199706523e-05,2.349741381589189e-05
2021-01-03 05:30:00,140,17,1548.0,3386.5,6.265103374205675e-05,2.4492183391706367e-05
2021-01-03 05:45:00,139,18,1509.0,3190.0,6.281861238656495e-05,2.685060324355287e-05
2021-01-03 06:00:00,136,18,1599.0,3354.5,5.959499069047371e-05,2.456117369662038e-05
2021-01-03 06:15:00,134,14,1579.0,4105.5,5.953761488760276e-05,2.0360437923933405e-05
2021-01-03 06:30:00,164,11,1302.0,5047.0,7.13543268785223e-05,1.5193223269940759e-05
2021-01-03 06:45:00,204,16,1067.0,3744.5,8.860150344590356e-05,2.243174091339245e-05
2021-01-03 07:00:00,219,25,1081.0,2742.5,8.879763141441248e-05,3.104930505445427e-05
2021-01-03 07:15:00,215,12,1084.0,5063.5,8.688922432170836e-05,1.56124165548861e-05
2021-01-03 07:30:00,240,27,1063.0,2614.5,9.249560067799277e-05,3.259263551293565e-05
2021-01-03 07:45:00,272,24,949.0,2976.5,0.00010070239923466175,2.8828898087442852e-05
2021-01-03 08:00:00,294,43,951.5,1950.5,0.00010167747076253951,4.696163671133119e-05
2021-01-03 08:15:00,426,34,683.0,2337.5,0.00014338461745589914,3.818071155370791e-05
2021-01-03 08:30:00,435,39,683.5,2146.0,0.00014137270622784144,4.119638528127096e-05
2021-01-03 08:45:00,497,51,594.5,1747.0,0.00016104849374292578,5.342484695352667e-05
2021-01-03 09:00:00,538,56,616.5,1731.5,0.00016124647722903025,5.124821432003228e-05
2021-01-03 09:15:00,530,48,686.0,1961.5,0.00014933195083879474,4.585893790699807e-05
2021-01-03 09:30:00,546,43,674.0,2194.5,0.0001518763826383598,4.075103204357896e-05
2021-01-03 09:45:00,524,58,688.0,1687.5,0.00014457286168736394,5.367845494896845e-05
2021-01-03 10:00:00,537,71,746.5,1553.0,0.00013399146347123226,5.883483817933522e-05
2021-01-03 10:15:00,510,70,786.5,1556.5,0.00012821753739363916,5.847850622503698e-05
