time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,417,209,736.0,535.0,0.00013465604100260304,0.00018413447984212008
2021-01-02 16:15:00,406,182,750.5,617.5,0.0001344362848168455,0.00016512324817389112
2021-01-02 16:30:00,414,173,708.0,622.0,0.00013852204340758872,0.00015876031139045582
2021-01-02 16:45:00,371,148,816.0,739.5,0.00012231593183145194,0.00013390865800904972
2021-01-02 17:00:00,547,200,549.0,563.5,0.00018140291776810077,0.0001798042111944304
2021-01-02 17:15:00,450,148,657.0,707.0,0.00015315400247564937,0.00013905030520602464
2021-01-02 17:30:00,421,173,697.5,603.5,0.0001423475030523565,0.00016431574838224973
2021-01-02 17:45:00,411,173,746.0,599.0,0.00013752958057158766,0.00016567866001398213
2021-01-02 18:00:00,432,183,698.5,589.0,0.00014471518243157686,0.00017050028323544318
2021-01-02 18:15:00,437,207,680.0,517.5,0.00014706590066758496,0.00019817203055487207
2021-01-02 18:30:00,393,161,745.0,649.5,0.00013541969250426158,0.00015576761020558418
2021-01-02 18:45:00,420,181,690.0,573.5,0.00014483357932052357,0.00017672174331606147
2021-01-02 19:00:00,485,179,626.5,627.5,0.00016243476653267748,0.00016485312875581936
2021-01-02 19:15:00,348,154,869.5,670.0,0.00011779081299354522,0.00014945652173913046
2021-01-02 19:30:00,366,137,813.0,721.0,0.00012657741921092466,0.00013691798612631035
2021-01-02 19:45:00,408,166,700.5,598.0,0.0001432037199272188,0.00016825017787895313
2021-01-02 20:00:00,381,162,768.0,630.5,0.00013275640628059756,0.00016215583175431593
2021-01-02 20:15:00,333,148,847.5,671.5,0.00011754954731069229,0.00015159880400835433
2021-01-02 20:30:00,368,140,773.0,695.0,0.0001301647184993423,0.00014500153805202862
2021-01-02 20:45:00,397,179,712.5,551.0,0.00013988266064572232,0.0001872394730097961
2021-01-02 21:00:00,390,174,723.0,572.0,0.0001357531742747039,0.00017817444916959444
2021-01-02 21:15:00,388,143,733.0,669.5,0.0001354852204131531,0.00014857436146791466
2021-01-02 21:30:00,349,136,809.0,698.0,0.00012055605010019277,0.00014231240922351837
2021-01-02 21:45:00,344,145,829.0,641.0,0.00011941823877537984,0.000153844521543538
2021-01-02 22:00:00,336,116,881.0,813.5,0.00011371139438935796,0.00012047679731129024
2021-01-02 22:15:00,364,136,784.0,698.5,0.00012511372803506484,0.00014415865932446828
2021-01-02 22:30:00,388,157,746.0,598.5,0.00013245440052435557,0.00016924541339539718
2021-01-02 22:45:00,429,146,660.5,632.0,0.00014913112867235404,0.00016076055156284582
2021-01-02 23:00:00,434,142,635.5,639.0,0.00015265731001639482,0.00015687782200553933
2021-01-02 23:15:00,449,140,612.0,652.5,0.00015957272891400985,0.0001576796759907915
2021-01-02 23:30:00,426,148,641.0,626.0,0.00015195172358198008,0.00016657193825583423
2021-01-02 23:45:00,400,137,674.0,645.5,0.00014672190257225502,0.00015869393731241972
2021-01-03 00:00:00,382,136,718.0,646.0,0.00013956780017398477,0.00015794504209351508
2021-01-03 00:15:00,401,131,663.5,640.0,0.00014934550542653038,0.00015725554265766668
2021-01-03 00:30:00,408,158,641.0,527.5,0.00015538719403861598,0.00019376850305246712
2021-01-03 00:45:00,365,124,737.0,667.0,0.0001374627391239669,0.00014714136369191918
2021-01-03 01:00:00,361,129,693.0,639.0,0.00014088591090156443,0.00015218868565603942
2021-01-03 01:15:00,397,115,611.5,683.0,0.00016099298200366108,0.00014650745340744487
2021-01-03 01:30:00,415,147,567.5,550.0,0.0001738115790342191,0.00019103388317303385
2021-01-03 01:45:00,417,145,531.0,537.0,0.0001812808601320351,0.00019753584253804949
2021-01-03 02:00:00,393,135,572.5,559.5,0.00017006729125646408,0.0001866401591556676
2021-01-03 02:15:00,393,147,546.0,491.0,0.00017686641320314523,0.00021292127996106583
2021-01-03 02:30:00,328,104,632.5,639.5,0.0001523358001205682,0.00015580781106505127
2021-01-03 02:45:00,388,122,529.0,554.5,0.00018224039198593182,0.00018676051637751955
2021-01-03 03:00:00,382,122,551.5,627.0,0.00017160710956574867,0.00016756354366678482
2021-01-03 03:15:00,381,117,553.5,578.5,0.00017583460286531947,0.00017735549316953974
2021-01-03 03:30:00,365,124,559.0,548.5,0.0001698355340606327,0.000190519503665964
2021-01-03 03:45:00,372,125,544.0,525.5,0.00017667844522968197,0.0001966744707096644
2021-01-03 04:00:00,325,120,623.0,570.5,0.00015071520159897238,0.00017869774021816016
2021-01-03 04:15:00,427,149,454.5,460.5,0.000203647338133751,0.00023306851119276334
2021-01-03 04:30:00,421,128,487.5,539.5,0.00019529283952541518,0.00019311660018225382
2021-01-03 04:45:00,440,151,469.0,473.5,0.0001990208175775186,0.00022505939481379692
2021-01-03 05:00:00,433,156,492.0,477.0,0.00019239279766675968,0.0002216205004645507
2021-01-03 05:15:00,420,140,502.0,508.0,0.00018789592355320138,0.000205602370889054
2021-01-03 05:30:00,395,131,528.5,572.5,0.00017676541662937443,0.00018873388378314908
2021-01-03 05:45:00,412,147,495.0,474.0,0.00018619617484363137,0.00021927992648901516
2021-01-03 06:00:00,446,150,475.0,522.5,0.00019543651358787696,0.0002046764474718365
2021-01-03 06:15:00,479,140,436.0,509.0,0.00021282475769523676,0.00020360437923933403
2021-01-03 06:30:00,406,147,514.0,518.5,0.00017664546776024423,0.0002030367109710265
2021-01-03 06:45:00,459,165,477.5,457.0,0.00019935338275328302,0.0002313273281693596
2021-01-03 07:00:00,415,122,552.0,678.0,0.00016826948418712865,0.00015152060866573683
2021-01-03 07:15:00,479,173,480.0,450.5,0.00019358110907022468,0.0002250790053329413
2021-01-03 07:30:00,406,129,602.5,644.5,0.00015647172448027106,0.00015572036967291482
2021-01-03 07:45:00,439,169,581.0,484.0,0.00016253071052947248,0.00020300349069907677
2021-01-03 08:00:00,511,174,543.0,537.0,0.00017672512775393777,0.00019003080901794483
2021-01-03 08:15:00,513,170,565.0,533.5,0.0001726673914433715,0.00019090355776853955
2021-01-03 08:30:00,504,153,594.0,618.5,0.00016379734238811976,0.00016161658841113991
2021-01-03 08:45:00,474,190,626.0,506.5,0.00015359554534033566,0.00019903374355235425
2021-01-03 09:00:00,543,208,611.5,553.5,0.0001627450504374785,0.00019035051033154852
2021-01-03 09:15:00,601,197,600.5,550.0,0.00016933679708323703,0.00018821272432663797
2021-01-03 09:30:00,566,193,642.0,564.0,0.0001574396200976404,0.0001829057949862963
2021-01-03 09:45:00,565,189,645.0,581.0,0.00015588486040717678,0.00017491772388543168
2021-01-03 10:00:00,545,203,732.5,598.5,0.00013598761190283348,0.00016821791761133868
2021-01-03 10:15:00,600,228,678.0,525.5,0.0001508441616395755,0.00019047284884726333
2021-01-03 10:30:00,529,198,767.0,640.5,0.0001332928835206657,0.00015938166354208846
2021-01-03 10:45:00,533,204,711.0,595.0,0.0001383069157609683,0.00017087931648273406
2021-01-03 11:00:00,571,255,646.5,503.0,0.00014865935814564762,0.00020219881297402738
2021-01-03 11:15:00,547,219,668.0,564.5,0.00014443720057996686,0.0001799998027399422
2021-01-03 11:30:00,498,222,722.0,564.0,0.00013353665943298404,0.00018108390955266565
2021-01-03 11:45:00,489,221,760.0,598.0,0.00012816541043596683,0.00017233621626089676
2021-01-03 12:00:00,556,239,666.0,591.5,0.0001446427298557683,0.00017323623406172286
2021-01-03 12:15:00,487,190,764.0,694.0,0.00012708834597257814,0.00014405562063331398
2021-01-03 12:30:00,545,222,666.0,589.0,0.00014382892117225057,0.0001717156481685598
2021-01-03 12:45:00,459,215,777.5,591.0,0.00012484581270136148,0.00016962658482512683
2021-01-03 13:00:00,484,235,745.0,566.0,0.00013147304408720357,0.00017902920461514434
2021-01-03 13:15:00,467,190,780.0,687.5,0.00012596510308099314,0.00014662688704945032
2021-01-03 13:30:00,522,225,702.5,573.0,0.00013992541064221207,0.00017366578367263767
2021-01-03 13:45:00,503,240,739.5,537.5,0.00013383981369923667,0.0001872805306281701
2021-01-03 14:00:00,465,216,802.0,600.0,0.00012317205387678078,0.00016490236405861366
2021-01-03 14:15:00,456,223,791.0,587.5,0.00012219585959695733,0.00017448361066838176
2021-01-03 14:30:00,456,226,800.0,575.5,0.00012154713509937412,0.0001756855818885267
2021-01-03 14:45:00,407,171,890.0,725.5,0.00011116176057286272,0.00013726097726605028
2021-01-03 15:00:00,455,222,786.0,582.5,0.00012467437382638258,0.0001740099655977595
2021-01-03 15:15:00,393,195,887.0,643.0,0.00010860934985558826,0.00015514891511126565
2021-01-03 15:30:00,419,215,828.0,595.5,0.00011600462357330232,0.00016866144783693655
2021-01-03 15:45:00,412,195,854.0,651.0,0.00011487519451409605,0.000156004617736685
2021-01-03 16:00:00,397,198,893.5,662.0,0.00010982444686654532,0.00015174669644376252
2021-01-03 16:15:00,462,223,773.0,592.0,0.0001278922825865799,0.00017279347383069958
2021-01-03 16:30:00,357,175,958.5,694.5,0.00010243867166024104,0.00014410182976386238
2021-01-03 16:45:00,419,209,799.0,572.0,0.00012110404108866465,0.00017311341579274758
2021-01-03 17:00:00,405,192,837.5,640.5,0.00011746978778575251,0.00015777977559113999
2021-01-03 17:15:00,382,220,871.0,551.0,0.00011156766885781284,0.0001843030746779304
2021-01-03 17:30:00,351,179,939.5,668.5,0.00010324024357638322,0.00015054604480216653
2021-01-03 17:45:00,374,176,887.5,661.5,0.00011007319867712029,0.00015072209585925296
2021-01-03 18:00:00,376,206,857.5,581.0,0.00011203680528241621,0.0001748772675681618
2021-01-03 18:15:00,301,155,1096.0,744.5,8.932169520113999e-05,0.00013412110010452792
2021-01-03 18:30:00,329,181,992.5,635.0,9.833555858632325e-05,0.00015909626290789292
2021-01-03 18:45:00,297,154,1105.5,744.0,8.933942967151967e-05,0.00013534963271031488
2021-01-03 19:00:00,371,185,891.0,644.5,0.0001101078730690685,0.00015561727906972833
2021-01-03 19:15:00,431,230,763.5,513.0,0.00012887676869161672,0.0002017388131442485
2021-01-03 19:30:00,404,174,812.5,665.5,0.00012196311098914799,0.00015127646033948522
2021-01-03 19:45:00,337,156,962.0,744.5,0.0001020136649877296,0.0001369103202297285
2021-01-03 20:00:00,395,191,820.5,595.5,0.00012144638649344004,0.0001719004813213477
2021-01-03 20:15:00,434,172,735.0,651.0,0.000132994045298875,0.00015784189747985222
2021-01-03 20:30:00,414,170,790.5,657.5,0.00012536003158830554,0.00015494012931120907
2021-01-03 20:45:00,356,149,885.5,718.0,0.00010989468940087328,0.00013942642402102064
2021-01-03 21:00:00,383,173,827.5,617.0,0.00011779352732256235,0.00016062332993517506
2021-01-03 21:15:00,346,162,910.0,658.0,0.0001069993666627083,0.0001519396218204055
2021-01-03 21:30:00,302,154,991.0,673.0,9.590940055036751e-05,0.0001498652186183205
2021-01-03 21:45:00,343,141,898.5,713.5,0.00010738915670081724,0.00013897568024160082
2021-01-03 22:00:00,325,147,997.5,719.0,9.889396984129496e-05,0.00014029314586860544
2021-01-03 22:15:00,405,157,786.5,663.5,0.00012534543499663115,0.00015151134984067182
2021-01-03 22:30:00,434,157,746.0,714.0,0.00013405616582685934,0.0001473294427099609
2021-01-03 22:45:00,379,154,864.5,759.0,0.000115826729325158,0.00014041665450938056
2021-01-03 23:00:00,406,165,826.5,716.5,0.0001219132452134788,0.00015035607051244084
2021-01-03 23:15:00,391,157,832.5,732.5,0.00012032924049783683,0.0001453246200270285
2021-01-03 23:30:00,365,153,860.5,698.0,0.00011571714671317334,0.00014999426492516462
2021-01-03 23:45:00,340,124,869.5,772.5,0.00011205338486910189,0.00013044928205554405
2021-01-04 00:00:00,371,148,785.5,650.0,0.00012642694618267294,0.00015939155504770438
2021-01-04 00:15:00,350,134,788.5,678.0,0.00012465488404958842,0.00015443072111079485
