time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,320,149,953.5,735.5,0.00010333317295163782,0.00013127290668170282
2021-01-02 16:15:00,311,108,968.0,984.5,0.00010297951866512054,9.798522419110022e-05
2021-01-02 16:30:00,298,124,984.5,846.5,9.970910370884406e-05,0.00011379351799084695
2021-01-02 16:45:00,313,139,972.0,784.0,0.0001031937645909554,0.00012576556394093178
2021-01-02 17:00:00,371,174,809.5,637.5,0.00012303561698713962,0.00015642966373915443
2021-01-02 17:15:00,252,103,1136.5,995.5,8.576624138636365e-05,9.677149619067932e-05
2021-01-02 17:30:00,299,138,986.5,747.5,0.00010109715774977338,0.00013107267790029168
2021-01-02 17:45:00,311,127,998.0,804.0,0.0001040673955176734,0.00012162537469234528
2021-01-02 18:00:00,324,131,922.5,796.0,0.00010853638682368264,0.00012205211532154675
2021-01-02 18:15:00,330,138,908.0,745.0,0.0001110566297947438,0.0001321146870365814
2021-01-02 18:30:00,306,128,956.0,796.0,0.00010544128729339451,0.00012384008761686201
2021-01-02 18:45:00,334,137,877.0,729.5,0.00011517717974536875,0.00013376176151547195
2021-01-02 19:00:00,255,127,1181.0,846.0,8.540384632130467e-05,0.00011696283436865396
2021-01-02 19:15:00,303,125,994.5,808.0,0.00010255924234782813,0.00012131211180124223
2021-01-02 19:30:00,278,102,1064.5,943.5,9.614350420939085e-05,0.0001019389385757931
2021-01-02 19:45:00,332,132,879.0,740.5,0.00011652851719567806,0.00013378929807242055
2021-01-02 20:00:00,355,144,823.5,691.0,0.0001236969139884833,0.0001441385171149475
2021-01-02 20:15:00,370,155,774.5,641.0,0.00013061060812299141,0.00015876901771145216
2021-01-02 20:30:00,321,119,895.5,797.0,0.0001135404202127415,0.00012325130734422432
2021-01-02 20:45:00,396,143,718.0,668.5,0.0001395303113745744,0.00014958237229274212
2021-01-02 21:00:00,576,152,489.5,650.5,0.00020049699585187035,0.00015564664525159974
2021-01-02 21:15:00,614,157,453.5,611.5,0.00021440186941669076,0.00016312010315008816
2021-01-02 21:30:00,464,133,611.5,712.0,0.00016028082305584367,0.00013917316490241136
2021-01-02 21:45:00,478,146,594.0,636.0,0.00016593580853090572,0.00015490551824383827
2021-01-02 22:00:00,486,159,600.5,626.0,0.00016447540974174992,0.00016513629976288918
2021-01-02 22:15:00,519,131,547.0,724.5,0.0001783901781598864,0.00013885870861400992
2021-01-02 22:30:00,578,134,506.5,689.0,0.0001973160915027771,0.00014445149933110332
2021-01-02 22:45:00,562,144,501.0,643.5,0.0001953652548108694,0.00015855835222636848
2021-01-02 23:00:00,491,141,562.0,645.0,0.00017270677239181997,0.00015577304861113413
2021-01-02 23:15:00,478,160,580.0,574.0,0.0001698792080643579,0.000180205343989476
2021-01-02 23:30:00,518,147,517.5,630.5,0.0001847675887686988,0.00016544645218653802
2021-01-02 23:45:00,525,153,506.5,584.0,0.00019257249712608472,0.0001772275358306585
2021-01-03 00:00:00,447,153,603.5,587.0,0.00016331624784756858,0.0001776881723552045
2021-01-03 00:15:00,390,119,674.0,696.5,0.000145248745926052,0.00014285045478062852
2021-01-03 00:30:00,442,148,586.5,569.0,0.0001683361268751673,0.00018150467374534896
2021-01-03 00:45:00,416,123,644.0,671.0,0.00015666986157690475,0.00014595473979117792
2021-01-03 01:00:00,395,122,630.0,675.5,0.0001541549440612686,0.00014393038488400627
2021-01-03 01:15:00,408,120,593.5,658.5,0.00016545374472920333,0.00015287734268602942
2021-01-03 01:30:00,419,154,563.5,527.5,0.00017548687136225978,0.0002001307347527021
2021-01-03 01:45:00,392,121,572.0,634.0,0.00017041270304977876,0.0001648402548076137
2021-01-03 02:00:00,409,124,550.0,609.5,0.00017699115044247788,0.00017143244248372428
2021-01-03 02:15:00,370,109,588.5,643.0,0.00016651545263400444,0.00015788040486908962
2021-01-03 02:30:00,379,92,539.0,727.0,0.00017602215928565657,0.0001378299867113915
2021-01-03 02:45:00,349,91,593.0,728.0,0.00016392241444095412,0.00013930497533077278
2021-01-03 03:00:00,435,111,481.0,673.0,0.00019541647293481852,0.00015245535530338615
2021-01-03 03:15:00,498,121,412.0,554.5,0.00022983105571372465,0.0001834189288334556
2021-01-03 03:30:00,372,103,544.0,631.5,0.00017309265389193248,0.00015825410385156687
2021-01-03 03:45:00,422,106,480.5,605.0,0.0002004255480831339,0.00016677995116179544
2021-01-03 04:00:00,411,114,481.5,599.5,0.00019059676263746968,0.00016976285320725214
2021-01-03 04:15:00,348,86,559.0,744.5,0.00016597019594975494,0.00013452276484951438
2021-01-03 04:30:00,364,79,566.5,829.5,0.0001688517662405015,0.00011918915167498476
2021-01-03 04:45:00,404,108,520.0,631.0,0.000182737296139358,0.00016096963337675538
2021-01-03 05:00:00,321,75,664.5,934.0,0.0001426283788707387,0.00010654831753103396
2021-01-03 05:15:00,358,98,582.5,708.0,0.00016015890626677642,0.00014392165962233782
2021-01-03 05:30:00,333,97,619.0,728.0,0.00014901995882932067,0.00013974951699973634
2021-01-03 05:45:00,310,78,645.0,844.0,0.00014009906359593622,0.00011635261405539578
2021-01-03 06:00:00,255,74,831.0,944.5,0.00011174060754463818,0.00010097371408610601
2021-01-03 06:15:00,284,77,730.0,864.5,0.00012618419871700883,0.00011198240858163372
2021-01-03 06:30:00,309,106,687.5,699.5,0.00013444199393575242,0.00014640742423761095
2021-01-03 06:45:00,304,94,707.5,742.0,0.00013203361297820922,0.00013178647786618066
2021-01-03 07:00:00,325,87,700.0,900.5,0.00013177730689353448,0.00010805158158950088
2021-01-03 07:15:00,359,98,623.0,747.0,0.00014508479782089908,0.00012750140186490314
2021-01-03 07:30:00,395,98,621.0,847.5,0.00015223234278252974,0.00011829919556547016
2021-01-03 07:45:00,344,89,745.5,913.0,0.00012735891667913106,0.00010690716374093392
2021-01-03 08:00:00,386,121,721.0,747.5,0.00013349491059299408,0.00013214786144351333
2021-01-03 08:15:00,390,98,745.5,894.0,0.0001312676075300485,0.00011005028624304042
2021-01-03 08:30:00,404,135,739.0,705.5,0.00013129786969206424,0.0001426028721274764
2021-01-03 08:45:00,432,150,689.5,629.5,0.0001399858134747363,0.00015713190280449018
2021-01-03 09:00:00,560,131,593.5,797.5,0.0001678401993462025,0.0001198842156415041
2021-01-03 09:15:00,563,155,642.0,666.0,0.0001586299779664933,0.0001480861536580146
2021-01-03 09:30:00,566,138,642.0,753.0,0.0001574396200976404,0.00013078238190729994
2021-01-03 09:45:00,546,160,664.0,662.5,0.00015064271465897082,0.00014807849641094742
2021-01-03 10:00:00,590,194,678.0,629.5,0.00014721594683059038,0.00016075998037733848
2021-01-03 10:15:00,527,191,767.5,619.5,0.00013249145530676044,0.00015956278127117235
2021-01-03 10:30:00,494,215,823.0,601.0,0.00012447388366580126,0.00017306594778560108
2021-01-03 10:45:00,440,167,866.0,706.5,0.00011417456460567736,0.0001398864992775323
2021-01-03 11:00:00,423,157,883.0,795.5,0.00011012768563153933,0.00012449103387028352
2021-01-03 11:15:00,362,148,1007.0,809.5,9.558732469825959e-05,0.00012164370230827144
2021-01-03 11:30:00,341,108,1050.0,1085.5,9.14377527442722e-05,8.809487491751302e-05
2021-01-03 11:45:00,364,150,1022.0,861.5,9.540329120386896e-05,0.00011697028253002043
2021-01-03 12:00:00,344,135,1079.5,1005.0,8.949118537838903e-05,9.785310292189364e-05
2021-01-03 12:15:00,346,130,1050.5,1000.5,9.02927468306202e-05,9.856437201226748e-05
2021-01-03 12:30:00,394,130,919.0,967.5,0.00010397907328782885,0.00010055420838699448
2021-01-03 12:45:00,335,134,1033.5,913.0,9.111840360556882e-05,0.00010572075519333484
2021-01-03 13:00:00,394,130,902.5,982.0,0.00010702557721148392,9.903743234029262e-05
2021-01-03 13:15:00,405,125,897.0,1013.5,0.00010924168468480132,9.64650572693752e-05
2021-01-03 13:30:00,340,120,1072.0,1025.0,9.113915635699636e-05,9.262175129207344e-05
2021-01-03 13:45:00,385,158,959.0,803.0,0.00010244200452128452,0.0001232930159968787
2021-01-03 14:00:00,444,166,831.5,778.5,0.00011760944499202294,0.00012673052052652713
2021-01-03 14:15:00,424,149,856.5,833.5,0.0001136207115550656,0.00011658321968425507
2021-01-03 14:30:00,380,139,961.0,901.5,0.00010128927924947844,0.0001080544065597576
2021-01-03 14:45:00,423,123,849.5,983.0,0.00011553175607449858,9.873158013873794e-05
2021-01-03 15:00:00,544,155,656.0,802.0,0.00014906122936604862,0.00012149344444888614
2021-01-03 15:15:00,387,138,898.5,891.0,0.00010695119184252585,0.00010979769377104953
2021-01-03 15:30:00,372,114,940.0,1086.0,0.00010299217176436387,8.942979094609658e-05
2021-01-03 15:45:00,357,124,980.0,993.5,9.953991369303952e-05,9.920293640691764e-05
2021-01-03 16:00:00,475,172,753.0,753.0,0.00013140204599901517,0.00013182036256730883
2021-01-03 16:15:00,401,155,893.0,826.0,0.00011100607211519165,0.00012010308719174188
2021-01-03 16:30:00,307,111,1114.0,1075.0,8.809151876664987e-05,9.140173202164984e-05
2021-01-03 16:45:00,330,147,1027.0,812.0,9.538027102448528e-05,0.00012175919675375071
2021-01-03 17:00:00,379,144,881.0,829.5,0.00010992851745876595,0.00011833483169335501
2021-01-03 17:15:00,351,142,946.5,818.5,0.00010251374808662907,0.00011895925729211868
2021-01-03 17:30:00,341,152,965.5,768.5,0.00010029892609557458,0.00012783798217837604
2021-01-03 17:45:00,348,161,953.5,735.0,0.0001024210511755023,0.00013787646268943027
