time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,233,126,1263.0,876.5,7.523946655541128e-05,0.00011100930363687624
2021-01-02 16:15:00,237,108,1218.5,984.5,7.847635345219797e-05,9.798522419110022e-05
2021-01-02 16:30:00,237,129,1209.5,815.0,7.929885093622833e-05,0.00011838196629692949
2021-01-02 16:45:00,203,105,1434.0,1010.5,6.692758534173785e-05,9.5002764128042e-05
2021-01-02 17:00:00,248,135,1181.0,806.5,8.224483291862702e-05,0.00012136784255624052
2021-01-02 17:15:00,227,113,1239.0,914.0,7.725768569327201e-05,0.00010616678708297829
2021-01-02 17:30:00,213,107,1368.5,949.0,7.201904548729675e-05,0.00010162881547341457
2021-01-02 17:45:00,218,119,1360.0,860.5,7.294756341753312e-05,0.00011396393376684322
2021-01-02 18:00:00,218,104,1311.5,1004.0,7.302756891223091e-05,9.689633582779284e-05
2021-01-02 18:15:00,237,131,1202.0,778.5,7.975885230713418e-05,0.00012541321740429105
2021-01-02 18:30:00,230,118,1223.0,846.5,7.925325515516582e-05,0.00011416508077179462
2021-01-02 18:45:00,195,101,1441.0,965.0,6.724416182738596e-05,9.861268549680778e-05
2021-01-02 19:00:00,242,135,1238.5,794.5,8.104992474414013e-05,0.00012433057196667942
2021-01-02 19:15:00,237,121,1251.0,838.0,8.021960540077647e-05,0.00011743012422360249
2021-01-02 19:30:00,216,122,1312.0,788.5,7.470142773103751e-05,0.00012192696574751723
2021-01-02 19:45:00,213,114,1308.0,843.0,7.476076555023923e-05,0.00011554530288072683
2021-01-02 20:00:00,246,114,1160.0,852.5,8.571673476385041e-05,0.00011410965938266674
2021-01-02 20:15:00,220,96,1264.0,970.5,7.766036158664356e-05,9.833435935677036e-05
2021-01-02 20:30:00,243,100,1149.5,921.0,8.595115922646786e-05,0.00010357252718002044
2021-01-02 20:45:00,201,90,1346.0,1017.0,7.082220350073095e-05,9.414275179263491e-05
2021-01-02 21:00:00,199,90,1380.0,1029.5,6.926892738632325e-05,9.215919784634194e-05
2021-01-02 21:15:00,191,101,1437.0,923.5,6.669504406936145e-05,0.0001049371364213943
2021-01-02 21:30:00,208,122,1371.0,760.0,7.185002412848165e-05,0.00012766260239168562
2021-01-02 21:45:00,190,93,1476.5,966.0,6.595774816082026e-05,9.867269312792437e-05
2021-01-02 22:00:00,214,104,1353.0,894.5,7.242332856941253e-05,0.00010801368034805332
2021-01-02 22:15:00,245,95,1173.0,941.0,8.421116310052442e-05,0.00010069906349870946
2021-01-02 22:30:00,238,89,1222.0,991.0,8.124780238349645e-05,9.594166746618056e-05
2021-01-02 22:45:00,217,85,1301.5,1022.0,7.543462685757768e-05,9.359347180028696e-05
2021-01-02 23:00:00,257,86,1092.0,1028.5,9.039845316639048e-05,9.501051191884775e-05
2021-01-02 23:15:00,240,105,1171.0,836.0,8.529499986494958e-05,0.00011825975699309362
2021-01-02 23:30:00,235,119,1192.5,734.0,8.382313390085757e-05,0.0001339328422462451
2021-01-02 23:45:00,175,86,1503.5,969.0,6.419083237536158e-05,9.961809203553354e-05
2021-01-03 00:00:00,186,78,1438.5,1063.0,6.795709641979363e-05,9.05861270830454e-05
2021-01-03 00:15:00,192,90,1373.5,889.5,7.150707491744099e-05,0.00010803815907778627
2021-01-03 00:30:00,172,68,1480.5,1143.0,6.55063661143185e-05,8.339403928840357e-05
2021-01-03 00:45:00,159,58,1589.5,1324.0,5.988102882386504e-05,6.882418624299447e-05
2021-01-03 01:00:00,176,85,1375.5,946.5,6.868675988552728e-05,0.00010027936651754537
2021-01-03 01:15:00,148,76,1579.5,997.5,6.001753485275022e-05,9.682231703448531e-05
2021-01-03 01:30:00,129,57,1724.5,1290.0,5.4028177579311483e-05,7.407436286301311e-05
2021-01-03 01:45:00,148,68,1499.5,1049.5,6.433948992695729e-05,9.263749856956804e-05
2021-01-03 02:00:00,129,65,1720.0,1101.5,5.58236146872363e-05,8.986378033421031e-05
2021-01-03 02:15:00,109,57,1937.5,1208.0,4.905455226244996e-05,8.256131263796429e-05
2021-01-03 02:30:00,121,50,1700.0,1279.0,5.619704821520962e-05,7.490760147358232e-05
2021-01-03 02:45:00,105,49,1928.0,1295.0,4.931763185186299e-05,7.501037133195457e-05
2021-01-03 03:00:00,112,52,1896.0,1336.0,5.031412636482683e-05,7.142052680879352e-05
2021-01-03 03:15:00,112,48,1814.0,1317.0,5.168891212838787e-05,7.276122796699065e-05
2021-01-03 03:30:00,106,63,1891.0,1015.5,4.93221003025399e-05,9.67961994431914e-05
2021-01-03 03:45:00,104,37,1921.0,1591.0,4.9393973935179906e-05,5.821564333006067e-05
2021-01-03 04:00:00,87,35,2330.0,1796.5,4.034530012034029e-05,5.212017423029671e-05
2021-01-03 04:15:00,110,49,1797.0,1261.5,5.246184354733632e-05,7.66466916003047e-05
2021-01-03 04:30:00,101,48,2000.5,1334.0,4.685172634695234e-05,7.241872506834518e-05
2021-01-03 04:45:00,101,46,2065.5,1404.5,4.56843240348395e-05,6.856114014195137e-05
2021-01-03 05:00:00,86,40,2403.0,1674.0,3.8211964432658975e-05,5.6825769349884776e-05
2021-01-03 05:15:00,84,33,2477.0,1901.0,3.757918471064028e-05,4.8463415995277024e-05
2021-01-03 05:30:00,105,44,2034.5,1519.5,4.698827530654256e-05,6.339153348441649e-05
2021-01-03 05:45:00,84,42,2438.0,1506.5,3.796232690986659e-05,6.265140756829004e-05
2021-01-03 06:00:00,93,47,2286.0,1462.5,4.0752456869220975e-05,6.413195354117545e-05
2021-01-03 06:15:00,82,45,2511.0,1468.5,3.6433465826741996e-05,6.544426475550023e-05
2021-01-03 06:30:00,85,42,2508.0,1602.0,3.6982425516307295e-05,5.8010488848864724e-05
2021-01-03 06:45:00,101,52,2094.0,1328.0,4.3866430627628726e-05,7.290315796852546e-05
2021-01-03 07:00:00,110,50,2091.5,1506.5,4.460155002550398e-05,6.209861010890854e-05
2021-01-03 07:15:00,110,47,2071.0,1543.5,4.4454951978548466e-05,6.114863150663723e-05
2021-01-03 07:30:00,92,43,2591.0,1752.5,3.5456646926563894e-05,5.19067898909716e-05
2021-01-03 07:45:00,106,56,2377.0,1400.5,3.9244317348802014e-05,6.726742887069999e-05
2021-01-03 08:00:00,119,54,2290.0,1592.0,4.115516673721838e-05,5.897507866074149e-05
2021-01-03 08:15:00,134,68,2082.0,1261.0,4.510220361288846e-05,7.636142310741581e-05
2021-01-03 08:30:00,130,56,2205.5,1575.5,4.224931450487216e-05,5.9153783993619835e-05
2021-01-03 08:45:00,180,71,1644.5,1301.0,5.832742228114012e-05,7.43757673274587e-05
2021-01-03 09:00:00,185,100,1747.0,1015.5,5.544720871258475e-05,9.151466842862908e-05
2021-01-03 09:15:00,163,74,2014.0,1345.5,4.592661884287461e-05,7.069919593995536e-05
2021-01-03 09:30:00,198,80,1712.0,1249.5,5.507605084687773e-05,7.581587356944923e-05
2021-01-03 09:45:00,167,73,1973.0,1366.5,4.607570210265225e-05,6.756081398749478e-05
2021-01-03 10:00:00,155,80,2309.5,1410.5,3.8675375862273744e-05,6.629277541333545e-05
2021-01-03 10:15:00,182,107,2049.5,1046.5,4.575606236400456e-05,8.938857380112797e-05
2021-01-03 10:30:00,198,113,1902.0,1070.0,4.989034203609037e-05,9.096024232452522e-05
