time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1232,488,238.0,242.0,0.0003978327158638056,0.0004299407950380603
2021-01-02 16:15:00,1209,429,239.0,260.0,0.0004003287397624783,0.0003892190849813147
2021-01-02 16:30:00,1136,400,253.5,271.5,0.0003800991336014995,0.00036707586448660314
2021-01-02 16:45:00,1476,447,194.0,248.0,0.00048662618701677374,0.0004044403387165217
2021-01-02 17:00:00,1292,446,222.5,255.0,0.0004284690489147828,0.0004009633909635797
2021-01-02 17:15:00,1106,393,251.0,267.5,0.00037641850386237375,0.00036923493206734916
2021-01-02 17:30:00,1206,434,235.0,246.5,0.00040776980684356754,0.0004122140739762796
2021-01-02 17:45:00,1083,383,274.0,275.5,0.0003623954641338916,0.00036679148430841135
2021-01-02 18:00:00,1141,405,257.0,270.0,0.00038222227582043793,0.0003773366924063087
2021-01-02 18:15:00,1094,411,279.0,259.0,0.00036816955453166576,0.00039347200269590553
2021-01-02 18:30:00,1116,407,254.0,253.0,0.0003845505771876741,0.00039377277859424086
2021-01-02 18:45:00,1130,430,255.0,241.0,0.00038967129674331353,0.00041983618577848855
2021-01-02 19:00:00,1223,455,248.0,260.0,0.00040960354529786516,0.00041904007588769725
2021-01-02 19:15:00,1200,464,239.5,237.5,0.0004061752172191213,0.0004503105590062112
2021-01-02 19:30:00,1062,390,266.0,264.0,0.0003672820196776011,0.0003897665298486207
2021-01-02 19:45:00,1156,391,242.0,261.0,0.00040574387312712,0.0003963001177751245
2021-01-02 20:00:00,1271,459,221.0,232.5,0.00044286979627989367,0.0004594415233038951
2021-01-02 20:15:00,1099,405,249.0,256.0,0.00038794880628964214,0.000414848078536375
2021-01-02 20:30:00,1155,418,238.0,243.0,0.0004085332876813596,0.0004329331636124855
2021-01-02 20:45:00,1225,391,226.0,253.5,0.00043162785715619614,0.00040899795501022495
2021-01-02 21:00:00,1229,386,228.0,262.0,0.0004277965414964386,0.0003952605596520888
2021-01-02 21:15:00,1189,382,231.0,259.5,0.0004151853790495852,0.00039689095161359034
2021-01-02 21:30:00,1326,426,206.0,234.0,0.00045804390381907063,0.00044577269359719724
2021-01-02 21:45:00,1345,418,205.5,231.5,0.0004669114277700171,0.00044349662072550955
2021-01-02 22:00:00,1264,432,228.0,234.0,0.00042777143603615615,0.0004486722106765291
2021-01-02 22:15:00,1234,393,233.5,255.5,0.00042414928680019234,0.0004165761258420297
2021-01-02 22:30:00,1274,416,222.5,238.0,0.0004349147068763634,0.00044844644568461933
2021-01-02 22:45:00,1241,381,227.0,249.5,0.0004314026356232899,0.0004195189735989333
2021-01-02 23:00:00,1237,381,220.0,252.5,0.0004351085080421208,0.0004209186632683837
2021-01-02 23:15:00,1234,391,217.5,235.5,0.0004385584576389491,0.00044037680937428203
2021-01-02 23:30:00,1103,343,243.0,261.0,0.00039343368805381233,0.0003860417217685888
2021-01-02 23:45:00,1119,335,233.0,260.5,0.00041045452244588347,0.00038804721897562483
2021-01-03 00:00:00,1151,383,228.0,226.5,0.0004205302041891531,0.00044480111118982556
2021-01-03 00:15:00,1105,366,232.0,238.5,0.00041153811345714735,0.0004393551802496642
2021-01-03 00:30:00,1133,361,221.0,225.5,0.0004315041442297841,0.000442724237986966
2021-01-03 00:45:00,1111,332,244.0,265.5,0.0004184139812787048,0.0003939591350461063
2021-01-03 01:00:00,1071,366,245.0,240.0,0.0004179745445306802,0.0004317911546520188
2021-01-03 01:15:00,1090,302,232.0,270.5,0.00044202103371282264,0.0003847413124265074
2021-01-03 01:30:00,1134,319,206.0,251.5,0.0004749453749995288,0.00041455652198774
2021-01-03 01:45:00,1099,303,200.0,244.0,0.0004777641853359869,0.0004127817950967517
2021-01-03 02:00:00,1117,383,198.0,193.5,0.00048337191942358866,0.0005295050441231162
2021-01-03 02:15:00,967,312,220.0,222.0,0.00043519038566779,0.00045191455338675193
2021-01-03 02:30:00,957,317,217.0,210.5,0.0004444675631566578,0.00047491419334251203
2021-01-03 02:45:00,1002,313,199.0,207.0,0.0004706311153863496,0.00047914788218166905
2021-01-03 03:00:00,1136,327,188.0,226.5,0.0005103289959861008,0.0004491252358937592
2021-01-03 03:15:00,982,304,215.0,219.0,0.00045320099741140077,0.0004608211104576075
2021-01-03 03:30:00,994,326,204.0,203.5,0.0004625110160445723,0.0005008819209282602
2021-01-03 03:45:00,938,318,215.0,206.0,0.0004454956495307573,0.0005003398534853864
2021-01-03 04:00:00,945,303,217.0,221.0,0.0004382334323416273,0.0004512117940508544
2021-01-03 04:15:00,921,288,214.0,217.0,0.0004392487082463341,0.00045049484042628067
2021-01-03 04:30:00,994,346,212.0,191.5,0.0004610952078106003,0.0005220183098676548
2021-01-03 04:45:00,1087,358,197.5,192.0,0.0004916718834244606,0.0005335845254525781
2021-01-03 05:00:00,1057,331,206.0,222.5,0.00046965170238744803,0.0004702332413702966
2021-01-03 05:15:00,1026,316,207.0,216.0,0.00045900289896567774,0.0004640739228638648
2021-01-03 05:30:00,1034,325,213.0,216.5,0.00046272263492347625,0.0004682329177826218
2021-01-03 05:45:00,950,334,224.0,202.0,0.00042933584005206267,0.0004982278601859255
2021-01-03 06:00:00,1028,358,214.0,210.0,0.00045046801786622763,0.0004884944546327832
2021-01-03 06:15:00,987,369,218.0,184.0,0.000438534521597492,0.0005366429709951019
