time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,390,128,783.0,863.0,0.0001259373045348086,0.00011277135607555681
2021-01-02 16:15:00,325,114,917.0,943.5,0.00010761525262432209,0.00010342884775727244
2021-01-02 16:30:00,326,91,903.5,1141.0,0.00010907774432578243,8.35097591707022e-05
2021-01-02 16:45:00,322,101,947.0,1061.0,0.00010616099743861868,9.13836112088785e-05
2021-01-02 17:00:00,366,105,818.5,1019.5,0.00012137745503313503,9.439721087707596e-05
2021-01-02 17:15:00,356,106,829.5,964.5,0.00012116183306962483,9.9590083458369e-05
2021-01-02 17:30:00,349,116,862.0,880.0,0.0001180030369721435,0.00011017703359734662
2021-01-02 17:45:00,349,108,891.0,944.0,0.00011678302583816082,0.00010342945249427786
2021-01-02 18:00:00,377,98,794.0,1061.0,0.0001262907957794085,9.130616260695864e-05
2021-01-02 18:15:00,354,93,849.0,1084.0,0.00011913347559799787,8.903381082900051e-05
2021-01-02 18:30:00,411,85,711.0,1148.5,0.0001416221211685789,8.223755818307241e-05
2021-01-02 18:45:00,419,90,692.0,1081.5,0.00014448873746499856,8.78726900466604e-05
2021-01-02 19:00:00,367,103,836.5,1020.5,0.0001229145552937993,9.485962157457762e-05
2021-01-02 19:15:00,317,112,957.0,889.0,0.00010729795321538455,0.00010869565217391303
2021-01-02 19:30:00,305,90,982.5,1062.0,0.00010548118267577056,8.994612227275862e-05
2021-01-02 19:45:00,317,77,918.5,1198.0,0.000111263674551295,7.804375720891197e-05
2021-01-02 20:00:00,332,97,881.0,981.5,0.00011568274773007451,9.709330666770768e-05
2021-01-02 20:15:00,299,70,955.0,1304.5,0.00010554749142912008,7.17021370309784e-05
2021-01-02 20:30:00,306,73,933.5,1221.0,0.00010823479309999656,7.560794484141493e-05
2021-01-02 20:45:00,270,86,1046.0,1066.5,9.51343032099371e-05,8.995862949074002e-05
2021-01-02 21:00:00,286,75,989.5,1217.5,9.955232780144948e-05,7.679933153861829e-05
2021-01-02 21:15:00,248,60,1140.5,1469.5,8.659880067644836e-05,6.233889292360056e-05
2021-01-02 21:30:00,287,78,1023.0,1152.5,9.913921598497227e-05,8.162035234878259e-05
2021-01-02 21:45:00,273,76,1065.5,1155.5,9.477086972581016e-05,8.063574922281992e-05
2021-01-02 22:00:00,285,91,1037.5,1007.0,9.64516291695447e-05,9.451197030454665e-05
2021-01-02 22:15:00,274,77,1053.5,1143.0,9.4179015059362e-05,8.161924094105925e-05
2021-01-02 22:30:00,278,74,1056.5,1157.5,9.490289522105887e-05,7.977172351120633e-05
2021-01-02 22:45:00,288,80,992.5,1084.0,0.00010011600246535656,8.808797345909359e-05
2021-01-02 23:00:00,269,91,1057.0,969.0,9.46193926138484e-05,0.00010053437889087379
2021-01-02 23:15:00,228,76,1238.5,1128.5,8.103024987170211e-05,8.559753839500111e-05
2021-01-02 23:30:00,246,75,1137.5,1135.5,8.774676995579133e-05,8.44114551972133e-05
2021-01-02 23:45:00,238,71,1137.0,1158.5,8.729953203049173e-05,8.224284342468467e-05
2021-01-03 00:00:00,236,68,1148.0,1190.5,8.622513309178118e-05,7.897252104675754e-05
2021-01-03 00:15:00,232,89,1154.5,894.5,8.640438219190786e-05,0.0001068377350880331
2021-01-03 00:30:00,252,67,1040.5,1157.5,9.597444337679223e-05,8.216765635769175e-05
2021-01-03 00:45:00,212,68,1235.0,1142.5,7.984137176515338e-05,8.06904252504073e-05
2021-01-03 01:00:00,246,65,997.5,1204.5,9.600535756727108e-05,7.66842214545935e-05
2021-01-03 01:15:00,298,60,806.5,1243.5,0.00012084611747378084,7.643867134301471e-05
2021-01-03 01:30:00,291,79,817.5,931.5,0.00012187751686495845,0.00010266446782768484
2021-01-03 01:45:00,245,79,928.0,924.5,0.00010650793940611171,0.0001076229762793511
2021-01-03 02:00:00,273,70,852.0,1021.5,0.00011813834736136054,9.677637882145726e-05
2021-01-03 02:15:00,249,70,882.5,983.0,0.00011206039920504621,0.00010139108569574564
2021-01-03 02:30:00,232,53,902.0,1212.5,0.00010774971228040191,7.940205756199728e-05
2021-01-03 02:45:00,219,60,957.0,1065.0,0.00010286248929102852,9.1849434284026e-05
2021-01-03 03:00:00,216,75,1004.0,961.0,9.703438656073746e-05,0.00010301037520499064
2021-01-03 03:15:00,219,49,978.5,1297.0,0.00010107028353675844,7.427708688296963e-05
2021-01-03 03:30:00,220,71,944.0,903.0,0.00010236662326942243,0.00010908778032486648
2021-01-03 03:45:00,227,69,896.5,909.0,0.00010781184695467152,0.00010856430783173477
2021-01-03 04:00:00,203,63,1029.0,1055.0,9.413903361412735e-05,9.381631361453408e-05
2021-01-03 04:15:00,216,63,941.0,1003.5,0.00010301598369295132,9.854574634324892e-05
2021-01-03 04:30:00,206,60,1004.5,1077.5,9.555896660863548e-05,9.052340633543146e-05
2021-01-03 04:45:00,273,57,770.5,1153.5,0.00012348337090605128,8.495619539328756e-05
2021-01-03 05:00:00,257,87,828.5,790.0,0.00011419156813015527,0.00012359604833599942
2021-01-03 05:15:00,270,62,788.0,1085.5,0.00012079023656991516,9.105247853658108e-05
2021-01-03 05:30:00,258,65,810.5,1068.0,0.00011545690503893316,9.364658355652437e-05
2021-01-03 05:45:00,225,63,924.5,1041.5,0.00010168480422285694,9.397711135243506e-05
2021-01-03 06:00:00,264,74,803.0,944.5,0.00011568439369327248,0.00010097371408610601
2021-01-03 06:15:00,246,66,868.5,1005.5,0.00010930039748022597,9.598492164140032e-05
2021-01-03 06:30:00,234,66,933.5,1068.5,0.0001018104420095989,9.115933961964455e-05
2021-01-03 06:45:00,310,84,688.5,825.0,0.00013463953955014757,0.00011776663979531036
2021-01-03 07:00:00,307,104,755.0,765.5,0.00012447887143481566,0.00012916510902652976
2021-01-03 07:15:00,335,84,670.5,871.0,0.00013538553557103397,0.0001092869158842027
2021-01-03 07:30:00,283,65,880.0,1215.5,0.00010906772913279978,7.846375216077102e-05
2021-01-03 07:45:00,319,90,814.0,904.5,0.00011810318145535701,0.00010810836782791071
2021-01-03 08:00:00,344,85,815.5,1055.0,0.00011896955762691699,9.283114233635236e-05
2021-01-03 08:15:00,353,80,835.5,1076.0,0.00011881401399514646,8.983696836166567e-05
2021-01-03 08:30:00,354,95,862.0,995.0,0.0001150481333440365,0.00010035016927489079
2021-01-03 08:45:00,342,96,873.0,968.0,0.00011082210233416621,0.00010056441779487372
2021-01-03 09:00:00,330,87,1018.0,1170.0,9.890583175758359e-05,7.96177615329073e-05
2021-01-03 09:15:00,334,102,1054.0,998.5,9.41073048682216e-05,9.745024305237092e-05
2021-01-03 09:30:00,324,103,1094.5,976.0,9.012444684034536e-05,9.761293722066588e-05
2021-01-03 09:45:00,350,88,1000.5,1163.0,9.65658427301095e-05,8.14431730260211e-05
2021-01-03 10:00:00,417,116,943.5,1037.0,0.00010404923699721388,9.61245243493364e-05
2021-01-03 10:15:00,403,116,1017.0,975.0,0.00010131699523458152,9.690723888720417e-05
2021-01-03 10:30:00,367,104,1103.5,1153.5,9.247351276386448e-05,8.371562125443029e-05
2021-01-03 10:45:00,375,99,1016.0,1148.0,9.730786756165684e-05,8.292672711662094e-05
2021-01-03 11:00:00,411,125,909.5,999.5,0.00010700349596823324,9.911706518334676e-05
2021-01-03 11:15:00,397,120,916.5,980.0,0.00010482919310831232,9.863002889859846e-05
2021-01-03 11:30:00,409,116,887.0,1030.5,0.00010967167411263148,9.462042120769916e-05
2021-01-03 11:45:00,413,128,893.5,978.5,0.00010824604194285131,9.98146410922841e-05
2021-01-03 12:00:00,415,152,902.0,901.5,0.000107961749802417,0.00011017534551205803
2021-01-03 12:15:00,332,122,1100.0,1062.0,8.663928308602863e-05,9.249887219612794e-05
2021-01-03 12:30:00,380,134,940.5,940.0,0.000100284385404505,0.00010364818402967124
2021-01-03 12:45:00,399,143,886.5,869.5,0.00010852609862275212,0.00011282140293020063
2021-01-03 13:00:00,372,138,956.5,925.5,0.00010104952975297464,0.0001051320435612337
2021-01-03 13:15:00,420,148,860.5,868.0,0.00011328767300646065,0.00011421462780694024
2021-01-03 13:30:00,414,137,892.0,920.5,0.00011097532568175439,0.0001057431660584505
2021-01-03 13:45:00,389,124,949.0,1005.0,0.00010350633703579136,9.676160749122124e-05
2021-01-03 14:00:00,361,119,1017.5,1061.0,9.5623895590361e-05,9.084898760636585e-05
2021-01-03 14:15:00,389,136,940.5,914.5,0.0001042416433842465,0.00010641152937623284
2021-01-03 14:30:00,379,140,964.0,895.0,0.00010102272851461137,0.00010883177639112275
2021-01-03 14:45:00,372,123,961.5,983.0,0.00010160239541303422,9.873158013873794e-05
2021-01-03 15:00:00,376,133,951.5,926.0,0.00010302761441476891,0.00010424921362388293
2021-01-03 15:15:00,326,123,1081.5,990.5,9.009325204305794e-05,9.786316183941372e-05
2021-01-03 15:30:00,333,123,1054.5,1004.0,9.219460536971285e-05,9.64900375997358e-05
2021-01-03 15:45:00,371,142,944.0,878.5,0.00010344343972021756,0.00011360336265953472
2021-01-03 16:00:00,451,136,793.5,949.5,0.00012476278472748598,0.00010423005412298841
2021-01-03 16:15:00,454,148,788.5,869.0,0.0001256776976067257,0.00011467907680243741
2021-01-03 16:30:00,436,138,782.5,860.0,0.0001251071732321151,0.00011363458575664575
2021-01-03 16:45:00,393,111,856.5,1056.5,0.00011358923185643248,9.19406179569138e-05
2021-01-03 17:00:00,393,121,852.0,964.0,0.00011398920148098948,9.943412940899971e-05
2021-01-03 17:15:00,395,117,843.0,981.5,0.00011536447434250283,9.801572607871751e-05
2021-01-03 17:30:00,365,117,899.0,977.5,0.00010735808804951532,9.840160470309208e-05
2021-01-03 17:45:00,341,98,967.0,1122.0,0.00010036085761737438,8.392480337617494e-05
2021-01-03 18:00:00,360,97,895.0,1152.5,0.0001072692816533772,8.234512113646455e-05
2021-01-03 18:15:00,385,109,842.5,1027.0,0.00011424867990843489,9.431741878318415e-05
2021-01-03 18:30:00,346,95,948.0,1141.0,0.00010341672726707547,8.350356340469519e-05
2021-01-03 18:45:00,315,77,1036.5,1364.5,9.475394056070268e-05,6.767481635515744e-05
2021-01-03 19:00:00,365,128,910.5,913.5,0.0001083271527498922,0.00010767033362662283
2021-01-03 19:15:00,296,111,1126.5,990.0,8.850933534273446e-05,9.736090547396342e-05
2021-01-03 19:30:00,277,107,1163.0,1048.5,8.3623222138599e-05,9.302632905933863e-05
2021-01-03 19:45:00,294,113,1103.5,973.5,8.89970845887018e-05,9.917221914076488e-05
2021-01-03 20:00:00,294,98,1085.0,1081.0,9.03930066558769e-05,8.820024696069151e-05
2021-01-03 20:15:00,313,109,1033.0,990.0,9.591506031923472e-05,0.00010002771410060402
2021-01-03 20:30:00,259,86,1229.5,1208.5,7.842572024485782e-05,7.83814771809646e-05
2021-01-03 20:45:00,276,76,1122.5,1314.5,8.519925358045233e-05,7.111683372884275e-05
2021-01-03 21:00:00,302,86,1052.0,1187.5,9.288158029089771e-05,7.984743569031822e-05
2021-01-03 21:15:00,263,81,1175.5,1237.5,8.133188853263667e-05,7.596981091020275e-05
2021-01-03 21:30:00,282,87,1062.5,1112.0,8.955778461987959e-05,8.466411701164861e-05
2021-01-03 21:45:00,257,69,1189.5,1363.5,8.04635955455103e-05,6.800937543737912e-05
2021-01-03 22:00:00,298,97,1090.5,1052.5,9.067816311601814e-05,9.257438877044032e-05
2021-01-03 22:15:00,292,91,1079.0,1083.0,9.037251115806491e-05,8.781868048089896e-05
2021-01-03 22:30:00,263,89,1211.5,1156.0,8.12368009503779e-05,8.351796433876763e-05
2021-01-03 22:45:00,283,81,1135.5,1334.5,8.648803271509161e-05,7.385551308610277e-05
2021-01-03 23:00:00,300,88,1106.5,1247.0,9.008367872917152e-05,8.018990427330177e-05
2021-01-03 23:15:00,257,73,1247.0,1459.5,7.909108646533009e-05,6.757132013995593e-05
2021-01-03 23:30:00,353,81,892.0,1218.5,0.00011191274736917858,7.940872848979303e-05
2021-01-03 23:45:00,316,70,933.5,1293.0,0.00010414373417245938,7.364072374103293e-05
