time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1374,585,216.0,199.5,0.00044368681136109495,0.0005154003383140681
2021-01-02 16:15:00,1324,621,221.0,189.0,0.0004384079829987768,0.0005634150390988262
2021-01-02 16:30:00,1292,555,225.0,206.0,0.00043229584561015614,0.0005093177619751618
2021-01-02 16:45:00,1222,554,238.0,210.0,0.00040288428220494415,0.0005012526793041455
2021-01-02 17:00:00,1277,546,225.0,207.0,0.00042349456305276897,0.0004908654965607949
2021-01-02 17:15:00,1155,526,242.0,206.0,0.00039309527302083336,0.0004941923009349254
2021-01-02 17:30:00,1254,552,225.5,198.0,0.0004239994508970429,0.0005242907116011667
2021-01-02 17:45:00,1146,506,256.0,209.0,0.0003834766407178576,0.00048458613853800546
2021-01-02 18:00:00,1159,505,251.0,218.0,0.0003882520750884203,0.0004705062460868787
2021-01-02 18:15:00,1207,556,256.0,194.0,0.00040619803685532053,0.0005322881593647771
2021-01-02 18:30:00,1200,497,238.0,216.0,0.0004134952442878216,0.0004808478401998469
2021-01-02 18:45:00,1192,535,239.5,205.0,0.00041105149178586697,0.000522354324166259
2021-01-02 19:00:00,1140,545,263.0,218.0,0.0003818054306128915,0.0005019271238654835
2021-01-02 19:15:00,1154,519,250.5,208.0,0.0003906051672257218,0.0005036878881987578
2021-01-02 19:30:00,1109,486,253.0,215.0,0.0003835364970079657,0.00048570906027289656
2021-01-02 19:45:00,1095,487,253.0,213.0,0.0003843335130399623,0.0004936014254641576
2021-01-02 20:00:00,1062,494,260.5,221.0,0.0003700454159317444,0.0004944751906582227
2021-01-02 20:15:00,1066,431,255.0,239.0,0.0003762997520516456,0.000441480300862167
2021-01-02 20:30:00,1046,429,262.0,235.5,0.0003699790639954131,0.0004443261416022877
2021-01-02 20:45:00,1028,461,261.0,217.5,0.00036221505074005684,0.00048222009529338543
2021-01-02 21:00:00,1029,440,260.5,230.0,0.0003581795290478725,0.00045055607835989405
2021-01-02 21:15:00,1087,485,249.5,205.5,0.0003795681303842717,0.000503906051132438
2021-01-02 21:30:00,1047,448,264.5,225.0,0.0003616681503005784,0.00046879381861864884
2021-01-02 21:45:00,1162,483,236.0,198.5,0.0004033837019098587,0.0005124614062450266
2021-01-02 22:00:00,1095,451,256.5,221.5,0.00037057731207246116,0.0004684054792016543
2021-01-02 22:15:00,1018,409,273.0,248.5,0.0003499059756585055,0.0004335359681154965
2021-01-02 22:30:00,1040,401,277.5,250.0,0.0003550324137766232,0.000432276501729645
2021-01-02 22:45:00,1032,422,269.0,226.5,0.00035874900883419434,0.00046466405999671874
2021-01-02 23:00:00,1052,431,258.0,220.0,0.00037003569156047783,0.00047615733298864404
2021-01-02 23:15:00,1026,394,262.0,234.0,0.0003646361244226594,0.0004437556595740847
2021-01-02 23:30:00,1016,379,257.0,236.5,0.0003624012938011544,0.0004265592202632512
2021-01-02 23:45:00,1064,415,246.0,213.0,0.0003902802608421984,0.00048071521156681885
2021-01-03 00:00:00,1040,417,249.0,213.0,0.0003799751627773408,0.0004842873717132044
2021-01-03 00:15:00,1041,371,246.0,233.5,0.00038770242181800037,0.0004453573001984301
2021-01-03 00:30:00,1002,354,249.0,233.0,0.00038161266771248337,0.0004341395574719833
2021-01-03 00:45:00,909,323,291.0,275.5,0.0003423387119553039,0.00038327951993943465
2021-01-03 01:00:00,938,352,270.0,254.5,0.00036606920893536695,0.0004152745531079525
2021-01-03 01:15:00,994,337,253.0,247.0,0.000403090740835363,0.00042933053737659934
2021-01-03 01:30:00,885,285,254.0,281.5,0.0003706584275789974,0.00037037181431506555
2021-01-03 01:45:00,907,335,240.0,222.0,0.0003942967389442585,0.00045637591207066614
2021-01-03 02:00:00,994,328,223.0,229.0,0.00043014475193110764,0.0004534664607633997
2021-01-03 02:15:00,865,304,240.5,230.0,0.0003892861257524698,0.00044032700073580965
2021-01-03 02:30:00,860,282,236.5,237.0,0.00039941703690148973,0.0004224788723110044
2021-01-03 02:45:00,878,317,226.0,205.5,0.00041238934062795904,0.0004852711778006041
2021-01-03 03:00:00,1024,465,208.5,162.0,0.0004600148696212738,0.0006386643262709421
2021-01-03 03:15:00,935,320,225.0,202.5,0.00043151011464323807,0.0004850748531132711
2021-01-03 03:30:00,991,354,206.0,184.5,0.00046111510754544386,0.000543902454014123
2021-01-03 03:45:00,904,315,221.0,208.0,0.00042934761959041,0.0004956196661883544
2021-01-03 04:00:00,890,323,227.0,207.0,0.00041272778284026277,0.00048099475075388115
2021-01-03 04:15:00,956,318,207.0,197.5,0.0004559411130113957,0.0004974213863040183
2021-01-03 04:30:00,996,320,211.0,205.0,0.00046202296476796574,0.00048279150045563445
2021-01-03 04:45:00,1021,355,211.0,194.0,0.00046181876078783303,0.0005291131467476682
2021-01-03 05:00:00,1072,378,203.0,202.0,0.00047631657990477216,0.0005370035203564114
2021-01-03 05:15:00,989,342,220.0,204.0,0.00044245016284313367,0.0005022572203146891
2021-01-03 05:30:00,1065,369,206.0,195.0,0.00047659536382350313,0.0005316244512670381
2021-01-03 05:45:00,1057,314,201.0,215.0,0.0004776926136158212,0.0004683938565819778
2021-01-03 06:00:00,1202,453,191.0,164.0,0.0005267145500731572,0.0006181228713649463
2021-01-03 06:15:00,1080,311,201.0,224.0,0.0004798554035717236,0.0004522925853102349
2021-01-03 06:30:00,1343,434,170.0,170.5,0.0005843223231576552,0.0005994417181049356
2021-01-03 06:45:00,1154,380,195.0,191.0,0.0005012065440028076,0.0005327538466930706
2021-01-03 07:00:00,1429,543,176.0,160.0,0.0005794146816949562,0.0006743909057827467
2021-01-03 07:15:00,1217,361,207.0,217.0,0.0004918334232535772,0.00046967353135949025
2021-01-03 07:30:00,1438,511,180.0,171.5,0.0005542028073956399,0.0006168458054485231
2021-01-03 07:45:00,1262,395,210.0,212.5,0.00046722951409611447,0.0004744756143558303
2021-01-03 08:00:00,1513,599,194.0,164.0,0.0005232585485160623,0.0006541865206997065
2021-01-03 08:15:00,1422,493,207.0,189.5,0.0004786218920710999,0.0005536203175287647
2021-01-03 08:30:00,1633,601,186.0,168.0,0.0005307163891265863,0.0006348468603600987
2021-01-03 08:45:00,1439,483,202.0,201.0,0.0004662953370142258,0.0005059647270304584
2021-01-03 09:00:00,1962,929,163.0,125.0,0.000588040126995088,0.0008501712697019641
2021-01-03 09:15:00,1573,512,218.0,210.0,0.0004432059597536305,0.0004891620043413128
2021-01-03 09:30:00,1590,582,222.0,193.0,0.00044227737801280604,0.0005515604802177432
2021-01-03 09:45:00,1668,623,214.0,188.0,0.0004602052162109219,0.0005765806454001266
2021-01-03 10:00:00,1925,751,250.5,170.0,0.0004803232163540449,0.0006223234291926865
2021-01-03 10:15:00,1672,579,247.0,216.0,0.0004203523971022837,0.00048370078720423446
2021-01-03 10:30:00,1948,764,194.0,176.0,0.0004908403347793133,0.0006149878330613918
2021-01-03 10:45:00,1912,641,199.5,203.0,0.0004961403807410345,0.0005369296169874144
2021-01-03 11:00:00,1925,729,194.0,183.0,0.000501172091822017,0.0005780507241492782
