time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,829,181,357.0,618.5,0.00026769750117783665,0.00015946574570059206
2021-01-02 16:15:00,778,195,367.0,576.0,0.00025761435858991566,0.00017691776590059762
2021-01-02 16:30:00,759,155,376.0,691.0,0.0002539570795805793,0.00014224189748855869
2021-01-02 16:45:00,736,140,404.5,776.5,0.0002426537084311284,0.00012667035217072268
2021-01-02 17:00:00,805,144,359.0,756.0,0.0002669640745947369,0.00012945903205998987
2021-01-02 17:15:00,733,141,388.0,748.0,0.00024947085292144664,0.00013247360158141536
2021-01-02 17:30:00,711,156,400.0,666.5,0.0002404016025421032,0.00014816911414815582
2021-01-02 17:45:00,693,169,431.0,615.5,0.00023189294242362594,0.0001618479395512311
2021-01-02 18:00:00,633,148,465.0,706.5,0.00021204794092404664,0.00013789093944724368
2021-01-02 18:15:00,696,160,430.5,662.5,0.00023422852829436876,0.0001531764487380654
2021-01-02 18:30:00,757,170,389.0,625.5,0.00026084658327156745,0.00016447511636614486
2021-01-02 18:45:00,862,141,334.0,714.5,0.00029725367946259847,0.00013766721440643462
2021-01-02 19:00:00,727,130,431.5,828.5,0.00024348469127681764,0.00011972573596791352
2021-01-02 19:15:00,748,174,407.5,599.5,0.0002531825520665857,0.0001688664596273292
2021-01-02 19:30:00,643,134,466.0,732.0,0.00022237508347711625,0.0001339197820505517
2021-01-02 19:45:00,611,124,480.0,774.5,0.00021445459038120268,0.00012568085576500113
2021-01-02 20:00:00,628,159,466.0,645.5,0.00021882158305568312,0.0001591529459810878
2021-01-02 20:15:00,625,156,460.5,636.5,0.00022062602723478281,0.00015979333395475183
2021-01-02 20:30:00,535,146,526.0,670.0,0.0001892340336879025,0.00015121588968282986
2021-01-02 20:45:00,579,159,490.0,609.5,0.00020401022799464288,0.00016631886150032162
2021-01-02 21:00:00,569,167,495.0,596.5,0.0001980604004161705,0.00017100651155932338
2021-01-02 21:15:00,593,153,474.0,631.5,0.00020706890645618505,0.00015896417695518148
2021-01-02 21:30:00,615,190,463.5,512.5,0.0002124411771106549,0.00019881880700344483
2021-01-02 21:45:00,580,137,485.5,676.0,0.00020134470491197764,0.0001453565479411359
2021-01-02 22:00:00,529,152,556.5,649.0,0.00017902776080943559,0.000157866148201001
2021-01-02 22:15:00,509,155,558.0,621.5,0.00017495298782925275,0.00016429847202421017
2021-01-02 22:30:00,482,153,595.0,613.5,0.00016454386869262726,0.00016493342834073737
2021-01-02 22:45:00,519,148,556.0,622.5,0.000180417379442778,0.00016296275089932317
2021-01-02 23:00:00,497,141,553.0,645.0,0.00017481724211554893,0.00015577304861113413
2021-01-02 23:15:00,492,165,568.5,554.0,0.00017485474972314666,0.00018583676098914717
2021-01-02 23:30:00,537,133,503.0,675.5,0.00019154477831812984,0.00014968964721639161
2021-01-02 23:45:00,491,149,545.0,597.5,0.00018010113540744305,0.0001725941362010988
2021-01-03 00:00:00,513,145,519.5,613.5,0.0001874300562545921,0.00016839728752617418
2021-01-03 00:15:00,485,137,534.5,618.0,0.00018062985070291083,0.00016445808659618576
2021-01-03 00:30:00,476,138,542.5,601.5,0.00018128505971171867,0.00016924084443823077
2021-01-03 00:45:00,466,135,564.0,617.0,0.0001755003737856673,0.00016019422660007337
2021-01-03 01:00:00,401,141,614.5,586.0,0.00015649653814827518,0.00016634577269381053
2021-01-03 01:15:00,375,124,644.5,641.5,0.00015207145655257658,0.0001579732541088971
2021-01-03 01:30:00,380,135,629.5,585.0,0.00015915277116386331,0.00017543928046503103
2021-01-03 01:45:00,367,139,619.5,557.0,0.00015954454596752246,0.00018936194560544053
2021-01-03 02:00:00,411,127,548.0,596.5,0.00017785663284072958,0.0001755800015760725
2021-01-03 02:15:00,427,116,499.5,603.0,0.00019216783317491863,0.0001680195134386642
