time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,684,259,433.5,438.0,0.00022087465718412583,0.00022818579080913448
2021-01-02 16:15:00,711,265,409.0,424.0,0.0002354290603565939,0.00024042670750594038
2021-01-02 16:30:00,701,246,416.0,446.0,0.00023455060973120702,0.00022575165665926088
2021-01-02 16:45:00,691,224,436.5,499.5,0.0002278175441928121,0.00020267256347315628
2021-01-02 17:00:00,678,258,436.0,449.5,0.00022484676096302066,0.00023194743244081518
2021-01-02 17:15:00,607,219,484.0,499.5,0.00020658773222826483,0.0002057568705413473
2021-01-02 17:30:00,576,225,499.0,480.5,0.0001947557286417039,0.00021370545309830162
2021-01-02 17:45:00,604,224,497.0,479.0,0.00020211159772564225,0.00021452034591405781
2021-01-02 18:00:00,656,259,452.0,430.5,0.00021975268443313523,0.00024130914403267643
2021-01-02 18:15:00,598,258,514.5,429.5,0.00020124807459774786,0.00024699702359013044
2021-01-02 18:30:00,660,262,446.5,408.0,0.0002274223843583019,0.0002534851793407644
2021-01-02 18:45:00,607,237,473.5,449.0,0.00020931900630370912,0.00023139808378953906
2021-01-02 19:00:00,603,266,518.5,438.0,0.00020195497777155576,0.0002449772751343461
2021-01-02 19:15:00,558,229,545.0,474.5,0.00018887147600689144,0.00022224378881987577
2021-01-02 19:30:00,570,219,519.5,473.5,0.00019712876762357118,0.00021886889753037933
2021-01-02 19:45:00,529,219,543.5,473.5,0.0001856734505919087,0.00022196860816560684
2021-01-02 20:00:00,597,260,497.0,408.0,0.00020801988070739304,0.0002602501003464329
2021-01-02 20:15:00,690,303,399.0,344.5,0.00024357113406720026,0.0003103678217198065
2021-01-02 20:30:00,587,280,471.0,365.5,0.00020762687434541823,0.00029000307610405724
2021-01-02 20:45:00,692,270,400.5,363.5,0.00024382569563435733,0.0002824282553779047
2021-01-02 21:00:00,593,271,475.5,373.0,0.00020641444190999843,0.0002775015846262074
2021-01-02 21:15:00,613,240,455.5,410.0,0.0002140526807042857,0.00024935557169440225
2021-01-02 21:30:00,861,252,310.0,399.5,0.0002974176479549169,0.00026369652297298995
2021-01-02 21:45:00,971,273,272.0,357.0,0.0003370788077060868,0.0002896520991819716
2021-01-02 22:00:00,744,265,372.5,380.0,0.00025178951614786407,0.000275227166271482
2021-01-02 22:15:00,697,274,398.0,359.0,0.00023957216604516537,0.00029043729893311985
2021-01-02 22:30:00,665,218,431.0,451.5,0.0002270159184244754,0.0002350031854789592
2021-01-02 22:45:00,601,235,479.0,407.5,0.00020892263014471975,0.00025875842203608744
2021-01-02 23:00:00,589,258,473.0,366.0,0.000207177777879393,0.0002850315357565433
2021-01-02 23:15:00,636,283,429.0,329.5,0.0002260317496421164,0.00031873820218138567
2021-01-02 23:30:00,659,259,407.5,359.5,0.00023506146910921334,0.00029150089194770985
2021-01-02 23:45:00,604,240,432.0,379.0,0.00022155007288410507,0.00027800397777358196
2021-01-03 00:00:00,613,255,432.0,349.5,0.00022396612959856718,0.0002961469539253408
2021-01-03 00:15:00,585,245,442.5,357.0,0.000217873118889078,0.0002941038774895293
2021-01-03 00:30:00,580,216,443.5,398.5,0.0002208935601529345,0.0002648987130337525
2021-01-03 00:45:00,606,236,423.5,379.5,0.00022822580797020257,0.000280043240574943
2021-01-03 01:00:00,582,262,427.0,340.5,0.0002271346264396413,0.00030909640032466916
2021-01-03 01:15:00,579,225,427.5,375.0,0.00023479832891717823,0.0002866450175363052
2021-01-03 01:30:00,564,237,417.0,354.0,0.00023621621825373388,0.00030799340348305453
2021-01-03 01:45:00,670,321,309.5,226.0,0.0002912666098044688,0.0004373034858945785
2021-01-03 02:00:00,592,237,366.5,315.0,0.0002561827898825108,0.00032765716829550527
