time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1210,572,245.5,205.5,0.0003907285602233805,0.0005039469974626445
2021-01-02 16:15:00,1192,589,242.0,198.5,0.0003946996342405906,0.000534382380079241
2021-01-02 16:30:00,1075,556,264.0,205.0,0.0003596888808288838,0.0005102354516363783
2021-01-02 16:45:00,1077,524,272.0,225.5,0.0003550788641037028,0.00047410903241041914
2021-01-02 17:00:00,1151,578,252.0,200.0,0.00038170888181185365,0.0005196341703519039
2021-01-02 17:15:00,978,513,286.5,213.0,0.0003328546987137446,0.0004819784227749368
2021-01-02 17:30:00,1127,560,252.0,195.0,0.0003810585176722227,0.0005318891277113286
2021-01-02 17:45:00,1152,567,254.5,189.0,0.00038548437182109237,0.0005430046255949588
2021-01-02 18:00:00,1136,530,259.0,209.5,0.0003805473315793317,0.0004937986345070213
2021-01-02 18:15:00,1129,558,272.0,192.0,0.0003799482879947447,0.0005342028649740031
2021-01-02 18:30:00,1039,482,276.0,220.0,0.0003580179656792056,0.0004663353299322459
2021-01-02 18:45:00,1076,538,263.0,203.0,0.0003710498365449605,0.0005252834138344812
2021-01-02 19:00:00,994,479,297.0,240.0,0.0003329075421308896,0.00044114328868177365
2021-01-02 19:15:00,974,456,290.0,242.0,0.0003296788846428535,0.0004425465838509316
2021-01-02 19:30:00,938,428,301.0,242.5,0.00032439786672089436,0.00042774378147489647
2021-01-02 19:45:00,968,482,280.0,216.0,0.00033975784531751915,0.0004885336490220205
2021-01-02 20:00:00,1012,520,274.0,207.0,0.0003526233153699862,0.0005205002006928659
2021-01-02 20:15:00,971,445,278.0,231.0,0.0003427645959119585,0.0004558207282683626
2021-01-02 20:30:00,1038,446,264.0,226.5,0.0003671493962019492,0.0004619334712228912
2021-01-02 20:45:00,909,409,289.0,241.5,0.0003202854874734549,0.00042782650536875186
2021-01-02 21:00:00,964,472,272.0,214.5,0.00033555400000208845,0.0004833237931497044
2021-01-02 21:15:00,1044,447,261.0,224.5,0.00036455301575085525,0.0004644247522808241
2021-01-02 21:30:00,996,425,272.5,235.0,0.000344051077076768,0.00044472627882349494
2021-01-02 21:45:00,1048,446,260.0,218.0,0.0003638090530133665,0.0004732045283339169
2021-01-02 22:00:00,1112,434,253.0,233.0,0.0003763305671457323,0.00045074939683706876
2021-01-02 22:15:00,1145,454,254.0,218.5,0.0003935582928575528,0.0004812355245096221
2021-01-02 22:30:00,1193,407,238.0,245.0,0.0004072631438802994,0.0004387444793116347
2021-01-02 22:45:00,1132,394,247.0,246.0,0.00039351150969022094,0.00043383326928603597
