time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2115,899,146.0,142.0,0.0006829676899772312,0.0007920425711869185
2021-01-02 16:15:00,2060,864,147.0,144.0,0.0006821151397110878,0.0007838817935288017
2021-01-02 16:30:00,2019,896,146.0,136.0,0.0006755459073428059,0.0008222499364499911
2021-01-02 16:45:00,1969,861,155.0,145.0,0.0006491646085609943,0.0007790226658499445
2021-01-02 17:00:00,2122,919,141.0,134.5,0.0007037239332795426,0.0008262003504384076
2021-01-02 17:15:00,2023,906,144.0,131.0,0.0006885123266849747,0.0008512133548422861
2021-01-02 17:30:00,1932,797,155.0,146.0,0.0006532431731523817,0.0007569922049748731
2021-01-02 17:45:00,2024,859,151.0,138.0,0.0006772746254912247,0.0008226472193757841
2021-01-02 18:00:00,1993,873,153.0,138.0,0.0006676327745049367,0.0008133702036313765
2021-01-02 18:15:00,2149,912,140.0,128.0,0.0007232142346330437,0.0008731057578069728
2021-01-02 18:30:00,2019,814,142.0,142.0,0.0006957057485142598,0.0007875455571884817
2021-01-02 18:45:00,1925,774,150.0,147.0,0.0006638205718857332,0.0007557051344012795
2021-01-02 19:00:00,1921,825,151.0,146.5,0.0006433756422871619,0.0007597979397963742
2021-01-02 19:15:00,1867,768,154.0,148.0,0.0006319409421234164,0.0007453416149068322
2021-01-02 19:30:00,1936,838,147.0,134.0,0.0006695461300337437,0.0008374983384952414
2021-01-02 19:45:00,1992,829,141.0,132.0,0.0006991711031740683,0.0008402373341063383
2021-01-02 20:00:00,2009,700,142.0,154.0,0.0007000200005714449,0.0007006733470865503
2021-01-02 20:15:00,2093,794,134.0,139.0,0.0007388324400038407,0.0008133070971799549
2021-01-02 20:30:00,2034,766,136.0,140.5,0.0007194430364882125,0.0007933655581989568
2021-01-02 20:45:00,2072,768,133.0,139.0,0.0007300676898184803,0.0008033514819638178
2021-01-02 21:00:00,1947,719,143.0,145.0,0.0006777216161867908,0.0007362495916835541
2021-01-02 21:15:00,1860,716,148.0,148.5,0.0006494910050733628,0.0007439107888883001
2021-01-02 21:30:00,2002,728,144.0,144.5,0.000691556482236636,0.0007617899552553043
2021-01-02 21:45:00,1951,725,150.0,142.0,0.0006772819297987387,0.00076922260771769
2021-01-02 22:00:00,2089,734,140.0,141.0,0.0007069735204743119,0.0007623273209179918
2021-01-02 22:15:00,1857,727,149.0,149.0,0.0006382862443986688,0.0007706128333006503
2021-01-02 22:30:00,1841,694,153.0,153.5,0.0006284756478488107,0.0007481294069834754
2021-01-02 22:45:00,1812,727,154.0,134.0,0.0006298965155112018,0.000800499458809513
2021-01-02 23:00:00,1785,728,155.0,134.0,0.0006278647428093659,0.0008042750311269903
2021-01-02 23:15:00,1805,650,153.0,145.0,0.000641489478150975,0.0007320842099572463
2021-01-02 23:30:00,1878,706,146.0,136.0,0.0006698716828332362,0.0007945931649231011
2021-01-02 23:45:00,1794,651,148.0,142.0,0.0006580477330365638,0.0007540857897108411
2021-01-03 00:00:00,1704,663,154.0,142.0,0.0006225746897813352,0.000769982080205886
2021-01-03 00:15:00,1778,685,144.0,133.0,0.0006621853083500523,0.0008222904329809287
2021-01-03 00:30:00,1512,596,169.0,145.0,0.0005758466602607534,0.0007309242267042429
2021-01-03 00:45:00,1553,591,182.0,165.0,0.0005848757092041661,0.0007012947253380987
2021-01-03 01:00:00,1501,534,183.0,176.0,0.0005857887874328206,0.0006299903731808144
2021-01-03 01:15:00,1491,547,158.0,167.0,0.0006046361112530445,0.0006968658870771507
2021-01-03 01:30:00,1384,509,168.5,172.0,0.0005796511455020705,0.0006614710648644505
2021-01-03 01:45:00,1441,494,154.0,154.0,0.000626440574221253,0.0006729841807848031
2021-01-03 02:00:00,1438,517,154.0,148.0,0.0006222818443429906,0.0007147626835813343
2021-01-03 02:15:00,1388,514,153.0,143.5,0.0006246579682594545,0.0007445002578230465
2021-01-03 02:30:00,1303,493,160.0,147.0,0.0006051632547472572,0.0007385889505295218
2021-01-03 02:45:00,1325,458,154.0,148.0,0.0006223415447973187,0.0007011173483680652
2021-01-03 03:00:00,1244,487,173.0,152.0,0.0005588461892664696,0.0006688807029977393
2021-01-03 03:15:00,1376,501,151.0,138.0,0.0006350352061487652,0.0007594453169054651
2021-01-03 03:30:00,1574,454,132.0,144.5,0.0007323866592094133,0.0006975472150350618
2021-01-03 03:45:00,1491,481,132.0,136.5,0.0007081386070899349,0.0007568033632907887
2021-01-03 04:00:00,1476,480,137.0,144.0,0.0006844788848002558,0.0007147909608726408
2021-01-03 04:15:00,1498,513,131.0,129.0,0.0007144349239446348,0.0008024439345093126
2021-01-03 04:30:00,1590,536,129.0,131.0,0.0007375667811054874,0.0008086757632631878
2021-01-03 04:45:00,1611,525,127.0,136.0,0.0007286875843576875,0.0007824912733592277
2021-01-03 05:00:00,1585,568,137.0,132.5,0.0007042553909972611,0.000806925924768364
2021-01-03 05:15:00,1536,519,138.0,138.5,0.0006871622347088508,0.0007621973606529932
2021-01-03 05:30:00,1452,457,152.0,157.0,0.0006497807213819028,0.0006584075182358713
2021-01-03 05:45:00,1510,503,137.0,136.0,0.0006824180194511733,0.000750325190639283
2021-01-03 06:00:00,1554,518,143.0,148.0,0.0006809604083308537,0.0007068159986027421
2021-01-03 06:15:00,1608,510,129.0,139.0,0.000714451378651233,0.0007417016672290026
2021-01-03 06:30:00,1665,533,131.0,138.5,0.0007244204527606076,0.0007361807275344022
2021-01-03 06:45:00,1572,517,135.0,142.0,0.0006827527618478451,0.0007248256282639937
2021-01-03 07:00:00,1521,533,162.0,163.0,0.0006167177962617414,0.000661971183760965
2021-01-03 07:15:00,1563,529,156.0,156.0,0.0006316644540224659,0.0006882473631278956
2021-01-03 07:30:00,1602,569,161.0,155.5,0.0006174081345256018,0.0006868596150689032
2021-01-03 07:45:00,1698,578,153.0,156.0,0.000628649536398734,0.0006942959622725821
2021-01-03 08:00:00,1890,696,150.0,146.0,0.0006536408834734684,0.0007601232360717793
2021-01-03 08:15:00,1880,660,152.0,146.0,0.0006327771850166441,0.0007411549889837419
2021-01-03 08:30:00,1950,676,149.0,149.0,0.0006337397175730825,0.0007140706782086968
