time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,559,252,555.5,453.5,0.0001805101364998923,0.00022201860727375248
2021-01-02 16:15:00,475,254,636.5,443.0,0.00015728383075862463,0.0002304467309679579
2021-01-02 16:30:00,472,237,635.0,464.0,0.00015792851325696107,0.00021749244970831235
2021-01-02 16:45:00,510,259,607.5,444.0,0.00016814319470091776,0.00023434015151583697
2021-01-02 17:00:00,527,251,568.5,463.5,0.00017477026995208245,0.0002256542850490101
2021-01-02 17:15:00,537,249,542.0,441.5,0.00018276377628760826,0.00023394274321824414
2021-01-02 17:30:00,548,285,527.5,384.0,0.00018528843627717664,0.0002706935739245154
2021-01-02 17:45:00,486,250,641.0,432.5,0.00016262621936202336,0.0002394200289219395
2021-01-02 18:00:00,627,240,470.5,462.5,0.00021003800783471919,0.0002236069288333681
2021-01-02 18:15:00,600,287,510.0,377.5,0.00020192114508135237,0.0002747602549239048
2021-01-02 18:30:00,583,227,503.0,476.5,0.00020088977284983333,0.00021962265538302868
2021-01-02 18:45:00,664,237,437.0,449.0,0.00022897499206863726,0.00023139808378953906
2021-01-02 19:00:00,795,260,376.5,449.0,0.00026625905029583225,0.00023945147193582701
2021-01-02 19:15:00,897,254,324.0,434.5,0.00030361597487129315,0.00024650621118012424
2021-01-02 19:30:00,736,246,401.5,433.0,0.0002545381981946463,0.0002458527342122069
2021-01-02 19:45:00,637,206,454.0,496.0,0.00022358031763146664,0.00020879238941605023
2021-01-02 20:00:00,623,197,472.0,532.5,0.00021707937299950733,0.0001971894991086434
2021-01-02 20:15:00,668,233,418.5,445.0,0.00023580509790853584,0.0002386656846888281
2021-01-02 20:30:00,546,182,515.5,551.5,0.00019312482690391543,0.0001885019994676372
2021-01-02 20:45:00,712,238,384.0,419.5,0.0002508726810573156,0.00024895527696274563
2021-01-02 21:00:00,748,224,372.5,447.0,0.0002603676265576372,0.0002293740035286733
2021-01-02 21:15:00,643,213,434.0,466.0,0.00022452834207643672,0.000221303069878782
2021-01-02 21:30:00,681,250,410.0,401.5,0.00023523974245911542,0.00026160369342558524
2021-01-02 21:45:00,607,227,466.0,428.5,0.0002107176480716732,0.00024084625096815952
2021-01-02 22:00:00,594,217,490.0,463.5,0.00020102550079547206,0.00022537469841853432
2021-01-02 22:15:00,621,227,465.0,440.5,0.00021344951953234965,0.00024061776225481105
2021-01-02 22:30:00,540,206,539.0,469.5,0.00018434375330709282,0.00022206723031497973
2021-01-02 22:45:00,703,226,397.5,429.5,0.0002443803810178669,0.0002488485250219394
2021-01-02 23:00:00,661,207,411.0,467.5,0.00023250341456414048,0.0002286880926418778
2021-01-02 23:15:00,582,195,468.0,483.0,0.00020684037467250276,0.00021962526298717388
2021-01-02 23:30:00,569,208,480.5,451.0,0.00020295899229611896,0.00023410110241360487
2021-01-02 23:45:00,582,208,449.5,433.5,0.00021348036824263107,0.0002409367807371044
2021-01-03 00:00:00,501,170,542.5,527.5,0.00018304572745331512,0.00019743130261689384
2021-01-03 00:15:00,526,205,490.5,432.0,0.00019589959065923935,0.0002460869178994021
2021-01-03 00:30:00,485,173,537.5,486.0,0.00018471271840374693,0.0002121642470131444
2021-01-03 00:45:00,589,161,445.0,534.5,0.00022182343381922328,0.00019104644801934672
2021-01-03 01:00:00,489,155,513.5,544.5,0.00019083991809103884,0.0001828623742378768
2021-01-03 01:15:00,448,165,538.0,511.0,0.0001816747000948115,0.00021020634619329048
2021-01-03 01:30:00,398,137,599.0,578.5,0.00016669158664004628,0.00017803838091636485
2021-01-03 01:45:00,415,153,536.0,510.5,0.00018041140756545456,0.00020843437178152808
2021-01-03 02:00:00,361,134,626.0,564.0,0.00015621957288443645,0.00018525763945821815
2021-01-03 02:15:00,376,140,577.0,512.5,0.00016921570321725858,0.0002027821713914913
2021-01-03 02:30:00,330,142,628.0,489.5,0.00015326467695057168,0.00021273758818497382
2021-01-03 02:45:00,411,120,490.5,560.5,0.00019304330182014941,0.000183698868568052
2021-01-03 03:00:00,350,130,610.5,589.5,0.00015723164489008382,0.00017855131702198382
2021-01-03 03:15:00,470,98,446.5,676.0,0.0002169088276816277,0.00014855417376593926
2021-01-03 03:30:00,373,123,539.5,552.5,0.00017355795672497533,0.00018898305605575465
2021-01-03 03:45:00,307,92,661.0,681.5,0.00014580721152019453,0.00014475241044231303
2021-01-03 04:00:00,336,95,607.5,713.0,0.00015581633149924526,0.0001414690443393768
2021-01-03 04:15:00,327,82,602.0,777.0,0.00015595475309071797,0.00012826589206581604
2021-01-03 04:30:00,317,86,635.5,764.5,0.00014704947774241478,0.00012975021574745176
2021-01-03 04:45:00,274,94,765.0,725.5,0.00012393569094600022,0.00014010319942050933
2021-01-03 05:00:00,281,93,766.5,742.5,0.00012485537215787407,0.00013211991373848214
2021-01-03 05:15:00,280,105,764.5,665.0,0.0001252639490354676,0.00015420177816679052
2021-01-03 05:30:00,254,85,821.5,816.0,0.0001136668755034458,0.00012246091695853183
2021-01-03 05:45:00,241,99,867.5,664.0,0.0001089157236342601,0.00014767831783954078
2021-01-03 06:00:00,252,97,846.0,741.0,0.00011042601216176009,0.00013235743603178766
