time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,413,99,741.5,1102.5,0.00013336437634070756,8.722159571468846e-05
2021-01-02 16:15:00,427,83,712.5,1235.0,0.00014138988575564782,7.530345933204924e-05
2021-01-02 16:30:00,370,93,801.0,1120.5,0.00012379989386668557,8.534513849313522e-05
2021-01-02 16:45:00,362,106,840.5,1003.5,0.00011934869898378867,9.590755235783288e-05
2021-01-02 17:00:00,454,117,662.5,920.0,0.00015056110542361562,0.00010518546354874178
2021-01-02 17:15:00,463,106,633.0,964.5,0.000157578451436057,9.9590083458369e-05
2021-01-02 17:30:00,472,96,614.0,1052.5,0.000159591499859174,9.118099332194204e-05
2021-01-02 17:45:00,451,115,688.5,888.0,0.00015091445459315336,0.00011013321330409216
2021-01-02 18:00:00,483,88,607.5,1156.0,0.00016179961369086024,8.198920723890165e-05
2021-01-02 18:15:00,543,143,558.0,723.0,0.00018273863629862387,0.00013690145105964594
2021-01-02 18:30:00,441,86,662.5,1134.5,0.00015195950227577443,8.320505886757915e-05
2021-01-02 18:45:00,446,97,643.5,1011.5,0.00015379946756417508,9.47072326058451e-05
2021-01-02 19:00:00,490,120,623.0,883.0,0.00016410935175466393,0.00011051606397038171
2021-01-02 19:15:00,402,103,752.5,961.5,0.00013606869776840565,9.99611801242236e-05
2021-01-02 19:30:00,366,90,813.0,1062.0,0.00012657741921092466,8.994612227275862e-05
2021-01-02 19:45:00,371,82,768.5,1140.0,0.00013021710807107394,8.311153365104913e-05
2021-01-02 20:00:00,454,116,644.5,838.0,0.00015819267310076456,0.00011611158323148545
2021-01-02 20:15:00,396,77,716.5,1196.5,0.00013978865085595839,7.887235073407625e-05
2021-01-02 20:30:00,520,85,546.0,1078.0,0.0001839284065751576,8.803664810301737e-05
2021-01-02 20:45:00,462,89,600.0,1029.5,0.0001627853632703368,9.309672121716118e-05
2021-01-02 21:00:00,414,77,684.5,1195.5,0.00014410721576853182,7.884731371298144e-05
2021-01-02 21:15:00,375,80,758.5,1139.0,0.00013094576715188768,8.311852389813409e-05
2021-01-02 21:30:00,463,82,613.0,1104.0,0.0001599353902475337,8.580601144359195e-05
2021-01-02 21:45:00,391,78,713.0,1129.5,0.0001357341027941091,8.275774262342045e-05
2021-01-02 22:00:00,530,102,553.5,904.5,0.00017936618757845155,0.00010593649418751382
2021-01-02 22:15:00,515,96,552.5,927.5,0.00017701530202763295,0.00010175905364080114
2021-01-02 22:30:00,589,95,495.0,930.0,0.0002010712420331068,0.00010240964504817026
2021-01-02 22:45:00,544,96,525.5,905.0,0.00018910800465678465,0.00010570556815091232
2021-01-02 23:00:00,512,100,538.5,888.0,0.00018009341642487132,0.00011047733944052066
2021-01-02 23:15:00,568,98,483.5,889.0,0.000201864833013714,0.00011037577319355402
2021-01-02 23:30:00,479,77,562.5,1103.0,0.00017085651548302456,8.666242733580565e-05
2021-01-02 23:45:00,457,73,583.0,1120.0,0.00016762977368880137,8.455954323946451e-05
2021-01-03 00:00:00,427,63,639.5,1282.0,0.00015600903317877356,7.31657180286136e-05
2021-01-03 00:15:00,427,86,618.5,926.5,0.00015902875515493386,0.00010323646311877355
2021-01-03 00:30:00,402,67,655.0,1157.5,0.00015310208824393046,8.216765635769175e-05
2021-01-03 00:45:00,343,58,776.5,1324.0,0.00012917731375211138,6.882418624299447e-05
2021-01-03 01:00:00,280,44,879.5,1686.0,0.00010927439072697521,5.190931913849406e-05
2021-01-03 01:15:00,304,73,789.0,1036.5,0.00012327926077862207,9.300038346733456e-05
2021-01-03 01:30:00,295,47,801.5,1511.5,0.00012355280919299912,6.107886060634415e-05
2021-01-03 01:45:00,247,56,916.5,1283.5,0.00010737739197269223,7.628970470435015e-05
2021-01-03 02:00:00,224,40,1033.0,1699.5,9.693402860419326e-05,5.5300787897975584e-05
2021-01-03 02:15:00,179,34,1193.0,1882.5,8.05574757337481e-05,4.9247098766505016e-05
2021-01-03 02:30:00,157,27,1309.5,2218.0,7.291683115527199e-05,4.045010479573446e-05
2021-01-03 02:45:00,179,36,1178.5,1705.0,8.407482001412833e-05,5.51096605704156e-05
2021-01-03 03:00:00,160,31,1354.5,2089.5,7.187732337832404e-05,4.257762175139613e-05
2021-01-03 03:15:00,131,31,1556.0,1951.5,6.045756686445367e-05,4.699162639534813e-05
2021-01-03 03:30:00,118,28,1705.0,2088.5,5.490573429905385e-05,4.3020533085862845e-05
2021-01-03 03:45:00,131,29,1520.0,2004.5,6.221740947604392e-05,4.562847720464215e-05
2021-01-03 04:00:00,136,30,1528.0,2068.0,6.306851513064689e-05,4.467443505454004e-05
2021-01-03 04:15:00,137,23,1456.5,2434.0,6.533884150895524e-05,3.5977018506265474e-05
2021-01-03 04:30:00,132,33,1555.5,1874.0,6.123195918611593e-05,4.97878734844873e-05
2021-01-03 04:45:00,123,24,1694.5,2452.0,5.563536491371543e-05,3.577102963927897e-05
2021-01-03 05:00:00,104,19,2042.0,3173.0,4.6209817453448056e-05,2.6992240441195276e-05
2021-01-03 05:15:00,124,30,1721.5,2084.0,5.5474034572849925e-05,4.4057650904797294e-05
2021-01-03 05:30:00,132,28,1657.0,2217.0,5.9070974671082066e-05,4.034006676281049e-05
2021-01-03 05:45:00,153,26,1372.0,2330.0,6.914566687154273e-05,3.878420468513193e-05
2021-01-03 06:00:00,147,35,1466.5,1904.5,6.441517376102671e-05,4.775783774342852e-05
2021-01-03 06:15:00,189,35,1119.0,1818.0,8.397469562505165e-05,5.0901094809833506e-05
2021-01-03 06:30:00,233,38,941.0,1754.5,0.00010137535465058352,5.248568038706808e-05
2021-01-03 06:45:00,183,40,1182.5,1666.0,7.948076044411938e-05,5.607935228348112e-05
2021-01-03 07:00:00,191,44,1220.5,1678.0,7.744450958973872e-05,5.464677689583952e-05
2021-01-03 07:15:00,197,43,1176.5,1662.5,7.961477763430954e-05,5.5944492655008536e-05
2021-01-03 07:30:00,264,52,953.5,1468.0,0.00010174516074579204,6.277100172861681e-05
2021-01-03 07:45:00,305,56,854.0,1400.5,0.00011291996973004353,6.726742887069999e-05
2021-01-03 08:00:00,313,66,893.0,1329.0,0.00010824846377100295,7.208065169646181e-05
2021-01-03 08:15:00,345,55,854.0,1537.5,0.00011612134512273521,6.176291574864515e-05
2021-01-03 08:30:00,316,57,955.0,1555.0,0.0001026983337195354,6.021010156493448e-05
2021-01-03 08:45:00,346,87,866.5,1059.5,0.00011211826727374712,9.113650362660432e-05
2021-01-03 09:00:00,325,82,1033.0,1233.5,9.740725854913536e-05,7.504202811147585e-05
2021-01-03 09:15:00,317,76,1106.0,1313.0,8.931741210546779e-05,7.260998501941362e-05
2021-01-03 09:30:00,319,73,1112.5,1355.0,8.873363747552523e-05,6.918198463212242e-05
2021-01-03 09:45:00,332,66,1037.5,1512.5,9.159959938970389e-05,6.108237976951582e-05
2021-01-03 10:00:00,345,85,1146.0,1353.5,8.608390111280285e-05,7.043607387666892e-05
