time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,871,72,341.5,1433.0,0.00028125998012773924,6.34338877925007e-05
2021-01-02 16:15:00,774,71,370.0,1421.0,0.00025628986317300094,6.441621219970479e-05
2021-01-02 16:30:00,829,82,350.0,1244.5,0.0002773786811229253,7.525055221975362e-05
2021-01-02 16:45:00,901,90,325.0,1171.5,0.0002970529773049547,8.143094068117886e-05
2021-01-02 17:00:00,782,76,372.0,1338.0,0.00025933652960631587,6.832560025388354e-05
2021-01-02 17:15:00,822,77,341.0,1304.5,0.00027976131118885285,7.234373987070201e-05
2021-01-02 17:30:00,645,62,445.0,1529.5,0.00021808584196857464,5.8887724853754236e-05
2021-01-02 17:45:00,675,78,443.5,1260.5,0.00022586974911392133,7.469904902364513e-05
2021-01-02 18:00:00,745,113,392.5,933.5,0.0002495666919248258,0.00010528159565904417
2021-01-02 18:15:00,939,94,321.0,1071.5,0.00031600659205231643,8.999116363361343e-05
2021-01-02 18:30:00,875,95,330.0,1023.0,0.00030150694895987,9.191256502813975e-05
2021-01-02 18:45:00,874,132,329.5,752.0,0.00030139178172889914,0.00012887994540176855
2021-01-02 19:00:00,683,87,458.0,1193.5,0.0002287483413233376,8.012414637852674e-05
2021-01-02 19:15:00,1125,154,259.0,670.0,0.0003807892661429263,0.00014945652173913046
2021-01-02 19:30:00,1244,150,225.0,669.5,0.00043022488933986417,0.00014991020378793104
2021-01-02 19:45:00,928,88,295.0,1067.0,0.0003257182649324977,8.919286538161371e-05
2021-01-02 20:00:00,811,85,338.0,1119.5,0.00028258647111171814,8.508176357479537e-05
2021-01-02 20:15:00,844,109,328.0,858.0,0.00029793338717785066,0.00011165047051966636
2021-01-02 20:30:00,744,81,370.0,1118.5,0.00026315910479214854,8.389374701581656e-05
2021-01-02 20:45:00,635,65,437.0,1373.5,0.0002237417871789261,6.799198740579189e-05
2021-01-02 21:00:00,560,74,501.0,1230.0,0.00019492763485598501,7.577534045143671e-05
2021-01-02 21:15:00,549,71,515.5,1256.0,0.00019170460311036352,7.376768995959399e-05
2021-01-02 21:30:00,535,59,532.5,1472.0,0.00018480655244585426,6.173847164843812e-05
2021-01-02 21:45:00,515,66,548.5,1333.5,0.0001787802121201181,7.00257822198173e-05
2021-01-02 22:00:00,537,86,544.0,1074.5,0.0001817351749615632,8.931900490319793e-05
2021-01-02 22:15:00,492,80,578.0,1113.0,0.00016910976426717556,8.479921136733428e-05
2021-01-02 22:30:00,452,65,642.0,1299.5,0.00015430254906445546,7.006975713822177e-05
2021-01-02 22:45:00,435,59,647.0,1425.0,0.00015121687872371564,6.496488042608152e-05
2021-01-02 23:00:00,423,70,655.5,1214.0,0.00014878811552289175,7.733413760836447e-05
2021-01-02 23:15:00,343,50,797.0,1616.0,0.00012190077064032378,5.631416999671126e-05
2021-01-02 23:30:00,376,55,725.0,1500.0,0.00013411701424137208,6.190173381128976e-05
2021-01-02 23:45:00,347,72,772.0,1140.5,0.00012728125048143125,8.340119333207459e-05
