time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,308,90,990.0,1194.0,9.94581789659514e-05,7.929235974062588e-05
2021-01-02 16:15:00,322,91,927.0,1147.0,0.00010662188106163604,8.256162408694556e-05
2021-01-02 16:30:00,273,77,1079.0,1327.0,9.134424601514909e-05,7.066210391367109e-05
2021-01-02 16:45:00,308,101,988.0,1061.0,0.00010154530189780915,9.13836112088785e-05
2021-01-02 17:00:00,264,95,1123.5,1112.0,8.755095117144167e-05,8.540700031735444e-05
2021-01-02 17:15:00,233,79,1213.0,1275.5,7.9299739059614e-05,7.42227980491618e-05
2021-01-02 17:30:00,304,80,970.5,1237.0,0.0001027877456720104,7.598416110161837e-05
2021-01-02 17:45:00,287,76,1063.5,1285.0,9.603647110473396e-05,7.278368879226961e-05
2021-01-02 18:00:00,286,96,1029.0,1076.0,9.58068105912754e-05,8.944277153334725e-05
2021-01-02 18:15:00,293,106,1003.0,949.0,9.86048258480604e-05,0.00010147939728896832
2021-01-02 18:30:00,275,97,1044.5,1000.5,9.475932681595912e-05,9.384756639715323e-05
2021-01-02 18:45:00,240,74,1188.5,1295.5,8.27620453260135e-05,7.225087848280966e-05
2021-01-02 19:00:00,265,107,1140.5,987.0,8.875301676527741e-05,9.854349037359036e-05
2021-01-02 19:15:00,280,92,1075.5,1062.5,9.477421735112832e-05,8.92857142857143e-05
2021-01-02 19:30:00,293,92,1021.0,1043.0,0.0001013311033573796,9.194492498993104e-05
2021-01-02 19:45:00,247,75,1150.0,1232.5,8.669440887750747e-05,7.601664663205713e-05
2021-01-02 20:00:00,293,88,1011.5,1079.0,0.00010209350929190312,8.808464934802345e-05
2021-01-02 20:15:00,266,61,1059.5,1466.5,9.389843719112356e-05,6.248329084128117e-05
2021-01-02 20:30:00,248,71,1125.5,1261.5,8.771970159738284e-05,7.353649429781451e-05
2021-01-02 20:45:00,269,81,1052.0,1129.0,9.478195393878918e-05,8.472847661337143e-05
2021-01-02 21:00:00,275,81,1027.0,1137.0,9.572339211677836e-05,8.294327806170777e-05
2021-01-02 21:15:00,295,80,967.0,1139.0,0.00010301067015948496,8.311852389813409e-05
2021-01-02 21:30:00,307,56,939.0,1546.5,0.00010604787215117243,5.8599227327331105e-05
2021-01-02 21:45:00,404,69,692.5,1273.0,0.00014024700135248098,7.320877232071809e-05
2021-01-02 22:00:00,373,81,798.5,1128.5,0.00012623318484294798,8.412603950184922e-05
2021-01-02 22:15:00,337,53,860.5,1590.5,0.000115833314142354,5.617947753085896e-05
2021-01-02 22:30:00,316,69,926.0,1240.5,0.0001078752334167432,7.438174219288155e-05
2021-01-02 22:45:00,299,67,951.0,1261.5,0.00010393987755951949,7.377367777199089e-05
2021-01-02 23:00:00,344,59,814.0,1420.0,0.00012100026416046042,6.518163026990719e-05
2021-01-02 23:15:00,289,65,954.0,1305.0,0.00010270939567071013,7.320842099572463e-05
2021-01-02 23:30:00,381,64,714.5,1307.5,0.00013590048517543292,7.203110843495535e-05
2021-01-02 23:45:00,317,52,839.0,1526.0,0.00011627710778851211,6.02341951842761e-05
2021-01-03 00:00:00,361,59,754.5,1365.5,0.00013189522477175002,6.852027561409845e-05
2021-01-03 00:15:00,336,50,794.5,1540.0,0.00012513738110552173,6.0021199487659044e-05
2021-01-03 00:30:00,305,47,854.0,1606.0,0.00011615954456318109,5.763999774345541e-05
2021-01-03 00:45:00,282,54,931.5,1398.0,0.00010620408885742102,6.407769064002933e-05
2021-01-03 01:00:00,233,43,1051.0,1729.5,9.093190371209008e-05,5.072956188534647e-05
2021-01-03 01:15:00,237,53,1018.0,1378.5,9.610916054122841e-05,6.752082635299633e-05
2021-01-03 01:30:00,200,31,1150.5,2139.5,8.37646164020333e-05,4.02860569956738e-05
2021-01-03 01:45:00,222,44,1019.5,1578.5,9.650923489043594e-05,5.994191083913226e-05
2021-01-03 02:00:00,224,40,1033.0,1699.5,9.693402860419326e-05,5.5300787897975584e-05
2021-01-03 02:15:00,218,47,1003.5,1415.0,9.810910452489992e-05,6.807687182428635e-05
