time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,589,228,515.0,499.0,0.0001901976214641084,0.0002008739780095856
2021-01-02 16:15:00,572,229,522.0,496.0,0.0001894028446188069,0.00020776496610890692
2021-01-02 16:30:00,655,225,448.0,489.0,0.00021915927157480826,0.00020648017377371424
2021-01-02 16:45:00,686,232,439.0,481.0,0.00022616908149966582,0.0002099108693114833
2021-01-02 17:00:00,606,252,495.5,460.5,0.00020096922882535475,0.00022655330610498232
2021-01-02 17:15:00,519,206,560.0,526.0,0.00017663761618858228,0.00019354299238135865
2021-01-02 17:30:00,572,207,503.0,509.5,0.00019340325830391431,0.00019660901685043754
2021-01-02 17:45:00,565,229,543.0,469.5,0.00018906134555461565,0.00021930874649249657
2021-01-02 18:00:00,632,253,466.5,446.0,0.00021171295207582543,0.00023571897081184223
2021-01-02 18:15:00,600,205,510.0,522.5,0.00020192114508135237,0.00019625732494564632
2021-01-02 18:30:00,592,213,493.0,501.0,0.000203990987181992,0.0002060776457999344
2021-01-02 18:45:00,578,218,502.5,485.5,0.00019931859249348248,0.0002128471825574663
2021-01-02 19:00:00,813,236,364.5,498.0,0.0002722875570949831,0.0002173482591417507
2021-01-02 19:15:00,660,194,469.0,553.0,0.0002233963694705168,0.00018827639751552795
2021-01-02 19:30:00,555,201,536.0,518.5,0.0001919411684755825,0.00020087967307582758
2021-01-02 19:45:00,571,205,507.5,499.5,0.0002004150099961812,0.00020777883412762286
2021-01-02 20:00:00,644,205,447.5,515.5,0.00022439665523544576,0.0002051971945039183
2021-01-02 20:15:00,574,195,501.0,515.5,0.0002026229434124245,0.00019974166744343984
2021-01-02 20:30:00,581,199,479.5,505.5,0.00020550462350032032,0.00020610932908824068
2021-01-02 20:45:00,581,207,488.0,472.5,0.00020471492653693872,0.00021652832912306028
2021-01-02 21:00:00,674,225,412.0,444.0,0.00023460933195166767,0.00023039799461585487
2021-01-02 21:15:00,639,215,436.5,460.5,0.00022313158722681655,0.00022338103297623536
2021-01-02 21:30:00,669,213,424.0,462.0,0.0002310945487593953,0.00022288634679859862
2021-01-02 21:45:00,620,182,455.5,524.5,0.00021523054663004506,0.00019310139945464768
2021-01-02 22:00:00,640,219,454.0,458.0,0.00021659313217020564,0.00022745188457907382
2021-01-02 22:15:00,592,194,486.0,502.5,0.00020348166757351203,0.00020563808756578564
2021-01-02 22:30:00,626,194,464.5,496.5,0.00021370220290785205,0.00020913127515100036
2021-01-02 22:45:00,741,203,373.0,470.5,0.000257590131343157,0.00022352323265245
2021-01-02 23:00:00,652,181,416.0,515.0,0.00022933770997854707,0.00019996398438734242
