time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,360,314,854.5,367.0,0.00011624981957059254,0.0002766422328728503
2021-01-02 16:15:00,386,317,786.5,360.0,0.0001278138077322718,0.0002876047784127664
2021-01-02 16:30:00,364,307,814.5,366.5,0.0001217923280201988,0.00028173072599346787
2021-01-02 16:45:00,343,286,878.5,398.5,0.00011308454074983291,0.00025876943372019057
2021-01-02 17:00:00,380,329,789.5,346.5,0.00012602030850434787,0.000295777927414838
2021-01-02 17:15:00,335,280,877.5,396.0,0.00011401464628742783,0.0002630681449843709
2021-01-02 17:30:00,350,288,857.5,378.5,0.00011834115455659091,0.00027354297996582614
2021-01-02 17:45:00,339,286,917.0,382.0,0.00011343680733276938,0.00027389651308669876
2021-01-02 18:00:00,312,272,952.5,407.0,0.00010451652064502773,0.00025342118601115053
2021-01-02 18:15:00,301,257,980.5,432.0,0.00010129710778247845,0.00024603967078551755
2021-01-02 18:30:00,334,279,879.0,377.5,0.00011508950966011035,0.00026993269097737885
2021-01-02 18:45:00,321,265,920.5,406.5,0.00011069423562354304,0.00025873625402627785
2021-01-02 19:00:00,308,265,995.0,440.0,0.00010315444967436016,0.00024405630793459293
2021-01-02 19:15:00,317,266,957.0,416.5,0.00010729795321538455,0.00025815217391304346
2021-01-02 19:30:00,289,239,1032.5,448.0,9.99477435845826e-05,0.00023885692470210343
2021-01-02 19:45:00,299,253,961.5,408.5,0.00010494586337803536,0.0002564294879721394
2021-01-02 20:00:00,314,265,946.0,402.5,0.00010941079152784156,0.00026525490996847967
2021-01-02 20:15:00,272,228,1033.0,455.0,9.601644705257748e-05,0.00023354410347232963
2021-01-02 20:30:00,265,232,1070.0,437.0,9.373274565849376e-05,0.00024028826305764746
2021-01-02 20:45:00,291,257,967.0,387.5,0.00010253363790404332,0.0002688298578967463
2021-01-02 21:00:00,279,225,1013.5,444.0,9.711573236574968e-05,0.00023039799461585487
2021-01-02 21:15:00,279,248,1023.5,399.0,9.742365076100442e-05,0.00025766742408421566
2021-01-02 21:30:00,266,222,1106.5,440.0,9.188512701046212e-05,0.0002323040797619197
2021-01-02 21:45:00,281,236,1035.0,408.0,9.754803806942364e-05,0.00025039522127086187
2021-01-02 22:00:00,270,239,1092.5,422.5,9.137522763430551e-05,0.00024822374618446865
2021-01-02 22:15:00,269,233,1079.0,425.0,9.246041989404517e-05,0.0002469777031073612
2021-01-02 22:30:00,283,238,1037.0,410.0,9.660978182575417e-05,0.00025656311075225813
2021-01-02 22:45:00,264,233,1081.0,412.0,9.17730022599102e-05,0.0002565562226996101
2021-01-02 23:00:00,226,176,1245.0,531.0,7.949435959379086e-05,0.00019444011741531642
2021-01-02 23:15:00,262,224,1076.0,406.0,9.31137081859033e-05,0.0002522874815852664
2021-01-02 23:30:00,268,228,1050.5,416.5,9.559404206565884e-05,0.00025661082379952843
2021-01-02 23:45:00,237,201,1143.0,452.0,8.693272727406111e-05,0.0002328283313853749
2021-01-03 00:00:00,278,242,986.5,370.0,0.00010157028389625072,0.0002810492660781665
2021-01-03 00:15:00,258,210,1042.5,417.5,9.608763192031132e-05,0.00025208903784816795
2021-01-03 00:30:00,222,193,1169.0,447.5,8.45489144033646e-05,0.00023669190562738065
2021-01-03 00:45:00,241,213,1097.0,419.5,9.076306884623568e-05,0.00025275089085789347
2021-01-03 01:00:00,250,211,983.5,415.5,9.756642029194214e-05,0.000248928780414142
2021-01-03 01:15:00,246,204,982.0,417.0,9.975887549849024e-05,0.00025989148256625003
2021-01-03 01:30:00,243,191,967.5,424.0,0.00010177400892847046,0.0002482140931023773
2021-01-03 01:45:00,190,161,1193.5,485.0,8.259799382514788e-05,0.0002193329010250067
2021-01-03 02:00:00,203,159,1131.5,470.5,8.784646342255013e-05,0.0002198206318944529
2021-01-03 02:15:00,225,170,967.0,420.5,0.00010125939687202972,0.0002462354938325251
2021-01-03 02:30:00,201,163,1033.0,422.0,9.33521214153482e-05,0.0002441987808038784
2021-01-03 02:45:00,200,140,1042.0,485.5,9.393834638450091e-05,0.00021431534666272736
2021-01-03 03:00:00,204,161,1080.5,488.0,9.164358730736316e-05,0.00022112893877337998
2021-01-03 03:15:00,217,172,990.0,407.0,0.0001001472672487515,0.0002607277335483832
2021-01-03 03:30:00,215,162,966.5,425.5,0.00010004010910420828,0.0002489045128539207
2021-01-03 03:45:00,199,149,1028.5,450.5,9.451346935673847e-05,0.00023443596908592003
2021-01-03 04:00:00,206,156,1019.5,457.5,9.553025085965632e-05,0.0002323070622836082
2021-01-03 04:15:00,207,154,979.5,445.5,9.872365103907836e-05,0.00024088960217238622
2021-01-03 04:30:00,186,131,1115.0,519.5,8.628139703498153e-05,0.00019764277049902536
2021-01-03 04:45:00,198,142,1067.5,493.0,8.955936790988337e-05,0.0002116452586990673
2021-01-03 05:00:00,198,146,1061.0,503.0,8.797638322867995e-05,0.00020741405812707943
2021-01-03 05:15:00,158,121,1337.0,570.5,7.068465695572814e-05,0.0001776991919826824
2021-01-03 05:30:00,191,139,1101.5,537.5,8.547391031952027e-05,0.0002002596171439521
2021-01-03 05:45:00,200,160,1062.5,437.5,9.03864926425395e-05,0.0002386720288315811
2021-01-03 06:00:00,193,148,1117.0,530.0,8.457230296515752e-05,0.00020194742817221202
2021-01-03 06:15:00,205,161,1041.0,448.5,9.108366456685495e-05,0.00023414503612523413
2021-01-03 06:30:00,183,129,1174.5,586.5,7.962098669981452e-05,0.00017817507289294166
2021-01-03 06:45:00,181,148,1193.0,500.5,7.861211825347327e-05,0.00020749360344888014
2021-01-03 07:00:00,159,126,1476.0,659.0,6.446951321868303e-05,0.0001564884974744495
2021-01-03 07:15:00,190,154,1205.5,503.0,7.678582614476553e-05,0.00020035934578770494
2021-01-03 07:30:00,184,144,1339.5,579.0,7.091329385312777e-05,0.0001738273894023235
2021-01-03 07:45:00,217,179,1197.5,471.0,8.033978174235884e-05,0.00021501553156884462
2021-01-03 08:00:00,230,193,1209.5,481.5,7.954359957613636e-05,0.00021078129965783533
2021-01-03 08:15:00,241,202,1201.0,454.5,8.111664978138895e-05,0.00022683834511320585
2021-01-03 08:30:00,242,203,1228.5,478.0,7.864872392445433e-05,0.00021443246697687194
2021-01-03 08:45:00,292,230,1036.5,425.0,9.462004058940507e-05,0.0002409355843002183
2021-01-03 09:00:00,277,222,1203.0,515.0,8.30209557480323e-05,0.00020316256391155656
2021-01-03 09:15:00,273,221,1257.5,494.5,7.692004260186975e-05,0.00021114219328013695
2021-01-03 09:30:00,292,245,1212.0,440.5,8.122326690549645e-05,0.00023218611280643832
2021-01-03 09:45:00,296,238,1186.0,459.0,8.166711270889261e-05,0.00022026676341128432
2021-01-03 10:00:00,288,237,1346.5,521.5,7.18613435376441e-05,0.00019639234716200632
2021-01-03 10:15:00,316,261,1249.5,463.5,7.944459179684308e-05,0.00021804128749620933
2021-01-03 10:30:00,335,278,1194.5,466.5,8.441042718227412e-05,0.00022377829527626557
2021-01-03 10:45:00,347,293,1086.5,422.5,9.004221345038648e-05,0.00024542960651686806
2021-01-03 11:00:00,318,276,1183.5,463.0,8.279102607761111e-05,0.0002188504799248296
2021-01-03 11:15:00,353,311,1032.5,396.0,9.321084424996032e-05,0.0002556161582288677
2021-01-03 11:30:00,364,308,984.5,405.5,9.760510850121723e-05,0.00025123353217216675
2021-01-03 11:45:00,443,371,836.5,352.5,0.00011610895055855481,0.0002893064987909172
2021-01-03 12:00:00,457,386,810.0,360.0,0.00011888799918001102,0.0002797873905766737
2021-01-03 12:15:00,478,400,776.5,337.0,0.00012473969070819784,0.00030327499080697685
2021-01-03 12:30:00,445,368,816.0,351.5,0.00011743829343422295,0.00028464575912626135
2021-01-03 12:45:00,438,377,819.0,338.0,0.00011913391277384819,0.00029743824408871074
2021-01-03 13:00:00,438,380,816.0,350.0,0.00011897767212850241,0.00028949403299470154
2021-01-03 13:15:00,455,386,803.5,342.5,0.0001227283124236657,0.00029788409684783064
2021-01-03 13:30:00,446,350,829.0,378.0,0.00011955312863300113,0.0002701467746018808
