time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,433,219,710.5,519.0,0.0001398226996501849,0.00019294474203552294
2021-01-02 16:15:00,430,203,708.5,550.0,0.0001423832573183339,0.00018417593065549396
2021-01-02 16:30:00,375,193,785.5,555.0,0.00012547286540542458,0.00017711410461478602
2021-01-02 16:45:00,402,205,756.5,544.0,0.00013253640052895868,0.00018548158710712963
2021-01-02 17:00:00,409,195,738.0,569.5,0.0001356376478375744,0.00017530910591456963
2021-01-02 17:15:00,339,159,868.0,662.5,0.00011537601519832251,0.0001493851251875535
2021-01-02 17:30:00,355,182,846.5,584.0,0.00012003174247882793,0.00017286396650618182
2021-01-02 17:45:00,575,392,527.0,265.0,0.00019240756406000708,0.00037541060534960113
2021-01-02 18:00:00,462,257,637.5,438.5,0.00015476484787821414,0.00023944575295906505
2021-01-02 18:15:00,395,223,751.5,484.5,0.00013293142051189032,0.00021348967542867865
2021-01-02 18:30:00,414,232,705.0,466.5,0.00014265585927929843,0.00022446015880556234
2021-01-02 18:45:00,414,247,699.0,433.0,0.00014276452818737326,0.00024116171601694576
2021-01-02 19:00:00,366,219,838.5,534.0,0.000122579638249402,0.00020169181674594655
2021-01-02 19:15:00,384,221,784.0,493.0,0.00012997606951011884,0.00021447981366459623
2021-01-02 19:30:00,378,206,787.5,506.0,0.00013072749852931565,0.00020587667986875859
2021-01-02 19:45:00,386,217,734.0,476.5,0.00013548195071545703,0.000219941497588752
2021-01-02 20:00:00,379,197,771.5,532.5,0.00013205952225812722,0.0001971894991086434
2021-01-02 20:15:00,395,215,719.5,471.5,0.00013943564921238273,0.00022022799230943368
2021-01-02 20:30:00,373,216,759.5,467.5,0.00013193326087025727,0.00022371665870884414
2021-01-02 20:45:00,388,210,734.5,467.5,0.0001367115172053911,0.00021966642084948144
2021-01-02 21:00:00,378,225,747.5,444.0,0.00013157615352778993,0.00023039799461585487
2021-01-02 21:15:00,372,204,765.0,480.0,0.00012989820101467255,0.00021195223594024196
2021-01-02 21:30:00,430,238,656.0,420.0,0.00014853610757330343,0.00024904671614115717
2021-01-02 21:45:00,382,194,735.5,498.5,0.0001326097884075439,0.00020583335985825083
2021-01-02 22:00:00,406,219,722.0,458.0,0.0001374012682204742,0.00022745188457907382
2021-01-02 22:15:00,417,220,697.5,449.5,0.00014333083678742318,0.0002331978312601693
2021-01-02 22:30:00,455,217,634.5,454.5,0.00015532668102727264,0.00023392518921529413
2021-01-02 22:45:00,428,228,663.5,422.0,0.00014878350366379374,0.00025105072435841673
2021-01-02 23:00:00,415,181,662.5,515.0,0.00014597415589125316,0.00019996398438734242
2021-01-02 23:15:00,395,219,696.0,416.0,0.0001403813539443962,0.00024665606458559527
2021-01-02 23:30:00,446,225,603.0,422.0,0.00015908560731822333,0.0002532343655916399
2021-01-02 23:45:00,460,251,575.0,362.5,0.00016873018795809328,0.00029074582675487113
2021-01-03 00:00:00,427,193,639.5,469.5,0.00015600903317877356,0.000224142596500356
2021-01-03 00:15:00,388,214,676.5,408.5,0.00014450388056232866,0.00025689073380718067
2021-01-03 00:30:00,492,204,528.0,425.0,0.00018737867516421344,0.0002501821178652107
2021-01-03 00:45:00,595,199,438.5,444.5,0.00022408309528427486,0.00023613815624751552
2021-01-03 01:00:00,450,205,549.5,428.0,0.00017561955652549587,0.0002418502368952564
2021-01-03 01:15:00,374,211,647.0,401.0,0.00015166593266843634,0.0002688093275562684
2021-01-03 01:30:00,390,201,611.0,412.5,0.00016334100198396497,0.00026120959535904623
2021-01-03 01:45:00,439,273,502.5,282.0,0.0001908448383644206,0.00037191231043370697
2021-01-03 02:00:00,432,208,521.0,361.5,0.00018694419802237276,0.000287564097069473
2021-01-03 02:15:00,418,185,513.0,391.0,0.00018811745730003745,0.00026796215505304203
2021-01-03 02:30:00,409,166,496.0,415.5,0.00018995531173570852,0.0002486932368922933
2021-01-03 02:45:00,383,189,538.5,355.0,0.00017989193332631928,0.000289325717994682
2021-01-03 03:00:00,330,158,643.5,501.5,0.00014824697946779335,0.00021700852376518032
2021-01-03 03:15:00,366,175,584.5,397.0,0.0001689119807052675,0.00026527531029632014
2021-01-03 03:30:00,312,141,670.5,485.5,0.00014517448390936272,0.00021663911303952362
2021-01-03 03:45:00,297,106,679.5,605.0,0.00014105779094950415,0.00016677995116179544
2021-01-03 04:00:00,287,125,722.5,552.5,0.00013309311648893867,0.00018614347939391684
2021-01-03 04:15:00,303,116,647.0,562.5,0.00014450853268039004,0.000181449310727252
2021-01-03 04:30:00,285,122,703.0,567.5,0.00013220536642456852,0.00018406425954871065
2021-01-03 04:45:00,298,129,700.5,528.5,0.00013479137190477398,0.00019226928431112451
2021-01-03 05:00:00,229,82,930.5,858.5,0.00010175046343115004,0.0001164928271672638
2021-01-03 05:15:00,248,92,859.0,757.5,0.00011094806914569985,0.00013511012944137838
2021-01-03 05:30:00,240,101,873.0,698.5,0.00010740177212924013,0.00014551238368013786
2021-01-03 05:45:00,278,100,754.0,657.0,0.0001256372247731299,0.00014917001801973816
2021-01-03 06:00:00,260,128,820.0,611.5,0.000113931599849435,0.00017465723517596715
2021-01-03 06:15:00,253,100,837.5,672.0,0.00011241057139226491,0.00014543169945666718
2021-01-03 06:30:00,270,106,809.5,699.5,0.00011747358693415256,0.00014640742423761095
2021-01-03 06:45:00,288,126,754.5,567.5,0.00012508447545304033,0.00017664995969296555
