time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,276,203,1092.0,549.0,8.912486167078761e-05,0.00017884832252607841
2021-01-02 16:15:00,283,193,1048.5,585.5,9.37080507467174e-05,0.0001751032247118735
2021-01-02 16:30:00,242,175,1186.5,618.0,8.097182247496733e-05,0.00016059569071288885
2021-01-02 16:45:00,291,203,1033.0,548.0,9.594052874111191e-05,0.00018367201064754788
2021-01-02 17:00:00,251,174,1170.5,637.5,8.323973009102978e-05,0.00015642966373915443
2021-01-02 17:15:00,285,197,1022.5,541.5,9.699753490124459e-05,0.00018508723057828955
2021-01-02 17:30:00,253,186,1164.0,568.0,8.554374886519286e-05,0.00017666317456126271
2021-01-02 17:45:00,237,161,1253.5,644.5,7.930537857777682e-05,0.00015418649862572903
2021-01-02 18:00:00,272,168,1079.0,631.0,9.1116966716178e-05,0.0001565248501833577
2021-01-02 18:15:00,265,171,1092.5,616.0,8.918183907759729e-05,0.0001637073295888074
2021-01-02 18:30:00,268,184,1063.0,578.5,9.234727122428017e-05,0.00017802012594923908
2021-01-02 18:45:00,261,163,1099.5,638.5,9.000372429203967e-05,0.00015914720530672938
2021-01-02 19:00:00,250,161,1203.0,684.0,8.372926109931831e-05,0.00014827571916026212
2021-01-02 19:15:00,560,166,542.5,623.5,0.00018954843470225664,0.00016110248447204968
2021-01-02 19:30:00,651,158,459.5,639.0,0.0002251418030227103,0.00015790541465662069
2021-01-02 19:45:00,539,143,532.5,696.5,0.0001891833456881641,0.00014493840624512226
2021-01-02 20:00:00,639,169,452.5,597.5,0.00022265444517926997,0.0001691625652251814
2021-01-02 20:15:00,546,178,526.5,563.0,0.00019273889739230627,0.00018232829130734507
2021-01-02 20:30:00,441,153,638.5,645.0,0.00015598543711470094,0.00015846596658543132
2021-01-02 20:45:00,434,155,649.5,620.5,0.0001529195836781952,0.00016213473919842678
2021-01-02 21:00:00,415,151,681.5,656.0,0.00014445530083077458,0.00015462265416441818
2021-01-02 21:15:00,406,160,692.5,603.0,0.00014177061723644367,0.00016623704779626818
2021-01-02 21:30:00,335,144,846.5,660.5,0.00011571999078385269,0.00015068372741313708
2021-01-02 21:45:00,328,151,870.5,620.5,0.00011386390208815288,0.00016021050174533954
2021-01-02 22:00:00,308,135,956.5,716.5,0.00010423544485691147,0.00014021006583641535
2021-01-02 22:15:00,289,139,1000.5,681.5,9.933480055531248e-05,0.0001473386297507433
2021-01-02 22:30:00,323,133,902.0,696.5,0.0001102648746633166,0.00014337350306743834
2021-01-02 22:45:00,325,139,870.0,665.5,0.0001129781277820864,0.00015305285388517512
2021-01-02 23:00:00,287,118,982.0,768.0,0.0001009508017850353,0.00013036326053981434
