time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,476,72,653.5,1433.0,0.00015370809476556124,6.34338877925007e-05
2021-01-02 16:15:00,451,67,675.0,1500.5,0.00014933685825713623,6.0787129822256616e-05
2021-01-02 16:30:00,382,49,768.0,1965.0,0.00012781502555965916,4.496679339960888e-05
2021-01-02 16:45:00,335,47,907.5,2069.5,0.00011044700044079892,4.2525046800171184e-05
2021-01-02 17:00:00,339,43,889.5,2228.0,0.00011242338048151033,3.865790540680253e-05
2021-01-02 17:15:00,362,59,819.5,1629.0,0.00012320388643596682,5.543221626456388e-05
2021-01-02 17:30:00,451,63,650.5,1510.0,0.00015249103058577858,5.983752686752447e-05
2021-01-02 17:45:00,574,59,528.0,1595.0,0.00019207294220946792,5.650312682557772e-05
2021-01-02 18:00:00,417,41,717.5,2244.5,0.00013969034970825821,3.819951700903372e-05
2021-01-02 18:15:00,374,46,798.5,1996.0,0.00012586418043404298,4.403822901219381e-05
2021-01-02 18:30:00,359,58,820.0,1606.0,0.00012370399391610664,5.611503970139058e-05
2021-01-02 18:45:00,331,49,889.0,1834.0,0.0001141426541787936,4.784179791429288e-05
2021-01-02 19:00:00,351,49,881.5,1954.5,0.0001175558825834429,4.512739278790586e-05
2021-01-02 19:15:00,435,51,693.0,1799.5,0.0001472385162419315,4.9495341614906827e-05
2021-01-02 19:30:00,368,42,809.0,2072.5,0.00012726909909732318,4.197485706062069e-05
2021-01-02 19:45:00,328,44,887.5,1944.5,0.00011512455915717593,4.459643269080685e-05
2021-01-02 20:00:00,321,54,914.0,1661.0,0.00011184988560648771,5.40519439181053e-05
2021-01-02 20:15:00,360,48,792.0,1813.5,0.00012708059168723492,4.916717967838519e-05
2021-01-02 20:30:00,337,28,842.5,2835.0,0.00011919975579966944,2.9000307610405725e-05
2021-01-02 20:45:00,265,45,1066.0,1885.5,9.337255685419752e-05,4.707137589631745e-05
2021-01-02 21:00:00,278,51,1017.5,1732.5,9.676764730350683e-05,5.2223545446260435e-05
2021-01-02 21:15:00,304,41,925.0,2032.0,0.00010615336857113028,4.259824349779372e-05
2021-01-02 21:30:00,245,28,1171.0,2832.0,8.463103803595196e-05,2.9299613663665553e-05
2021-01-02 21:45:00,210,23,1345.5,3368.5,7.290066901985397e-05,2.4402924106906023e-05
2021-01-02 22:00:00,228,34,1279.0,2471.5,7.716130333563576e-05,3.531216472917127e-05
2021-01-02 22:15:00,210,25,1363.0,3116.0,7.218099694330664e-05,2.6499753552291965e-05
2021-01-02 22:30:00,227,28,1274.5,2749.0,7.749265185316679e-05,3.0183895382618603e-05
2021-01-02 22:45:00,198,25,1418.5,3033.0,6.882975169493263e-05,2.7527491705966748e-05
2021-01-02 23:00:00,198,25,1416.0,3014.0,6.964550088305571e-05,2.7619334860130165e-05
2021-01-02 23:15:00,186,36,1490.0,2170.0,6.610362489533593e-05,4.05462023976321e-05
2021-01-02 23:30:00,176,25,1550.0,2995.5,6.277817687894014e-05,2.813715173240443e-05
2021-01-02 23:45:00,172,19,1535.5,3719.0,6.309041810606967e-05,2.2008648240408573e-05
2021-01-03 00:00:00,174,29,1507.0,2605.0,6.357276761851662e-05,3.3679457505234835e-05
2021-01-03 00:15:00,133,15,1937.0,4432.5,4.953354668760235e-05,1.800635984629771e-05
2021-01-03 00:30:00,142,22,1761.5,3099.0,5.4080837140890866e-05,2.6980424475659977e-05
2021-01-03 00:45:00,125,17,1989.0,3817.5,4.707628052190648e-05,2.0172606312601826e-05
2021-01-03 01:00:00,125,20,1910.5,3437.0,4.878321014597107e-05,2.3595145062951848e-05
2021-01-03 01:15:00,110,18,2084.0,3548.0,4.460762725542247e-05,2.293160140290441e-05
2021-01-03 01:30:00,109,17,2028.0,3612.0,4.565171593910815e-05,2.2092353836337242e-05
2021-01-03 01:45:00,89,15,2390.5,3989.5,3.869063921283242e-05,2.043474233152236e-05
2021-01-03 02:00:00,91,12,2371.0,4746.5,3.937944912045351e-05,1.6590236369392672e-05
2021-01-03 02:15:00,72,20,2819.5,2933.0,3.240300699904952e-05,2.896888162735589e-05
2021-01-03 02:30:00,74,9,2664.5,5669.0,3.4368442710128194e-05,1.348336826524482e-05
2021-01-03 02:45:00,69,7,2823.5,6927.0,3.240872950265282e-05,1.0715767333136367e-05
2021-01-03 03:00:00,79,9,2589.5,6038.5,3.5489428418047496e-05,1.2361245024598876e-05
2021-01-03 03:15:00,67,11,2893.0,4807.5,3.092104564823203e-05,1.6674448075768688e-05
2021-01-03 03:30:00,62,5,3078.5,9387.5,2.8848775648655407e-05,7.682238051046935e-06
2021-01-03 03:45:00,45,5,3972.0,9172.5,2.1372392568106685e-05,7.866978828386577e-06
2021-01-03 04:00:00,55,12,3512.5,4550.0,2.5505649501364554e-05,1.7869774021816016e-05
2021-01-03 04:15:00,61,13,3091.0,4061.0,2.9092476876250147e-05,2.0334836547019612e-05
2021-01-03 04:30:00,52,13,3595.0,4168.5,2.4121680891500214e-05,1.961340470601015e-05
2021-01-03 04:45:00,55,7,3489.0,7124.0,2.4877602197189825e-05,1.0433216978123036e-05
2021-01-03 05:00:00,40,8,4718.0,6612.0,1.7773006712864637e-05,1.1365153869976958e-05
2021-01-03 05:15:00,43,7,4397.0,7232.0,1.9236963601875383e-05,1.02801185444527e-05
2021-01-03 05:30:00,46,6,4146.5,8256.0,2.058533965810436e-05,8.644300020602248e-06
2021-01-03 05:45:00,45,6,4195.0,8064.0,2.0336960844571387e-05,8.95020108118429e-06
