time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2111,909,147.0,140.0,0.0006816760253153357,0.0008008528333803214
2021-01-02 16:15:00,2077,903,146.0,140.0,0.0006877442452329754,0.0008192653467089212
2021-01-02 16:30:00,1922,796,153.0,149.5,0.0006430902594912693,0.0007304809703283403
2021-01-02 16:45:00,1927,794,158.0,153.0,0.0006353175219385658,0.0007184018544539557
2021-01-02 17:00:00,1929,832,155.0,149.0,0.0006397188818549657,0.0007479855185688304
2021-01-02 17:15:00,1886,829,154.0,144.5,0.0006418854414868327,0.0007788696149715839
2021-01-02 17:30:00,1963,825,152.0,144.0,0.0006637248182702512,0.0007835866613604395
2021-01-02 17:45:00,1904,823,158.0,141.0,0.0006371200034265278,0.0007881707352110247
2021-01-02 18:00:00,1818,762,165.0,151.0,0.0006090097260662193,0.0007099519990459437
2021-01-02 18:15:00,1865,758,166.0,153.0,0.0006276382259612035,0.0007256734258965847
2021-01-02 18:30:00,1835,737,158.0,155.0,0.0006323031443901272,0.000713048004481463
2021-01-02 18:45:00,1798,720,161.0,154.5,0.0006200256562340512,0.0007029815203732832
2021-01-02 19:00:00,1818,796,164.0,151.0,0.0006088791867142428,0.0007330898910035318
2021-01-02 19:15:00,1971,792,145.0,146.5,0.0006671427942824068,0.0007686335403726707
2021-01-02 19:30:00,1961,800,143.0,139.5,0.0006781921286137247,0.0007995210868689653
2021-01-02 19:45:00,1908,754,146.0,144.0,0.0006696879843655232,0.0007642206874742812
2021-01-02 20:00:00,1792,719,154.0,151.5,0.0006244080841334142,0.0007196916236503278
2021-01-02 20:15:00,1786,756,152.5,142.0,0.0006304609354261154,0.0007743830799345668
2021-01-02 20:30:00,1776,748,156.0,143.0,0.0006281862501489997,0.0007747225033065528
2021-01-02 20:45:00,1701,708,163.0,145.0,0.0005993461102226037,0.0007405896474353945
2021-01-02 21:00:00,1701,726,161.5,144.0,0.0005920926908750544,0.000743417529293825
2021-01-02 21:15:00,1714,764,161.0,144.0,0.0005985094530622278,0.0007937819032271807
2021-01-02 21:30:00,1757,632,161.0,157.0,0.0006069254442006841,0.0006613341369798796
2021-01-02 21:45:00,1963,732,149.0,140.0,0.0006814476823141588,0.0007766495846197918
2021-01-02 22:00:00,1833,693,158.0,149.0,0.0006203362676062296,0.0007197450046269321
2021-01-02 22:15:00,2023,725,139.0,150.0,0.0006953436038871872,0.000768492853016467
2021-01-02 22:30:00,1924,661,144.0,156.0,0.0006568099654867528,0.000712555530282532
2021-01-02 22:45:00,1871,718,152.0,136.0,0.0006504063910162574,0.0007905895617953652
2021-01-02 23:00:00,1673,670,166.0,144.0,0.0005884693079664252,0.0007401981742514884
2021-01-02 23:15:00,1762,701,156.0,139.0,0.0006262074573418383,0.0007895246633538918
2021-01-02 23:30:00,1840,685,150.0,139.0,0.0006563173037343741,0.0007709579574678813
2021-01-02 23:45:00,1777,639,150.0,144.0,0.000651812052177243,0.000740185590822162
2021-01-03 00:00:00,1689,683,157.0,137.0,0.000617094278779739,0.0007932092922784618
2021-01-03 00:15:00,1657,624,157.0,143.0,0.0006171209538447901,0.0007490645696059848
2021-01-03 00:30:00,1694,585,148.0,147.0,0.0006451615360328813,0.0007174340144664131
2021-01-03 00:45:00,1580,568,178.0,169.0,0.0005950441857968977,0.0006740023756210492
2021-01-03 01:00:00,1637,620,170.0,159.0,0.0006388649200716372,0.0007314494969515072
2021-01-03 01:15:00,1609,597,150.0,156.5,0.0006524879295815887,0.0007605647798629964
2021-01-03 01:30:00,1620,586,142.0,148.0,0.0006784933928564698,0.0007615364322408015
2021-01-03 01:45:00,1576,530,143.0,149.0,0.0006851286224654371,0.0007220275623804567
2021-01-03 02:00:00,1503,521,148.0,146.5,0.0006504100222861717,0.0007202927623711318
2021-01-03 02:15:00,1445,495,148.0,147.0,0.0006503103488003688,0.0007169798202770584
2021-01-03 02:30:00,1368,487,150.0,148.0,0.0006353517517223697,0.000729600038352692
2021-01-03 02:45:00,1358,454,148.0,150.0,0.0006378413719507612,0.00069499405274913
2021-01-03 03:00:00,1436,512,147.0,147.0,0.0006450989773204582,0.0007032174947327361
2021-01-03 03:15:00,1424,473,147.0,144.0,0.0006571875970609317,0.0007170012672580537
2021-01-03 03:30:00,1311,422,160.0,152.0,0.0006100120141191493,0.0006483808915083612
2021-01-03 03:45:00,1320,452,153.0,145.0,0.0006269235153311296,0.0007111748860861466
2021-01-03 04:00:00,1345,433,152.5,155.0,0.000623729065078824,0.0006448010126205279
2021-01-03 04:15:00,1424,468,141.0,139.0,0.0006791424110127902,0.0007320541156927063
2021-01-03 04:30:00,1410,430,148.0,154.0,0.0006540686549426019,0.0006487510787372588
2021-01-03 04:45:00,1449,460,149.0,152.5,0.0006554117378859647,0.0006856114014195138
2021-01-03 05:00:00,1397,474,159.0,159.0,0.0006207222594467974,0.0006733853667961348
2021-01-03 05:15:00,1407,454,153.0,155.0,0.0006294513439032246,0.0006667391170259322
2021-01-03 05:30:00,1464,467,149.0,155.0,0.0006551508099883649,0.000672814684936875
2021-01-03 05:45:00,1409,459,152.0,150.0,0.0006367728406666907,0.0006846903827105982
2021-01-03 06:00:00,1356,434,161.0,172.0,0.0005941971130608995,0.0005921971880185138
2021-01-03 06:15:00,1393,430,154.0,161.0,0.0006189246084957509,0.0006253563076636687
2021-01-03 06:30:00,1480,473,153.0,156.5,0.0006439292913427622,0.0006533086006074528
2021-01-03 06:45:00,1505,466,143.5,153.5,0.0006536532484612003,0.0006533244541025551
2021-01-03 07:00:00,1535,494,160.0,174.5,0.0006223943571740783,0.0006135342678760164
2021-01-03 07:15:00,1508,497,160.0,168.5,0.0006094369780331916,0.000646614252314866
2021-01-03 07:30:00,1632,531,157.0,167.5,0.0006289700846103508,0.0006409884984210679
2021-01-03 07:45:00,1675,522,155.0,169.0,0.0006201342599928619,0.0006270285334018821
2021-01-03 08:00:00,1655,573,172.0,174.0,0.0005723680752108942,0.0006257911124556457
2021-01-03 08:15:00,1880,564,152.0,170.5,0.0006327771850166441,0.000633350626949743
2021-01-03 08:30:00,1891,584,156.5,170.5,0.0006145650286824097,0.0006168894616477497
2021-01-03 08:45:00,2007,633,144.0,155.5,0.0006503507584347122,0.0006630966298349487
2021-01-03 09:00:00,1945,661,165.0,174.5,0.0005829449780863639,0.0006049119583132383
2021-01-03 09:15:00,2141,700,167.0,158.0,0.000603244729709169,0.0006687761778103884
2021-01-03 09:30:00,2223,745,170.0,157.0,0.0006183538435990362,0.000706035322615496
2021-01-03 09:45:00,2110,688,184.5,169.0,0.0005821540804586601,0.000636737534567074
2021-01-03 10:00:00,2182,784,231.0,162.0,0.0005444494847192343,0.0006496691990506875
2021-01-03 10:15:00,2467,897,172.0,154.0,0.0006202209112747213,0.0007493602869122598
2021-01-03 10:30:00,2447,848,162.0,162.0,0.0006165740755672381,0.0006826042963822777
2021-01-03 10:45:00,2305,792,169.5,164.0,0.0005981190259456508,0.0006634138169329675
2021-01-03 11:00:00,2435,922,158.0,152.0,0.0006339501525125254,0.0007310874727923656
2021-01-03 11:15:00,2409,872,159.0,152.5,0.0006361045999947718,0.0007167115433298156
2021-01-03 11:30:00,2364,824,162.0,159.0,0.0006338969134529603,0.0006721312678891734
2021-01-03 11:45:00,2386,874,162.5,158.0,0.000625363331902284,0.0006815468462082522
2021-01-03 12:00:00,2364,971,164.5,155.5,0.00061499175068172,0.0007038175032382127
2021-01-03 12:15:00,2462,974,160.0,148.0,0.0006424876956560318,0.0007384746026149886
2021-01-03 12:30:00,2340,979,165.0,144.5,0.0006175406890698465,0.0007572505385451354
2021-01-03 12:45:00,2316,954,162.0,144.0,0.0006299409634343207,0.000752668660107772
2021-01-03 13:00:00,2301,893,158.0,158.0,0.0006250402364558997,0.0006803109775375487
2021-01-03 13:15:00,2438,977,158.0,149.0,0.0006576079685470263,0.0007539708876174365
2021-01-03 13:30:00,2570,990,151.0,145.0,0.0006889047995220018,0.0007641294481596058
