time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,151,41,1947.0,2382.5,4.876034098655409e-05,3.612207499295179e-05
2021-01-02 16:15:00,129,30,2146.0,3025.0,4.271497719550016e-05,2.721811783086117e-05
2021-01-02 16:30:00,130,28,2114.5,3195.0,4.3497260007213846e-05,2.5695310514062217e-05
2021-01-02 16:45:00,138,35,2048.0,2661.0,4.5497570330836576e-05,3.166758804268067e-05
2021-01-02 17:00:00,96,29,2780.0,3128.0,3.183670951688788e-05,2.607161062319241e-05
2021-01-02 17:15:00,132,33,2040.0,2714.5,4.492517405952381e-05,3.100445994458658e-05
2021-01-02 17:30:00,135,21,2097.0,3897.0,4.564587390039935e-05,1.9945842289174825e-05
2021-01-02 17:45:00,119,22,2292.5,3747.0,3.9820000214157984e-05,2.106896254513068e-05
2021-01-02 18:00:00,129,41,2145.0,2244.5,4.321356142054031e-05,3.819951700903372e-05
2021-01-02 18:15:00,137,29,2016.5,2965.5,4.610532812690879e-05,2.7763231333774353e-05
2021-01-02 18:30:00,143,30,1897.5,2843.0,4.927484994429874e-05,2.9025020535202032e-05
2021-01-02 18:45:00,159,33,1743.5,2624.5,5.482985502848394e-05,3.2219986350442136e-05
2021-01-02 19:00:00,171,44,1657.0,2161.5,5.7270814591933714e-05,4.0522556789139957e-05
2021-01-02 19:15:00,131,23,2122.0,3574.0,4.434079454642075e-05,2.232142857142857e-05
2021-01-02 19:30:00,103,20,2532.5,3930.5,3.5621514149522514e-05,1.998802717172414e-05
2021-01-02 19:45:00,127,19,2113.5,4047.5,4.457566772244311e-05,1.925755048012114e-05
2021-01-02 20:00:00,124,28,2159.0,2961.5,4.320680939316037e-05,2.8026933883462013e-05
2021-01-02 20:15:00,138,32,1945.5,2576.5,4.871422681344004e-05,3.277811978559012e-05
2021-01-02 20:30:00,115,14,2289.0,5145.0,4.067647453104447e-05,1.4500153805202862e-05
2021-01-02 20:45:00,119,20,2211.5,3793.5,4.1929563266601904e-05,2.092061150947442e-05
2021-01-02 21:00:00,90,19,2882.5,4058.0,3.132765560185474e-05,1.9455830656449968e-05
2021-01-02 21:15:00,74,19,3419.5,4033.5,2.58399647179725e-05,1.9740649425806847e-05
2021-01-02 21:30:00,89,19,2932.0,4006.5,3.074351993959071e-05,1.9881880700344478e-05
2021-01-02 21:45:00,127,31,2143.5,2598.5,4.408754745486407e-05,3.2890897709308127e-05
2021-01-02 22:00:00,90,24,3007.5,3351.0,3.045840921143517e-05,2.4926233926473842e-05
2021-01-02 22:15:00,114,23,2368.5,3343.0,3.9183969769223604e-05,2.4379773268108607e-05
2021-01-02 22:30:00,97,27,2791.0,2829.5,3.311360013108889e-05,2.910589911895365e-05
2021-01-02 22:45:00,96,21,2809.5,3485.5,3.337200082178552e-05,2.312309303301207e-05
2021-01-02 23:00:00,93,19,2823.0,3840.5,3.271228071779889e-05,2.099069449369893e-05
2021-01-02 23:15:00,104,23,2527.5,3224.0,3.6961166608144816e-05,2.5904518198487177e-05
2021-01-02 23:30:00,104,20,2532.5,3627.0,3.7096195428464615e-05,2.2509721385923545e-05
2021-01-02 23:45:00,113,20,2276.5,3560.0,4.144893747666205e-05,2.31669981477985e-05
2021-01-03 00:00:00,82,23,3010.5,3198.5,2.9959580142059557e-05,2.671129388346211e-05
2021-01-03 00:15:00,109,26,2294.0,2766.5,4.059516232292223e-05,3.1211023733582695e-05
2021-01-03 00:30:00,86,16,2785.5,4100.0,3.275318305715926e-05,1.9622126891389075e-05
2021-01-03 00:45:00,102,26,2400.5,2603.5,3.841424490587569e-05,3.085222141927338e-05
2021-01-03 01:00:00,79,17,2892.0,3927.0,3.083098881225372e-05,2.005587330350907e-05
2021-01-03 01:15:00,84,13,2641.5,4675.5,3.4064006267777155e-05,1.6561712124319856e-05
2021-01-03 01:30:00,82,25,2603.0,2575.5,3.434349272483365e-05,3.2488755641672415e-05
2021-01-03 01:45:00,76,11,2771.0,5154.0,3.303919753005915e-05,1.4985477709783065e-05
2021-01-03 02:00:00,83,16,2576.0,3761.5,3.591751952744661e-05,2.212031515919023e-05
2021-01-03 02:15:00,106,21,1999.0,2818.0,4.770442697082289e-05,3.0417325708723688e-05
2021-01-03 02:30:00,86,23,2319.5,2520.0,3.994170369014898e-05,3.445749667784788e-05
2021-01-03 02:45:00,72,15,2721.5,3610.0,3.381780469842033e-05,2.2962358571006506e-05
2021-01-03 03:00:00,88,25,2363.0,2539.0,3.953252785807823e-05,3.433679173499689e-05
2021-01-03 03:15:00,77,16,2555.0,3466.5,3.553612708826666e-05,2.425374265566355e-05
2021-01-03 03:30:00,84,15,2352.5,3594.5,3.908543797559766e-05,2.3046714153140805e-05
2021-01-03 03:45:00,88,17,2231.5,3177.5,4.179490102207531e-05,2.674772801651436e-05
2021-01-03 04:00:00,116,29,1765.0,2135.5,5.379373349378706e-05,4.31852872193887e-05
2021-01-03 04:15:00,101,23,1979.5,2434.0,4.816951089346335e-05,3.5977018506265474e-05
2021-01-03 04:30:00,93,21,2170.5,2759.5,4.3140698517490774e-05,3.168319221740101e-05
2021-01-03 04:45:00,117,18,1788.5,3162.5,5.2921444674022e-05,2.682827222945923e-05
2021-01-03 05:00:00,82,17,2526.0,3488.0,3.6434663761372496e-05,2.4150951973701035e-05
2021-01-03 05:15:00,101,25,2069.0,2410.0,4.518449590207938e-05,3.6714709087331076e-05
2021-01-03 05:30:00,89,17,2366.0,3386.5,3.9828157164593215e-05,2.4492183391706367e-05
2021-01-03 05:45:00,136,22,1540.5,2657.0,6.146281499692685e-05,3.28174039643424e-05
2021-01-03 06:00:00,134,27,1620.5,2375.0,5.8718593768554956e-05,3.684176054493058e-05
2021-01-03 06:15:00,97,24,2152.0,2524.5,4.309812420968259e-05,3.490360786960012e-05
2021-01-03 06:30:00,111,31,1962.5,2070.0,4.829469685070717e-05,4.2817265578923965e-05
2021-01-03 06:45:00,112,22,1923.5,2843.5,4.864396267618235e-05,3.084364375591462e-05
2021-01-03 07:00:00,153,30,1550.0,2342.0,6.203670139911007e-05,3.725916606534513e-05
2021-01-03 07:15:00,104,17,2181.5,3753.0,4.2030136416082175e-05,2.211759011942197e-05
2021-01-03 07:30:00,97,23,2476.5,3016.0,3.7383638607355396e-05,2.776409691842667e-05
2021-01-03 07:45:00,109,27,2308.5,2664.0,4.0355005575654897e-05,3.243251034837321e-05
2021-01-03 08:00:00,113,31,2391.5,2574.5,3.9080116313493076e-05,3.3856063675610855e-05
2021-01-03 08:15:00,115,21,2405.5,3509.5,3.8707115040911734e-05,2.358220419493724e-05
2021-01-03 08:30:00,123,30,2327.0,2693.0,3.997435141614827e-05,3.1689527139439203e-05
2021-01-03 08:45:00,93,23,2985.0,3459.5,3.013583484525573e-05,2.409355843002183e-05
2021-01-03 09:00:00,114,28,2641.5,3082.5,3.416746915261979e-05,2.562410716001614e-05
2021-01-03 09:15:00,105,20,2988.5,4146.0,2.9584631769949903e-05,1.910789079458253e-05
2021-01-03 09:30:00,123,32,2611.0,2839.0,3.421391037457556e-05,3.0326349427779687e-05
2021-01-03 09:45:00,137,29,2378.0,3096.5,3.779862986864287e-05,2.6839227474484224e-05
2021-01-03 10:00:00,266,29,1440.5,3410.0,6.637193535074074e-05,2.4031131087334107e-05
2021-01-03 10:15:00,263,34,1488.0,2924.0,6.612002418534724e-05,2.8403845880732252e-05
2021-01-03 10:30:00,236,45,1646.0,2347.0,5.946525616422893e-05,3.622310535047464e-05
2021-01-03 10:45:00,238,38,1554.0,2669.0,6.175805994579822e-05,3.1830460913450464e-05
2021-01-03 11:00:00,224,52,1624.5,2127.0,5.831820704838016e-05,4.1232699116272246e-05
2021-01-03 11:15:00,204,45,1754.5,2340.5,5.386689016145016e-05,3.698626083697442e-05
2021-01-03 11:30:00,176,41,1970.0,2568.5,4.71936788357534e-05,3.3443424737204024e-05
2021-01-03 11:45:00,193,38,1851.0,2845.0,5.058471209435909e-05,2.963247157427184e-05
2021-01-03 12:00:00,175,40,2024.5,2925.5,4.552603907330837e-05,2.899351197685738e-05
2021-01-03 12:15:00,214,39,1656.5,2818.0,5.584580295304257e-05,2.9569311603680244e-05
2021-01-03 12:30:00,198,46,1781.0,2412.0,5.22534429212947e-05,3.558071989078266e-05
2021-01-03 12:45:00,208,45,1641.0,2426.5,5.6575008805845714e-05,3.550323868432887e-05
2021-01-03 13:00:00,190,50,1800.5,2318.5,5.161131895985264e-05,3.8091320130881776e-05
2021-01-03 13:15:00,151,27,2214.5,3815.5,4.0729615771370365e-05,2.0836452370185048e-05
2021-01-03 13:30:00,156,37,2161.0,2919.0,4.181678938732774e-05,2.855837331505597e-05
2021-01-03 13:45:00,136,35,2433.5,3037.5,3.6187305493232976e-05,2.7311744049941478e-05
2021-01-03 14:00:00,171,31,2017.5,3449.5,4.5295529490171e-05,2.3666542989893625e-05
2021-01-03 14:15:00,119,34,2703.5,3124.0,3.188883178078492e-05,2.660288234405821e-05
2021-01-03 14:30:00,138,30,2402.5,3445.0,3.6784001411652695e-05,2.3321094940954874e-05
2021-01-03 14:45:00,120,37,2693.0,2829.5,3.2774966262269106e-05,2.9699743618969954e-05
2021-01-03 15:00:00,104,27,3025.0,3761.5,2.8496999731744593e-05,2.11633741943221e-05
2021-01-03 15:15:00,116,20,2739.5,4715.5,3.2057721585873385e-05,1.591270924218109e-05
2021-01-03 15:30:00,118,41,2688.5,2652.5,3.266955986073908e-05,3.21633458665786e-05
2021-01-03 15:45:00,115,35,2752.5,2985.0,3.2064678080390885e-05,2.800082882453321e-05
2021-01-03 16:00:00,104,31,3045.0,3397.0,2.8770132176626476e-05,2.375832116038706e-05
2021-01-03 16:15:00,87,23,3572.0,4294.5,2.4083611655914394e-05,1.782174842200041e-05
2021-01-03 16:30:00,162,22,1998.0,4268.0,4.648477537523544e-05,1.811565859888556e-05
