time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,506,139,610.0,792.0,0.00016339557972977733,0.00012246264448829996
2021-01-02 16:15:00,435,129,698.5,843.5,0.00014403887658947728,0.00011703790667270305
2021-01-02 16:30:00,487,119,620.5,879.0,0.00016294742787317806,0.00010920506968476441
2021-01-02 16:45:00,472,117,652.0,926.5,0.00015561487823300625,0.00010586022288553252
2021-01-02 17:00:00,426,119,709.5,901.5,0.00014127539848118997,0.00010698350566068608
2021-01-02 17:15:00,474,136,608.0,778.5,0.0001613222159410173,0.00012777595613526588
2021-01-02 17:30:00,366,107,815.0,949.0,0.00012375103590774936,0.00010162881547341457
2021-01-02 17:45:00,840,104,346.0,981.0,0.0002810823544528799,9.959873203152684e-05
2021-01-02 18:00:00,806,124,366.0,847.0,0.00027000101166632163,0.00011553024656390686
2021-01-02 18:15:00,668,133,446.0,766.0,0.00022480554152390562,0.00012732792301351685
2021-01-02 18:30:00,521,117,561.5,853.0,0.00017952585189496254,0.00011319758008728792
2021-01-02 18:45:00,533,116,547.0,862.0,0.00018380070899485493,0.00011325813383791785
2021-01-02 19:00:00,427,90,708.0,1155.0,0.00014300957795763567,8.288704797778628e-05
2021-01-02 19:15:00,626,94,492.5,1046.5,0.00021188807164930831,9.122670807453416e-05
2021-01-02 19:30:00,831,92,338.0,1043.0,0.0002873929927985749,9.194492498993104e-05
2021-01-02 19:45:00,664,107,427.0,882.0,0.0002330570343913561,0.00010845041586173484
2021-01-02 20:00:00,642,91,450.5,1051.5,0.00022369977121297543,9.108753512125153e-05
2021-01-02 20:15:00,613,84,467.5,1100.0,0.00021639000751187495,8.604256443717407e-05
2021-01-02 20:30:00,519,63,548.5,1394.0,0.00018357469810097456,6.525069212341288e-05
2021-01-02 20:45:00,494,73,554.0,1234.5,0.0001740605399470701,7.636023200958164e-05
2021-01-02 21:00:00,528,100,536.5,925.5,0.00018378891286421442,0.00010239910871815772
2021-01-02 21:15:00,536,95,528.0,982.5,0.0001871651498490981,9.870324712903424e-05
2021-01-02 21:30:00,496,89,582.0,1010.5,0.00017133467292176398,9.313091485950836e-05
2021-01-02 21:45:00,470,90,601.0,1000.0,0.00016315864018729223,9.548970302702358e-05
2021-01-02 22:00:00,538,89,540.5,1042.5,0.00018207360173057912,9.243478414400716e-05
2021-01-02 22:15:00,546,92,523.5,968.5,0.0001876705920525973,9.751909307243443e-05
2021-01-02 22:30:00,511,100,568.0,885.0,0.00017444381099986,0.000107799626366495
2021-01-02 22:45:00,488,88,589.0,988.0,0.00016964100417740972,9.689677080500296e-05
2021-01-02 23:00:00,472,98,590.5,908.0,0.00016602361826667828,0.00010826779265171024
2021-01-02 23:15:00,462,104,600.0,843.0,0.00016419287474002796,0.0001171334735931594
2021-01-02 23:30:00,400,74,683.5,1151.5,0.00014267767472486394,8.328596912791712e-05
2021-01-02 23:45:00,426,81,636.5,1018.5,0.00015625882623945158,9.382634249858393e-05
2021-01-03 00:00:00,419,94,656.0,880.0,0.00015308614731125556,0.000109167896741106
2021-01-03 00:15:00,434,81,607.0,980.5,0.00016163578392796554,9.723434317000764e-05
2021-01-03 00:30:00,379,72,684.5,1084.0,0.00014434251603096928,8.829957101125083e-05
2021-01-03 00:45:00,392,105,691.0,767.5,0.00014763121571669872,0.00012459550957783479
2021-01-03 01:00:00,438,92,566.5,877.0,0.00017093636835148265,0.0001085376672895785
2021-01-03 01:15:00,420,95,578.0,800.5,0.00017032003133888576,0.00012102789629310665
2021-01-03 01:30:00,378,84,635.0,893.5,0.00015831512499984293,0.00010916221895601933
2021-01-03 01:45:00,380,67,597.5,1065.0,0.00016519598765029576,9.127518241413322e-05
2021-01-03 02:00:00,408,77,551.0,935.5,0.00017655840924335201,0.000106454016703603
2021-01-03 02:15:00,425,90,502.5,771.5,0.0001912677496471673,0.0001303599673231015
2021-01-03 02:30:00,381,73,536.5,906.0,0.00017695103611566003,0.0001093650981514302
2021-01-03 02:45:00,369,64,560.0,1004.5,0.0001733162490794042,9.797272990296109e-05
2021-01-03 03:00:00,390,79,539.0,908.5,0.00017520097573466486,0.00010850426188259016
2021-01-03 03:15:00,348,67,615.5,969.5,0.00016060483411320516,0.00010156254737059113
2021-01-03 03:30:00,357,86,572.5,748.5,0.00016611311139629005,0.0001321344944780073
2021-01-03 03:45:00,340,72,586.5,863.5,0.00016148029940347278,0.0001132844951287667
2021-01-03 04:00:00,403,100,494.5,673.5,0.00018688684998272568,0.00014891478351513346
2021-01-03 04:15:00,392,77,498.0,826.5,0.00018695493336868944,0.00012044480108619311
2021-01-03 04:30:00,446,84,455.0,779.0,0.00020688980149248263,0.00012673276886960406
2021-01-03 04:45:00,423,85,490.5,820.5,0.00019133137689838722,0.0001266890633057797
2021-01-03 05:00:00,487,98,437.5,708.0,0.00021638635672912692,0.00013922313490721773
2021-01-03 05:15:00,432,74,486.0,919.0,0.00019326437851186428,0.0001086755388985
2021-01-03 05:30:00,379,66,545.0,1048.5,0.00016960529848742504,9.508730022662475e-05
2021-01-03 05:45:00,380,74,532.5,894.0,0.00017173433602082504,0.00011038581333460626
2021-01-03 06:00:00,472,94,445.0,774.0,0.0002068296735728205,0.0001282639070823509
2021-01-03 06:15:00,466,78,445.5,854.0,0.00020704872043002156,0.00011343672557620039
2021-01-03 06:30:00,542,94,383.0,766.0,0.00023581734858633589,0.00012983299885222104
2021-01-03 06:45:00,482,102,449.0,679.5,0.00020934276794571334,0.00014300234832287687
2021-01-03 07:00:00,442,105,517.5,757.5,0.0001792171373752069,0.00013040708122870795
2021-01-03 07:15:00,465,85,501.0,863.5,0.0001879232060911367,0.00011058795059710989
2021-01-03 07:30:00,487,125,513.5,666.5,0.00018768898970909363,0.0001508918310784058
2021-01-03 07:45:00,469,124,549.0,652.5,0.00017363759279800136,0.00014894930678512142
2021-01-03 08:00:00,598,133,449.5,687.5,0.00020681335889795451,0.00014525343447923368
2021-01-03 08:15:00,627,125,453.0,705.5,0.00021103792287523185,0.0001403702630651026
2021-01-03 08:30:00,543,109,551.5,878.0,0.0001764721367395814,0.00011513861527329575
2021-01-03 08:45:00,522,93,562.0,995.0,0.00016914952461530636,9.742177973878392e-05
2021-01-03 09:00:00,664,150,484.0,714.5,0.0001990105220819258,0.0001372720026429436
2021-01-03 09:15:00,634,141,554.0,733.5,0.00017863482421093558,0.00013471063010180685
2021-01-03 09:30:00,661,134,546.5,781.5,0.00018386499802922312,0.00012699158822882748
2021-01-03 09:45:00,603,125,591.5,848.5,0.00016636915190358867,0.00011568632532105268
2021-01-03 10:00:00,621,148,640.5,818.5,0.00015495102200304513,0.00012264163451467062
2021-01-03 10:15:00,584,151,697.5,773.0,0.00014682165066252012,0.00012614649199972264
2021-01-03 10:30:00,597,129,668.0,970.5,0.0001504269403815452,0.00010383956867136065
2021-01-03 10:45:00,623,129,606.0,899.0,0.00016166080397576592,0.00010805603836408183
2021-01-03 11:00:00,655,189,567.0,661.0,0.00017052868578879018,0.00014986500255722028
2021-01-03 11:15:00,638,146,570.0,817.5,0.00016846605844610392,0.0001199998684932948
2021-01-03 11:30:00,644,151,552.0,810.0,0.0001726859611944613,0.00012316968622726356
2021-01-03 11:45:00,605,203,615.0,646.5,0.00015856865708335365,0.0001582997823572943
2021-01-03 12:00:00,627,193,578.5,717.5,0.0001631132942797963,0.00013989369528833684
2021-01-03 12:15:00,686,145,524.5,899.0,0.00017901972348498686,0.00010993718416752909
2021-01-03 12:30:00,652,171,556.5,734.0,0.0001720668928519401,0.0001322674587244312
2021-01-03 12:45:00,584,158,610.0,799.0,0.00015884521703179758,0.00012465581582497693
2021-01-03 13:00:00,546,167,649.5,782.0,0.00014831463237936605,0.00012722500923714514
2021-01-03 13:15:00,551,145,658.5,881.0,0.00014862263768228526,0.00011189946643247524
2021-01-03 13:30:00,556,168,639.5,749.5,0.0001490393262779117,0.00012967045180890281
2021-01-03 13:45:00,453,153,810.0,825.5,0.000120535657267901,0.00011939133827545845
2021-01-03 14:00:00,494,157,756.0,811.0,0.000130853751860494,0.00011985958869075156
2021-01-03 14:15:00,447,143,813.0,868.0,0.00011978409921017526,0.0001118885933882448
2021-01-03 14:30:00,482,137,751.0,912.5,0.00012847745420591737,0.00010649966689702726
2021-01-03 14:45:00,442,143,818.5,853.5,0.00012072112573269121,0.00011478549560845142
2021-01-03 15:00:00,494,143,717.0,857.5,0.00013536074872578678,0.00011208750036252076
2021-01-03 15:15:00,503,136,705.0,904.0,0.00013900891342839922,0.00010820642284683142
2021-01-03 15:30:00,517,139,690.0,890.0,0.0001431369698983229,0.00010904158720620548
2021-01-03 15:45:00,536,125,659.0,987.5,0.00014944928218338707,0.0001000029600876186
2021-01-03 16:00:00,500,134,718.0,968.5,0.00013831794315685808,0.00010269725920941504
2021-01-03 16:15:00,478,138,754.5,931.0,0.00013232145254628828,0.00010693049053200244
2021-01-03 16:30:00,464,141,738.5,842.0,0.0001331415788525262,0.00011610490283831199
2021-01-03 16:45:00,408,113,829.5,1038.0,0.00011792469872118182,9.359720566784921e-05
2021-01-03 17:00:00,477,137,707.5,869.0,0.00013835330561433074,0.0001125824440415947
2021-01-03 17:15:00,402,111,833.0,1042.5,0.00011740890806502817,9.298927858750124e-05
2021-01-03 17:30:00,476,137,696.5,849.0,0.0001400067120864912,0.00011522239183182578
2021-01-03 17:45:00,415,123,801.0,917.0,0.00012214004666044097,0.00010533419199254609
2021-01-03 18:00:00,479,111,685.5,1016.0,0.00014272773864435466,9.422998398090272e-05
2021-01-03 18:15:00,501,113,670.5,993.5,0.00014867165878993733,9.7778608463301e-05
2021-01-03 18:30:00,610,102,542.0,1064.5,0.0001823242879564048,8.965645755030431e-05
2021-01-03 18:45:00,510,113,655.0,978.0,0.0001534111418601853,9.931499023549078e-05
2021-01-03 19:00:00,463,112,716.0,1035.0,0.00013741225129643858,9.4211541923295e-05
2021-01-03 19:15:00,446,112,747.5,977.5,0.00013336203906371476,9.823803074850364e-05
2021-01-03 19:30:00,416,115,789.5,976.0,0.000125585777652192,9.998156861517704e-05
2021-01-03 19:45:00,495,106,669.5,1022.0,0.00014984203017485507,9.302880733558474e-05
2021-01-03 20:00:00,455,105,708.5,1015.5,0.00013989393887219043,9.450026460074089e-05
2021-01-03 20:15:00,466,112,699.5,955.0,0.00014280005785547408,0.0001027807704519968
2021-01-03 20:30:00,432,111,755.0,973.5,0.00013081046774431884,0.00010116679031496594
2021-01-03 20:45:00,425,96,747.0,1040.5,0.00013119450279598638,8.983178997327504e-05
2021-01-03 21:00:00,453,89,706.0,1143.5,0.00013932237043634657,8.263281135393397e-05
2021-01-03 21:15:00,434,102,721.0,1003.5,0.00013421307841507342,9.56656878128479e-05
2021-01-03 21:30:00,432,98,699.0,999.0,0.00013719490409853897,9.536877548438578e-05
2021-01-03 21:45:00,429,90,726.5,1057.5,0.0001343147178561242,8.870788100527713e-05
2021-01-03 22:00:00,440,89,750.5,1134.0,0.00013388722070821469,8.493938763473392e-05
2021-01-03 22:15:00,412,92,770.5,1071.0,0.00012751189930521492,8.8783720925744e-05
2021-01-03 22:30:00,426,113,759.0,940.5,0.00013158508442912922,0.00010603966258742409
2021-01-03 22:45:00,423,108,766.5,1040.5,0.00012927363193810512,9.847401744813703e-05
2021-01-03 23:00:00,443,77,747.5,1386.5,0.00013302356559007663,7.016616623913905e-05
2021-01-03 23:15:00,401,90,807.5,1185.0,0.0001234067146793672,8.330710702186349e-05
2021-01-03 23:30:00,447,98,695.5,1052.0,0.00014171387556380407,9.607475792592244e-05
2021-01-03 23:45:00,436,99,673.0,944.0,0.0001436919876556718,0.0001041490235766037
2021-01-04 00:00:00,427,110,670.0,836.0,0.00014551025881401984,0.00011846669631923978
2021-01-04 00:15:00,357,87,773.5,974.0,0.0001271479817305802,0.00010026472191521752
2021-01-04 00:30:00,415,107,623.0,790.5,0.0001532048799630536,0.00012635268221946165
2021-01-04 00:45:00,398,76,622.5,1029.5,0.00015197429114302996,9.456511866055974e-05
2021-01-04 01:00:00,381,81,654.5,973.0,0.0001454952049592098,0.00010048580544955612
2021-01-04 01:15:00,339,75,706.5,974.0,0.0001367211131276467,9.847650284991e-05
2021-01-04 01:30:00,349,89,655.0,793.0,0.00014571288882691104,0.00012138107109930337
2021-01-04 01:45:00,380,108,561.0,662.0,0.00016276257779944135,0.0001528653765583776
2021-01-04 02:00:00,367,96,600.5,733.0,0.0001572993543868733,0.00013327539555720917
2021-01-04 02:15:00,339,77,662.0,885.5,0.00014549968196087216,0.00010827213145642892
2021-01-04 02:30:00,375,77,592.5,884.0,0.00016252924984733086,0.00011160989298495586
2021-01-04 02:45:00,481,102,462.0,679.5,0.00020700458766924023,0.00015061619744306855
2021-01-04 03:00:00,409,101,550.0,754.0,0.00017108747213031092,0.00013270458514050263
2021-01-04 03:15:00,401,111,534.5,632.0,0.00017563277070988488,0.0001603047812706248
2021-01-04 03:30:00,422,98,517.0,697.0,0.0001861595245962169,0.0001414198553476908
2021-01-04 03:45:00,368,87,565.0,779.0,0.0001658108782749901,0.0001280006591298309
2021-01-04 04:00:00,433,137,494.5,536.5,0.00018957694569211568,0.00019068749103977572
2021-01-04 04:15:00,383,88,527.0,746.5,0.0001745930227522516,0.00013151366247616316
2021-01-04 04:30:00,380,89,526.5,732.0,0.00017397411356755437,0.00013231328217219756
2021-01-04 04:45:00,410,108,478.0,608.5,0.00019095657600886785,0.0001634748702796631
2021-01-04 05:00:00,491,142,413.0,503.5,0.0002177167323511988,0.00019837749560985013
2021-01-04 05:15:00,447,93,461.5,734.0,0.00019672546718997692,0.00013252205138435672
2021-01-04 05:30:00,483,109,435.5,665.5,0.0002116403043764411,0.00014967572548098778
2021-01-04 05:45:00,450,117,473.0,621.0,0.0001944995526510289,0.0001628884436914141
2021-01-04 06:00:00,477,145,478.5,582.0,0.0001949282688489915,0.00018095752739634563
2021-01-04 06:15:00,414,124,553.0,610.5,0.0001700041269117765,0.00016506021369973152
2021-01-04 06:30:00,455,118,510.0,711.5,0.00017883856341143796,0.00014527332313957813
2021-01-04 06:45:00,483,131,483.0,607.0,0.00018912244444870807,0.00016638787172130158
2021-01-04 07:00:00,559,185,438.0,502.0,0.00020408960519431775,0.000205221500557426
2021-01-04 07:15:00,493,117,513.5,708.5,0.00017898193044900142,0.0001376932265524323
2021-01-04 07:30:00,536,132,492.0,691.0,0.00018355372336673143,0.00014420209267824798
2021-01-04 07:45:00,502,117,527.5,746.5,0.00017019043360250768,0.0001288458277077997
2021-01-04 08:00:00,522,148,559.5,658.5,0.00016405127450869468,0.00014600959717136003
2021-01-04 08:15:00,511,125,593.5,754.5,0.0001581670696161059,0.00012702671117682625
2021-01-04 08:30:00,596,148,530.0,715.5,0.00017608114859269506,0.00013856146980015314
2021-01-04 08:45:00,547,145,578.0,714.0,0.00015940272062851883,0.00013672035219162724
2021-01-04 09:00:00,657,189,522.0,629.5,0.00017836384160422122,0.00015578814790147594
2021-01-04 09:15:00,655,175,526.5,658.0,0.00017674666859513922,0.0001516238480919655
2021-01-04 09:30:00,651,214,543.0,550.5,0.00017140604829016544,0.00018103451922222837
2021-01-04 09:45:00,575,151,647.5,779.5,0.00014873134747238188,0.00012544664405303985
2021-01-04 10:00:00,709,238,635.5,564.0,0.00015293755510012232,0.00017180183308224757
2021-01-04 10:15:00,702,181,612.5,715.5,0.00016476285766390208,0.00013716724628038047
2021-01-04 10:30:00,739,199,555.0,690.0,0.00017317340140914875,0.00014635193890578759
2021-01-04 10:45:00,687,188,595.0,701.0,0.00016273601163171634,0.00014238282196694298
2021-01-04 11:00:00,710,202,569.0,693.5,0.00016513463589673457,0.00014170824377185252
2021-01-04 11:15:00,710,200,540.5,669.0,0.0001704436744871506,0.00014986369896579065
2021-01-04 11:30:00,653,181,587.0,722.5,0.00015850938069681016,0.0001350940844464912
2021-01-04 11:45:00,610,178,640.5,725.5,0.00014762608780460892,0.00013205364939162587
2021-01-04 12:00:00,622,226,628.0,621.0,0.00015002155052337506,0.0001581193591268453
2021-01-04 12:15:00,627,197,602.5,670.0,0.0001558459764520955,0.00014695208690612148
2021-01-04 12:30:00,644,240,592.5,567.5,0.00016039147474481815,0.00017789360628142324
2021-01-04 12:45:00,594,186,636.5,714.5,0.00014884244926514678,0.00013852509501257525
2021-01-04 13:00:00,700,250,539.5,572.5,0.00017547316338506784,0.00017609366492474812
2021-01-04 13:15:00,546,147,713.0,902.0,0.00013625834582368173,0.00010744687227271332
2021-01-04 13:30:00,577,166,662.5,804.0,0.00014548821381573225,0.00012255743403124625
2021-01-04 13:45:00,569,151,658.0,861.5,0.00014697301456634306,0.00011276390300512067
2021-01-04 14:00:00,608,233,598.0,589.0,0.00015965510296309893,0.00016957873875631102
2021-01-04 14:15:00,503,145,706.5,871.5,0.0001357287432732646,0.00011117202145236666
2021-01-04 14:30:00,499,149,707.5,849.0,0.00013554077373409943,0.00011425311435586548
2021-01-04 14:45:00,515,129,675.0,966.0,0.00014075764785497643,9.985347083698108e-05
2021-01-04 15:00:00,504,174,721.5,818.5,0.00013534466970261232,0.00012272145403764164
2021-01-04 15:15:00,530,157,733.0,921.0,0.00013501337524012642,0.00010790111035053428
2021-01-04 15:30:00,552,190,700.0,765.0,0.00014078199296294064,0.0001321294256403409
2021-01-04 15:45:00,540,198,689.5,703.5,0.0001429543366786413,0.00014227694854748168
2021-01-04 16:00:00,509,169,702.0,806.5,0.0001382408753553456,0.00012456310779794538
2021-01-04 16:15:00,449,120,752.5,1031.0,0.00012770988864209689,9.435779690270533e-05
2021-01-04 16:30:00,438,128,790.0,959.0,0.00012458124489088903,0.000101656201901924
2021-01-04 16:45:00,450,133,777.0,959.0,0.0001273877777372024,0.00010252623091219824
2021-01-04 17:00:00,531,209,657.5,646.0,0.00014719257195873397,0.00015754976197924716
2021-01-04 17:15:00,533,164,638.0,758.5,0.00015149831262714275,0.00013156902480076116
2021-01-04 17:30:00,487,137,699.5,869.0,0.00014002622256981183,0.00011208735286489546
2021-01-04 17:45:00,467,139,745.0,829.0,0.0001342188906047064,0.000117340572993434
2021-01-04 18:00:00,499,156,681.5,748.5,0.00014586941092143866,0.00013136620856911885
2021-01-04 18:15:00,408,126,828.0,863.0,0.00012085150548985735,0.00011015218485984446
2021-01-04 18:30:00,435,135,781.0,822.0,0.00012740080968339873,0.00011758998028843516
2021-01-04 18:45:00,444,125,745.5,884.0,0.00013125384671324405,0.00010940172137044472
2021-01-04 19:00:00,409,119,802.0,931.5,0.00012302020930279425,0.0001028586937637379
2021-01-04 19:15:00,418,113,773.0,940.0,0.00012601349670872644,0.00010145338710662122
2021-01-04 19:30:00,403,109,797.0,962.0,0.00012297262989327318,9.781127090940254e-05
2021-01-04 19:45:00,389,108,820.5,974.5,0.0001193053179502058,9.769352816558691e-05
2021-01-04 20:00:00,373,132,859.5,828.0,0.00011488563643100532,0.0001170475292774
2021-01-04 20:15:00,438,122,710.5,859.0,0.00013602619653363014,0.00011252505296517349
2021-01-04 20:30:00,391,120,819.5,884.5,0.00011908637904615769,0.00010858745814858383
2021-01-04 20:45:00,374,98,896.5,1058.0,0.00011266458367725151,8.977112942157165e-05
2021-01-04 21:00:00,417,137,752.0,778.0,0.0001292751477363829,0.00012586879326739771
2021-01-04 21:15:00,363,90,878.5,1116.0,0.00011148631528514238,8.415202343540351e-05
2021-01-04 21:30:00,412,88,767.5,1130.0,0.00012574834764534693,8.330130650526408e-05
2021-01-04 21:45:00,437,116,715.5,868.0,0.00013501968908395166,0.00011048955445087168
2021-01-04 22:00:00,463,122,700.0,859.5,0.0001384779331076811,0.00011249060657332404
2021-01-04 22:15:00,472,121,677.0,846.0,0.00014187356059954805,0.000114291003786716
2021-01-04 22:30:00,455,111,707.0,921.0,0.00013777741710038795,0.00010474198086901874
2021-01-04 22:45:00,494,105,629.0,924.5,0.0001527874429753344,0.0001022253982409443
2021-01-04 23:00:00,483,95,627.0,999.5,0.00015339386303865306,9.504876001388713e-05
2021-01-04 23:15:00,461,120,641.5,787.0,0.00015010101700764993,0.00012430067919962792
2021-01-04 23:30:00,436,85,678.0,1044.0,0.0001421819185036723,8.990028471948997e-05
2021-01-04 23:45:00,431,89,661.0,997.5,0.00014500740513454064,9.675564199542747e-05
2021-01-05 00:00:00,534,96,523.0,905.5,0.00018278200370835249,0.00010585137584736232
2021-01-05 00:15:00,580,94,469.0,910.0,0.00020170573498092141,0.00010611301261615987
2021-01-05 00:30:00,546,104,505.0,798.5,0.00019307333498117533,0.00012167642027971536
2021-01-05 00:45:00,520,73,498.5,1068.0,0.00019105937647772488,8.893003764298854e-05
2021-01-05 01:00:00,515,79,490.5,1025.0,0.0001933851029634859,9.5846800415417e-05
2021-01-05 01:15:00,531,89,476.0,881.0,0.00020407026012232683,0.00011318993398101716
2021-01-05 01:30:00,473,86,513.0,874.5,0.0001872301145191214,0.00011157818257304477
2021-01-05 01:45:00,465,94,508.0,761.0,0.00019027587956559807,0.00012949281521513028
2021-01-05 02:00:00,531,148,431.5,521.5,0.0002189874038940167,0.00019931022501855063
2021-01-05 02:15:00,502,114,453.0,659.0,0.00021045632549124995,0.00015656394332385252
2021-01-05 02:30:00,432,85,513.5,825.5,0.00018552413574526158,0.00012004039006065571
2021-01-05 02:45:00,403,77,526.5,891.0,0.00017689225330443946,0.00011056324073781577
2021-01-05 03:00:00,431,80,517.5,969.0,0.00018068006130545747,0.00010088603157228356
2021-01-05 03:15:00,392,100,546.0,719.0,0.00017077879049406914,0.00013847001708720008
2021-01-05 03:30:00,420,100,508.5,702.5,0.00018562026336863653,0.00014295823475171727
2021-01-05 03:45:00,437,103,494.5,668.5,0.00019204334114983422,0.00014726192893110715
2021-01-05 04:00:00,482,99,458.0,738.5,0.00020886207866300537,0.00013520582013255633
2021-01-05 04:15:00,546,110,369.0,621.5,0.00024259647541977856,0.00015740054431970054
2021-01-05 04:30:00,477,120,440.0,584.5,0.00020988519675747168,0.00017030093594556047
2021-01-05 04:45:00,471,115,460.5,618.0,0.00020612583216193177,0.00016330541520756831
2021-01-05 05:00:00,495,152,432.0,510.5,0.000209286131347976,0.0002008111714425376
2021-01-05 05:15:00,468,100,460.5,727.5,0.00020031605421887868,0.0001383357380695801
2021-01-05 05:30:00,475,107,452.5,728.5,0.00019978952699093415,0.00013968467815736327
2021-01-05 05:45:00,448,119,507.5,654.0,0.00018423173720658628,0.0001501346165006775
2021-01-05 06:00:00,531,135,474.5,653.5,0.0001911010262233075,0.00014029530603082758
2021-01-05 06:15:00,483,96,497.0,801.0,0.00018048201027813288,0.00010897722603011858
2021-01-05 06:30:00,555,124,448.0,692.5,0.00020369895276716767,0.00013932740817312555
2021-01-05 06:45:00,533,133,472.0,615.5,0.00019861032393604674,0.00015682186922235219
2021-01-05 07:00:00,539,149,486.0,632.5,0.00019430040139795356,0.00016245873112098706
2021-01-05 07:15:00,532,125,483.0,701.0,0.00019012894816877588,0.00014182353294901046
2021-01-05 07:30:00,673,150,399.0,640.5,0.0002265800253379089,0.00015502850457437442
2021-01-05 07:45:00,558,133,487.5,697.0,0.00018717778501591516,0.00014156240187756448
2021-01-05 08:00:00,714,181,417.5,576.0,0.0002223251851464357,0.0001727173399621167
2021-01-05 08:15:00,647,134,475.0,740.5,0.00019765804242163182,0.0001309339203863137
2021-01-05 08:30:00,675,154,474.5,680.5,0.00019842868002890296,0.00014149131849695794
2021-01-05 08:45:00,674,155,502.0,697.5,0.00019106209262883007,0.0001400985570752483
2021-01-05 09:00:00,708,201,485.0,628.5,0.00019231202789502262,0.0001584222718069045
2021-01-05 09:15:00,657,163,517.0,703.0,0.00018034517572537462,0.00013956100785308934
2021-01-05 09:30:00,611,168,575.0,707.5,0.00016476241583229288,0.00013878138379909085
2021-01-05 09:45:00,607,162,610.0,773.5,0.00016063853154681408,0.00012926061333363122
2021-01-05 10:00:00,868,253,504.0,573.5,0.0001945526600033128,0.00018016170403063747
2021-01-05 10:15:00,885,177,470.0,750.0,0.00021765948906832884,0.00013015098249285456
2021-01-05 10:30:00,872,194,480.5,718.5,0.00021264713987158258,0.00013871827177054568
2021-01-05 10:45:00,848,180,465.5,751.5,0.00020598217914085515,0.0001326564904398889
2021-01-05 11:00:00,816,214,494.5,678.0,0.0001949090519967668,0.00014787328503266687
2021-01-05 11:15:00,943,249,406.5,553.5,0.00023026705361950265,0.0001791586021311959
2021-01-05 11:30:00,1152,260,326.0,536.0,0.000286165464746874,0.0001885708649310411
2021-01-05 11:45:00,1726,303,221.0,467.5,0.0004245100180429055,0.00021309485463836468
2021-01-05 12:00:00,1934,412,200.0,351.0,0.00047487041734087297,0.0002824103587022833
2021-01-05 12:15:00,1842,296,206.0,463.0,0.00046035521828384973,0.0002123353952343616
2021-01-05 12:30:00,1899,339,203.0,403.0,0.00047572690519982795,0.00024405906949420014
2021-01-05 12:45:00,1759,291,214.0,475.0,0.0004464778633026417,0.0002131023528403761
2021-01-05 13:00:00,1583,325,231.0,429.5,0.0004035387004575308,0.00022933125594497178
2021-01-05 13:15:00,1504,316,250.5,434.0,0.0003827188202488792,0.00023247447746579283
2021-01-05 13:30:00,1451,280,249.0,497.5,0.00038051949959194464,0.00020799178729571303
2021-01-05 13:45:00,1227,241,280.0,557.5,0.00033291269303577583,0.00018337496680608745
2021-01-05 14:00:00,1299,267,267.0,509.0,0.0003468983310157819,0.00019598300893374236
2021-01-05 14:15:00,1125,198,302.0,651.5,0.00030648831680158057,0.00015141538976844916
