time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,168,39,1765.5,2483.5,5.4249915799609854e-05,3.4360022554271225e-05
2021-01-02 16:15:00,176,43,1632.5,2196.5,5.827779834424828e-05,3.901263555756768e-05
2021-01-02 16:30:00,154,45,1826.0,2117.0,5.152752339316103e-05,4.129603475474285e-05
2021-01-02 16:45:00,191,36,1528.5,2591.0,6.297127487818685e-05,3.2572376272471554e-05
2021-01-02 17:00:00,190,45,1514.0,2145.5,6.301015425217394e-05,4.045594751874684e-05
2021-01-02 17:15:00,162,55,1721.0,1729.5,5.5135440891233766e-05,5.1674099907644285e-05
2021-01-02 17:30:00,172,39,1657.0,2316.5,5.8156224524953246e-05,3.7042278537038956e-05
2021-01-02 17:45:00,182,50,1594.5,1846.0,6.090117679812398e-05,4.78840057843879e-05
2021-01-02 18:00:00,186,47,1552.5,1997.0,6.230792576915113e-05,4.378969022986792e-05
2021-01-02 18:15:00,173,45,1629.0,2044.5,5.822059683178992e-05,4.308087620758089e-05
2021-01-02 18:30:00,188,46,1478.5,1991.0,6.478092160509206e-05,4.450503148730978e-05
2021-01-02 18:45:00,221,55,1278.5,1660.0,7.621005007103741e-05,5.3699977250736905e-05
2021-01-02 19:00:00,193,41,1501.0,2303.5,6.463898956867375e-05,3.7759655189880406e-05
2021-01-02 19:15:00,166,40,1711.5,2222.0,5.618757171531179e-05,3.8819875776397524e-05
2021-01-02 19:30:00,205,30,1379.0,2770.5,7.089718835584578e-05,2.9982040757586205e-05
2021-01-02 19:45:00,273,39,1045.0,2176.0,9.58201361277714e-05,3.952865624866971e-05
2021-01-02 20:00:00,240,39,1187.5,2219.5,8.36260826964394e-05,3.9037515051964944e-05
2021-01-02 20:15:00,266,60,1059.5,1492.0,9.389843719112356e-05,6.145897459798148e-05
2021-01-02 20:30:00,218,51,1266.5,1699.5,7.710844737189298e-05,5.282198886181043e-05
2021-01-02 20:45:00,215,41,1271.0,2053.5,7.575509329680176e-05,4.288725359442257e-05
2021-01-02 21:00:00,194,50,1413.0,1763.0,6.75285020751091e-05,5.119955435907886e-05
2021-01-02 21:15:00,203,55,1366.5,1590.5,7.088530861822185e-05,5.7143985179967186e-05
2021-01-02 21:30:00,193,49,1472.5,1749.5,6.666853200383154e-05,5.127432391141471e-05
2021-01-02 21:45:00,225,40,1255.5,2067.5,7.810785966412926e-05,4.243986801201049e-05
2021-01-02 22:00:00,192,41,1509.5,2083.5,6.497793965106171e-05,4.258231629105948e-05
2021-01-02 22:15:00,175,36,1606.5,2229.5,6.015083078608887e-05,3.8159645115300425e-05
2021-01-02 22:30:00,190,32,1497.5,2451.0,6.486169097842155e-05,3.44958804372784e-05
2021-01-02 22:45:00,177,33,1577.5,2380.5,6.152962651516707e-05,3.633628905187611e-05
2021-01-02 23:00:00,164,41,1664.0,1958.5,5.7686172448591603e-05,4.529570917061347e-05
2021-01-02 23:15:00,157,33,1744.0,2368.0,5.579714574498786e-05,3.716735219782943e-05
2021-01-02 23:30:00,153,35,1771.0,2257.5,5.457421058226045e-05,3.939201242536621e-05
2021-01-02 23:45:00,181,27,1455.0,2740.0,6.639166091394539e-05,3.1275447499527974e-05
2021-01-03 00:00:00,127,25,2035.0,2956.5,4.640081314684834e-05,2.9034015090719683e-05
2021-01-03 00:15:00,131,24,1962.0,2964.5,4.8788681323878996e-05,2.8810175754076342e-05
2021-01-03 00:30:00,122,26,2048.0,2674.5,4.646381782527243e-05,3.188595619850725e-05
2021-01-03 00:45:00,102,16,2400.5,4016.5,3.841424490587569e-05,1.8985982411860543e-05
2021-01-03 01:00:00,124,19,1923.5,3595.0,4.8392944464803295e-05,2.241538780980425e-05
2021-01-03 01:15:00,81,13,2739.5,4675.5,3.284743461535654e-05,1.6561712124319856e-05
2021-01-03 01:30:00,97,22,2257.5,2917.0,4.062583895498615e-05,2.859010496467173e-05
2021-01-03 01:45:00,101,20,2111.5,3121.0,4.390735461231545e-05,2.7246323108696482e-05
2021-01-03 02:00:00,61,10,3354.5,5509.0,2.639721314667763e-05,1.3825196974493896e-05
2021-01-03 02:15:00,62,11,3181.5,4872.5,2.790258936029264e-05,1.5932884895045747e-05
2021-01-03 02:30:00,60,11,3223.0,4774.0,2.7866304900103944e-05,1.6479672324188112e-05
2021-01-03 02:45:00,79,10,2513.0,5152.5,3.710564682187786e-05,1.5308239047337666e-05
2021-01-03 03:00:00,61,9,3236.0,6038.5,2.7403229537986042e-05,1.2361245024598876e-05
2021-01-03 03:15:00,53,14,3553.0,3899.5,2.4459931632183546e-05,2.122202482370561e-05
2021-01-03 03:30:00,42,4,4262.0,11473.0,1.954271898779883e-05,6.1457904408375484e-06
2021-01-03 03:45:00,52,4,3524.5,11255.0,2.4696986967589953e-05,6.293583062709261e-06
2021-01-03 04:00:00,59,9,3310.5,5771.0,2.736060582873652e-05,1.3402330516362014e-05
2021-01-03 04:15:00,39,4,4537.0,11395.0,1.8600108166782878e-05,6.2568727836983425e-06
2021-01-03 04:30:00,38,4,4692.0,11613.5,1.7627382189942464e-05,6.034893755695432e-06
