time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,550,139,568.0,792.0,0.0001776038910106275,0.00012246264448829996
2021-01-02 16:15:00,460,138,660.0,778.5,0.00015231697294519438,0.0001252033420219614
2021-01-02 16:30:00,466,106,645.5,1004.5,0.0001559209474104743,9.727510408894984e-05
2021-01-02 16:45:00,471,131,653.5,830.0,0.000155285185694377,0.00011852725810260478
2021-01-02 17:00:00,435,133,691.0,820.5,0.00014426008999839822,0.00011956980044429619
2021-01-02 17:15:00,392,121,757.5,861.0,0.00013341415326767678,0.00011368301979681743
2021-01-02 17:30:00,470,140,617.5,740.0,0.00015891526469027922,0.00013297228192783215
2021-01-02 17:45:00,398,108,767.0,944.0,0.0001331794965145788,0.00010342945249427786
2021-01-02 18:00:00,422,111,712.5,942.0,0.00014136529394936443,0.00010341820458543276
2021-01-02 18:15:00,395,119,751.5,854.5,0.00013293142051189032,0.00011392498374893613
2021-01-02 18:30:00,387,89,755.0,1095.0,0.00013335221628282248,8.610756092109937e-05
2021-01-02 18:45:00,372,99,782.0,988.0,0.0001282811702553209,9.665995905132644e-05
2021-01-02 19:00:00,353,94,876.0,1108.0,0.00011822571667223745,8.6570916776799e-05
2021-01-02 19:15:00,368,104,823.0,954.0,0.00012456039994719725,0.00010093167701863355
2021-01-02 19:30:00,550,150,542.0,669.5,0.00019021196875958622,0.00014991020378793104
2021-01-02 19:45:00,461,125,631.5,769.5,0.00016180616393737224,0.00012669441105342858
2021-01-02 20:00:00,413,92,701.0,1036.0,0.00014390655064012281,9.208849704566087e-05
2021-01-02 20:15:00,394,93,723.0,997.0,0.00013908264756880707,9.52614106268713e-05
2021-01-02 20:30:00,388,98,725.5,940.0,0.00013723888798300218,0.00010150107663642005
2021-01-02 20:45:00,338,86,846.0,1066.5,0.00011909405364799532,8.995862949074002e-05
2021-01-02 21:00:00,365,85,782.5,1088.0,0.0001270510477186331,8.703924241043406e-05
2021-01-02 21:15:00,346,92,826.5,1009.0,0.00012081929449214167,9.55863024828542e-05
2021-01-02 21:30:00,328,57,869.0,1519.5,0.00011330196112568259,5.964564210103344e-05
2021-01-02 21:45:00,374,76,752.5,1155.5,0.0001298326200639304,8.063574922281992e-05
2021-01-02 22:00:00,415,78,703.5,1170.5,0.00014044710914161773,8.101026026103999e-05
2021-01-02 22:15:00,325,59,888.0,1438.5,0.0001117086857455936,6.253941838340903e-05
2021-01-02 22:30:00,310,59,944.5,1405.0,0.00010582696949110884,6.360177955623206e-05
