time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,663,314,461.5,367.0,0.0002140934177091746,0.0002766422328728503
2021-01-02 16:15:00,655,294,455.0,384.0,0.00021688612451978764,0.0002667375547424395
2021-01-02 16:30:00,611,293,489.5,385.0,0.0002044371220339051,0.0002688830707364368
2021-01-02 16:45:00,633,275,481.5,416.0,0.00020869537695231561,0.00024881676319249104
2021-01-02 17:00:00,643,282,468.0,411.5,0.00021323962728498865,0.00025352393778414685
2021-01-02 17:15:00,642,290,457.0,378.5,0.0002184997101985931,0.0002724634358766699
2021-01-02 17:30:00,747,279,375.5,393.0,0.00025257383558220973,0.00026499476184189405
2021-01-02 17:45:00,635,254,477.5,424.5,0.00021248487509235563,0.00024325074938469054
2021-01-02 18:00:00,720,300,412.0,365.5,0.00024119197071929477,0.0002795086610417101
2021-01-02 18:15:00,594,287,516.0,377.5,0.0001999019336305388,0.0002747602549239048
2021-01-02 18:30:00,605,298,482.0,354.0,0.0002084705189951101,0.00028831520398300684
2021-01-02 18:45:00,681,286,431.0,373.0,0.00023483730361256334,0.000279239881703832
2021-01-02 19:00:00,593,273,532.5,423.5,0.00019860580732758304,0.00025142404553261835
2021-01-02 19:15:00,758,292,397.5,376.5,0.00025656734554341167,0.00028338509316770184
2021-01-02 19:30:00,663,288,448.0,366.5,0.0002292918823411012,0.00028782759127282757
2021-01-02 19:45:00,590,270,494.0,377.0,0.00020708381067906643,0.0002736599278754057
2021-01-02 20:00:00,685,338,406.0,309.0,0.0002386827776960875,0.0003383251304503628
2021-01-02 20:15:00,759,348,360.0,295.0,0.00026792824747392017,0.0003564620526682926
2021-01-02 20:30:00,651,297,427.0,345.5,0.00023026421669312998,0.00030761040572466073
2021-01-02 20:45:00,646,306,429.5,322.0,0.00022761762916155318,0.00032008535609495865
2021-01-02 21:00:00,682,306,406.0,327.5,0.00023739401244961036,0.0003133412726775626
2021-01-02 21:15:00,717,291,378.0,349.0,0.00025036830679440916,0.0003023436306794628
2021-01-02 21:30:00,784,306,340.5,329.0,0.00027081932171504626,0.0003202029207529164
2021-01-02 21:45:00,768,349,351.0,276.5,0.00026660816098689454,0.00037028784840479153
2021-01-02 22:00:00,909,310,301.0,319.5,0.00030762993303549524,0.00032196385488362047
2021-01-02 22:15:00,895,268,313.0,367.5,0.0003076285345917116,0.00028407735808056985
2021-01-02 22:30:00,885,295,316.0,332.5,0.00030211892903106875,0.0003180088977811603
2021-01-02 22:45:00,767,288,353.5,336.0,0.00026662838156572393,0.00031711670445273697
2021-01-02 23:00:00,779,321,339.5,292.0,0.00027400931913081013,0.00035463225960407133
2021-01-02 23:15:00,735,274,357.0,341.0,0.0002612159370864081,0.00030860165158197765
2021-01-02 23:30:00,777,297,345.0,299.5,0.0002771513831530482,0.00033426936258096465
2021-01-02 23:45:00,774,293,331.0,298.5,0.00028390688147731345,0.000339396522865248
2021-01-03 00:00:00,857,283,295.0,314.0,0.00031311414855786634,0.00032866505082694683
2021-01-03 00:15:00,787,292,314.0,286.5,0.0002931045206251357,0.0003505238050079288
2021-01-03 00:30:00,801,274,300.0,306.5,0.00030506162359051817,0.00033602892301503787
2021-01-03 00:45:00,779,267,320.0,324.5,0.0002933793802125212,0.0003168285814979228
2021-01-03 01:00:00,770,285,315.5,305.5,0.00030050457449918184,0.0003362308171470638
2021-01-03 01:15:00,819,265,296.5,314.5,0.0003321240611108272,0.0003376041317649817
2021-01-03 01:30:00,809,301,288.5,264.0,0.0003388278733462247,0.0003911646179257359
2021-01-03 01:45:00,909,359,239.0,204.5,0.0003951661915108391,0.0004890714998011019
2021-01-03 02:00:00,854,309,255.0,239.0,0.0003695609840534868,0.0004271985865118613
2021-01-03 02:15:00,842,276,253.0,253.0,0.000378935165183329,0.00039977056645751135
2021-01-03 02:30:00,830,240,246.0,286.0,0.00038548388445143786,0.00035955648707319517
2021-01-03 02:45:00,776,217,252.0,311.0,0.00036448078397186364,0.00033218878732722737
2021-01-03 03:00:00,701,213,289.0,348.0,0.00031491252305128223,0.00029254946558217337
2021-01-03 03:15:00,654,185,302.0,371.0,0.0003018263261782649,0.0002804338994561098
2021-01-03 03:30:00,654,215,297.0,305.0,0.0003043080528100103,0.00033033623619501816
2021-01-03 03:45:00,667,183,283.0,371.5,0.0003167863520650481,0.0002879314251189488
2021-01-03 04:00:00,675,210,286.0,326.0,0.0003130238802440195,0.00031272104538178033
2021-01-03 04:15:00,574,156,319.5,437.0,0.0002737554381470096,0.0002440180385642354
2021-01-03 04:30:00,641,169,303.0,408.0,0.00029734610483560844,0.000254974261178132
2021-01-03 04:45:00,661,180,302.0,395.0,0.0002989835464062268,0.00026828272229459236
2021-01-03 05:00:00,566,169,373.0,427.0,0.00025148804498703457,0.00024008887550326319
2021-01-03 05:15:00,702,202,284.0,341.0,0.0003140546150817795,0.00029665484942563506
2021-01-03 05:30:00,592,172,349.5,437.5,0.00026492437125212565,0.00024780326725726444
2021-01-03 05:45:00,624,167,314.5,417.5,0.0002820058570447232,0.00024911393009296274
2021-01-03 06:00:00,649,205,310.0,356.5,0.00028439080116262813,0.0002797244782115099
2021-01-03 06:15:00,553,155,365.5,460.0,0.0002457037390510771,0.00022541913415783407
2021-01-03 06:30:00,567,164,365.5,463.0,0.0002466945325617204,0.00022651714693366226
2021-01-03 06:45:00,630,175,334.0,429.5,0.00027362229005352574,0.00024534716624023
