time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,275,86,1097.5,1235.0,8.880194550531375e-05,7.576825486326474e-05
2021-01-02 16:15:00,261,91,1137.5,1147.0,8.642332595368636e-05,8.256162408694556e-05
2021-01-02 16:30:00,283,88,1039.5,1171.5,9.469018909262707e-05,8.075669018705269e-05
2021-01-02 16:45:00,284,72,1050.5,1419.5,9.363268097070716e-05,6.514475254494311e-05
2021-01-02 17:00:00,253,69,1164.0,1458.5,8.390299487263161e-05,6.203245286207848e-05
2021-01-02 17:15:00,248,71,1156.5,1388.0,8.440487247546899e-05,6.670656533532263e-05
2021-01-02 17:30:00,235,66,1241.0,1451.5,7.945763234513961e-05,6.268693290883516e-05
2021-01-02 17:45:00,200,62,1458.0,1517.5,6.692437010782855e-05,5.9376167172640994e-05
2021-01-02 18:00:00,235,74,1219.5,1341.5,7.872237933199204e-05,6.894546972362184e-05
2021-01-02 18:15:00,214,52,1323.5,1793.0,7.201854174568232e-05,4.978234583987125e-05
2021-01-02 18:30:00,219,62,1277.5,1516.5,7.546288208252745e-05,5.998504243941753e-05
2021-01-02 18:45:00,270,76,1075.5,1262.0,9.310730099176519e-05,7.4203604928291e-05
2021-01-02 19:00:00,223,61,1323.5,1617.0,7.468650090059193e-05,5.617899918494403e-05
2021-01-02 19:15:00,243,72,1225.0,1310.0,8.225048148687208e-05,6.987577639751551e-05
2021-01-02 19:30:00,283,70,1048.0,1308.0,9.787270392538712e-05,6.995809510103448e-05
2021-01-02 19:45:00,255,60,1117.5,1478.0,8.950232495451176e-05,6.0813317305645716e-05
2021-01-02 20:00:00,285,67,1030.5,1359.0,9.93059732020218e-05,6.706444893542694e-05
2021-01-02 20:15:00,281,60,1008.5,1492.0,9.919346184475834e-05,6.145897459798148e-05
2021-01-02 20:30:00,271,59,1047.0,1478.5,9.585499650359173e-05,6.110779103621206e-05
2021-01-02 20:45:00,272,63,1038.5,1402.0,9.583900175223292e-05,6.589992625484443e-05
2021-01-02 21:00:00,255,54,1116.5,1646.0,8.876169087192175e-05,5.5295518707805175e-05
2021-01-02 21:15:00,249,47,1136.5,1811.5,8.69479893888534e-05,4.883213279015378e-05
2021-01-02 21:30:00,243,66,1183.0,1325.0,8.394017241933194e-05,6.90633750643545e-05
2021-01-02 21:45:00,256,71,1131.5,1236.5,8.886938699563151e-05,7.533076572131861e-05
2021-01-02 22:00:00,226,55,1291.0,1598.0,7.648444979760388e-05,5.712261941483589e-05
2021-01-02 22:15:00,260,62,1112.5,1383.5,8.936694859647489e-05,6.571938880968407e-05
2021-01-02 22:30:00,256,57,1148.0,1458.0,8.739259416039953e-05,6.144578702890215e-05
