time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,599,265,500.0,432.5,0.00019342678311884705,0.00023347194812517618
2021-01-02 16:15:00,499,240,604.5,471.5,0.00016523080326011298,0.00021774494264688941
2021-01-02 16:30:00,495,229,610.5,475.5,0.00016562418233516044,0.00021015093241858032
2021-01-02 16:45:00,486,237,630.5,472.5,0.00016023057377381576,0.0002144348104604377
2021-01-02 17:00:00,484,246,629.0,473.5,0.00016051007714764308,0.00022115917976914937
2021-01-02 17:15:00,497,264,589.0,420.0,0.00016915008717866163,0.00024803567955669257
2021-01-02 17:30:00,433,232,672.5,467.0,0.00014640491406572534,0.00022035406719469325
2021-01-02 17:45:00,469,249,660.0,436.5,0.00015693764790285794,0.0002384623488062517
2021-01-02 18:00:00,452,262,655.5,424.0,0.00015141495939600171,0.0002441042306430935
2021-01-02 18:15:00,416,233,717.0,470.5,0.00013999866058973765,0.0002230632034748077
2021-01-02 18:30:00,461,240,632.0,449.5,0.00015885108968057148,0.00023220016428161626
2021-01-02 18:45:00,435,216,662.5,488.5,0.00015000620715339944,0.00021089445611198492
2021-01-02 19:00:00,453,225,668.5,523.0,0.00015171742111196477,0.00020721761994446568
2021-01-02 19:15:00,456,229,660.5,474.5,0.00015434658254326612,0.00022224378881987577
2021-01-02 19:30:00,360,183,823.0,560.0,0.00012450237955172918,0.00018289044862127582
2021-01-02 19:45:00,642,227,451.5,455.5,0.00022533526517959433,0.00023007705047302623
2021-01-02 20:00:00,515,197,567.5,532.5,0.00017944763578610958,0.0001971894991086434
2021-01-02 20:15:00,468,208,613.0,483.0,0.00016520476919340538,0.00021305777860633582
2021-01-02 20:30:00,421,171,681.0,586.0,0.00014891126763104102,0.00017710902147783497
2021-01-02 20:45:00,467,211,592.0,465.5,0.00016454710962607641,0.00022071245142495517
2021-01-02 21:00:00,460,208,617.0,478.5,0.000160119128631702,0.00021299014613376804
2021-01-02 21:15:00,376,174,755.0,556.0,0.0001312949558642927,0.00018078278947844165
2021-01-02 21:30:00,407,210,696.0,470.0,0.00014059115298217326,0.0002197471024774916
2021-01-02 21:45:00,404,188,692.5,515.0,0.00014024700135248098,0.00019946737965644928
2021-01-02 22:00:00,396,190,753.0,523.0,0.00013401700053031478,0.00019733268525125124
2021-01-02 22:15:00,331,168,874.0,578.5,0.0001137709999439738,0.000178078343871402
2021-01-02 22:30:00,391,180,736.5,534.0,0.00013347853248717273,0.00019403932745969105
2021-01-02 22:45:00,427,201,665.5,478.5,0.00014843587865523352,0.00022132103331597267
2021-01-02 23:00:00,376,179,737.5,523.5,0.00013225610268701487,0.000197754437598532
2021-01-02 23:15:00,395,202,696.0,458.0,0.0001403813539443962,0.00022750924678671347
2021-01-02 23:30:00,361,167,759.0,555.0,0.0001287666014391897,0.0001879561735724616
2021-01-02 23:45:00,368,197,726.0,460.0,0.00013498415036647464,0.0002281949317558152
2021-01-03 00:00:00,351,168,776.5,538.0,0.00012824161743735251,0.00019510858140963627
2021-01-03 00:15:00,352,175,760.0,491.0,0.00013109630401530846,0.00021007419820680663
2021-01-03 00:30:00,324,140,799.0,595.0,0.0001233957129130186,0.0001716936102996544
2021-01-03 00:45:00,307,144,861.5,579.5,0.00011561934496180229,0.0001708738417067449
2021-01-03 01:00:00,321,154,776.0,548.5,0.0001252752836548537,0.0001816826169847292
2021-01-03 01:15:00,314,160,771.0,521.0,0.00012733449962002412,0.0002038364569147059
2021-01-03 01:30:00,291,152,817.5,533.0,0.00012187751686495845,0.00019753163430136832
2021-01-03 01:45:00,296,136,765.0,567.5,0.00012867897985391458,0.00018527499713913607
2021-01-03 02:00:00,259,129,906.5,587.5,0.00011207997057359846,0.00017834504097097125
2021-01-03 02:15:00,278,127,778.0,550.0,0.00012511161035744117,0.00018395239833370996
2021-01-03 02:30:00,289,142,728.5,489.5,0.00013422270193550064,0.00021273758818497382
2021-01-03 02:45:00,250,128,826.5,523.0,0.00011742293298062618,0.00019594545980592212
2021-01-03 03:00:00,277,141,781.5,547.0,0.0001244376160987235,0.00019365950538538238
2021-01-03 03:15:00,294,138,722.0,494.5,0.00013568339433701817,0.00020918853040509811
2021-01-03 03:30:00,254,136,823.5,502.5,0.00011818691959287863,0.00020895687498847664
2021-01-03 03:45:00,249,118,798.5,556.5,0.00011826057221019036,0.0001856607003499232
2021-01-03 04:00:00,267,157,774.0,454.5,0.00012381833485207883,0.00023379621011875956
2021-01-03 04:15:00,233,148,868.5,463.5,0.00011112372315026695,0.00023150429299683868
2021-01-03 04:30:00,259,149,787.0,463.5,0.00012014452597881838,0.0002247997923996548
2021-01-03 04:45:00,301,143,690.5,491.0,0.00013614833202462069,0.00021313571826737056
2021-01-03 05:00:00,292,161,729.0,452.5,0.00012974294900391185,0.00022872372163328623
2021-01-03 05:15:00,320,169,649.0,424.5,0.00014315879889767726,0.00024819143343035805
2021-01-03 05:30:00,281,142,741.5,530.5,0.00012574957486798533,0.0002045817671542532
2021-01-03 05:45:00,278,153,754.0,461.0,0.0001256372247731299,0.00022823012757019941
2021-01-03 06:00:00,282,130,752.0,606.0,0.00012357196599054106,0.00017738625447559164
2021-01-03 06:15:00,297,168,695.5,428.0,0.00013196023598222405,0.00024432525508720086
2021-01-03 06:30:00,268,140,816.5,542.0,0.0001166034122161218,0.0001933682961628824
2021-01-03 06:45:00,288,168,754.5,451.5,0.00012508447545304033,0.00023553327959062074
2021-01-03 07:00:00,283,160,839.0,541.0,0.00011474762415652387,0.00019871555234850732
2021-01-03 07:15:00,322,154,704.0,503.0,0.0001301317685190237,0.00020035934578770494
2021-01-03 07:30:00,320,158,760.0,534.5,0.000123327467570657,0.00019072727448310494
2021-01-03 07:45:00,364,184,699.5,460.0,0.0001347635048581503,0.00022102155200372852
2021-01-03 08:00:00,388,197,716.0,469.0,0.00013418659406756918,0.00021514982400307544
2021-01-03 08:15:00,370,178,796.5,515.5,0.00012453593534902038,0.0001998872546047061
2021-01-03 08:30:00,372,182,810.0,537.0,0.00012089803842932649,0.00019224979797926448
2021-01-03 08:45:00,386,198,781.0,488.0,0.00012507991666955604,0.00020741411170192706
2021-01-03 09:00:00,418,214,794.0,533.5,0.00012528072022627258,0.00019584139043726624
2021-01-03 09:15:00,450,224,810.0,486.5,0.000126791279014071,0.00021400837689932437
2021-01-03 09:30:00,458,229,774.0,468.0,0.00012739813781752524,0.00021702293809254845
2021-01-03 09:45:00,508,241,701.0,452.0,0.0001401584231625589,0.0002230432352189896
2021-01-03 10:00:00,450,220,877.0,555.0,0.00011228334927756893,0.00018230513238667252
2021-01-03 10:15:00,430,220,950.5,548.5,0.00010810498250836241,0.0001837895909929734
2021-01-03 10:30:00,573,267,693.5,487.0,0.00014437962619535244,0.00021492375841281625
2021-01-03 10:45:00,527,242,718.5,498.0,0.00013674998987998178,0.0002027097773961845
2021-01-03 11:00:00,503,233,740.5,551.5,0.00013095561672024652,0.00018475420950175836
2021-01-03 11:15:00,504,269,718.5,469.0,0.00013308290510475923,0.00022109564811435825
2021-01-03 11:30:00,509,281,700.0,452.5,0.00013648626436021862,0.00022920981344278846
2021-01-03 11:45:00,622,296,598.0,446.0,0.00016302430529891896,0.00023082135752590697
2021-01-03 12:00:00,582,298,630.5,464.0,0.0001514065985180884,0.00021600166422758746
2021-01-03 12:15:00,537,275,696.5,485.5,0.00014013643077469092,0.00020850155617979657
2021-01-03 12:30:00,635,305,571.5,427.0,0.00016758048613647544,0.0002359156427541024
2021-01-03 12:45:00,642,321,550.0,399.0,0.00017462094064111996,0.00025325643594821263
2021-01-03 13:00:00,551,302,643.0,439.5,0.0001496728249835727,0.00023007157359052592
2021-01-03 13:15:00,622,297,584.5,450.0,0.00016777364907147264,0.0002292009760720355
2021-01-03 13:30:00,730,316,494.0,419.0,0.00019568112982531569,0.0002439039450691267
2021-01-03 13:45:00,628,292,585.0,446.5,0.00016710020477757578,0.00022785797893094034
2021-01-03 14:00:00,604,279,613.0,472.0,0.00015999122697113032,0.0002129988869090426
2021-01-03 14:15:00,555,306,659.5,423.5,0.00014872522385155992,0.00023942594109652388
