time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,502,48,612.0,2064.5,0.00016210391506788182,4.2289258528333806e-05
2021-01-02 16:15:00,481,31,625.0,2931.0,0.00015927057388399668,2.8125388425223212e-05
2021-01-02 16:30:00,559,51,536.0,1889.5,0.0001870382180310196,4.6802172722041886e-05
2021-01-02 16:45:00,475,47,649.5,2069.5,0.000156603955848894,4.2525046800171184e-05
2021-01-02 17:00:00,500,39,608.0,2407.0,0.00016581619540045772,3.506182118291393e-05
2021-01-02 17:15:00,436,49,674.5,1925.0,0.00014838921128751804,4.603692537226491e-05
2021-01-02 17:30:00,430,29,684.0,2974.0,0.00014539056131238312,2.7544258399336656e-05
2021-01-02 17:45:00,465,42,667.5,2140.0,0.00015559916050070138,4.022256485888584e-05
2021-01-02 18:00:00,438,37,683.5,2476.5,0.00014672511552090431,3.447273486181092e-05
2021-01-02 18:15:00,387,35,767.0,2528.0,0.00013023913857747226,3.350734816145181e-05
2021-01-02 18:30:00,408,41,717.0,2187.0,0.00014058838305785936,3.966752806477611e-05
2021-01-02 18:45:00,357,36,819.0,2456.0,0.00012310854242244507,3.514907601866416e-05
2021-01-02 19:00:00,434,34,698.5,2717.5,0.0001453539972684166,3.1312884791608145e-05
2021-01-02 19:15:00,423,55,714.0,1666.5,0.0001431767640697403,5.337732919254658e-05
2021-01-02 19:30:00,350,39,848.5,2211.5,0.0001210439801197367,3.897665298486207e-05
2021-01-02 19:45:00,408,37,700.5,2275.0,0.0001432037199272188,3.750154567181485e-05
2021-01-02 20:00:00,421,36,688.5,2381.0,0.00014669408673000412,3.6034629278736874e-05
2021-01-02 20:15:00,384,26,742.5,3062.5,0.00013555263113305054,2.663222232579197e-05
2021-01-02 20:30:00,395,40,716.0,2102.0,0.00013971484730228314,4.142901087200818e-05
2021-01-02 20:45:00,398,27,708.0,2936.0,0.00014023500991687022,2.8242825537790473e-05
2021-01-02 21:00:00,365,37,782.5,2313.5,0.0001270510477186331,3.788767022571835e-05
2021-01-02 21:15:00,384,34,739.0,2416.0,0.00013408846556353296,3.532537265670699e-05
2021-01-02 21:30:00,454,40,623.5,2105.5,0.0001568264949727436,4.185659094809364e-05
2021-01-02 21:45:00,428,36,650.5,2258.5,0.00014857850638332144,3.8195881210809444e-05
2021-01-02 22:00:00,392,42,764.0,2038.0,0.00013266329345425096,4.3620909371329214e-05
2021-01-02 22:15:00,383,33,741.5,2416.0,0.00013164438966326876,3.497967468902539e-05
