time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,398,278,764.5,414.0,0.0001285206338585995,0.0002449252889765999
2021-01-02 16:15:00,366,236,826.5,479.5,0.00012119133064769812,0.00021411586026944123
2021-01-02 16:30:00,384,250,762.5,439.5,0.00012848421417515477,0.0002294224153041269
2021-01-02 16:45:00,393,279,768.5,408.5,0.00012956916768129542,0.0002524359161116545
2021-01-02 17:00:00,363,230,825.5,496.5,0.0001203825578607323,0.00020677484287359493
2021-01-02 17:15:00,385,244,773.5,450.0,0.00013103175767361112,0.00022924509777209467
2021-01-02 17:30:00,392,256,755.0,423.0,0.00013254209310338178,0.0002431493155251788
2021-01-02 17:45:00,338,219,919.5,490.0,0.00011310218548223024,0.000209731945335619
2021-01-02 18:00:00,397,264,756.5,418.5,0.00013299057274383336,0.0002459676217167049
2021-01-02 18:15:00,367,242,820.0,453.0,0.0001235084337414272,0.00023167937871632391
2021-01-02 18:30:00,379,257,773.0,417.0,0.0001305955813209037,0.00024864767591823073
2021-01-02 18:45:00,382,263,759.5,410.0,0.00013172958881057148,0.0002567835275807965
2021-01-02 19:00:00,392,237,780.5,496.0,0.00013128748140373112,0.00021826922634150383
2021-01-02 19:15:00,474,265,635.5,419.0,0.00016043921080155293,0.00025718167701863347
2021-01-02 19:30:00,408,254,723.0,421.0,0.0001411026968252931,0.00025384794508089654
2021-01-02 19:45:00,369,226,774.0,459.0,0.0001295151290518229,0.00022906349518459884
2021-01-02 20:00:00,377,245,777.5,434.0,0.00013136263823565692,0.00024523567148029254
2021-01-02 20:15:00,392,234,726.5,441.0,0.00013837664428165578,0.00023969000093212778
2021-01-02 20:30:00,336,207,848.0,486.0,0.00011884604732548645,0.0002143951312626423
2021-01-02 20:45:00,370,215,769.5,454.5,0.00013036923032472858,0.00022489657372685005
2021-01-02 21:00:00,386,229,732.5,439.0,0.00013436083402573254,0.0002344939589645812
2021-01-02 21:15:00,369,220,773.5,451.5,0.00012885063487745745,0.0002285759407198688
2021-01-02 21:30:00,360,211,790.5,468.0,0.00012435581099160288,0.000220793517251194
2021-01-02 21:45:00,361,210,794.5,466.0,0.00012531972150555852,0.00022280930706305502
2021-01-02 22:00:00,376,242,790.0,419.0,0.00012724846514999586,0.00025133952542527794
2021-01-02 22:15:00,363,241,787.0,414.5,0.0001247700090020015,0.00025545762424409446
2021-01-02 22:30:00,392,240,731.5,407.5,0.0001338199098081118,0.00025871910327958803
2021-01-02 22:45:00,396,246,712.5,390.5,0.00013765950338986526,0.00027087051838671283
2021-01-02 23:00:00,344,227,814.0,418.0,0.00012100026416046042,0.0002507835605299819
2021-01-02 23:15:00,337,205,808.0,450.5,0.00011976839564370005,0.00023088809698651607
2021-01-02 23:30:00,398,230,689.5,410.5,0.0001419642863512396,0.0002588617959381208
2021-01-02 23:45:00,444,283,610.0,315.5,0.00016286131185520308,0.00032781302379134876
2021-01-03 00:00:00,389,228,703.5,397.5,0.00014212532530806304,0.0002647902176273635
2021-01-03 00:15:00,354,247,754.5,352.5,0.00013184116937903182,0.00029650472546903565
2021-01-03 00:30:00,393,242,664.5,350.0,0.0001496744295519022,0.0002967846692322597
2021-01-03 00:45:00,425,279,628.0,314.0,0.000160059353774482,0.00033106806830681816
2021-01-03 01:00:00,380,232,656.0,385.0,0.00014830095884375206,0.0002737036827302414
