time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,584,189,525.5,593.5,0.00018858304063673904,0.00016651395545531436
2021-01-02 16:15:00,537,134,563.0,805.0,0.000177813509720803,0.00012157425964451323
2021-01-02 16:30:00,580,209,520.5,521.5,0.00019406469849372331,0.00019179713919425013
2021-01-02 16:45:00,620,184,496.0,598.0,0.00020440937395013533,0.00016648103428152123
2021-01-02 17:00:00,439,165,682.0,672.5,0.00014558661956160188,0.00014833847423540507
2021-01-02 17:15:00,407,156,722.5,673.5,0.00013851928668353177,0.0001465665379198638
2021-01-02 17:30:00,377,150,786.5,697.0,0.00012747032933667078,0.00014247030206553446
2021-01-02 17:45:00,375,145,818.5,714.5,0.00012548319395217853,0.0001388636167747249
2021-01-02 18:00:00,393,135,762.5,776.0,0.00013165061735094839,0.00012577889746876958
2021-01-02 18:15:00,373,123,802.0,826.0,0.0001255276451922407,0.00011775439496738777
2021-01-02 18:30:00,360,152,817.5,679.5,0.00012404857328634648,0.00014706010404502362
2021-01-02 18:45:00,355,179,827.0,582.0,0.00012241885871139497,0.00017476901687058012
2021-01-02 19:00:00,302,116,1009.5,914.5,0.00010114494740797653,0.00010683219517136896
2021-01-02 19:15:00,317,136,957.0,750.5,0.00010729795321538455,0.00013198757763975156
2021-01-02 19:30:00,296,105,1007.5,907.5,0.00010236862318697732,0.00010493714265155172
2021-01-02 19:45:00,322,102,904.5,925.0,0.00011301862209942271,0.00010338263941959771
2021-01-02 20:00:00,390,142,747.5,700.5,0.00013589238438171405,0.00014213659326612875
2021-01-02 20:15:00,392,152,726.5,648.5,0.00013837664428165578,0.0001556960689815531
2021-01-02 20:30:00,332,101,865.5,914.0,0.00011743121342875444,0.00010460825245182064
2021-01-02 20:45:00,289,88,974.0,1044.5,0.00010182893936174749,9.205069064168744e-05
2021-01-02 21:00:00,379,117,745.5,798.5,0.00013192423859003272,0.00011980695720024453
2021-01-02 21:15:00,396,121,713.5,782.0,0.00013827873011239335,0.0001257167673959278
2021-01-02 21:30:00,398,142,709.0,669.5,0.00013748225770738318,0.00014859089786573246
2021-01-02 21:45:00,386,131,731.5,697.0,0.00013399837257935065,0.00013899056773933433
2021-01-02 22:00:00,529,141,556.5,693.0,0.00017902776080943559,0.00014644162431803382
2021-01-02 22:15:00,616,147,472.0,654.0,0.00021173092436703282,0.00015581855088747675
2021-01-02 22:30:00,652,158,442.5,593.0,0.00022257801325226758,0.0001703234096590621
2021-01-02 22:45:00,541,158,530.0,591.5,0.00018806512963110382,0.00017397374758170984
2021-01-02 23:00:00,501,134,547.5,681.0,0.00017622422193136822,0.00014803963485029767
2021-01-02 23:15:00,504,158,549.5,584.5,0.00017911949971639412,0.00017795277718960756
2021-01-02 23:30:00,504,166,538.5,559.0,0.00017977387015332856,0.00018683068750316543
2021-01-02 23:45:00,553,164,480.0,542.5,0.00020284303030614255,0.00018996938481194767
2021-01-03 00:00:00,447,143,603.5,619.5,0.00016331624784756858,0.0001660745663189166
2021-01-03 00:15:00,419,117,631.0,704.5,0.00015604929370004048,0.00014044960680112216
2021-01-03 00:30:00,439,116,592.5,688.0,0.00016719357397782458,0.0001422604199625708
2021-01-03 00:45:00,457,121,578.0,684.5,0.00017211088158809008,0.00014358149198969537
2021-01-03 01:00:00,360,119,695.0,693.5,0.0001404956452203967,0.0001403911131245635
2021-01-03 01:15:00,442,90,546.5,840.5,0.00017924155678997026,0.00011465800701452207
2021-01-03 01:30:00,534,124,436.0,636.0,0.0002236515257934289,0.0001611442279826952
2021-01-03 01:45:00,573,128,376.0,596.5,0.0002490981603253144,0.00017437646789565748
2021-01-03 02:00:00,532,116,419.5,648.5,0.00023021831793495898,0.00016037228490412914
2021-01-03 02:15:00,413,69,517.5,1001.0,0.000185867248480659,9.994264161437784e-05
2021-01-03 02:30:00,356,102,585.0,652.0,0.00016534007574061673,0.00015281150700610795
2021-01-03 02:45:00,658,155,294.0,447.5,0.00030905715960500804,0.00023727770523373384
2021-01-03 03:00:00,508,93,409.0,782.5,0.00022821050172617884,0.0001277328652541884
2021-01-03 03:15:00,403,80,523.5,805.5,0.00018598778203339562,0.00012126871327831775
2021-01-03 03:30:00,357,68,572.5,942.5,0.00016611311139629005,0.00010447843749423832
2021-01-03 03:45:00,395,80,513.0,784.0,0.00018760211254226984,0.00012587166125418523
2021-01-03 04:00:00,335,97,610.5,696.5,0.00015535259241740228,0.00014444734000967945
2021-01-03 04:15:00,311,80,631.0,800.5,0.0001483239394838327,0.00012513745567396687
2021-01-03 04:30:00,298,75,678.0,880.5,0.00013823578664744354,0.00011315425791928933
2021-01-03 04:45:00,279,53,754.0,1235.0,0.00012619729114574476,7.899435712007441e-05
2021-01-03 05:00:00,255,66,834.5,1051.0,0.00011330291779451204,9.376251942730991e-05
2021-01-03 05:15:00,280,91,764.5,765.5,0.0001252639490354676,0.00013364154107788512
2021-01-03 05:30:00,252,55,832.0,1225.5,0.00011277186073570215,7.923941685552059e-05
2021-01-03 05:45:00,267,65,781.0,1014.5,0.00012066596767779023,9.696051171282982e-05
2021-01-03 06:00:00,266,57,795.0,1227.0,0.00011656079061519122,7.777705003929787e-05
2021-01-03 06:15:00,244,57,875.5,1155.0,0.00010841177636250056,8.289606869030029e-05
2021-01-03 06:30:00,259,53,844.0,1302.0,0.0001126876259849834,7.320371211880548e-05
2021-01-03 06:45:00,229,51,941.0,1354.0,9.945953082898e-05,7.150117416143844e-05
2021-01-03 07:00:00,264,70,900.5,1104.5,0.00010704372006120956,8.693805415247196e-05
2021-01-03 07:15:00,247,59,950.5,1227.0,9.982157398819521e-05,7.676104806152333e-05
2021-01-03 07:30:00,274,72,916.0,1098.0,0.00010559914410737506,8.691369470116175e-05
2021-01-03 07:45:00,382,117,663.0,688.0,0.00014142763421926764,0.00014054087817628392
2021-01-03 08:00:00,316,85,884.5,1055.0,0.00010928598898286562,9.283114233635236e-05
2021-01-03 08:15:00,352,90,838.5,970.0,0.00011847743038609507,0.00010106658940687388
2021-01-03 08:30:00,307,82,979.5,1133.5,9.977338117689041e-05,8.661804084780049e-05
2021-01-03 08:45:00,422,134,707.0,706.0,0.00013674540112578406,0.00014037116650534462
2021-01-03 09:00:00,661,127,490.5,829.0,0.00019811137815685685,0.00011622362890435892
2021-01-03 09:15:00,559,116,647.5,892.0,0.0001575029443752571,0.00011082576660857868
2021-01-03 09:30:00,553,126,665.5,825.5,0.000153823515749108,0.00011941000087188257
2021-01-03 09:45:00,640,160,557.5,662.5,0.00017657754099220026,0.00014807849641094742
