time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,258,29,1159.0,3236.0,8.3312370692258e-05,2.5549760360868343e-05
2021-01-02 16:15:00,229,23,1260.0,3760.0,7.582736261836851e-05,2.0867223670326894e-05
2021-01-02 16:30:00,214,24,1322.5,3615.5,7.160318185802896e-05,2.2024551869196186e-05
2021-01-02 16:45:00,245,25,1205.5,3536.5,8.077467196416638e-05,2.2619705744771906e-05
2021-01-02 17:00:00,232,19,1254.5,4463.0,7.693871466581238e-05,1.7081400063470885e-05
2021-01-02 17:15:00,193,15,1438.0,5254.0,6.568604995066739e-05,1.4092936338448443e-05
2021-01-02 17:30:00,228,26,1277.5,3255.0,7.70908092540078e-05,2.469485235802597e-05
2021-01-02 17:45:00,206,13,1420.0,5763.0,6.89321012110634e-05,1.2449841503940856e-05
2021-01-02 18:00:00,189,18,1525.5,4559.5,6.331289231381487e-05,1.677051966250261e-05
2021-01-02 18:15:00,205,30,1385.5,2880.5,6.898972456946205e-05,2.872058413838726e-05
2021-01-02 18:30:00,201,17,1385.0,4650.0,6.926045341821012e-05,1.6447511636614484e-05
2021-01-02 18:45:00,229,24,1245.5,3427.0,7.896878491523786e-05,2.3432717345776105e-05
2021-01-02 19:00:00,160,20,1769.0,4169.5,5.3586727103563724e-05,1.8419343995063613e-05
2021-01-02 19:15:00,162,14,1758.0,5351.0,5.4833654324581376e-05,1.3586956521739133e-05
2021-01-02 19:30:00,167,19,1679.5,4106.0,5.7755270514274364e-05,1.898862581313793e-05
2021-01-02 19:45:00,150,19,1803.0,4047.5,5.264842644383045e-05,1.925755048012114e-05
2021-01-02 20:00:00,129,17,2093.0,4533.0,4.494901944933618e-05,1.7016352714959075e-05
2021-01-02 20:15:00,126,13,2123.5,5461.5,4.4478207090532206e-05,1.3316111162895987e-05
2021-01-02 20:30:00,118,15,2238.5,4876.0,4.173759995359345e-05,1.5535879077003068e-05
2021-01-02 20:45:00,125,20,2111.5,3793.5,4.4043658893489396e-05,2.092061150947442e-05
2021-01-02 21:00:00,115,15,2321.5,4971.0,4.0029782157925497e-05,1.5359866307723653e-05
2021-01-02 21:15:00,101,11,2565.0,6305.0,3.526805995290841e-05,1.1428797035993437e-05
2021-01-02 21:30:00,114,14,2361.0,5167.5,3.9379340147340914e-05,1.4649806831832776e-05
2021-01-02 21:45:00,303,13,953.0,5410.5,0.00010518525101436074,1.3792957103903406e-05
2021-01-02 22:00:00,250,11,1183.0,6449.0,8.460669225398658e-05,1.1424523882967175e-05
2021-01-02 22:15:00,202,17,1415.0,4317.5,6.943124467879972e-05,1.8019832415558532e-05
2021-01-02 22:30:00,269,15,1091.5,4709.0,9.183049933260732e-05,1.6169943954974252e-05
2021-01-02 22:45:00,205,11,1382.5,6039.0,7.126312675485451e-05,1.211209635062537e-05
2021-01-02 23:00:00,173,11,1602.0,6084.5,6.085187703418503e-05,1.2152507338457273e-05
2021-01-02 23:15:00,155,11,1766.0,6006.5,5.5086354079446604e-05,1.2389117399276476e-05
2021-01-02 23:30:00,142,9,1892.0,7147.0,5.0650574527326705e-05,1.0129374623665596e-05
