time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,576,229,533.0,497.5,0.00018599971131294808,0.00020175500422892583
2021-01-02 16:15:00,631,252,472.5,447.0,0.00020893915201829923,0.00022863218977923385
2021-01-02 16:30:00,622,251,481.0,438.0,0.00020811765941913089,0.00023034010496534346
2021-01-02 16:45:00,592,261,518.5,438.5,0.0001951779828685163,0.0002361497279754187
2021-01-02 17:00:00,614,262,483.5,442.0,0.00020362228795176208,0.0002355435166647038
2021-01-02 17:15:00,596,214,491.5,510.0,0.00020284396772330448,0.00020105922509519776
2021-01-02 17:30:00,567,255,509.0,424.5,0.00019171267038167728,0.0002421995135114085
2021-01-02 17:45:00,596,231,506.0,466.0,0.00019943462292132904,0.00022122410672387207
2021-01-02 18:00:00,570,238,514.0,466.5,0.00019094364348610834,0.00022174353775975675
2021-01-02 18:15:00,580,254,532.5,436.0,0.00019519044024530728,0.00024316761237167886
2021-01-02 18:30:00,545,236,540.0,461.0,0.000187795756780719,0.0002283301615435893
2021-01-02 18:45:00,554,227,524.5,469.0,0.00019104238796088116,0.00022163445156213237
2021-01-02 19:00:00,511,222,601.0,527.5,0.00017114260968700663,0.00020445471834520612
2021-01-02 19:15:00,507,222,595.0,489.5,0.00017160902927507878,0.00021545031055900625
2021-01-02 19:30:00,542,217,548.0,478.5,0.00018744524921399228,0.00021687009481320688
2021-01-02 19:45:00,497,210,582.5,488.0,0.00017444178628389152,0.00021284661056976002
2021-01-02 20:00:00,499,223,586.5,473.0,0.00017387256360634694,0.00022321450914328668
2021-01-02 20:15:00,436,195,654.0,515.5,0.0001539087165989845,0.00019974166744343984
2021-01-02 20:30:00,504,211,568.0,478.5,0.00017826907098822964,0.00021853803234984316
2021-01-02 20:45:00,517,187,535.0,526.0,0.0001821645731834721,0.00019560771761358584
2021-01-02 21:00:00,496,190,567.5,520.0,0.00017265019087244388,0.00019455830656449967
2021-01-02 21:15:00,579,196,481.0,500.0,0.00020218026448251452,0.00020364038355042853
2021-01-02 21:30:00,567,196,504.0,498.5,0.0001958604023117745,0.00020509729564565884
2021-01-02 21:45:00,498,188,573.5,515.0,0.00017287872938993943,0.00019946737965644928
2021-01-02 22:00:00,529,194,556.5,513.5,0.00017902776080943559,0.00020148705757233018
2021-01-02 22:15:00,491,184,582.0,530.5,0.00016876604523411218,0.00019503818614486886
2021-01-02 22:30:00,489,186,588.0,516.0,0.00016693350993920067,0.00020050730504168069
2021-01-02 22:45:00,520,183,554.0,523.0,0.00018076500445133825,0.0002015012392876766
2021-01-02 23:00:00,536,172,518.0,541.0,0.00018853529531978722,0.00019002102383769556
2021-01-02 23:15:00,522,194,529.5,486.0,0.00018551662470626533,0.00021849897958723966
2021-01-02 23:30:00,450,161,595.5,580.0,0.00016051238406547194,0.00018120325715668452
2021-01-02 23:45:00,462,142,574.0,617.0,0.00016946379747095457,0.00016448568684936934
2021-01-03 00:00:00,474,164,573.5,551.0,0.00017318098765044184,0.00019046313899512109
2021-01-03 00:15:00,462,147,566.5,583.5,0.00017206389902009236,0.0001764623264937176
2021-01-03 00:30:00,468,167,553.5,498.5,0.0001782382519854713,0.00020480594942887348
2021-01-03 00:45:00,472,145,557.0,576.0,0.00017776003525071885,0.00017206046560748616
2021-01-03 01:00:00,485,174,517.0,498.0,0.00018927885536636774,0.00020527776204768108
2021-01-03 01:15:00,467,169,522.0,499.5,0.00018937965389347533,0.0002153022576161581
2021-01-03 01:30:00,488,177,485.5,463.5,0.00020438566402096122,0.00023002038994304072
2021-01-03 01:45:00,452,146,485.0,532.5,0.00019649628004719387,0.0001988981586934843
2021-01-03 02:00:00,428,150,525.5,496.5,0.0001852132332258693,0.0002073779546174084
2021-01-03 02:15:00,423,158,504.5,466.5,0.00019036766611941588,0.00022885416485611163
