time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,327,147,936.0,745.5,0.00010559358610995491,0.00012951085424302226
2021-01-02 16:15:00,321,141,929.5,763.5,0.00010629075720740736,0.0001279251538050475
2021-01-02 16:30:00,379,164,776.5,653.5,0.00012681124263641576,0.00015050110443950727
2021-01-02 16:45:00,358,169,846.0,655.0,0.00011802992882927168,0.00015290921083465812
2021-01-02 17:00:00,323,142,933.5,763.0,0.00010711726222869568,0.00012766098994804558
2021-01-02 17:15:00,378,163,791.0,648.5,0.00012864936207954546,0.00015314324154447307
2021-01-02 17:30:00,338,146,888.0,715.5,0.00011428374354322207,0.00013867109401045352
2021-01-02 17:45:00,403,166,753.5,625.0,0.0001348526057672745,0.00015897489920416782
2021-01-02 18:00:00,369,150,807.0,696.5,0.00012361088499363856,0.00013975433052085506
2021-01-02 18:15:00,384,161,777.5,657.5,0.0001292295328520655,0.00015413380154267832
2021-01-02 18:30:00,358,164,823.0,641.5,0.00012335941454586679,0.00015867011225910443
2021-01-02 18:45:00,367,129,798.5,764.0,0.00012655696097769564,0.00012595085573354658
2021-01-02 19:00:00,386,168,797.0,659.0,0.0001292779791373475,0.00015472248955853438
2021-01-02 19:15:00,363,136,834.5,750.5,0.00012286800320878422,0.00013198757763975156
2021-01-02 19:30:00,310,127,961.0,763.5,0.0001072103823917668,0.0001269239725404483
2021-01-02 19:45:00,361,140,791.0,702.0,0.0001267072129748186,0.00014189774037983997
2021-01-02 20:00:00,295,130,1004.5,757.0,0.00010279039331437343,0.00013012505017321647
2021-01-02 20:15:00,314,124,905.0,780.5,0.00011084251608275488,0.00012701521416916172
2021-01-02 20:30:00,346,135,812.5,720.5,0.00012238313206731642,0.00013982291169302758
2021-01-02 20:45:00,314,129,909.5,732.0,0.00011063767114044536,0.00013493794423611002
2021-01-02 21:00:00,272,114,1041.5,824.5,9.467913693004988e-05,0.0001167349839386998
2021-01-02 21:15:00,335,155,848.0,621.5,0.00011697821865568633,0.00016104214005263482
2021-01-02 21:30:00,334,136,850.0,698.0,0.00011537455797554268,0.00014231240922351837
2021-01-02 21:45:00,303,114,953.0,808.0,0.00010518525101436074,0.00012095362383422988
2021-01-02 22:00:00,340,129,868.5,739.0,0.00011506510146542175,0.0001339785073547969
2021-01-02 22:15:00,360,150,800.0,641.5,0.00012373885190281134,0.00015899852131375178
2021-01-02 22:30:00,308,147,950.5,633.5,0.0001051442148492307,0.00015846545075874768
2021-01-02 22:45:00,289,110,990.0,800.0,0.00010046362747391682,0.00012112096350625371
2021-01-02 23:00:00,306,141,918.0,645.0,0.000107633955910177,0.00015577304861113413
2021-01-02 23:15:00,292,121,943.5,738.0,0.000103775583169022,0.00013628029139204124
2021-01-02 23:30:00,309,127,889.0,701.5,0.0001102185037249574,0.00014293673080061452
2021-01-02 23:45:00,285,123,940.5,697.5,0.00010453935558273173,0.00014247703860896077
2021-01-03 00:00:00,238,91,1139.5,914.0,8.695585455866067e-05,0.00010568381493021964
2021-01-03 00:15:00,226,81,1184.0,980.5,8.416978610073782e-05,9.723434317000764e-05
2021-01-03 00:30:00,222,85,1169.0,929.5,8.45489144033646e-05,0.00010424254911050446
2021-01-03 00:45:00,229,99,1153.0,803.0,8.624374591613266e-05,0.00011747576617338711
2021-01-03 01:00:00,211,82,1154.0,976.5,8.234605872639915e-05,9.674009475810257e-05
2021-01-03 01:15:00,211,73,1150.5,1036.5,8.556553955358308e-05,9.300038346733456e-05
2021-01-03 01:30:00,207,77,1106.5,957.0,8.669637797610447e-05,0.00010006536737635103
2021-01-03 01:45:00,200,77,1128.0,948.0,8.694525665805039e-05,0.00010489834396848145
2021-01-03 02:00:00,198,71,1154.5,1009.0,8.568275742692084e-05,9.815889851890663e-05
2021-01-03 02:15:00,195,69,1099.0,1001.0,8.775814395575909e-05,9.994264161437784e-05
2021-01-03 02:30:00,174,76,1182.0,869.0,8.081228421030141e-05,0.00011385955423984516
2021-01-03 02:45:00,174,64,1206.5,1004.5,8.172636135451579e-05,9.797272990296109e-05
2021-01-03 03:00:00,193,78,1131.0,921.5,8.670202132510338e-05,0.00010713079021319028
2021-01-03 03:15:00,188,59,1119.5,1102.0,8.676353107265107e-05,8.943567604275934e-05
2021-01-03 03:30:00,189,80,1093.0,808.5,8.794223544509473e-05,0.00012291580881675096
