time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,501,248,614.5,462.0,0.00016178099890240796,0.0002184945023963913
2021-01-02 16:15:00,449,197,679.5,566.0,0.00014867461054867884,0.0001787323070893217
2021-01-02 16:30:00,510,226,588.5,486.5,0.00017064309695137745,0.00020739786343493082
2021-01-02 16:45:00,577,228,534.5,491.0,0.0001902325947890776,0.00020629171639231984
2021-01-02 17:00:00,552,262,542.5,442.0,0.00018306107972210526,0.0002355435166647038
2021-01-02 17:15:00,502,238,582.5,458.5,0.00017085179831727995,0.00022360792323671528
2021-01-02 17:30:00,532,252,545.0,432.5,0.00017987855492601818,0.00023935010747009786
2021-01-02 17:45:00,476,219,653.5,490.0,0.00015928000085663194,0.000209731945335619
2021-01-02 18:00:00,539,221,538.5,498.0,0.00018055898919124981,0.0002059047136340598
2021-01-02 18:15:00,480,208,624.0,512.5,0.00016153691606508188,0.000199129383359485
2021-01-02 18:30:00,513,221,570.0,485.0,0.00017676921693304375,0.00021381765127598832
2021-01-02 18:45:00,473,203,609.0,517.5,0.0001631101976633516,0.00019820173421635626
2021-01-02 19:00:00,467,220,650.0,531.5,0.0001564062597335266,0.00020261278394569977
2021-01-02 19:15:00,520,189,575.0,563.5,0.00017600926079495258,0.00018342391304347825
2021-01-02 19:30:00,482,213,620.0,490.0,0.0001666948526220374,0.00021287248937886202
2021-01-02 19:45:00,516,217,555.0,476.5,0.00018111058696677676,0.000219941497588752
2021-01-02 20:00:00,492,209,592.5,508.5,0.00017143346952770081,0.00020920104220155568
2021-01-02 20:15:00,483,202,595.0,496.5,0.00017049979384704014,0.00020691188114653765
2021-01-02 20:30:00,482,193,597.5,518.5,0.00017048748455620374,0.00019989497745743947
2021-01-02 20:45:00,484,174,570.0,567.0,0.00017053704723559094,0.0001820093201324275
2021-01-02 21:00:00,495,176,569.0,565.0,0.00017230210581020106,0.0001802224313439576
2021-01-02 21:15:00,462,187,612.5,524.0,0.00016132518513112558,0.00019428954961188844
2021-01-02 21:30:00,529,183,541.5,535.0,0.00018273395559599423,0.0001914939035875284
2021-01-02 21:45:00,491,168,582.0,563.5,0.00017044870708927764,0.00017824744565044404
2021-01-02 22:00:00,465,190,624.5,523.0,0.00015736844759241505,0.00019733268525125124
2021-01-02 22:15:00,500,168,570.0,578.5,0.00017185951653168248,0.000178078343871402
2021-01-02 22:30:00,542,168,537.5,563.5,0.00018502650794897086,0.0001811033722957116
2021-01-02 22:45:00,636,197,445.0,487.5,0.0002210895054443291,0.00021691663464301798
2021-01-02 23:00:00,764,215,345.5,448.0,0.00026873314482148765,0.00023752627979711942
2021-01-02 23:15:00,843,210,308.0,436.0,0.00029959868702563537,0.00023651951398618725
2021-01-02 23:30:00,828,248,320.5,380.0,0.0002953427866804684,0.000279120545185452
2021-01-02 23:45:00,859,224,292.5,408.0,0.00031508528577391766,0.00025947037925534315
2021-01-03 00:00:00,644,228,413.0,397.5,0.00023529231233519946,0.0002647902176273635
2021-01-03 00:15:00,581,188,445.0,468.0,0.0002163833881616313,0.000225679710073598
2021-01-03 00:30:00,607,185,425.5,462.0,0.0002311765362290194,0.00022688084218168617
2021-01-03 00:45:00,590,181,442.5,483.5,0.00022220004406339858,0.0002147789260341724
2021-01-03 01:00:00,453,186,544.5,470.5,0.00017679035356899916,0.0002194348490854522
2021-01-03 01:15:00,426,173,567.5,486.0,0.00017275317464372702,0.0002203981690390258
2021-01-03 01:30:00,440,187,537.0,435.0,0.0001842821560844733,0.00024301589219970966
2021-01-03 01:45:00,389,156,576.5,498.5,0.00016910852419990802,0.00021252132024783256
2021-01-03 02:00:00,425,176,529.0,431.0,0.00018391500962849168,0.00024332346675109252
2021-01-03 02:15:00,380,164,568.5,438.0,0.0001710158702727613,0.00023754482934431836
2021-01-03 02:30:00,364,157,568.5,445.0,0.00016905558306063058,0.00023520986862704855
2021-01-03 02:45:00,388,149,529.0,459.0,0.00018224039198593182,0.00022809276180533124
