time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,400,116,760.0,946.5,0.00012916646618954726,0.00010219904144347337
2021-01-02 16:15:00,445,124,682.5,874.5,0.0001473501151317641,0.00011250155370089285
2021-01-02 16:30:00,379,107,776.5,994.0,0.00012681124263641576,9.819279375016633e-05
2021-01-02 16:45:00,390,102,777.0,1047.5,0.0001285800900654077,9.228839943866939e-05
2021-01-02 17:00:00,375,104,800.0,1030.0,0.0001243621465503433,9.34981898211038e-05
2021-01-02 17:15:00,366,91,810.5,1123.0,0.00012456525534686148,8.549714711992056e-05
2021-01-02 17:30:00,342,100,878.5,1020.0,0.00011563621388101167,9.498020137702296e-05
2021-01-02 17:45:00,374,100,821.0,1014.0,0.00012514857210163937,9.57680115687758e-05
2021-01-02 18:00:00,402,119,745.5,890.0,0.00013466551698493954,0.00011087176887987837
2021-01-02 18:15:00,635,112,480.0,907.5,0.00021369987854443124,0.00010722351411664578
2021-01-02 18:30:00,517,99,566.5,985.0,0.00017814753441400315,9.57825677661667e-05
2021-01-02 18:45:00,465,97,616.0,1011.5,0.00016035146281915118,9.47072326058451e-05
2021-01-02 19:00:00,399,80,764.5,1287.0,0.00013363190071451203,7.367737598025445e-05
2021-01-02 19:15:00,396,86,766.0,1122.5,0.00013403782168231005,8.346273291925466e-05
2021-01-02 19:30:00,421,93,697.5,1034.0,0.0001455986160868833,9.294432634851723e-05
2021-01-02 19:45:00,424,86,675.0,1088.5,0.00014881955208122743,8.716575480475884e-05
2021-01-02 20:00:00,542,121,541.0,807.5,0.00018885557008945902,0.00012111639285353225
2021-01-02 20:15:00,483,95,595.0,980.5,0.00017049979384704014,9.731004311347068e-05
2021-01-02 20:30:00,470,115,612.5,818.0,0.0001662429828660078,0.0001191084062570235
2021-01-02 20:45:00,455,92,615.5,996.5,0.00016031891837230142,9.623481294358234e-05
2021-01-02 21:00:00,484,89,584.0,1038.5,0.0001684731701255299,9.113520675916036e-05
2021-01-02 21:15:00,394,72,720.5,1240.5,0.00013758035268758332,7.480667150832068e-05
2021-01-02 21:30:00,427,91,663.5,987.5,0.0001474998091483734,9.522374440691304e-05
2021-01-02 21:45:00,432,82,643.0,1082.5,0.00014996709055512818,8.70017294246215e-05
2021-01-02 22:00:00,455,86,640.0,1074.5,0.0001539841799022556,8.931900490319793e-05
