time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,313,144,977.0,761.5,0.00010107275979332072,0.0001268677755850014
2021-01-02 16:15:00,247,103,1182.5,1035.0,8.17875919944848e-05,9.344887121929002e-05
2021-01-02 16:30:00,250,90,1163.0,1150.5,8.364857693694972e-05,8.25920695094857e-05
2021-01-02 16:45:00,237,82,1234.5,1267.5,7.813713165513237e-05,7.419263484285186e-05
2021-01-02 17:00:00,246,107,1189.5,999.0,8.158156813702521e-05,9.619525298902026e-05
2021-01-02 17:15:00,254,84,1128.5,1213.0,8.644692584181098e-05,7.892044349531129e-05
2021-01-02 17:30:00,237,71,1230.5,1362.0,8.013386751403442e-05,6.743594297768629e-05
2021-01-02 17:45:00,197,58,1480.0,1622.5,6.592050455621112e-05,5.554544670988997e-05
2021-01-02 18:00:00,231,91,1240.0,1122.5,7.738242393910707e-05,8.478429384931875e-05
2021-01-02 18:15:00,207,73,1368.0,1338.5,6.966279505306657e-05,6.988675473674233e-05
2021-01-02 18:30:00,218,67,1282.5,1423.0,7.511830271228759e-05,6.482254586195118e-05
2021-01-02 18:45:00,233,69,1217.5,1369.0,8.03481523373381e-05,6.736906236910631e-05
2021-01-02 19:00:00,226,75,1310.5,1359.5,7.569125203378375e-05,6.907253998148858e-05
2021-01-02 19:15:00,212,80,1374.0,1213.0,7.175762170871145e-05,7.763975155279503e-05
2021-01-02 19:30:00,204,73,1383.0,1267.5,7.055134841264653e-05,7.295629917679309e-05
2021-01-02 19:45:00,244,86,1162.5,1088.5,8.564144034863087e-05,8.716575480475884e-05
2021-01-02 20:00:00,248,76,1151.5,1223.5,8.641361878632073e-05,7.607310625511116e-05
2021-01-02 20:15:00,211,72,1314.5,1264.0,7.448334679446268e-05,7.375076951757778e-05
2021-01-02 20:30:00,247,51,1132.0,1699.5,8.736599312319985e-05,5.282198886181043e-05
2021-01-02 20:45:00,253,61,1114.0,1437.0,8.914436560042253e-05,6.380786510389699e-05
2021-01-02 21:00:00,255,70,1116.5,1296.0,8.876169087192175e-05,7.16793761027104e-05
2021-01-02 21:15:00,178,48,1532.5,1784.5,6.215559080809601e-05,4.987111433888046e-05
2021-01-02 21:30:00,223,49,1274.5,1749.5,7.703151625313177e-05,5.127432391141471e-05
2021-01-02 21:45:00,225,46,1255.5,1803.5,7.810785966412926e-05,4.8805848213812045e-05
2021-01-02 22:00:00,229,59,1272.5,1514.0,7.749973010465171e-05,6.127699173591485e-05
2021-01-02 22:15:00,224,75,1274.0,1170.0,7.699306340619375e-05,7.949926065687589e-05
2021-01-02 22:30:00,268,66,1095.0,1284.5,9.148912201166827e-05,7.114775340188671e-05
