time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,402,127,756.5,870.5,0.00012981229852049498,0.00011189032985621653
2021-01-02 16:15:00,450,139,678.0,773.0,0.0001490057344029075,0.00012611061261632344
2021-01-02 16:30:00,424,132,692.5,798.5,0.00014186798648506673,0.00012113503528057903
2021-01-02 16:45:00,469,149,656.0,733.5,0.0001546258006171185,0.00013481344623884054
2021-01-02 17:00:00,408,131,739.0,831.5,0.00013530601544677352,0.0001177717583323519
2021-01-02 17:15:00,436,111,674.5,927.5,0.00014838921128751804,0.00010428772890451848
2021-01-02 17:30:00,478,133,606.0,775.0,0.00016162020536585845,0.00012632366783144053
2021-01-02 17:45:00,452,116,683.5,879.5,0.00015124907644369252,0.00011109089341977994
2021-01-02 18:00:00,507,141,585.0,739.5,0.00016983934604817004,0.00013136907068960377
2021-01-02 18:15:00,502,146,595.5,711.5,0.00016894069138473147,0.00013977350947348466
2021-01-02 18:30:00,529,146,552.0,701.0,0.00018228248685688136,0.00014125509993798317
2021-01-02 18:45:00,530,147,551.5,693.0,0.00018276618342827976,0.00014352539374287864
2021-01-02 19:00:00,588,178,537.5,631.0,0.00019693122210559663,0.00016393216155606617
2021-01-02 19:15:00,562,157,541.0,656.5,0.00019022539339762185,0.00015236801242236026
2021-01-02 19:30:00,528,148,567.0,676.5,0.0001826034900092028,0.00014791140107075858
2021-01-02 19:45:00,634,153,460.0,649.0,0.00022252734910259,0.00015507395912939655
2021-01-02 20:00:00,504,135,578.5,726.5,0.00017561477366252276,0.00013512985979526323
2021-01-02 20:15:00,490,131,585.0,745.0,0.00017297080535206972,0.00013418542787225956
2021-01-02 20:30:00,453,143,627.0,683.5,0.00016022993880489687,0.00014810871386742924
2021-01-02 20:45:00,476,130,579.0,725.0,0.0001677182530664076,0.00013598397481158378
2021-01-02 21:00:00,490,146,577.5,676.5,0.00017056168049898692,0.00014950269872851028
2021-01-02 21:15:00,463,133,610.5,720.5,0.00016167437384353062,0.00013818454598064792
2021-01-02 21:30:00,456,131,621.0,724.0,0.00015751736058936366,0.00013708033535500669
2021-01-02 21:45:00,458,124,609.0,740.0,0.000158992887671872,0.0001315635908372325
2021-01-02 22:00:00,430,146,678.5,675.5,0.00014552351067685692,0.00015163458971938253
2021-01-02 22:15:00,419,115,695.0,797.0,0.0001440182748535499,0.00012189886634054304
2021-01-02 22:30:00,376,119,771.5,753.5,0.00012835787267308685,0.00012828155537612906
2021-01-02 22:45:00,427,136,665.5,680.5,0.00014843587865523352,0.00014974955488045912
2021-01-02 23:00:00,387,117,713.5,774.5,0.00013612529718051798,0.00012925848714540918
2021-01-02 23:15:00,337,133,808.0,678.0,0.00011976839564370005,0.00014979569219125192
2021-01-02 23:30:00,363,130,753.5,686.0,0.00012947998981281399,0.00014631318900850304
2021-01-02 23:45:00,446,116,604.5,735.0,0.00016359492136806434,0.00013436858925723128
2021-01-03 00:00:00,397,113,691.5,756.5,0.00014504821117558103,0.00013123374821005296
2021-01-03 00:15:00,385,105,679.5,788.0,0.00014338658251674362,0.00012604451892408398
2021-01-03 00:30:00,385,108,673.5,736.0,0.0001466276218256548,0.00013244935651687625
2021-01-03 00:45:00,326,118,806.5,699.0,0.00012277493960113212,0.0001400216202874715
2021-01-03 01:00:00,354,105,707.5,777.5,0.0001381540511333901,0.0001238745115804972
2021-01-03 01:15:00,321,102,753.5,750.5,0.00013017316680900558,0.00012994574128312502
2021-01-03 01:30:00,322,109,724.5,707.5,0.0001348610324072736,0.00014165097459769175
2021-01-03 01:45:00,283,84,791.0,863.5,0.0001230275381711413,0.00011443455705652524
2021-01-03 02:00:00,318,106,721.5,698.0,0.00013761170132202437,0.00014654708792963527
2021-01-03 02:15:00,279,95,775.0,724.0,0.00012556165212131685,0.0001376021877299405
2021-01-03 02:30:00,269,75,777.5,883.0,0.00012493393363546598,0.0001123614022103735
2021-01-03 02:45:00,263,79,785.0,830.0,0.00012352892549561873,0.00012093508847396758
2021-01-03 03:00:00,217,59,997.5,1182.5,9.748361983185198e-05,8.103482849459264e-05
2021-01-03 03:15:00,234,77,903.0,848.5,0.00010799290569681036,0.00011672113653038083
2021-01-03 03:30:00,212,56,976.5,1141.5,9.86442006050798e-05,8.604106617172569e-05
2021-01-03 03:45:00,231,61,874.5,1014.5,0.00010971161518294768,9.597714170631623e-05
2021-01-03 04:00:00,221,55,943.0,1182.5,0.00010248633708730121,8.19031309333234e-05
2021-01-03 04:15:00,189,47,1082.5,1317.0,9.01389857313324e-05,7.351825520845553e-05
2021-01-03 04:30:00,189,45,1106.0,1412.5,8.767303247102962e-05,6.78925547515736e-05
2021-01-03 04:45:00,170,34,1225.0,1830.5,7.689440679131401e-05,5.0675625322311874e-05
2021-01-03 05:00:00,189,41,1116.5,1639.0,8.39774567182854e-05,5.824641358363191e-05
2021-01-03 05:15:00,168,35,1264.0,1813.0,7.515836942128055e-05,5.1400592722263505e-05
2021-01-03 05:30:00,167,34,1267.5,1876.5,7.473373310659625e-05,4.8984366783412735e-05
2021-01-03 05:45:00,173,40,1206.0,1574.0,7.818431613579667e-05,5.9668007207895276e-05
2021-01-03 06:00:00,177,36,1215.5,1851.0,7.756112758980768e-05,4.912234739324076e-05
2021-01-03 06:15:00,166,39,1291.0,1665.5,7.375555277120938e-05,5.6718362788100195e-05
2021-01-03 06:30:00,166,29,1285.5,2201.0,7.222450159655306e-05,4.005486134802564e-05
2021-01-03 06:45:00,178,34,1216.5,1957.0,7.73091549675041e-05,4.766744944095896e-05
2021-01-03 07:00:00,208,40,1129.0,1796.5,8.433747641186207e-05,4.9678888087126836e-05
2021-01-03 07:15:00,194,54,1190.0,1333.5,7.840236985307639e-05,7.025587449698745e-05
2021-01-03 07:30:00,185,45,1333.0,1688.0,7.129869218928608e-05,5.43210591882261e-05
2021-01-03 07:45:00,197,56,1315.5,1400.5,7.293519356333957e-05,6.726742887069999e-05
2021-01-03 08:00:00,203,47,1366.5,1781.0,7.020587266937254e-05,5.13301610565713e-05
2021-01-03 08:15:00,258,63,1123.0,1358.5,8.683857113526286e-05,7.074661258481171e-05
2021-01-03 08:30:00,238,63,1243.0,1442.0,7.73487450166121e-05,6.654800699282231e-05
2021-01-03 08:45:00,257,58,1150.5,1555.0,8.327859736807228e-05,6.075766908440288e-05
2021-01-03 09:00:00,317,77,1066.0,1321.0,9.50095414156182e-05,7.046629469004438e-05
2021-01-03 09:15:00,303,83,1167.5,1199.5,8.537279453614115e-05,7.92977467975175e-05
2021-01-03 09:30:00,336,79,1046.0,1264.5,9.346238931591372e-05,7.486817514983111e-05
2021-01-03 09:45:00,320,87,1074.0,1177.0,8.828877049610011e-05,8.051768242345267e-05
2021-01-03 10:00:00,390,106,1032.0,1127.5,9.731223604055974e-05,8.783792742266948e-05
2021-01-03 10:15:00,370,113,1087.5,996.5,9.302056634440489e-05,9.440101719184542e-05
2021-01-03 10:30:00,389,102,1053.5,1170.0,9.801688410120786e-05,8.210570546107586e-05
2021-01-03 10:45:00,391,108,980.5,1057.5,0.00010145966991095423,9.046552049085922e-05
2021-01-03 11:00:00,415,87,900.5,1359.0,0.00010804489252266859,6.898547736760934e-05
2021-01-03 11:15:00,404,117,900.0,999.0,0.00010667756679032288,9.616427817613349e-05
2021-01-03 11:30:00,470,135,763.5,895.5,0.00012602857416365963,0.00011011859364689128
2021-01-03 11:45:00,523,170,710.0,765.5,0.00013707670686709746,0.0001325663202006898
