time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,7985,3021,36.0,39.0,0.002578485581308837,0.002661580208627009
2021-01-02 16:15:00,7969,3018,34.0,37.0,0.002638725994348378,0.002738142653784634
2021-01-02 16:30:00,7758,2851,36.0,38.0,0.0025957826395074236,0.0026163332241282635
2021-01-02 16:45:00,7588,2922,39.0,38.0,0.0025017069831187533,0.0026437912074489408
2021-01-02 17:00:00,7652,2976,37.0,38.0,0.002537651054408605,0.0026754866625731248
2021-01-02 17:15:00,7155,2745,41.0,39.0,0.002435148639362825,0.002579007349936065
2021-01-02 17:30:00,7495,2859,39.0,37.0,0.0025341912954332823,0.0027154839573690862
2021-01-02 17:45:00,7304,2678,43.0,38.0,0.0024440779963378983,0.002564667349811816
2021-01-02 18:00:00,7370,2838,41.0,37.0,0.002468867811390559,0.002644151933454578
2021-01-02 18:15:00,7465,2955,39.0,35.0,0.002512235580053825,0.0028289775376311448
2021-01-02 18:30:00,7161,2744,41.0,37.0,0.002467532870287576,0.002654821878286479
2021-01-02 18:45:00,7078,2791,40.0,36.0,0.002440790653406348,0.002725029754669213
2021-01-02 19:00:00,6955,2806,42.0,37.0,0.0023293480437830355,0.002584233962507425
2021-01-02 19:15:00,6868,2780,43.0,36.0,0.002324676159884105,0.0026979813664596273
2021-01-02 19:30:00,6596,2661,45.0,36.0,0.0022811602653422377,0.0026594070151978962
2021-01-02 19:45:00,6654,2517,42.0,37.0,0.002335484197048319,0.002551118660971837
2021-01-02 20:00:00,6633,2549,43.0,36.0,0.002311215860522844,0.0025514519453194518
2021-01-02 20:15:00,6575,2616,41.0,36.0,0.0023209858065099146,0.0026796112924719925
2021-01-02 20:30:00,6530,2397,43.0,37.0,0.0023097163364149595,0.00248263347650509
2021-01-02 20:45:00,6683,2489,43.0,36.0,0.002354750179081517,0.002603570102354092
2021-01-02 21:00:00,6537,2461,43.0,36.0,0.0022754320518813824,0.002520042065553861
2021-01-02 21:15:00,6770,2432,41.0,36.0,0.0023640075829820784,0.0025268031265032764
2021-01-02 21:30:00,6898,2460,40.0,36.0,0.0023827955117224353,0.002574180343307759
2021-01-02 21:45:00,6765,2408,41.0,36.0,0.002348442980568153,0.0025548800543230307
2021-01-02 22:00:00,7159,2475,40.0,36.0,0.00242279723938516,0.002570517873667615
2021-01-02 22:15:00,7192,2404,40.0,38.0,0.0024720272857917205,0.0025482163015883947
