time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1506,701,195.0,176.0,0.0004863117452036454,0.0006175993797575416
2021-01-02 16:15:00,1358,657,213.0,179.0,0.00044966619404255214,0.0005960767804958596
2021-01-02 16:30:00,1346,672,212.0,175.0,0.0004503639382285373,0.0006166874523374933
2021-01-02 16:45:00,1372,676,216.0,182.0,0.00045233816299933163,0.0006116368433386325
2021-01-02 17:00:00,1368,691,211.0,171.0,0.00045367311061565236,0.0006212235496767571
2021-01-02 17:15:00,1319,652,215.0,173.5,0.00044891139836751446,0.0006125729661778923
2021-01-02 17:30:00,1409,653,203.0,176.0,0.0004764076764863903,0.00062022071499196
2021-01-02 17:45:00,1344,625,219.5,179.0,0.0004497317671246079,0.0005985500723048487
2021-01-02 18:00:00,1360,646,216.0,177.0,0.0004555848335808901,0.0006018753167764825
2021-01-02 18:15:00,1358,678,219.0,162.0,0.0004570148583674608,0.0006490852015275521
2021-01-02 18:30:00,1311,631,217.0,176.5,0.0004517435543844451,0.0006104929319237492
2021-01-02 18:45:00,1352,656,211.0,171.0,0.000466226188669876,0.0006404942741178802
2021-01-02 19:00:00,1443,691,204.0,174.0,0.0004832852950652652,0.0006363883350294481
2021-01-02 19:15:00,1340,675,217.0,171.0,0.00045356232589468566,0.0006550854037267081
2021-01-02 19:30:00,1353,643,207.0,170.0,0.0004679214431485821,0.0006426150735709312
2021-01-02 19:45:00,1392,583,198.0,184.0,0.0004885773973987465,0.0005909027331531907
2021-01-02 20:00:00,1407,617,198.0,171.0,0.0004902579098078762,0.0006175935073605735
2021-01-02 20:15:00,1426,625,192.5,167.0,0.0005033803437388805,0.0006401976520623073
2021-01-02 20:30:00,1415,620,195.0,164.0,0.0005004974909689384,0.0006421496685161267
2021-01-02 20:45:00,1414,605,193.0,165.0,0.0004982218694031522,0.0006328484981616013
2021-01-02 21:00:00,1415,612,191.0,165.0,0.000492540363073605,0.0006266825453551253
2021-01-02 21:15:00,1438,640,188.0,157.0,0.0005021333684384387,0.0006649481911850727
2021-01-02 21:30:00,1351,593,200.0,167.0,0.0004666797240268208,0.0006205239608054883
2021-01-02 21:45:00,1388,563,198.0,174.0,0.00048183870761693966,0.0005973411422690475
2021-01-02 22:00:00,1488,609,192.0,164.5,0.0005035790322957281,0.0006325031858842738
2021-01-02 22:15:00,1426,624,198.5,166.0,0.0004901433411483584,0.0006614338486652076
2021-01-02 22:30:00,1480,653,195.0,158.0,0.0005052384349898099,0.0007039315601732125
2021-01-02 22:45:00,1435,607,190.0,160.0,0.0004988418872839815,0.0006683674986208728
2021-01-02 23:00:00,1395,546,195.0,179.0,0.0004906842107669834,0.0006032062733452427
2021-01-02 23:15:00,1423,542,191.0,164.0,0.0005057282700325969,0.00061044560276435
2021-01-02 23:30:00,1380,585,194.0,158.0,0.0004922379778007806,0.0006584093505382638
2021-01-02 23:45:00,1283,528,202.0,171.0,0.0004706105025005081,0.0006116087511018804
2021-01-03 00:00:00,1361,555,193.0,161.0,0.0004972559582115008,0.000644555135013977
2021-01-03 00:15:00,1401,557,184.0,155.0,0.0005217781872882022,0.0006686361622925218
2021-01-03 00:30:00,1351,501,186.0,168.0,0.0005145296547700251,0.0006144178482866204
2021-01-03 00:45:00,1431,532,197.0,180.0,0.0005389292594147854,0.0006312839151943631
2021-01-03 01:00:00,1482,559,185.0,170.0,0.0005783737394906331,0.0006594843045095041
2021-01-03 01:15:00,1397,495,172.0,180.0,0.0005665168661438653,0.0006306190385798714
2021-01-03 01:30:00,1317,471,176.0,187.5,0.0005515899990073894,0.0006120881562891084
2021-01-03 01:45:00,1302,442,171.0,173.0,0.000566013620843908,0.0006021437407021923
2021-01-03 02:00:00,1289,493,170.0,152.5,0.0005578034056732371,0.0006815822108425491
2021-01-03 02:15:00,1317,534,161.0,137.0,0.0005927050030242808,0.0007734691394504022
2021-01-03 02:30:00,1347,504,153.0,144.0,0.0006255985450073335,0.0007550686228537098
2021-01-03 02:45:00,1263,434,163.0,155.0,0.0005932206574181233,0.0006643775746544548
2021-01-03 03:00:00,1220,407,175.0,185.0,0.0005480645907597209,0.0005590029694457492
2021-01-03 03:15:00,2381,516,86.0,134.0,0.0010988508908722457,0.0007821832006451496
2021-01-03 03:30:00,2446,493,84.0,141.0,0.0011381307296227606,0.0007574686718332277
2021-01-03 03:45:00,1902,429,101.0,152.0,0.0009033397925453096,0.0006749867834755683
2021-01-03 04:00:00,1667,472,116.0,146.0,0.0007730530494322674,0.00070287777819143
2021-01-03 04:15:00,1488,419,132.0,154.0,0.0007096656654403314,0.0006554074240924015
2021-01-03 04:30:00,1453,411,142.0,162.0,0.0006740154295259579,0.0006200853333977054
2021-01-03 04:45:00,1626,432,126.0,162.0,0.0007354723849569211,0.0006438785335070215
2021-01-03 05:00:00,1524,440,144.0,168.0,0.0006771515557601426,0.0006250834628487327
2021-01-03 05:15:00,1535,437,139.0,161.0,0.0006867148634622955,0.0006417731148465473
2021-01-03 05:30:00,1423,423,154.0,174.0,0.0006368030072496198,0.0006094231514524585
2021-01-03 05:45:00,1465,396,146.5,179.0,0.0006620810586066018,0.0005907132713581631
2021-01-03 06:00:00,1388,443,159.0,166.0,0.0006082194638115992,0.0006044777748668238
2021-01-03 06:15:00,1354,422,158.0,164.5,0.0006015964967001053,0.0006137217717071356
2021-01-03 06:30:00,1484,435,152.0,169.0,0.0006456696407788237,0.0006008229202203847
2021-01-03 06:45:00,1444,418,152.0,171.0,0.0006271596616464937,0.0005860292313623778
2021-01-03 07:00:00,1461,451,171.0,190.0,0.0005923896780660119,0.000560129463182355
2021-01-03 07:15:00,1473,475,163.0,176.0,0.0005952922205854717,0.0006179914886309081
2021-01-03 07:30:00,1505,503,169.0,176.0,0.0005800244959182463,0.0006071887282595049
2021-01-03 07:45:00,1532,513,169.0,171.0,0.0005671914545128744,0.0006162176966190909
2021-01-03 08:00:00,1631,628,178.0,156.0,0.0005640678735159932,0.0006858583222026974
2021-01-03 08:15:00,1789,631,162.0,154.0,0.0006021480765929661,0.0007085890879526379
2021-01-03 08:30:00,1773,608,172.0,162.0,0.0005762156509010642,0.0006422410833593012
2021-01-03 08:45:00,1645,622,180.0,158.5,0.0005330478314026416,0.000651573623629286
2021-01-03 09:00:00,1693,584,193.5,204.0,0.0005074168883805729,0.0005344456636231939
2021-01-03 09:15:00,1718,655,202.0,165.0,0.0004840609274359423,0.0006257834235225779
2021-01-03 09:30:00,1767,607,202.0,184.0,0.0004915120295274391,0.0005752529407081961
2021-01-03 09:45:00,1860,676,193.0,175.0,0.0005131784785085818,0.0006256316473362528
2021-01-03 10:00:00,1956,684,248.0,186.5,0.0004880582915264997,0.0005668032297840181
2021-01-03 10:15:00,1886,708,214.0,184.0,0.00047415348142039893,0.0005914683201046597
2021-01-03 10:30:00,1908,745,200.0,181.0,0.0004807614778023254,0.0005996936330245246
2021-01-03 10:45:00,1906,665,201.5,194.0,0.0004945834548600479,0.0005570330659853831
2021-01-03 11:00:00,1815,737,203.0,181.0,0.0004725336865750446,0.0005843942163210124
2021-01-03 11:15:00,1852,664,188.0,191.0,0.0004890268655833612,0.0005457528265722448
2021-01-03 11:30:00,1825,699,191.0,187.0,0.0004893662720184657,0.0005701696071050147
2021-01-03 11:45:00,1869,736,194.0,187.0,0.0004898592067583272,0.0005739341862806335
2021-01-03 12:00:00,1891,848,195.0,181.0,0.0004919413707864352,0.0006146624539093763
2021-01-03 12:15:00,1845,834,199.0,171.0,0.00048147432919796036,0.0006323283558325467
2021-01-03 12:30:00,1826,823,196.0,166.5,0.00048189286249638447,0.0006365854884807419
2021-01-03 12:45:00,1721,785,201.0,176.0,0.00046810379882144463,0.0006193342748266259
2021-01-03 13:00:00,1811,780,198.0,185.0,0.0004919373612436482,0.0005942245940417557
2021-01-03 13:15:00,1876,819,204.0,177.0,0.0005060182727621909,0.0006320390552289462
2021-01-03 13:30:00,1804,804,212.0,177.5,0.0004835736413765336,0.000620565733656892
2021-01-03 13:45:00,1882,802,203.0,174.5,0.0005007684480754738,0.0006258291065158018
2021-01-03 14:00:00,1788,783,213.0,179.5,0.00047361641361652493,0.0005977710697124744
2021-01-03 14:15:00,1738,815,215.5,173.0,0.0004657377280252453,0.0006376867385413952
