time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,905,385,320.5,288.0,0.0002922391297538507,0.00033919509444601067
2021-01-02 16:15:00,852,335,338.0,332.5,0.00028211752380283826,0.0003039356491112831
2021-01-02 16:30:00,870,347,331.5,317.0,0.000291097047740585,0.00031843831244212815
2021-01-02 16:45:00,858,383,343.0,298.0,0.0002828761981438969,0.0003465338920099056
2021-01-02 17:00:00,919,356,311.0,319.0,0.0003047701671460413,0.00032005149592608613
2021-01-02 17:15:00,878,348,318.0,316.0,0.00029882047594137815,0.00032695612305200385
2021-01-02 17:30:00,983,343,283.0,313.5,0.00033236958551179676,0.00032578209072318883
2021-01-02 17:45:00,1196,344,243.0,318.5,0.0004002077332448147,0.0003294419597965888
2021-01-02 18:00:00,975,347,304.5,323.0,0.00032661412701571167,0.00032329835127157814
2021-01-02 18:15:00,908,329,334.0,325.5,0.00030557399955644663,0.00031496907271764697
2021-01-02 18:30:00,946,328,304.5,327.0,0.0003259720842468994,0.00031734022451820887
2021-01-02 18:45:00,851,308,341.0,342.5,0.0002934604190518228,0.00030071987260412667
2021-01-02 19:00:00,847,336,346.0,342.0,0.00028367473660449044,0.00030944497911706875
2021-01-02 19:15:00,850,326,337.0,329.0,0.000287707445530211,0.0003163819875776397
2021-01-02 19:30:00,841,333,332.0,316.5,0.0002908513922305673,0.0003328006524092069
2021-01-02 19:45:00,834,331,333.0,309.0,0.0002927252510276973,0.0003354868004694788
2021-01-02 20:00:00,784,303,350.5,338.0,0.0002731785368083688,0.0003032914630960353
2021-01-02 20:15:00,795,289,346.0,362.5,0.0002806363066426437,0.00029602739431361077
2021-01-02 20:30:00,741,279,371.0,368.5,0.0002620979793695996,0.00028896735083225696
2021-01-02 20:45:00,715,288,381.0,338.0,0.00025192972887075934,0.0003012568057364317
2021-01-02 21:00:00,814,324,326.5,311.0,0.000283341240665664,0.000331773112246831
2021-01-02 21:15:00,828,310,320.0,328.0,0.00028912825387136803,0.00032208428010526964
2021-01-02 21:30:00,792,296,337.0,346.0,0.0002735827841815263,0.00030973877301589294
2021-01-02 21:45:00,815,283,330.0,345.5,0.00028292402500562376,0.00030026206618497415
2021-01-02 22:00:00,803,261,340.0,387.0,0.0002717566955198049,0.000271072793950403
2021-01-02 22:15:00,760,250,360.5,403.5,0.00026122646512815743,0.00026499753552291957
2021-01-02 22:30:00,708,272,400.0,362.0,0.00024169514322485499,0.0002932149837168665
2021-01-02 22:45:00,793,278,344.5,346.5,0.00027566663178829083,0.00030610570777035023
2021-01-02 23:00:00,798,251,335.0,378.0,0.00028069247325595176,0.00027729812199570687
2021-01-02 23:15:00,755,266,350.0,351.0,0.00026832385374182056,0.00029959138438250384
2021-01-02 23:30:00,884,244,294.0,387.0,0.0003153176611419493,0.00027461860090826734
2021-01-02 23:45:00,884,288,278.5,311.0,0.0003242554046846836,0.0003336047733282984
2021-01-03 00:00:00,885,298,286.0,292.5,0.0003233442490941794,0.0003460854598813787
2021-01-03 00:15:00,803,230,304.0,375.5,0.00029906344353492246,0.0002760975176432316
2021-01-03 00:30:00,823,194,289.5,445.5,0.00031344034483769844,0.00023791828855809254
2021-01-03 00:45:00,794,214,314.0,417.0,0.00029902853387514994,0.00025393751475863484
2021-01-03 01:00:00,768,251,317.0,353.0,0.0002997240431368463,0.0002961190705400457
2021-01-03 01:15:00,715,212,322.5,398.0,0.000289949577160246,0.0002700833054119853
2021-01-03 01:30:00,687,220,326.5,382.5,0.00028773145734098437,0.00028590104964671726
2021-01-03 01:45:00,708,205,298.0,386.0,0.00030778620856949837,0.00027927481186413894
