time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,171,68,1728.0,1509.0,5.521866429603146e-05,5.9909782915139564e-05
2021-01-02 16:15:00,164,74,1750.0,1378.5,5.4304312093504076e-05,6.713802398279088e-05
2021-01-02 16:30:00,128,47,2144.5,2040.0,4.282807139171826e-05,4.3131414077175865e-05
2021-01-02 16:45:00,136,49,2073.5,1993.0,4.483818525357807e-05,4.4334623259752937e-05
2021-01-02 17:00:00,158,65,1807.5,1544.0,5.239791774654464e-05,5.843636863818987e-05
2021-01-02 17:15:00,161,70,1731.0,1399.5,5.479509866351011e-05,6.576703624609274e-05
2021-01-02 17:30:00,131,56,2147.0,1686.5,4.429340356260974e-05,5.318891277113286e-05
2021-01-02 17:45:00,127,35,2168.5,2520.5,4.249697501847113e-05,3.3518804049071525e-05
2021-01-02 18:00:00,131,42,2116.0,2191.0,4.3883539116982786e-05,3.9131212545839424e-05
2021-01-02 18:15:00,128,41,2142.0,2227.0,4.30765109506885e-05,3.925146498912926e-05
2021-01-02 18:30:00,121,45,2190.5,2034.5,4.1694103799022015e-05,4.353753080280305e-05
2021-01-02 18:45:00,130,56,2074.0,1631.0,4.482944121825729e-05,5.467634047347758e-05
2021-01-02 19:00:00,126,51,2180.0,1899.5,4.2199547594056424e-05,4.696932718741222e-05
2021-01-02 19:15:00,109,42,2485.5,2131.0,3.6894248897403525e-05,4.07608695652174e-05
2021-01-02 19:30:00,117,41,2285.0,2118.0,4.046327335431199e-05,4.097545570203448e-05
2021-01-02 19:45:00,107,38,2426.0,2226.0,3.755587752993239e-05,3.851510096024228e-05
2021-01-02 20:00:00,126,57,2131.5,1583.0,4.390369341563069e-05,5.705482969133337e-05
2021-01-02 20:15:00,141,61,1905.0,1466.5,4.9773231744167e-05,6.248329084128117e-05
2021-01-02 20:30:00,117,51,2252.5,1699.5,4.138389147941045e-05,5.282198886181043e-05
2021-01-02 20:45:00,109,38,2394.5,2205.5,3.840607055512275e-05,3.97491618680014e-05
2021-01-02 21:00:00,106,35,2490.0,2444.5,3.689701659774002e-05,3.58396880513552e-05
2021-01-02 21:15:00,108,45,2430.0,1878.5,3.771238093974365e-05,4.675416969270043e-05
2021-01-02 21:30:00,110,37,2426.0,2242.0,3.799760891410088e-05,3.8717346626986624e-05
