time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,141,26,2080.0,3555.5,4.553117933181541e-05,2.2906681702847475e-05
2021-01-02 16:15:00,93,18,2846.5,4667.0,3.0794518443267555e-05,1.6330870698516702e-05
2021-01-02 16:30:00,107,18,2495.5,4608.5,3.580159092901448e-05,1.651841390189714e-05
2021-01-02 16:45:00,115,17,2386.5,4875.5,3.791464194236381e-05,1.5381399906444894e-05
2021-01-02 17:00:00,104,24,2589.0,3652.5,3.448976864329521e-05,2.1576505343331645e-05
2021-01-02 17:15:00,95,24,2755.5,3557.5,3.23325116337482e-05,2.2548698141517512e-05
2021-01-02 17:30:00,97,20,2739.0,4062.5,3.2797405691398056e-05,1.8996040275404592e-05
2021-01-02 17:45:00,85,20,3020.5,4065.0,2.8442857295827132e-05,1.915360231375516e-05
2021-01-02 18:00:00,99,16,2717.5,5035.0,3.316389597390303e-05,1.4907128588891208e-05
2021-01-02 18:15:00,95,15,2779.0,5126.0,3.1970847971214114e-05,1.436029206919363e-05
2021-01-02 18:30:00,85,23,2981.5,3622.0,2.928924647038737e-05,2.225251574365489e-05
2021-01-02 18:45:00,72,18,3436.0,4319.0,2.482861359780405e-05,1.757453800933208e-05
2021-01-02 19:00:00,78,15,3310.5,5233.0,2.6123529462987312e-05,1.3814507996297712e-05
2021-01-02 19:15:00,83,27,3142.0,3114.5,2.8093785857655897e-05,2.6203416149068326e-05
2021-01-02 19:30:00,66,24,3728.0,3364.5,2.282543625115035e-05,2.3985632606068964e-05
2021-01-02 19:45:00,78,17,3158.0,4440.0,2.737718175079183e-05,1.7230439903266282e-05
2021-01-02 20:00:00,69,15,3548.0,5045.0,2.404249877522633e-05,1.501442886614036e-05
2021-01-02 20:15:00,67,17,3631.5,4397.0,2.3651110119568718e-05,1.7413376136094755e-05
2021-01-02 20:30:00,57,19,4154.5,3999.5,2.016138302843073e-05,1.9678780164203883e-05
2021-01-02 20:45:00,70,15,3512.5,4822.0,2.4664448980354058e-05,1.5690458632105818e-05
2021-01-02 21:00:00,47,7,4978.5,9351.5,1.635999792541303e-05,7.167937610271041e-06
2021-01-02 21:15:00,43,9,5326.0,7469.5,1.5015114633416452e-05,9.350833938540086e-06
2021-01-02 21:30:00,73,18,3499.0,4188.0,2.5216595006630586e-05,1.883546592664214e-05
2021-01-02 21:45:00,54,15,4507.0,4839.0,1.8745886319391026e-05,1.5914950504503932e-05
2021-01-02 22:00:00,59,11,4368.0,6449.0,1.9967179371940834e-05,1.1424523882967175e-05
2021-01-02 22:15:00,59,13,4241.5,5336.0,2.0279422950738533e-05,1.377987184719182e-05
2021-01-02 22:30:00,72,20,3618.0,3690.5,2.4579167107612368e-05,2.1559925273299004e-05
2021-01-02 22:45:00,77,16,3354.5,4394.5,2.676712565914047e-05,1.761759469181872e-05
2021-01-02 23:00:00,58,13,4229.5,5256.5,2.0401207329379955e-05,1.4362054127267685e-05
2021-01-02 23:15:00,60,12,4092.0,5596.5,2.13237499662374e-05,1.35154007992107e-05
