time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,200,38,1463.5,2539.5,6.458323309477363e-05,3.3478996334930934e-05
2021-01-02 16:15:00,166,29,1721.5,3116.0,5.496655980196145e-05,2.631084723649913e-05
2021-01-02 16:30:00,204,34,1397.0,2700.5,6.825723878055098e-05,3.120144848136126e-05
2021-01-02 16:45:00,193,36,1509.5,2591.0,6.363065995544535e-05,3.2572376272471554e-05
2021-01-02 17:00:00,171,29,1662.5,3128.0,5.6709138826956545e-05,2.607161062319241e-05
2021-01-02 17:15:00,171,35,1613.0,2579.0,5.8198520940746765e-05,3.288351812304637e-05
2021-01-02 17:30:00,155,33,1834.5,2663.0,5.240822558934741e-05,3.134346645441758e-05
2021-01-02 17:45:00,145,37,1947.0,2392.5,4.85201683281757e-05,3.5434164280447054e-05
2021-01-02 18:00:00,145,27,1943.0,3239.0,4.8573382992080186e-05,2.5155779493753916e-05
2021-01-02 18:15:00,131,24,2103.0,3470.0,4.4086116676095256e-05,2.297646731070981e-05
2021-01-02 18:30:00,161,39,1707.0,2281.0,5.547727860861607e-05,3.773252669576264e-05
2021-01-02 18:45:00,132,28,2040.0,3013.5,4.551912492930742e-05,2.733817023673879e-05
2021-01-02 19:00:00,111,18,2432.0,4541.0,3.7175791928097334e-05,1.6577409595557254e-05
2021-01-02 19:15:00,102,25,2616.0,3320.0,3.452489346362532e-05,2.426242236024845e-05
2021-01-02 19:30:00,140,39,1968.0,2211.5,4.841759204789469e-05,3.897665298486207e-05
2021-01-02 19:45:00,151,31,1789.5,2666.5,5.299941595345598e-05,3.142021394125028e-05
2021-01-02 20:00:00,108,14,2433.0,5328.5,3.7631737213397736e-05,1.4013466941731006e-05
2021-01-02 20:15:00,121,27,2203.0,2958.5,4.271319887265395e-05,2.765653856909167e-05
2021-01-02 20:30:00,126,22,2110.5,3540.0,4.456726774705741e-05,2.2785955979604502e-05
2021-01-02 20:45:00,117,26,2246.0,3036.0,4.122486472430607e-05,2.719679496231675e-05
2021-01-02 21:00:00,94,25,2784.5,3210.0,3.271999585082606e-05,2.559977717953943e-05
2021-01-02 21:15:00,120,26,2221.5,3068.5,4.1902645488604055e-05,2.701352026689358e-05
2021-01-02 21:30:00,128,40,2107.5,2105.5,4.4215399463681015e-05,4.185659094809364e-05
2021-01-02 21:45:00,114,23,2353.0,3368.5,3.957464889649216e-05,2.4402924106906023e-05
2021-01-02 22:00:00,126,26,2243.5,3124.0,4.264177289600924e-05,2.700342008701333e-05
2021-01-02 22:15:00,145,35,1913.0,2283.5,4.983925979418792e-05,3.709965497320875e-05
2021-01-02 22:30:00,115,26,2413.0,2932.5,3.925839190799198e-05,2.80279028552887e-05
2021-01-02 22:45:00,147,37,1884.5,2153.5,5.110087625835908e-05,4.074068772483079e-05
2021-01-02 23:00:00,118,21,2290.5,3506.0,4.150590456666957e-05,2.3200241282509334e-05
2021-01-02 23:15:00,123,25,2167.0,3007.5,4.3713687430786665e-05,2.815708499835563e-05
2021-01-02 23:30:00,134,30,1997.0,2555.5,4.779702103282942e-05,3.376458207888532e-05
2021-01-02 23:45:00,152,30,1720.0,2495.5,5.575432297745692e-05,3.4750497221697745e-05
2021-01-03 00:00:00,113,23,2249.0,3198.5,4.1285762878691827e-05,2.671129388346211e-05
2021-01-03 00:15:00,140,20,1858.0,3474.5,5.214057546063405e-05,2.400847979506361e-05
2021-01-03 00:30:00,161,20,1567.0,3380.5,6.131700549072838e-05,2.4527658614236347e-05
2021-01-03 00:45:00,180,39,1416.5,1861.0,6.778984395154532e-05,4.627833212891008e-05
2021-01-03 01:00:00,154,25,1556.0,2788.5,6.010091489983636e-05,2.9493931328689807e-05
2021-01-03 01:15:00,176,22,1350.0,2955.0,7.137220360867593e-05,2.8027512825772063e-05
2021-01-03 01:30:00,169,18,1360.5,3454.5,7.078110085971815e-05,2.339190406200414e-05
2021-01-03 01:45:00,176,32,1293.5,2059.0,7.651182585908434e-05,4.359411697391437e-05
2021-01-03 02:00:00,132,16,1685.5,3761.5,5.712183828461389e-05,2.212031515919023e-05
2021-01-03 02:15:00,130,25,1634.5,2440.5,5.85054293038394e-05,3.621110203419487e-05
2021-01-03 02:30:00,157,22,1309.5,2621.0,7.291683115527199e-05,3.2959344648376225e-05
2021-01-03 02:45:00,143,27,1418.0,2162.5,6.716591766491816e-05,4.13322454278117e-05
2021-01-03 03:00:00,140,19,1549.5,3228.0,6.289265795603355e-05,2.6095961718597628e-05
2021-01-03 03:15:00,167,20,1262.0,2876.0,7.707186004857834e-05,3.0317178319579437e-05
2021-01-03 03:30:00,136,26,1486.5,2223.5,6.328118529382478e-05,3.994763786544407e-05
2021-01-03 03:45:00,160,24,1284.5,2351.5,7.599072913104601e-05,3.7761498376255574e-05
2021-01-03 04:00:00,129,21,1592.5,2824.5,5.9822341557745944e-05,3.127210453817803e-05
2021-01-03 04:15:00,137,16,1456.5,3365.5,6.533884150895524e-05,2.502749113479337e-05
2021-01-03 04:30:00,126,21,1630.5,2759.5,5.844868831401976e-05,3.168319221740101e-05
2021-01-03 04:45:00,156,14,1347.5,3947.0,7.056192623202932e-05,2.086643395624607e-05
2021-01-03 05:00:00,134,14,1583.0,4117.0,5.9539572488096534e-05,1.9889019272459675e-05
2021-01-03 05:15:00,140,22,1531.0,2735.0,6.263197451773379e-05,3.230894399685135e-05
