time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,317,135,961.0,807.5,0.0001023644244552162,0.00011893853961093882
2021-01-02 16:15:00,313,124,958.5,874.5,0.0001036417663735779,0.00011250155370089285
2021-01-02 16:30:00,301,119,975.5,879.0,0.00010071288663208746,0.00010920506968476441
2021-01-02 16:45:00,261,101,1142.0,1061.0,8.604975258223438e-05,9.13836112088785e-05
2021-01-02 17:00:00,289,123,1022.0,872.0,9.584176094146456e-05,0.00011057958988457468
2021-01-02 17:15:00,268,101,1080.0,1019.0,9.121171702994229e-05,9.489243801221952e-05
2021-01-02 17:30:00,276,96,1068.5,1052.5,9.332045330748312e-05,9.118099332194204e-05
2021-01-02 17:45:00,250,128,1193.5,796.0,8.365546263478568e-05,0.00012258305480803303
2021-01-02 18:00:00,281,115,1043.5,918.0,9.41318663501692e-05,0.00010714498673265556
2021-01-02 18:15:00,254,107,1133.5,942.5,8.54799514177725e-05,0.00010243675009358123
2021-01-02 18:30:00,263,138,1081.5,737.5,9.062437437308092e-05,0.00013351509446192934
2021-01-02 18:45:00,253,110,1133.5,902.0,8.724498944783922e-05,0.00010739995450147381
2021-01-02 19:00:00,272,124,1111.5,862.0,9.109743607605832e-05,0.00011419993276939441
2021-01-02 19:15:00,264,109,1130.0,909.0,8.93585477882067e-05,0.00010578416149068324
2021-01-02 19:30:00,253,104,1142.0,919.0,8.749750562940967e-05,0.00010393774129296552
2021-01-02 19:45:00,267,114,1067.5,843.0,9.37141990700182e-05,0.00011554530288072683
2021-01-02 20:00:00,242,100,1177.5,946.5,8.432296671890974e-05,0.00010009619244093574
2021-01-02 20:15:00,243,100,1162.5,934.0,8.577939938888356e-05,0.00010243162432996912
2021-01-02 20:30:00,238,94,1170.0,974.5,8.41826168555529e-05,9.735817554921923e-05
2021-01-02 20:45:00,280,131,1011.5,718.5,9.865779592141623e-05,0.00013703000538705745
2021-01-02 21:00:00,266,85,1062.5,1088.0,9.259062655659288e-05,8.703924241043406e-05
2021-01-02 21:15:00,260,88,1095.5,1045.5,9.078906522530877e-05,9.143037628794752e-05
2021-01-02 21:30:00,259,99,1132.5,911.0,8.946709735229207e-05,0.00010359506259653176
2021-01-02 21:45:00,265,92,1094.5,978.5,9.199370138219668e-05,9.761169642762409e-05
2021-01-02 22:00:00,270,106,1092.5,879.5,9.137522763430551e-05,0.0001100908665085928
2021-01-02 22:15:00,247,74,1164.0,1185.5,8.489860116665114e-05,7.843927051478421e-05
2021-01-02 22:30:00,253,92,1158.5,959.0,8.636846219758237e-05,9.917565625717542e-05
2021-01-02 22:45:00,276,90,1039.5,959.5,9.594450236263336e-05,9.90989701414803e-05
2021-01-02 23:00:00,266,99,1064.0,899.5,9.356415775198392e-05,0.00010937256604611544
2021-01-02 23:15:00,254,94,1109.0,922.5,9.027054152373831e-05,0.00010587063959381716
2021-01-02 23:30:00,280,91,986.0,947.5,9.987437230740477e-05,0.00010241923230595213
2021-01-02 23:45:00,247,79,1096.0,1043.0,9.060077483836748e-05,9.150964268380406e-05
2021-01-03 00:00:00,298,111,915.5,767.5,0.00010887749856504571,0.0001289110270027954
2021-01-03 00:15:00,293,117,912.0,704.5,0.00010912277578546983,0.00014044960680112216
2021-01-03 00:30:00,239,82,1096.5,970.0,9.102338082164024e-05,0.000100563400318369
2021-01-03 00:45:00,227,87,1165.0,904.5,8.549052542778217e-05,0.0001032362793644917
2021-01-03 01:00:00,226,84,1080.5,958.0,8.82000439439157e-05,9.909960926439776e-05
2021-01-03 01:15:00,233,84,1032.5,906.5,9.448706500466756e-05,0.00010701413988022061
2021-01-03 01:30:00,199,70,1157.5,1054.0,8.334579332002314e-05,9.096851579668276e-05
2021-01-03 01:45:00,222,76,1019.5,959.5,9.650923489043594e-05,0.00010353602781304664
2021-01-03 02:00:00,238,75,973.0,958.5,0.00010299240539195534,0.0001036889773087042
2021-01-03 02:15:00,241,89,908.0,780.5,0.00010846006509404073,0.00012891152324173374
2021-01-03 02:30:00,230,66,912.0,990.5,0.00010682083545039843,9.887803394512867e-05
2021-01-03 02:45:00,199,63,1046.5,1019.5,9.346865465257842e-05,9.644190599822732e-05
2021-01-03 03:00:00,229,61,943.5,1147.0,0.00010287441908522628,8.378177183339241e-05
2021-01-03 03:15:00,295,66,719.5,983.0,0.00013614490248102163,0.00010004668845461216
2021-01-03 03:30:00,276,73,752.5,878.5,0.00012842358191982088,0.00011216067554528525
2021-01-03 03:45:00,215,57,950.0,1074.5,0.00010211254226984308,8.968355864360699e-05
2021-01-03 04:00:00,267,71,774.0,952.5,0.00012381833485207883,0.00010572949629574477
2021-01-03 04:15:00,260,67,769.0,944.0,0.00012400072111188584,0.00010480261912694724
2021-01-03 04:30:00,262,74,779.5,893.0,0.00012153616141486648,0.00011164553448036548
2021-01-03 04:45:00,291,81,715.0,855.5,0.00013162513162513165,0.00012072722503256653
2021-01-03 05:00:00,321,83,664.5,847.5,0.0001426283788707387,0.00011791347140101091
2021-01-03 05:15:00,304,81,680.0,845.5,0.0001360008589527934,0.00011895565744295269
2021-01-03 05:30:00,298,77,691.5,910.0,0.0001333572003938065,0.00011093518359772884
2021-01-03 05:45:00,286,68,721.0,968.5,0.00012925268447883147,0.00010143561225342196
2021-01-03 06:00:00,258,72,826.5,970.0,0.00011305520292751628,9.824469478648152e-05
2021-01-03 06:15:00,249,79,853.0,843.0,0.00011063332915681409,0.00011489104257076708
2021-01-03 06:30:00,308,102,692.5,723.5,0.000134006906576737,0.00014088261577581434
2021-01-03 06:45:00,250,66,864.5,1048.0,0.00010858027383076418,9.253093126774384e-05
2021-01-03 07:00:00,297,89,795.5,885.5,0.00012042418506886072,0.0001105355259938572
2021-01-03 07:15:00,254,67,931.0,1093.0,0.00010265052547773919,8.716932576478073e-05
2021-01-03 07:30:00,280,75,889.0,1059.0,0.00010791153412432488,9.053509864704348e-05
2021-01-03 07:45:00,352,74,726.5,1074.5,0.00013032075195073878,8.888910243628214e-05
2021-01-03 08:00:00,514,69,540.0,1277.5,0.00017776265296580042,7.535704495539191e-05
2021-01-03 08:15:00,529,94,551.0,936.0,0.00017805272918819398,0.00010555843782495716
2021-01-03 08:30:00,564,107,531.5,892.0,0.00018329702600575307,0.00011302598013066648
2021-01-03 08:45:00,494,118,598.5,807.5,0.00016007637003824008,0.00012361043020619894
2021-01-03 09:00:00,463,104,713.5,988.0,0.00013876787910230672,9.517525516577425e-05
2021-01-03 09:15:00,518,99,698.0,1021.0,0.0001459508500650862,9.458405943318351e-05
2021-01-03 09:30:00,471,100,760.5,1014.0,0.00013101424216605762,9.476984196181156e-05
2021-01-03 09:45:00,454,111,779.0,932.0,0.00012525969314134205,0.0001027294568850948
2021-01-03 10:00:00,396,109,1012.0,1102.0,9.880934736426066e-05,9.032390650066955e-05
2021-01-03 10:15:00,441,93,925.0,1193.0,0.00011087045880508796,7.769287255612057e-05
2021-01-03 10:30:00,534,119,758.0,1030.5,0.00013455274064278917,9.57899897045885e-05
2021-01-03 10:45:00,518,126,731.5,924.5,0.000134414601058502,0.00010554310723933575
2021-01-03 11:00:00,495,113,756.0,1083.5,0.0001288728236113758,8.960182692574546e-05
2021-01-03 11:15:00,491,135,740.5,880.5,0.0001296502111238825,0.00011095878251092329
2021-01-03 11:30:00,541,129,663.5,937.0,0.0001450669332394465,0.00010522443392925166
2021-01-03 11:45:00,529,121,703.0,1034.5,0.00013864928859023815,9.435602790754981e-05
2021-01-03 12:00:00,513,130,714.0,1048.5,0.00013345633168346968,9.422891392478647e-05
2021-01-03 12:15:00,574,139,644.5,936.0,0.00014979201352825433,0.00010538805930542444
2021-01-03 12:30:00,565,127,639.0,986.5,0.00014910704671985609,9.823372665498691e-05
2021-01-03 12:45:00,544,143,661.0,869.5,0.00014796540764605803,0.00011282140293020063
2021-01-03 13:00:00,471,127,760.0,1005.5,0.00012794174331626627,9.675195313243972e-05
2021-01-03 13:15:00,456,157,800.5,813.5,0.00012299804497844296,0.00012116011193033522
