time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,284,130,1072.0,844.5,9.170819099457856e-05,0.00011453340851423738
2021-01-02 16:15:00,268,124,1107.5,874.5,8.874119293328714e-05,0.00011250155370089285
2021-01-02 16:30:00,279,110,1058.0,964.0,9.335181186163588e-05,0.00010094586273381586
2021-01-02 16:45:00,276,120,1077.0,904.5,9.099514066167315e-05,0.00010857458757490516
2021-01-02 17:00:00,287,115,1030.0,937.5,9.517849615986275e-05,0.00010338742143679748
2021-01-02 17:15:00,291,97,1004.5,1066.0,9.903958826758659e-05,9.113432165529991e-05
2021-01-02 17:30:00,285,111,1032.5,910.5,9.636351156750976e-05,0.00010542802352849548
2021-01-02 17:45:00,789,105,378.0,969.5,0.0002640166400753836,0.00010055641214721458
2021-01-02 18:00:00,481,108,611.0,966.5,0.00016112963599441776,0.00010062311797501564
2021-01-02 18:15:00,426,91,699.0,1103.0,0.00014336401300776014,8.711910521977471e-05
2021-01-02 18:30:00,368,116,802.0,861.0,0.0001268052082482653,0.00011223007940278116
2021-01-02 18:45:00,369,122,792.5,818.5,0.00012724664468874574,0.0001191163131743619
2021-01-02 19:00:00,352,97,879.5,1076.0,0.00011789079962784019,8.933381837605855e-05
2021-01-02 19:15:00,350,104,863.0,954.0,0.00011846777168891041,0.00010093167701863355
2021-01-02 19:30:00,320,92,937.0,1043.0,0.00011066878182375928,9.194492498993104e-05
2021-01-02 19:45:00,320,112,909.5,861.0,0.00011231664308017163,0.00011351819230387197
2021-01-02 20:00:00,316,98,935.0,970.0,0.00011010767555031189,9.809426859211704e-05
2021-01-02 20:15:00,301,91,945.5,1019.5,0.00010625349471627141,9.321277814027192e-05
2021-01-02 20:30:00,297,103,962.5,900.5,0.0001050514168323496,0.00010667970299542106
2021-01-02 20:45:00,270,97,1046.0,956.5,9.51343032099371e-05,0.00010146496582095094
2021-01-02 21:00:00,264,91,1071.5,1017.5,9.189445643210721e-05,9.318318893352352e-05
2021-01-02 21:15:00,250,87,1133.0,1053.5,8.729717810125845e-05,9.039139473922084e-05
2021-01-02 21:30:00,287,100,1023.0,902.5,9.913921598497227e-05,0.0001046414773702341
2021-01-02 21:45:00,254,87,1139.5,1027.5,8.817509490972814e-05,9.23067129261228e-05
2021-01-02 22:00:00,288,98,1025.5,932.5,9.746690947659254e-05,0.00010178212186643484
2021-01-02 22:15:00,257,85,1123.5,1054.0,8.833579149728479e-05,9.009916207779268e-05
2021-01-02 22:30:00,259,89,1138.5,991.0,8.841672612321673e-05,9.594166746618056e-05
2021-01-02 22:45:00,270,101,1057.5,866.0,9.385875231127176e-05,0.00011121106649210566
2021-01-02 23:00:00,243,105,1154.0,847.5,8.547402381102291e-05,0.00011600120641254669
2021-01-02 23:15:00,234,76,1205.5,1128.5,8.316262486832584e-05,8.559753839500111e-05
2021-01-02 23:30:00,238,87,1174.0,985.0,8.489321646129404e-05,9.791728802876744e-05
2021-01-02 23:45:00,211,84,1279.0,990.0,7.739580360686454e-05,9.730139222075367e-05
2021-01-03 00:00:00,255,86,1076.0,964.0,9.316698702713644e-05,9.987701191207572e-05
2021-01-03 00:15:00,219,74,1222.0,1073.5,8.156275732770611e-05,8.883137524173538e-05
2021-01-03 00:30:00,213,76,1212.0,1034.5,8.112125571133629e-05,9.320510273409812e-05
2021-01-03 00:45:00,220,80,1195.5,979.0,8.28542537185554e-05,9.492991205930273e-05
2021-01-03 01:00:00,235,80,1046.0,1000.5,9.171243507442562e-05,9.438058025180739e-05
2021-01-03 01:15:00,209,80,1161.0,950.0,8.475449178530269e-05,0.00010191822845735295
2021-01-03 01:30:00,191,65,1205.0,1131.0,7.999520866394179e-05,8.447076466834829e-05
2021-01-03 01:45:00,200,66,1128.0,1082.5,8.694525665805039e-05,8.991286625869839e-05
