time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,51,15,4861.5,5596.0,1.6468724439167277e-05,1.3215393290104315e-05
2021-01-02 16:15:00,43,10,5461.0,7499.5,1.4238325731833386e-05,9.072705943620391e-06
2021-01-02 16:30:00,53,15,4605.5,5344.5,1.773349831063334e-05,1.3765344918247614e-05
2021-01-02 16:45:00,47,19,5119.0,4443.0,1.5495549315574774e-05,1.719097636602665e-05
2021-01-02 17:00:00,47,14,5062.0,5770.0,1.5586722367643024e-05,1.2586294783610127e-05
2021-01-02 17:15:00,61,20,4018.0,4119.5,2.0760875891143585e-05,1.879058178459792e-05
2021-01-02 17:30:00,42,5,5446.5,12757.0,1.4200938546790908e-05,4.749010068851148e-06
2021-01-02 17:45:00,41,10,5483.0,7180.0,1.3719495872104852e-05,9.57680115687758e-06
2021-01-02 18:00:00,42,9,5450.0,8005.0,1.4069531625292193e-05,8.385259831251302e-06
2021-01-02 18:15:00,45,22,5117.5,3725.5,1.5144085881101426e-05,2.106176170148399e-05
2021-01-02 18:30:00,49,12,4666.0,6155.0,1.6884389141752716e-05,1.1610008214080812e-05
2021-01-02 18:45:00,44,15,5150.0,5053.0,1.5173041643102471e-05,1.4645448341110065e-05
2021-01-02 19:00:00,48,12,4843.5,6328.5,1.6076018131069115e-05,1.105160639703817e-05
2021-01-02 19:15:00,40,8,5603.5,8491.0,1.3539173907304044e-05,7.763975155279503e-06
2021-01-02 19:30:00,41,16,5418.5,4693.0,1.417943767116916e-05,1.599042173737931e-05
2021-01-02 19:45:00,26,7,7767.0,9120.5,9.125727250263943e-06,7.094887018991998e-06
2021-01-02 20:00:00,37,9,5916.5,7628.5,1.2892354415701076e-05,9.008657319684217e-06
2021-01-02 20:15:00,33,11,6417.0,6287.5,1.1649054237996533e-05,1.1267478676296604e-05
2021-01-02 20:30:00,38,9,5744.5,7429.0,1.3440922018953825e-05,9.32152744620184e-06
2021-01-02 20:45:00,24,7,8377.0,9005.0,8.456382507549962e-06,7.322214028316048e-06
2021-01-02 21:00:00,32,11,6840.5,6448.5,1.1138721991770573e-05,1.1263901958997349e-05
2021-01-02 21:15:00,35,14,6317.5,5216.0,1.2221604934176182e-05,1.4545741682173469e-05
2021-01-02 21:30:00,34,13,6553.0,5496.0,1.1744715482540273e-05,1.3603392058130435e-05
2021-01-02 21:45:00,33,10,6688.0,6754.0,1.1455819417405624e-05,1.060996700300262e-05
2021-01-02 22:00:00,31,9,7203.0,7542.0,1.0491229839494335e-05,9.347337722427693e-06
2021-01-02 22:15:00,17,6,11207.5,10174.5,5.843223562077205e-06,6.359940852550071e-06
2021-01-02 22:30:00,24,10,8644.0,6638.0,8.193055702537458e-06,1.0779962636649502e-05
2021-01-02 22:45:00,25,7,8336.0,8859.0,8.690625214006646e-06,7.707697677670689e-06
2021-01-02 23:00:00,23,12,8949.5,5634.5,8.090133940961016e-06,1.325728073286248e-05
2021-01-02 23:15:00,43,9,5403.0,7049.0,1.52820208091368e-05,1.0136550599408026e-05
2021-01-02 23:30:00,32,7,6827.0,8782.5,1.1414213977989115e-05,7.87840248507324e-06
2021-01-02 23:45:00,29,12,7257.5,5497.5,1.063733793648849e-05,1.3900198888679098e-05
2021-01-03 00:00:00,25,9,8193.0,6950.0,9.134018335993767e-06,1.0452245432659086e-05
2021-01-03 00:15:00,19,9,9933.5,6806.0,7.076220955371765e-06,1.0803815907778627e-05
2021-01-03 00:30:00,18,4,10226.5,13403.0,6.8553173840565875e-06,4.905531722847269e-06
2021-01-03 00:45:00,19,3,9702.0,17048.0,7.155594639329783e-06,3.559871702223852e-06
2021-01-03 01:00:00,22,2,8469.0,26150.0,8.58584498569091e-06,2.359514506295184e-06
2021-01-03 01:15:00,22,7,8231.0,7796.5,8.921525451084492e-06,8.917844990018382e-06
2021-01-03 01:30:00,22,4,8129.5,12517.0,9.214107804223663e-06,5.198200902667586e-06
2021-01-03 01:45:00,26,2,6850.5,24440.0,1.1302883365546553e-05,2.724632310869648e-06
2021-01-03 02:00:00,32,5,5770.0,10065.5,1.384771837202761e-05,6.912598487246948e-06
2021-01-03 02:15:00,19,4,8707.0,11958.0,8.550793513638066e-06,5.793776325471178e-06
2021-01-03 02:30:00,15,6,10263.0,8139.5,6.966576225025986e-06,8.98891217682988e-06
2021-01-03 02:45:00,9,4,15203.5,11372.0,4.227225587302541e-06,6.123295618935068e-06
2021-01-03 03:00:00,24,2,7117.5,24298.5,1.0781598506748607e-05,2.74694333879975e-06
2021-01-03 03:15:00,22,7,7408.0,7064.5,1.0153179168076191e-05,1.0611012411852803e-05
2021-01-03 03:30:00,17,6,9240.5,8016.5,7.910148161728097e-06,9.218685661256324e-06
2021-01-03 03:45:00,26,8,6335.5,6026.0,1.2348493483794975e-05,1.2587166125418526e-05
2021-01-03 04:00:00,18,1,8904.5,69331.5,8.347303473173852e-06,1.4891478351513348e-06
2021-01-03 04:15:00,26,9,6370.5,5565.5,1.2400072111188585e-05,1.4077963763321274e-05
2021-01-03 04:30:00,21,3,7838.0,15159.5,9.741448052336623e-06,4.526170316771574e-06
2021-01-03 04:45:00,16,7,9967.5,7124.0,7.2371206391824955e-06,1.0433216978123036e-05
2021-01-03 05:00:00,19,4,8851.5,12186.0,8.442178188610702e-06,5.682576934988479e-06
2021-01-03 05:15:00,17,5,9662.5,9761.0,7.605311191439104e-06,7.342941817466215e-06
2021-01-03 05:30:00,16,2,9980.5,23480.0,7.160118141949343e-06,2.8814333402007492e-06
2021-01-03 05:45:00,21,2,8029.5,23478.0,9.490581727466647e-06,2.9834003603947637e-06
2021-01-03 06:00:00,44,1,4345.5,74463.5,1.928073228221208e-05,1.3645096498122434e-06
2021-01-03 06:15:00,30,10,6006.5,5413.0,1.3329316765881214e-05,1.4543169945666714e-05
2021-01-03 06:30:00,26,8,6825.0,6636.5,1.1312271334399875e-05,1.104961692359328e-05
2021-01-03 06:45:00,27,6,6754.5,8675.5,1.1726669573722533e-05,8.41190284252217e-06
2021-01-03 07:00:00,22,5,8347.5,10816.0,8.920310005100796e-06,6.2098610108908545e-06
2021-01-03 07:15:00,20,3,9089.5,17172.5,8.082718541554266e-06,3.903104138721525e-06
2021-01-03 07:30:00,31,9,6459.5,6704.5,1.1947348420907395e-05,1.0864211837645219e-05
2021-01-03 07:45:00,32,8,6671.5,7600.0,1.1847341086430796e-05,9.609632695814284e-06
2021-01-03 08:00:00,41,5,5766.0,12084.0,1.4179511228789527e-05,5.4606554315501385e-06
2021-01-03 08:15:00,37,11,6380.0,6178.0,1.2453593534902038e-05,1.235258314972903e-05
2021-01-03 08:30:00,31,8,7458.0,8258.0,1.0074836535777208e-05,8.45054057051712e-06
2021-01-03 08:45:00,38,5,6387.0,12610.0,1.2313566926018469e-05,5.2377300934830075e-06
2021-01-03 09:00:00,41,10,6242.0,7459.5,1.2288300309275536e-05,9.151466842862908e-06
2021-01-03 09:15:00,34,6,7508.5,11231.5,9.579785525507589e-06,5.732367238374759e-06
2021-01-03 09:30:00,44,13,6154.0,5996.0,1.2239122410417273e-05,1.23200794550355e-05
2021-01-03 09:45:00,49,8,5591.5,9025.5,1.351921798221533e-05,7.403924820547372e-06
2021-01-03 10:00:00,39,8,7214.5,9766.0,9.731223604055972e-06,6.629277541333545e-06
2021-01-03 10:15:00,29,15,9064.5,5766.5,7.290801145912814e-06,1.253110847679364e-05
2021-01-03 10:30:00,32,11,8473.0,7537.0,8.063085581590363e-06,8.854536863449357e-06
2021-01-03 10:45:00,40,11,7093.0,7402.0,1.03795058732434e-05,9.21408079073566e-06
2021-01-03 11:00:00,39,18,7249.5,5171.5,1.015361640574476e-05,1.4272857386401932e-05
2021-01-03 11:15:00,35,4,7795.0,17458.0,9.241868410052724e-06,3.2876676299532827e-06
