time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,252,53,1178.0,1878.0,8.137487369941477e-05,4.669438962503524e-05
2021-01-02 16:15:00,224,52,1281.0,1884.5,7.417174334722509e-05,4.717807090682603e-05
2021-01-02 16:30:00,194,45,1459.5,2117.0,6.491129570307299e-05,4.129603475474285e-05
2021-01-02 16:45:00,193,38,1509.5,2480.0,6.363065995544535e-05,3.43819527320533e-05
2021-01-02 17:00:00,188,35,1532.0,2653.0,6.234688947057211e-05,3.146573695902532e-05
2021-01-02 17:15:00,203,45,1364.5,2077.0,6.908947222790404e-05,4.2278809015345334e-05
2021-01-02 17:30:00,166,42,1713.0,2172.5,5.612751901826883e-05,3.989168457834965e-05
2021-01-02 17:45:00,176,44,1645.5,2055.0,5.8893445694889124e-05,4.213792509026135e-05
2021-01-02 18:00:00,156,47,1814.0,1997.0,5.2258260322513864e-05,4.378969022986792e-05
2021-01-02 18:15:00,1005,53,302.0,1768.5,0.0003382179180112652,5.073969864448417e-05
2021-01-02 18:30:00,616,45,475.0,2034.5,0.00021226089206774845,4.353753080280305e-05
2021-01-02 18:45:00,523,46,558.5,1955.0,0.00018035229043960438,4.491270824607087e-05
2021-01-02 19:00:00,437,42,697.0,2264.0,0.0001463587484016084,3.86806223896336e-05
2021-01-02 19:15:00,433,51,698.0,1799.5,0.00014656155754656628,4.9495341614906827e-05
2021-01-02 19:30:00,346,40,858.0,2163.5,0.00011966062034693973,3.997605434344828e-05
2021-01-02 19:45:00,311,46,928.5,1869.0,0.0001091577374935418,4.662354326766171e-05
2021-01-02 20:00:00,327,47,902.5,1874.0,0.0001139405376738987,4.70452104472398e-05
2021-01-02 20:15:00,362,46,789.5,1877.0,0.0001277865949743862,4.711854719178581e-05
2021-01-02 20:30:00,369,34,771.0,2417.0,0.00013051842697352526,3.521465924120695e-05
2021-01-02 20:45:00,357,38,796.5,2205.5,0.0001257886897998057,3.97491618680014e-05
2021-01-02 21:00:00,289,44,985.5,1978.5,0.00010059658298817801,4.50556078359894e-05
2021-01-02 21:15:00,289,30,985.0,2684.5,0.00010091553788505477,3.116944646180028e-05
2021-01-02 21:30:00,281,38,1057.5,2194.5,9.706661913511225e-05,3.9763761400688956e-05
2021-01-02 21:45:00,287,36,1015.0,2258.5,9.963091432713376e-05,3.8195881210809444e-05
2021-01-02 22:00:00,339,32,870.0,2585.5,0.00011472667469640581,3.323497856863179e-05
2021-01-02 22:15:00,284,37,1017.0,2179.5,9.761620538999564e-05,3.9219635257392105e-05
2021-01-02 22:30:00,256,34,1148.0,2319.5,8.739259416039953e-05,3.6651872964608314e-05
2021-01-02 22:45:00,312,33,909.5,2380.5,0.00010845900267080294,3.633628905187611e-05
2021-01-02 23:00:00,315,57,888.0,1458.5,0.00011079966049577043,6.297208348109677e-05
2021-01-02 23:15:00,228,27,1238.5,2837.0,8.103024987170211e-05,3.0409651798224077e-05
2021-01-02 23:30:00,222,40,1253.5,2010.0,7.918610947229948e-05,4.501944277184709e-05
2021-01-02 23:45:00,220,27,1226.5,2740.0,8.069704641474027e-05,3.1275447499527974e-05
2021-01-03 00:00:00,212,29,1268.5,2605.0,7.745647548922716e-05,3.3679457505234835e-05
2021-01-03 00:15:00,193,26,1366.5,2766.5,7.187950759930266e-05,3.1211023733582695e-05
2021-01-03 00:30:00,170,30,1495.5,2353.0,6.474466418275666e-05,3.6791487921354525e-05
2021-01-03 00:45:00,156,23,1620.0,2921.5,5.875119809133929e-05,2.729234971704953e-05
2021-01-03 01:00:00,168,29,1434.5,2472.5,6.556463443618512e-05,3.4212960341280176e-05
2021-01-03 01:15:00,154,19,1522.5,3378.5,6.245067815759144e-05,2.4205579258621327e-05
2021-01-03 01:30:00,114,18,1933.5,3454.5,4.774583134915898e-05,2.339190406200414e-05
2021-01-03 01:45:00,148,18,1499.5,3405.5,6.433948992695729e-05,2.4521690797826834e-05
2021-01-03 02:00:00,132,15,1685.5,3971.5,5.712183828461389e-05,2.0737795461740837e-05
2021-01-03 02:15:00,112,16,1886.5,3514.5,5.040467755407702e-05,2.317510530188472e-05
2021-01-03 02:30:00,120,21,1714.5,2734.5,5.573260980020789e-05,3.146119261890458e-05
2021-01-03 02:45:00,121,14,1668.5,3823.5,5.683269956262306e-05,2.143153466627273e-05
2021-01-03 03:00:00,122,21,1737.5,2956.0,5.480645907597209e-05,2.884290505739738e-05
2021-01-03 03:15:00,127,21,1609.5,2757.0,5.861153428843982e-05,3.183303723555841e-05
2021-01-03 03:30:00,101,24,1985.5,2391.5,4.699558613732576e-05,3.6874742645025296e-05
2021-01-03 03:45:00,104,20,1921.0,2775.5,4.9393973935179906e-05,3.1467915313546306e-05
2021-01-03 04:00:00,114,15,1793.5,3753.5,5.286625533010108e-05,2.233721752727002e-05
2021-01-03 04:15:00,99,22,2023.5,2536.0,4.721565919260269e-05,3.441280031034089e-05
2021-01-03 04:30:00,91,8,2217.5,6322.0,4.2212941560125374e-05,1.2069787511390864e-05
2021-01-03 04:45:00,87,19,2360.0,3020.5,3.935184347555481e-05,2.8318731797762523e-05
2021-01-03 05:00:00,98,22,2156.5,2835.5,4.354386644651836e-05,3.125417314243663e-05
2021-01-03 05:15:00,103,16,2039.5,3596.5,4.6079238395189864e-05,2.349741381589189e-05
2021-01-03 05:30:00,96,15,2213.0,3758.0,4.296070885169605e-05,2.161075005150562e-05
2021-01-03 05:45:00,86,16,2385.0,3516.5,3.886619183629199e-05,2.386720288315811e-05
2021-01-03 06:00:00,96,23,2223.5,2726.5,4.206705225209908e-05,3.13837219456816e-05
2021-01-03 06:15:00,96,13,2174.5,4381.5,4.2653813650819876e-05,1.8906120929366728e-05
2021-01-03 06:30:00,103,20,2101.5,3054.5,4.481399797858413e-05,2.7624042308983196e-05
2021-01-03 06:45:00,97,20,2167.0,3097.0,4.21291462463365e-05,2.803967614174056e-05
2021-01-03 07:00:00,124,18,1864.0,3630.0,5.027811093784085e-05,2.2355499639207075e-05
2021-01-03 07:15:00,100,18,2271.5,3556.5,4.041359270777133e-05,2.3418624832329152e-05
2021-01-03 07:30:00,100,29,2405.5,2468.5,3.853983361583032e-05,3.500690481019015e-05
2021-01-03 07:45:00,115,26,2208.5,2766.0,4.257638202936068e-05,3.1231306261396424e-05
2021-01-03 08:00:00,157,36,1762.0,2257.0,5.4297152754145255e-05,3.931671910716099e-05
2021-01-03 08:15:00,183,37,1551.5,2178.5,6.159480045640737e-05,4.1549597867270365e-05
2021-01-03 08:30:00,184,29,1611.0,2782.5,5.9799029760742124e-05,3.063320956812456e-05
2021-01-03 08:45:00,199,37,1484.0,2321.0,6.448420574414935e-05,3.8759202691774246e-05
2021-01-03 09:00:00,210,43,1560.5,2162.0,6.294007475482594e-05,3.9351307424310506e-05
2021-01-03 09:15:00,217,42,1573.5,2195.5,6.114157232456314e-05,4.0126570668623307e-05
2021-01-03 09:30:00,229,36,1509.5,2577.0,6.369906890876262e-05,3.4117143106252155e-05
2021-01-03 09:45:00,276,44,1262.5,2147.5,7.614906455288637e-05,4.0721586513010554e-05
2021-01-03 10:00:00,239,47,1588.0,2268.5,5.963493439408661e-05,3.8947005555334586e-05
2021-01-03 10:15:00,227,43,1702.0,2380.5,5.7069374486972714e-05,3.5922510966808435e-05
2021-01-03 10:30:00,236,46,1646.0,2301.0,5.946525616422893e-05,3.702806324715186e-05
2021-01-03 10:45:00,216,37,1707.5,2738.5,5.6049331715514355e-05,3.099281720520177e-05
2021-01-03 11:00:00,227,52,1601.0,2127.0,5.9099254464206675e-05,4.1232699116272246e-05
2021-01-03 11:15:00,217,46,1654.5,2295.0,5.729958414232688e-05,3.7808177744462745e-05
2021-01-03 11:30:00,233,47,1520.0,2258.5,6.247799527687808e-05,3.833758445484363e-05
2021-01-03 11:45:00,235,46,1535.0,2392.0,6.159278415634397e-05,3.5870886642539594e-05
2021-01-03 12:00:00,238,53,1512.5,2272.0,6.191541313969938e-05,3.841640336933603e-05
2021-01-03 12:15:00,214,49,1656.5,2316.0,5.584580295304257e-05,3.715118637385466e-05
2021-01-03 12:30:00,210,44,1686.0,2501.0,5.542031824985802e-05,3.403373206944428e-05
2021-01-03 12:45:00,205,50,1657.0,2217.0,5.575902310191526e-05,3.944804298258764e-05
2021-01-03 13:00:00,203,60,1684.5,1996.5,5.514261973078993e-05,4.570958415705813e-05
2021-01-03 13:15:00,275,73,1293.5,1656.0,7.417645256375399e-05,5.633559344531512e-05
2021-01-03 13:30:00,286,72,1243.0,1647.0,7.666411387676754e-05,5.5573050775244054e-05
2021-01-03 13:45:00,280,59,1275.0,1954.5,7.450327601547965e-05,4.603979711275849e-05
2021-01-03 14:00:00,411,82,901.5,1494.5,0.00010886820245883205,6.260182339262185e-05
2021-01-03 14:15:00,408,77,893.0,1534.0,0.0001093331375341197,6.024770413213182e-05
2021-01-03 14:30:00,365,83,999.5,1479.0,9.72910182264727e-05,6.452169600330848e-05
2021-01-03 14:45:00,313,54,1148.0,2049.0,8.54880370007519e-05,4.334557176822641e-05
2021-01-03 15:00:00,268,58,1301.0,1958.5,7.343457623180335e-05,4.546206308409933e-05
2021-01-03 15:15:00,288,60,1212.0,1868.5,7.959158462699597e-05,4.7738127726543266e-05
2021-01-03 15:30:00,286,96,1227.0,1260.0,7.918215356077438e-05,7.530929763881818e-05
2021-01-03 15:45:00,281,68,1230.0,1693.5,7.8349343831216e-05,5.4401610287664524e-05
2021-01-03 16:00:00,265,60,1297.5,1960.5,7.330850987313479e-05,4.598384740720076e-05
2021-01-03 16:15:00,269,55,1274.5,2114.0,7.446541994759738e-05,4.261722448739227e-05
2021-01-03 16:30:00,237,47,1410.0,2289.5,6.80055047156222e-05,3.870163427943733e-05
2021-01-03 16:45:00,322,70,1063.0,1590.0,9.30680220299523e-05,5.798056988273844e-05
2021-01-03 17:00:00,291,54,1158.0,2008.0,8.440421789050365e-05,4.437556188500813e-05
2021-01-03 17:15:00,312,73,1070.0,1520.0,9.112333163255918e-05,6.115511114313145e-05
2021-01-03 17:30:00,276,62,1205.0,1756.5,8.118036247031843e-05,5.214444009907443e-05
2021-01-03 17:45:00,287,70,1134.0,1522.5,8.446793588324471e-05,5.9946288125839246e-05
2021-01-03 18:00:00,277,67,1162.0,1592.0,8.253775282773746e-05,5.6877557898382715e-05
2021-01-03 18:15:00,233,58,1392.0,1785.0,6.914270758094891e-05,5.018725036169432e-05
2021-01-03 18:30:00,247,47,1312.5,2109.5,7.382639200857701e-05,4.131228926337552e-05
2021-01-03 18:45:00,249,75,1299.0,1394.5,7.490073396703165e-05,6.591702891736114e-05
2021-01-03 19:00:00,243,56,1355.0,1908.5,7.211917292664057e-05,4.710577096164749e-05
2021-01-03 19:15:00,197,45,1638.5,2243.5,5.8906550886887466e-05,3.947063735430949e-05
2021-01-03 19:30:00,229,73,1413.0,1472.0,6.9132555486423e-05,6.346656094702542e-05
2021-01-03 19:45:00,205,60,1543.5,1714.0,6.205579027443492e-05,5.2657815472972495e-05
2021-01-03 20:00:00,198,50,1568.0,1981.5,6.087692284987628e-05,4.5000126000352793e-05
2021-01-03 20:15:00,195,44,1586.5,2176.5,5.9755389016775634e-05,4.0378159820427304e-05
2021-01-03 20:30:00,182,53,1711.5,1845.5,5.510996557746766e-05,4.8304863844082844e-05
2021-01-03 20:45:00,160,38,1874.0,2447.0,4.939087164084193e-05,3.555841686442137e-05
2021-01-03 21:00:00,136,45,2223.0,2107.5,4.182746662106653e-05,4.178063495423628e-05
2021-01-03 21:15:00,140,41,2153.5,2263.5,4.3294541424217243e-05,3.8453854905164346e-05
2021-01-03 21:30:00,139,47,2082.0,1925.5,4.414373071689101e-05,4.5738086201695225e-05
2021-01-03 21:45:00,131,33,2224.0,2646.0,4.101451757378152e-05,3.252622303526828e-05
2021-01-03 22:00:00,144,38,2187.0,2390.0,4.3817635868143e-05,3.626625539460549e-05
2021-01-03 22:15:00,147,42,2070.0,2152.0,4.549575048025871e-05,4.053169868349182e-05
