time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,155,13,1903.0,6253.0,5.005200564844957e-05,1.1453340851423738e-05
2021-01-02 16:15:00,114,11,2402.5,6956.0,3.774811938206991e-05,9.97997653798243e-06
2021-01-02 16:30:00,125,24,2185.0,3615.5,4.182428846847486e-05,2.2024551869196186e-05
2021-01-02 16:45:00,119,19,2324.0,4443.0,3.923341209688081e-05,1.719097636602665e-05
2021-01-02 17:00:00,118,16,2322.0,5149.0,3.9132622114508025e-05,1.438433689555443e-05
2021-01-02 17:15:00,135,10,2008.0,7269.0,4.594620074269481e-05,9.39529089229896e-06
2021-01-02 17:30:00,106,8,2542.0,8608.0,3.5840463951424685e-05,7.598416110161838e-06
2021-01-02 17:45:00,118,18,2309.0,4445.0,3.948537836361884e-05,1.7238242082379645e-05
2021-01-02 18:00:00,118,13,2335.5,5963.0,3.952868409010664e-05,1.2112041978474105e-05
2021-01-02 18:15:00,126,33,2171.0,2662.5,4.240344046708399e-05,3.159264255222599e-05
2021-01-02 18:30:00,113,17,2314.5,4650.0,3.89374688371032e-05,1.6447511636614484e-05
2021-01-02 18:45:00,119,25,2238.5,3316.5,4.103618080748169e-05,2.4409080568516776e-05
2021-01-02 19:00:00,139,28,2006.0,3183.5,4.655346917122098e-05,2.5787081593089065e-05
2021-01-02 19:15:00,147,28,1923.5,3024.0,4.975646410934237e-05,2.7173913043478265e-05
2021-01-02 19:30:00,120,27,2245.5,3051.5,4.1500793183909726e-05,2.6983836681827586e-05
2021-01-02 19:45:00,110,11,2369.0,6344.0,3.8608846058809004e-05,1.1149108172701714e-05
2021-01-02 20:00:00,114,14,2321.0,5328.5,3.972238928080872e-05,1.4013466941731006e-05
2021-01-02 20:15:00,96,23,2678.5,3410.0,3.388815778326264e-05,2.3559273595892906e-05
2021-01-02 20:30:00,92,17,2777.0,4397.5,3.2541179624835573e-05,1.7607329620603476e-05
2021-01-02 20:45:00,70,15,3512.5,4822.0,2.4664448980354058e-05,1.5690458632105818e-05
2021-01-02 21:00:00,77,11,3307.5,6448.5,2.6802549792697946e-05,1.1263901958997349e-05
2021-01-02 21:15:00,74,13,3419.5,5530.5,2.58399647179725e-05,1.350676013344679e-05
2021-01-02 21:30:00,69,14,3682.5,5167.5,2.3834863773390547e-05,1.4649806831832776e-05
2021-01-02 21:45:00,56,9,4381.0,7386.5,1.9440178405294393e-05,9.548970302702361e-06
